,Precision,Recall,F1,Support
astro-ph.CO,0.6086956521739131,0.1810344827586207,0.27906976744186046,232.0
astro-ph.EP,0.95,0.12101910828025478,0.21468926553672316,157.0
astro-ph.GA,0.75,0.015544041450777202,0.030456852791878174,193.0
astro-ph.HE,0.8,0.3444976076555024,0.4816053511705686,209.0
astro-ph.IM,1.0,0.005747126436781609,0.011428571428571429,174.0
astro-ph.SR,0.5045045045045045,0.7368421052631579,0.5989304812834224,304.0
cond-mat.dis-nn,0.0,0.0,0.0,90.0
cond-mat.mes-hall,0.43631778058007564,0.6443202979515829,0.5203007518796993,537.0
cond-mat.mtrl-sci,0.4868995633187773,0.4901098901098901,0.488499452354874,455.0
cond-mat.other,0.0,0.0,0.0,61.0
cond-mat.quant-gas,1.0,0.00684931506849315,0.013605442176870748,146.0
cond-mat.soft,0.7777777777777778,0.08713692946058091,0.15671641791044777,241.0
cond-mat.stat-mech,0.75,0.010416666666666666,0.02054794520547945,288.0
cond-mat.str-el,0.7368421052631579,0.05,0.09364548494983277,280.0
cond-mat.supr-con,1.0,0.01092896174863388,0.021621621621621623,183.0
cs.AI,0.0,0.0,0.0,291.0
cs.AR,0.0,0.0,0.0,46.0
cs.CC,0.0,0.0,0.0,31.0
cs.CE,0.0,0.0,0.0,48.0
cs.CG,0.0,0.0,0.0,28.0
cs.CL,0.7957317073170732,0.3686440677966102,0.5038610038610039,708.0
cs.CR,1.0,0.02491103202846975,0.04861111111111111,281.0
cs.CV,0.2784130688448075,0.9699186991869919,0.4326382592928377,1230.0
cs.CY,0.0,0.0,0.0,134.0
cs.DB,0.0,0.0,0.0,72.0
cs.DC,0.0,0.0,0.0,157.0
cs.DL,0.0,0.0,0.0,55.0
cs.DM,0.0,0.0,0.0,39.0
cs.DS,0.0,0.0,0.0,83.0
cs.ET,0.0,0.0,0.0,31.0
cs.FL,0.0,0.0,0.0,26.0
cs.GL,0.0,0.0,0.0,1.0
cs.GR,0.0,0.0,0.0,30.0
cs.GT,0.0,0.0,0.0,78.0
cs.HC,0.0,0.0,0.0,152.0
cs.IR,0.0,0.0,0.0,138.0
cs.IT,0.7577639751552795,0.29397590361445786,0.4236111111111111,415.0
cs.LG,0.1304032492022048,0.8091809180918091,0.22460961898813242,1111.0
cs.LO,0.0,0.0,0.0,122.0
cs.MA,0.0,0.0,0.0,42.0
cs.MM,0.0,0.0,0.0,28.0
cs.MS,0.0,0.0,0.0,16.0
cs.NA,0.0,0.0,0.0,10.0
cs.NE,0.0,0.0,0.0,81.0
