,Precision,Recall,F1,Support
cs.AI,0.46016260162601624,0.31167400881057267,0.3716349310571241,908.0
cs.AR,0.4909090909090909,0.46956521739130436,0.48,115.0
cs.CC,0.3561643835616438,0.2988505747126437,0.325,87.0
cs.CE,0.5773195876288659,0.3333333333333333,0.4226415094339623,168.0
cs.CG,0.47560975609756095,0.4588235294117647,0.46706586826347307,85.0
cs.CL,0.7576158940397351,0.8075294117647058,0.7817767653758542,2125.0
cs.CR,0.6838842975206612,0.722707423580786,0.70276008492569,916.0
cs.CV,0.7987481945113144,0.8520801232665639,0.8245526838966203,3894.0
cs.CY,0.4713216957605985,0.42663656884875845,0.44786729857819907,443.0
cs.DB,0.5094339622641509,0.432,0.4675324675324675,250.0
cs.DC,0.5323590814196242,0.5543478260869565,0.5431309904153354,460.0
cs.DL,0.6666666666666666,0.5467625899280576,0.6007905138339921,139.0
cs.DM,0.4,0.3018867924528302,0.34408602150537637,106.0
cs.DS,0.48360655737704916,0.4738955823293173,0.4787018255578093,249.0
cs.ET,0.6170212765957447,0.3493975903614458,0.4461538461538462,83.0
cs.FL,0.6438356164383562,0.4895833333333333,0.5562130177514792,96.0
cs.GL,0.0,0.0,0.0,6.0
cs.GR,0.2727272727272727,0.10975609756097561,0.1565217391304348,82.0
cs.GT,0.668,0.6844262295081968,0.6761133603238867,244.0
cs.HC,0.5878378378378378,0.5294117647058824,0.5570971184631803,493.0
cs.IR,0.6412429378531074,0.5101123595505618,0.5682102628285357,445.0
cs.IT,0.8025862068965517,0.8138111888111889,0.8081597222222222,1144.0
cs.LG,0.6377308707124011,0.7455274521900062,0.6874288964732651,3242.0
cs.LO,0.5535714285714286,0.5867507886435331,0.5696784073506891,317.0
cs.MA,0.4032258064516129,0.22935779816513763,0.29239766081871343,109.0
cs.MM,0.32,0.09523809523809523,0.14678899082568808,84.0
cs.MS,0.36363636363636365,0.1111111111111111,0.1702127659574468,36.0
cs.NA,0.35,0.1794871794871795,0.23728813559322035,39.0
cs.NE,0.5567567567567567,0.42738589211618255,0.4835680751173709,241.0
cs.NI,0.6128500823723229,0.6391752577319587,0.6257359125315392,582.0
cs.OH,0.25,0.058823529411764705,0.09523809523809523,68.0
cs.OS,0.5,0.058823529411764705,0.10526315789473684,17.0
cs.PF,0.42857142857142855,0.0625,0.10909090909090909,48.0
cs.PL,0.5548387096774193,0.4673913043478261,0.5073746312684366,184.0
cs.RO,0.7888989990900819,0.797608095676173,0.7932296431838975,1087.0
cs.SC,0.5925925925925926,0.45714285714285713,0.5161290322580645,35.0
cs.SD,0.7238805970149254,0.7729083665338645,0.7475915221579962,251.0
cs.SE,0.6216666666666667,0.6397941680960549,0.6306001690617076,583.0
cs.SI,0.5790816326530612,0.5880829015544041,0.583547557840617,386.0
cs.SY,0.6126760563380281,0.5686274509803921,0.5898305084745763,153.0
Accuracy,0.67915,0.67915,0.67915,0.67915
Macro Average,0.5336757727209235,0.4490581830896872,0.4729251024596614,20000.0
Weighted Average,0.6668430086714081,0.67915,0.6689746115467491,20000.0
