,Precision,Recall,F1,Support
cs.AI,0.37129300118623965,0.3447136563876652,0.35750999428897773,908.0
cs.AR,0.4954954954954955,0.4782608695652174,0.48672566371681414,115.0
cs.CC,0.30434782608695654,0.2413793103448276,0.2692307692307692,87.0
cs.CE,0.5333333333333333,0.2857142857142857,0.37209302325581395,168.0
cs.CG,0.5869565217391305,0.3176470588235294,0.4122137404580153,85.0
cs.CL,0.7353324641460235,0.796235294117647,0.7645729778581112,2125.0
cs.CR,0.6782786885245902,0.722707423580786,0.6997885835095138,916.0
cs.CV,0.7870524069243539,0.852336928608115,0.8183947725311306,3894.0
cs.CY,0.45012787723785164,0.3972911963882618,0.42206235011990406,443.0
cs.DB,0.5105263157894737,0.388,0.4409090909090909,250.0
cs.DC,0.492,0.5347826086956522,0.5125,460.0
cs.DL,0.7731958762886598,0.539568345323741,0.635593220338983,139.0
cs.DM,0.37142857142857144,0.24528301886792453,0.29545454545454547,106.0
cs.DS,0.4216417910447761,0.4538152610441767,0.437137330754352,249.0
cs.ET,0.6956521739130435,0.1927710843373494,0.3018867924528302,83.0
cs.FL,0.6721311475409836,0.4270833333333333,0.5222929936305732,96.0
cs.GL,0.0,0.0,0.0,6.0
cs.GR,0.25,0.06097560975609756,0.09803921568627451,82.0
cs.GT,0.6956521739130435,0.7213114754098361,0.7082494969818913,244.0
cs.HC,0.5657276995305164,0.48884381338742394,0.5244831338411317,493.0
cs.IR,0.6549520766773163,0.4606741573033708,0.5408970976253298,445.0
cs.IT,0.7659033078880407,0.7893356643356644,0.7774429616874731,1144.0
cs.LG,0.629492600422833,0.7347316471314004,0.6780529461998293,3242.0
cs.LO,0.5175438596491229,0.5583596214511041,0.5371775417298937,317.0
cs.MA,0.5294117647058824,0.1651376146788991,0.2517482517482518,109.0
cs.MM,0.3,0.03571428571428571,0.06382978723404255,84.0
cs.MS,0.0,0.0,0.0,36.0
cs.NA,0.0,0.0,0.0,39.0
cs.NE,0.5902777777777778,0.35269709543568467,0.44155844155844154,241.0
cs.NI,0.599009900990099,0.6237113402061856,0.6111111111111112,582.0
cs.OH,0.0,0.0,0.0,68.0
cs.OS,0.0,0.0,0.0,17.0
cs.PF,0.0,0.0,0.0,48.0
cs.PL,0.574468085106383,0.44021739130434784,0.49846153846153846,184.0
cs.RO,0.7807971014492754,0.7930082796688133,0.786855317206755,1087.0
cs.SC,1.0,0.11428571428571428,0.20512820512820512,35.0
cs.SD,0.6863468634686347,0.7410358565737052,0.7126436781609196,251.0
cs.SE,0.6211382113821138,0.6552315608919382,0.6377295492487479,583.0
cs.SI,0.5773480662983426,0.5414507772020726,0.5588235294117647,386.0
cs.SY,0.4892086330935252,0.4444444444444444,0.4657534246575342,153.0
Accuracy,0.66385,0.66385,0.66385,0.66385
Macro Average,0.49265179032580964,0.3984689006078375,0.42115877690471404,20000.0
Weighted Average,0.6486596139802284,0.66385,0.6507778444853977,20000.0
