,Precision,Recall,F1,Support
cs.AI,0.4325581395348837,0.30726872246696035,0.35930457179652286,908.0
cs.AR,0.45901639344262296,0.48695652173913045,0.47257383966244726,115.0
cs.CC,0.345679012345679,0.3218390804597701,0.3333333333333333,87.0
cs.CE,0.4375,0.3333333333333333,0.3783783783783784,168.0
cs.CG,0.5344827586206896,0.36470588235294116,0.43356643356643354,85.0
cs.CL,0.7069628363947031,0.7788235294117647,0.7411553963278101,2125.0
cs.CR,0.639546858908342,0.6779475982532751,0.6581875993640699,916.0
cs.CV,0.7954319761668321,0.8228043143297381,0.80888664478667,3894.0
cs.CY,0.4288840262582057,0.44243792325056436,0.43555555555555553,443.0
cs.DB,0.4485981308411215,0.384,0.41379310344827586,250.0
cs.DC,0.4896265560165975,0.5130434782608696,0.5010615711252654,460.0
cs.DL,0.6044776119402985,0.5827338129496403,0.5934065934065934,139.0
cs.DM,0.39655172413793105,0.2169811320754717,0.2804878048780488,106.0
cs.DS,0.43902439024390244,0.5060240963855421,0.4701492537313433,249.0
cs.ET,0.5,0.2891566265060241,0.366412213740458,83.0
cs.FL,0.6216216216216216,0.4791666666666667,0.5411764705882353,96.0
cs.GL,0.0,0.0,0.0,6.0
cs.GR,0.3611111111111111,0.15853658536585366,0.22033898305084745,82.0
cs.GT,0.6586345381526104,0.6721311475409836,0.665314401622718,244.0
cs.HC,0.540045766590389,0.4787018255578093,0.5075268817204301,493.0
cs.IR,0.6261682242990654,0.451685393258427,0.5248041775456919,445.0
cs.IT,0.7698019801980198,0.8155594405594405,0.7920203735144312,1144.0
cs.LG,0.6318382162302307,0.7516964836520666,0.6865755740245105,3242.0
cs.LO,0.5142857142857142,0.5678233438485805,0.5397301349325337,317.0
cs.MA,0.390625,0.22935779816513763,0.28901734104046245,109.0
cs.MM,0.375,0.07142857142857142,0.12,84.0
cs.MS,0.29411764705882354,0.1388888888888889,0.18867924528301888,36.0
cs.NA,0.4444444444444444,0.10256410256410256,0.16666666666666666,39.0
cs.NE,0.432258064516129,0.27800829875518673,0.3383838383838384,241.0
cs.NI,0.6433691756272402,0.6168384879725086,0.6298245614035087,582.0
cs.OH,0.5,0.04411764705882353,0.08108108108108109,68.0
cs.OS,0.0,0.0,0.0,17.0
cs.PF,0.3333333333333333,0.020833333333333332,0.0392156862745098,48.0
cs.PL,0.5548387096774193,0.4673913043478261,0.5073746312684366,184.0
cs.RO,0.744621141253508,0.7322907083716651,0.738404452690167,1087.0
cs.SC,0.55,0.3142857142857143,0.4,35.0
cs.SD,0.5872093023255814,0.40239043824701193,0.47754137115839246,251.0
cs.SE,0.5411585365853658,0.6089193825042881,0.5730427764326069,583.0
cs.SI,0.5766233766233766,0.5751295336787565,0.5758754863813229,386.0
cs.SY,0.544,0.4444444444444444,0.4892086330935252,153.0
Accuracy,0.65155,0.65155,0.65155,0.65155
Macro Average,0.4973361579696448,0.4112561398067777,0.4334513765314535,20000.0
Weighted Average,0.6400684786063795,0.65155,0.6407436459519175,20000.0
