,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,283,1,6,3,1,77,9,51,27,16,6,2,0,12,0,1,0,0,18,17,14,7,219,39,8,0,1,0,13,7,1,0,0,2,32,0,2,21,8,4
cs.AR,1,54,0,1,0,0,1,6,0,1,14,0,0,0,2,0,0,0,0,1,0,6,11,1,0,0,0,0,2,7,2,0,0,0,1,0,0,3,0,1
cs.CC,3,0,26,0,2,0,2,0,0,1,1,0,10,15,0,6,0,0,0,0,0,7,0,10,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
cs.CE,3,1,0,56,0,2,3,10,1,0,4,0,0,2,1,0,0,2,2,1,0,4,53,1,0,0,0,4,3,1,1,0,0,2,3,0,0,3,1,4
cs.CG,3,0,4,2,39,0,1,6,0,0,1,1,7,5,0,0,0,3,0,1,0,1,7,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0
cs.CL,36,0,0,1,0,1716,10,90,9,0,3,3,0,1,0,0,0,0,0,20,31,2,135,6,0,0,0,0,1,0,0,0,0,1,2,0,26,16,16,0
cs.CR,5,8,0,0,0,11,662,28,12,10,12,0,2,4,0,0,0,0,1,8,1,14,65,2,1,4,0,0,0,23,0,0,0,3,2,1,3,20,11,3
cs.CV,11,1,0,4,1,80,19,3318,4,1,4,0,2,4,0,0,0,9,0,12,6,14,326,1,0,6,0,0,6,3,0,0,0,0,48,0,10,1,1,2
cs.CY,15,1,0,1,0,32,31,8,189,2,0,7,0,1,1,0,1,0,4,35,7,1,35,1,1,0,0,0,0,8,1,0,0,1,10,0,0,14,36,0
cs.DB,10,0,1,0,2,12,12,7,3,108,23,0,0,6,0,1,0,0,1,4,12,0,30,1,0,1,0,0,0,2,0,0,0,3,0,0,0,8,3,0
cs.DC,2,8,0,3,0,5,22,11,4,12,255,0,0,11,0,0,0,1,4,2,0,7,38,6,2,0,1,0,2,33,2,1,2,5,7,0,0,11,1,2
cs.DL,3,0,0,0,0,9,1,2,16,5,2,76,0,1,0,0,0,0,0,2,7,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,10,0
cs.DM,2,0,9,0,7,1,1,1,1,0,2,0,32,26,0,2,0,0,1,1,0,3,3,5,0,0,0,1,0,2,0,0,0,0,0,1,0,1,4,0
cs.DS,7,1,6,0,8,2,3,5,1,11,12,0,10,118,0,0,0,0,6,0,1,7,25,3,3,0,1,1,6,1,0,0,0,2,1,0,0,0,8,0
cs.ET,0,12,0,2,1,1,2,3,1,1,2,0,0,0,29,0,0,0,0,0,0,4,10,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,1,0
cs.FL,3,0,3,0,1,5,0,0,0,0,0,1,4,2,2,47,0,0,1,0,0,1,4,12,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,1
cs.GL,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs.GR,0,1,0,2,7,1,0,38,0,0,2,0,1,0,0,0,0,9,0,6,0,1,2,0,1,0,0,2,0,1,0,0,0,0,6,0,0,2,0,0
cs.GT,17,0,3,0,0,1,8,1,1,2,4,0,1,3,0,0,0,0,167,1,1,5,12,5,1,0,0,0,2,5,0,0,0,0,0,0,0,0,1,3
cs.HC,21,0,0,1,1,29,11,34,40,2,1,3,0,0,0,0,0,2,0,261,10,0,18,2,0,0,0,0,1,5,0,0,0,2,19,0,6,16,8,0
cs.IR,8,0,0,0,0,73,2,23,8,7,1,8,0,2,0,0,0,0,0,7,227,1,55,0,0,0,0,0,0,2,1,0,0,0,0,0,5,4,11,0
cs.IT,3,1,4,1,3,2,20,11,1,2,8,2,3,5,2,1,0,0,4,1,2,931,44,5,1,0,0,1,1,67,0,0,0,0,3,2,2,2,4,5
cs.LG,60,6,2,3,3,110,50,306,18,13,23,2,4,6,2,0,0,1,12,10,12,33,2417,2,6,0,1,0,20,18,1,0,0,2,44,0,11,18,19,7
cs.LO,23,2,7,0,3,6,7,0,0,2,6,1,0,3,2,9,0,0,5,1,0,5,7,186,0,0,1,0,0,3,0,0,0,19,0,0,0,17,1,1
cs.MA,24,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,9,3,0,1,11,0,25,1,0,0,1,2,0,0,0,0,15,0,0,0,4,5
cs.MM,1,0,0,0,0,3,9,41,0,0,0,0,0,0,0,0,0,1,0,4,4,0,1,0,0,8,0,0,0,6,0,0,0,0,1,0,4,0,1,0
cs.MS,2,0,0,1,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,6,0,4,0,2,0,0
cs.NA,0,0,0,7,0,1,0,1,0,0,3,0,0,1,0,0,0,2,0,0,0,4,8,0,0,0,0,7,1,0,0,0,0,0,1,2,0,1,0,0
cs.NE,23,0,0,2,0,4,1,20,2,1,3,0,0,1,5,1,0,0,0,0,2,3,52,0,0,0,0,0,103,1,0,0,0,1,9,0,2,3,1,1
cs.NI,4,1,0,0,0,1,30,6,7,2,20,0,0,4,0,0,0,0,6,3,2,72,27,0,0,2,0,0,2,372,2,0,1,0,3,0,1,7,6,1
cs.OH,5,3,0,1,1,0,3,4,9,2,2,1,0,0,1,1,0,1,0,4,0,6,3,1,0,0,0,0,1,3,4,0,0,0,4,0,0,5,1,2
