,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,313,0,4,2,0,87,9,55,31,5,12,3,0,11,0,2,0,0,11,13,6,9,204,39,6,0,0,0,11,4,0,0,0,3,33,0,5,16,12,2
cs.AR,0,55,0,0,0,0,1,5,0,0,16,0,0,1,1,0,0,0,0,3,0,7,12,1,0,0,0,0,1,7,0,0,0,0,1,0,0,4,0,0
cs.CC,4,0,21,0,1,0,1,0,0,0,3,0,8,20,0,5,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
cs.CE,6,1,0,48,0,2,3,13,1,0,8,0,0,4,1,0,0,2,1,1,0,9,51,0,0,0,0,0,2,0,0,0,0,1,3,0,0,6,1,4
cs.CG,2,0,2,1,27,0,0,9,0,2,1,0,10,11,0,0,0,3,0,1,0,2,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
cs.CL,60,0,0,1,0,1692,14,75,12,5,2,1,0,2,0,0,0,0,0,19,29,2,140,4,0,0,0,0,1,0,0,0,0,2,2,0,28,14,20,0
cs.CR,7,5,0,0,0,16,662,35,12,6,15,0,1,2,0,1,0,0,5,7,2,17,56,3,0,0,0,0,0,25,0,0,0,0,3,0,4,24,6,2
cs.CV,22,1,0,0,1,91,19,3319,6,3,6,0,1,3,0,0,0,6,0,14,8,6,301,2,0,2,0,0,2,4,0,0,0,0,53,0,16,5,2,1
cs.CY,43,0,0,0,0,32,27,15,176,2,4,7,0,1,1,0,0,0,2,27,5,3,29,2,1,0,0,0,0,7,0,0,0,0,7,0,0,21,29,2
cs.DB,23,0,0,1,1,12,13,9,5,97,27,0,0,8,0,0,0,0,1,6,7,1,22,2,0,1,0,0,0,1,0,0,0,3,2,0,0,6,2,0
cs.DC,11,8,0,4,0,0,20,12,4,16,246,0,0,10,0,0,0,0,2,2,1,9,43,8,0,0,0,0,3,31,0,0,0,3,6,0,1,14,3,3
cs.DL,2,0,0,1,0,10,1,4,15,6,0,75,0,1,0,0,0,0,0,2,7,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,0
cs.DM,5,0,3,0,3,1,2,1,1,0,2,0,26,22,0,4,0,0,1,1,1,10,4,9,0,0,0,0,0,3,0,0,0,1,0,0,0,1,4,1
cs.DS,7,1,8,0,4,4,8,6,0,11,12,0,10,113,0,0,0,0,8,1,2,10,29,3,0,0,0,0,1,0,0,0,0,1,3,0,0,0,6,1
cs.ET,0,8,0,1,0,0,5,4,2,1,1,0,0,0,16,0,0,0,0,0,0,7,20,0,0,0,0,0,13,1,0,0,0,0,3,0,0,0,0,1
cs.FL,7,0,4,0,1,7,0,0,0,0,1,0,2,3,0,41,0,0,1,0,0,2,2,15,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,1
cs.GL,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cs.GR,1,1,0,4,3,0,0,44,1,0,1,0,0,1,0,0,0,5,0,5,0,2,5,0,0,0,0,0,1,1,0,0,0,0,5,0,0,2,0,0
cs.GT,19,0,2,0,0,1,4,0,2,0,2,0,0,2,0,0,0,0,176,1,3,5,13,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,3,1
cs.HC,32,0,0,0,0,33,12,40,38,1,4,1,0,0,0,0,0,1,0,241,7,1,23,0,0,1,0,0,1,5,0,0,0,0,19,0,4,21,7,1
cs.IR,19,0,0,0,0,78,2,25,13,8,0,4,0,2,0,0,0,0,1,5,205,1,56,1,0,1,0,0,0,3,0,0,0,1,1,0,6,4,9,0
cs.IT,4,1,4,5,1,1,16,16,1,3,9,1,4,5,1,1,0,0,1,0,1,903,59,8,0,1,0,0,0,80,0,0,0,1,7,0,1,1,4,4
cs.LG,106,9,1,7,0,114,54,308,20,8,21,1,1,10,0,1,0,0,16,13,13,30,2382,0,1,0,0,0,12,17,0,0,0,3,41,0,11,12,18,12
cs.LO,31,3,10,0,0,5,8,1,0,1,5,1,4,5,0,4,0,0,5,1,1,8,7,177,0,0,0,0,1,0,0,0,0,19,0,0,0,17,2,1
cs.MA,24,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,9,3,0,1,16,1,18,0,0,0,1,2,0,0,0,0,16,0,0,1,5,4
cs.MM,1,0,0,0,0,6,7,43,0,0,0,0,0,0,0,0,0,1,0,7,1,2,1,0,1,3,0,0,0,5,0,0,0,0,1,0,3,0,2,0
cs.MS,0,0,0,2,0,1,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0
cs.NA,0,0,0,8,1,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,5,13,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2
cs.NE,16,2,0,1,0,7,2,27,0,0,3,0,0,5,2,1,0,0,0,2,0,5,67,0,0,0,0,0,85,0,0,0,0,1,7,0,2,2,1,3
cs.NI,4,1,1,0,0,1,39,3,6,0,24,0,0,2,0,0,0,0,4,3,1,74,34,0,0,1,0,0,1,363,0,0,0,0,4,0,2,5,6,3
cs.OH,7,1,0,1,0,3,4,3,7,1,5,1,0,0,1,0,0,1,0,4,0,8,3,1,0,0,0,0,0,4,0,0,0,0,2,0,0,8,1,2
cs.OS,0,2,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
cs.PF,1,6,0,0,0,0,0,1,0,0,18,0,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7,0,0,0,1,0,0,0,3,0,3
cs.PL,7,3,1,0,0,7,3,2,1,8,10,0,0,1,0,0,0,0,0,1,0,5,8,23,0,0,0,0,0,3,0,0,0,81,1,0,1,16,1,1
cs.RO,14,1,0,1,1,3,1,96,2,0,0,0,1,5,0,0,0,1,0,17,0,2,44,3,2,0,0,0,2,5,0,0,0,0,862,0,0,14,0,10
cs.SC,1,0,6,0,1,0,1,0,0,0,1,0,1,5,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2
cs.SD,0,1,0,0,0,29,1,17,0,0,0,0,0,0,0,0,0,0,0,1,0,3,11,0,0,0,0,0,0,0,0,0,0,0,1,0,186,1,0,0
cs.SE,24,0,0,0,0,28,22,11,11,6,20,1,0,1,0,0,0,0,0,15,3,3,26,12,0,0,0,0,2,6,0,0,0,3,4,0,0,382,1,2
cs.SI,12,0,0,0,0,27,6,11,20,0,1,1,1,5,0,0,0,0,5,10,9,2,54,1,0,0,0,0,0,9,0,0,0,0,0,0,0,3,209,0
cs.SY,4,1,1,2,1,2,4,3,1,0,3,0,0,2,0,1,0,0,4,0,0,7,16,5,5,0,0,0,0,6,0,0,0,1,15,0,1,0,0,68
