,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,321,0,2,5,1,78,6,36,27,18,5,4,1,13,1,1,0,0,17,22,11,8,211,27,10,0,0,0,13,2,1,0,0,8,29,0,2,20,7,1
cs.AR,0,65,0,0,0,0,2,1,0,0,13,0,0,0,3,0,0,0,0,0,0,3,10,1,0,0,0,0,3,5,2,0,0,0,1,0,0,5,0,1
cs.CC,0,0,32,0,2,0,1,0,0,0,2,0,7,15,0,7,0,0,1,0,0,5,0,11,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
cs.CE,3,1,0,58,1,2,1,8,3,0,6,0,0,2,1,0,0,1,1,3,0,2,45,0,1,0,2,3,3,1,1,0,0,1,6,1,0,3,4,4
cs.CG,3,0,2,0,33,0,1,9,0,2,1,0,10,8,0,0,0,3,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
cs.CL,47,0,0,0,0,1682,9,95,13,9,0,2,1,1,0,2,0,0,0,20,36,2,129,5,2,1,0,0,1,0,0,0,0,1,1,0,30,18,17,1
cs.CR,9,5,1,0,1,14,631,34,19,5,18,1,2,5,2,1,0,0,4,9,2,19,65,5,2,4,0,0,0,21,0,0,0,2,1,0,1,22,4,7
cs.CV,17,3,0,3,3,115,29,3247,4,3,6,0,1,3,0,0,0,7,0,12,11,11,318,0,0,5,1,1,6,1,3,0,0,0,71,0,11,2,0,0
cs.CY,26,0,0,2,0,28,24,11,197,2,5,7,0,0,0,0,0,0,2,44,5,1,20,0,2,0,1,0,1,10,4,0,0,1,2,0,1,21,25,1
cs.DB,19,1,0,0,1,16,9,4,4,107,23,1,0,9,0,0,0,0,0,2,5,0,27,7,0,0,0,0,0,2,0,0,0,4,0,0,0,8,1,0
cs.DC,4,8,0,2,1,0,21,4,8,14,253,0,0,11,0,0,0,0,2,2,1,7,41,8,1,0,3,1,3,20,0,1,2,6,5,0,1,25,4,1
cs.DL,1,0,0,1,0,8,1,3,8,9,1,86,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0
cs.DM,4,0,7,0,8,1,1,0,1,1,1,1,28,26,0,3,0,0,1,1,0,9,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
cs.DS,8,0,6,1,5,1,4,5,0,9,11,1,10,125,0,0,0,0,8,0,2,6,28,1,0,0,0,1,2,1,0,0,0,1,1,2,0,1,8,1
cs.ET,0,7,0,2,0,0,3,1,2,0,4,0,0,0,28,0,0,0,0,0,0,11,15,0,0,0,0,0,6,1,0,0,0,0,2,0,1,0,0,0
cs.FL,2,0,4,0,1,1,0,0,0,0,1,0,4,4,2,49,0,0,0,0,0,1,3,13,0,0,0,0,0,0,0,0,0,5,1,1,0,3,0,1
cs.GL,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,1,0,0,2,6,1,0,36,0,0,2,0,0,1,0,0,0,15,0,3,0,2,2,0,0,0,0,1,0,0,0,0,0,0,6,1,0,1,1,1
cs.GT,15,0,1,0,0,0,6,1,1,1,1,0,0,7,0,2,0,0,162,1,1,11,18,6,1,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1
cs.HC,28,0,0,1,0,30,9,29,51,2,2,3,0,0,0,0,0,3,2,247,7,1,15,0,0,1,0,0,0,2,1,0,0,2,21,0,8,19,8,1
cs.IR,11,0,0,0,0,84,3,10,13,11,0,10,0,3,0,0,0,0,1,4,214,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,14,0
cs.IT,3,0,3,4,1,2,12,11,1,1,9,3,5,4,1,0,0,1,4,0,0,950,40,3,1,2,0,1,2,67,0,0,0,0,5,1,0,0,3,4
cs.LG,60,19,4,8,2,88,55,242,12,4,18,0,1,10,1,0,0,1,11,14,14,31,2488,1,9,0,0,0,29,10,1,0,0,4,43,1,12,20,21,8
cs.LO,21,1,7,1,2,3,9,1,1,3,7,1,4,5,0,10,0,0,5,1,0,2,6,187,0,0,0,0,0,2,0,0,0,20,0,1,0,16,1,0
cs.MA,17,0,0,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,8,1,0,3,16,1,26,0,0,0,0,2,0,0,0,0,14,0,0,2,3,7
cs.MM,1,0,0,0,0,8,6,37,0,0,0,0,0,0,0,0,0,2,0,7,1,2,0,0,0,9,0,0,0,8,0,0,0,0,0,0,2,0,1,0
cs.MS,1,0,0,0,0,1,1,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,9,0,0,0,1,0,0,4,0,0,0,4,0,0
cs.NA,0,0,0,9,1,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,2,6,2,0,0,0,8,0,0,0,0,0,0,1,1,0,1,0,0
cs.NE,16,1,0,2,0,10,1,11,0,1,3,0,0,1,5,0,0,1,0,0,0,2,70,1,0,0,0,0,103,0,0,0,0,1,7,0,2,3,0,0
cs.NI,2,3,0,0,1,0,36,9,7,2,26,0,0,5,0,0,0,0,7,1,0,58,28,0,0,4,0,0,0,368,1,1,0,0,4,0,1,6,8,4
cs.OH,3,1,0,2,0,3,5,3,9,2,4,1,0,0,1,0,0,1,0,0,0,6,1,0,0,0,0,0,0,6,5,0,0,0,3,0,0,5,3,4
cs.OS,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,1
cs.PF,1,0,0,1,0,1,2,0,0,1,19,0,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,6,1,0,2,1,0,0,0,3,0,0
cs.PL,4,2,0,0,0,8,7,0,1,0,11,0,0,2,0,3,0,0,0,1,0,0,1,25,0,0,0,0,1,1,0,0,0,94,0,0,0,23,0,0
cs.RO,22,1,1,3,2,4,1,104,3,0,5,0,0,2,1,0,0,0,0,19,0,8,60,0,4,0,0,0,2,3,4,0,0,2,812,0,0,10,0,14
cs.SC,0,0,1,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,2,4,6,0,0,0,0,1,0,0,0,0,1,0,13,0,0,0,0
cs.SD,1,0,0,1,0,38,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,1,0,0,0,0,1,0,0,139,0,0,0
cs.SE,20,0,0,0,0,35,32,2,19,7,15,7,0,0,0,0,0,1,0,14,2,0,23,8,0,0,1,0,0,4,1,0,0,8,0,0,0,377,4,3
cs.SI,4,0,0,1,0,24,3,6,21,1,1,4,2,8,0,0,0,0,6,5,11,2,47,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,232,0
cs.SY,3,1,0,4,0,0,3,0,1,0,2,0,0,2,1,3,0,0,2,0,0,10,14,5,6,0,0,0,1,8,1,0,0,0,12,0,0,0,0,74
