Model,Accuracy,Balanced Accuracy,Matthews Correlation Coefficient
word2vec Alpha=0.03 Window=10 Negative=5,0.68035,0.45590605708254933,0.6462473004785109
all-MiniLM-L6-v2,0.67915,0.4490581830896872,0.6445722581386405
word2vec Alpha=0.04 Window=10 Negative=5,0.6761,0.4554134298230851,0.6415990681510618
word2vec Alpha=0.03 Window=10 Negative=10,0.676,0.4557085406046893,0.6414592528555848
word2vec Alpha=0.05 Window=10 Negative=5,0.6751,0.4610602622115857,0.64049747851002
word2vec Alpha=0.05 Window=5 Negative=5,0.67485,0.4563983308460169,0.6401135770418321
word2vec Alpha=0.04 Window=10 Negative=10,0.6748,0.45966729536772444,0.6401232829754067
word2vec Alpha=0.02 Window=10 Negative=5,0.6745,0.44988403151277045,0.6397328130824251
word2vec Alpha=0.02 Window=10 Negative=10,0.67385,0.4488770008932053,0.6389972873003917
word2vec Alpha=0.03 Window=5 Negative=10,0.67355,0.44524635811810276,0.6386431246302645
word2vec Alpha=0.04 Window=5 Negative=5,0.6735,0.44613750319687,0.6386334659807357
word2vec Alpha=0.05 Window=5 Negative=10,0.67245,0.4485940578449263,0.6374531296513359
word2vec Alpha=0.04 Window=5 Negative=10,0.6721,0.44916395718318947,0.6371616134980325
word2vec Alpha=0.05 Window=10 Negative=10,0.67175,0.45574506919303126,0.6366680076138065
word2vec Alpha=0.03 Window=5 Negative=5,0.67065,0.4377676574217543,0.6353342110864291
word2vec Alpha=0.025 Window=5 Negative=5 - Standard,0.67005,0.43758194559171637,0.6347384761933432
word2vec Alpha=0.02 Window=5 Negative=10,0.6673,0.4351893570337758,0.6316100136600098
word2vec Alpha=0.02 Window=5 Negative=5,0.6665,0.43455958455676563,0.6307594110753312
e5-small-v2,0.66385,0.3984689006078375,0.6270941117793709
word2vec Alpha=0.01 Window=10 Negative=5,0.6622,0.4232164020643978,0.6259183323696473
word2vec Alpha=0.01 Window=10 Negative=10,0.66195,0.42473790689179414,0.625636341534929
word2vec Alpha=0.01 Window=5 Negative=5,0.6537,0.41073450268249473,0.6163073741249605
word2vec Alpha=0.01 Window=5 Negative=10,0.65155,0.4112561398067777,0.6140549665924439
Naive Bayes,0.44005,0.08485592096383324,0.3708185258903459
