,Precision,Recall,F1,Support
astro-ph.CO,0.6212121212121212,0.18636363636363637,0.2867132867132867,220.0
astro-ph.EP,1.0,0.08387096774193549,0.15476190476190477,155.0
astro-ph.GA,0.6428571428571429,0.052941176470588235,0.09782608695652174,170.0
astro-ph.HE,0.813953488372093,0.30837004405286345,0.4472843450479233,227.0
astro-ph.IM,0.75,0.015957446808510637,0.03125,188.0
astro-ph.SR,0.5326633165829145,0.7571428571428571,0.6253687315634219,280.0
cond-mat.dis-nn,0.0,0.0,0.0,100.0
cond-mat.mes-hall,0.4309677419354839,0.6162361623616236,0.507213363705391,542.0
cond-mat.mtrl-sci,0.5,0.4740566037735849,0.48668280871670705,424.0
cond-mat.other,0.0,0.0,0.0,68.0
cond-mat.quant-gas,0.0,0.0,0.0,143.0
cond-mat.soft,0.9411764705882353,0.06751054852320675,0.12598425196850394,237.0
cond-mat.stat-mech,0.0,0.0,0.0,293.0
cond-mat.str-el,0.88,0.07586206896551724,0.13968253968253969,290.0
cond-mat.supr-con,0.0,0.0,0.0,171.0
cs.AI,0.0,0.0,0.0,300.0
cs.AR,0.0,0.0,0.0,38.0
cs.CC,0.0,0.0,0.0,39.0
cs.CE,0.0,0.0,0.0,51.0
cs.CG,0.0,0.0,0.0,24.0
cs.CL,0.7442528735632183,0.34718498659517427,0.473491773308958,746.0
cs.CR,0.0,0.0,0.0,275.0
cs.CV,0.2388560157790927,0.9719101123595506,0.38347055098163396,1246.0
cs.CY,0.0,0.0,0.0,141.0
cs.DB,0.0,0.0,0.0,73.0
cs.DC,0.0,0.0,0.0,163.0
cs.DL,0.0,0.0,0.0,52.0
cs.DM,0.0,0.0,0.0,37.0
cs.DS,0.0,0.0,0.0,65.0
cs.ET,0.0,0.0,0.0,35.0
cs.FL,0.0,0.0,0.0,26.0
cs.GL,0.0,0.0,0.0,5.0
cs.GR,0.0,0.0,0.0,36.0
cs.GT,0.0,0.0,0.0,71.0
cs.HC,0.0,0.0,0.0,147.0
cs.IR,0.0,0.0,0.0,136.0
cs.IT,0.7696078431372549,0.3584474885844749,0.48909657320872274,438.0
cs.LG,0.13396481732070364,0.7333333333333333,0.22654462242562928,1080.0
cs.LO,0.0,0.0,0.0,120.0
cs.MA,0.0,0.0,0.0,32.0
cs.MM,0.0,0.0,0.0,38.0
cs.MS,0.0,0.0,0.0,10.0
cs.NA,0.0,0.0,0.0,11.0
cs.NE,0.0,0.0,0.0,76.0
cs.NI,0.0,0.0,0.0,192.0
cs.OH,0.0,0.0,0.0,27.0
cs.OS,0.0,0.0,0.0,6.0
cs.PF,0.0,0.0,0.0,18.0
cs.PL,0.0,0.0,0.0,48.0
cs.RO,1.0,0.011904761904761904,0.023529411764705882,336.0
cs.SC,0.0,0.0,0.0,11.0
cs.SD,0.0,0.0,0.0,92.0
cs.SE,0.0,0.0,0.0,177.0
cs.SI,0.0,0.0,0.0,129.0
cs.SY,0.0,0.0,0.0,60.0
econ.EM,0.0,0.0,0.0,39.0
econ.GN,0.0,0.0,0.0,39.0
econ.TH,0.0,0.0,0.0,16.0
eess.AS,0.0,0.0,0.0,78.0
eess.IV,0.0,0.0,0.0,209.0
eess.SP,0.0,0.0,0.0,197.0
eess.SY,0.0,0.0,0.0,201.0
gr-qc,0.6118546845124283,0.6896551724137931,0.6484295845997974,464.0
hep-ex,0.0,0.0,0.0,77.0
hep-lat,0.0,0.0,0.0,78.0
hep-ph,0.6106870229007634,0.6122448979591837,0.6114649681528662,392.0
hep-th,0.6376811594202898,0.3626373626373626,0.46234676007005254,364.0
math-ph,0.0,0.0,0.0,211.0
math.AC,0.0,0.0,0.0,56.0
math.AG,0.6741573033707865,0.4669260700389105,0.5517241379310345,257.0
math.AP,0.6846153846153846,0.3272058823529412,0.4427860696517413,272.0
math.AT,0.0,0.0,0.0,70.0
math.CA,0.0,0.0,0.0,93.0
math.CO,0.8461538461538461,0.09523809523809523,0.17120622568093385,231.0
math.CT,0.0,0.0,0.0,38.0
math.CV,0.0,0.0,0.0,63.0
math.DG,0.8571428571428571,0.22702702702702704,0.358974358974359,185.0
math.DS,1.0,0.004739336492890996,0.009433962264150943,211.0
math.FA,0.0,0.0,0.0,109.0
math.GM,0.0,0.0,0.0,25.0
math.GN,0.0,0.0,0.0,16.0
math.GR,0.0,0.0,0.0,79.0
