,Precision,Recall,F1,Support
astro-ph.CO,0.5700934579439252,0.5545454545454546,0.5622119815668203,220.0
astro-ph.EP,0.7549668874172185,0.7354838709677419,0.7450980392156863,155.0
astro-ph.GA,0.5723684210526315,0.5117647058823529,0.5403726708074534,170.0
astro-ph.HE,0.6666666666666666,0.6343612334801763,0.6501128668171557,227.0
astro-ph.IM,0.525,0.5585106382978723,0.5412371134020618,188.0
astro-ph.SR,0.6970684039087948,0.7642857142857142,0.7291311754684838,280.0
cond-mat.dis-nn,0.5217391304347826,0.24,0.3287671232876712,100.0
cond-mat.mes-hall,0.5307557117750439,0.5571955719557196,0.5436543654365437,542.0
cond-mat.mtrl-sci,0.5170940170940171,0.5707547169811321,0.5426008968609866,424.0
cond-mat.other,0.5,0.014705882352941176,0.02857142857142857,68.0
cond-mat.quant-gas,0.5590062111801242,0.6293706293706294,0.5921052631578947,143.0
cond-mat.soft,0.5529411764705883,0.5949367088607594,0.573170731707317,237.0
cond-mat.stat-mech,0.34441087613293053,0.3890784982935154,0.36538461538461536,293.0
cond-mat.str-el,0.48518518518518516,0.4517241379310345,0.46785714285714286,290.0
cond-mat.supr-con,0.6684782608695652,0.7192982456140351,0.6929577464788732,171.0
cs.AI,0.32954545454545453,0.19333333333333333,0.24369747899159663,300.0
cs.AR,0.42857142857142855,0.3157894736842105,0.36363636363636365,38.0
cs.CC,0.45,0.23076923076923078,0.3050847457627119,39.0
cs.CE,0.0,0.0,0.0,51.0
cs.CG,0.25,0.041666666666666664,0.07142857142857142,24.0
cs.CL,0.6566820276497696,0.7640750670241286,0.7063197026022305,746.0
cs.CR,0.6090225563909775,0.5890909090909091,0.5988909426987061,275.0
cs.CV,0.6707399864222675,0.7929373996789727,0.7267377712394263,1246.0
cs.CY,0.348993288590604,0.36879432624113473,0.3586206896551724,141.0
cs.DB,0.3333333333333333,0.2602739726027397,0.2923076923076923,73.0
cs.DC,0.48148148148148145,0.4785276073619632,0.48,163.0
cs.DL,0.675,0.5192307692307693,0.5869565217391305,52.0
cs.DM,0.25,0.02702702702702703,0.04878048780487805,37.0
cs.DS,0.3411764705882353,0.4461538461538462,0.38666666666666666,65.0
cs.ET,0.7,0.2,0.3111111111111111,35.0
cs.FL,0.8333333333333334,0.19230769230769232,0.3125,26.0
cs.GL,0.0,0.0,0.0,5.0
cs.GR,0.42857142857142855,0.16666666666666666,0.24,36.0
cs.GT,0.46987951807228917,0.5492957746478874,0.5064935064935064,71.0
cs.HC,0.52,0.5306122448979592,0.5252525252525253,147.0
cs.IR,0.48623853211009177,0.3897058823529412,0.4326530612244898,136.0
cs.IT,0.6386946386946387,0.6255707762557078,0.6320645905420992,438.0
cs.LG,0.4454482279360667,0.5935185185185186,0.5089321159190154,1080.0
cs.LO,0.47794117647058826,0.5416666666666666,0.5078125,120.0
cs.MA,0.5,0.0625,0.1111111111111111,32.0
cs.MM,0.5,0.05263157894736842,0.09523809523809523,38.0
cs.MS,0.0,0.0,0.0,10.0
cs.NA,0.0,0.0,0.0,11.0
cs.NE,0.3958333333333333,0.25,0.3064516129032258,76.0
cs.NI,0.46320346320346323,0.5572916666666666,0.5059101654846335,192.0
cs.OH,0.0,0.0,0.0,27.0
cs.OS,0.0,0.0,0.0,6.0
