,Precision,Recall,F1,Support
astro-ph.CO,0.5230125523012552,0.5681818181818182,0.5446623093681917,220.0
astro-ph.EP,0.7272727272727273,0.7225806451612903,0.7249190938511327,155.0
astro-ph.GA,0.6153846153846154,0.47058823529411764,0.5333333333333333,170.0
astro-ph.HE,0.6717948717948717,0.5770925110132159,0.6208530805687204,227.0
astro-ph.IM,0.5459459459459459,0.5372340425531915,0.5415549597855228,188.0
astro-ph.SR,0.6432748538011696,0.7857142857142857,0.707395498392283,280.0
cond-mat.dis-nn,0.4,0.18,0.2482758620689655,100.0
cond-mat.mes-hall,0.5457875457875457,0.5498154981549815,0.5477941176470589,542.0
cond-mat.mtrl-sci,0.5192697768762677,0.6037735849056604,0.5583424209378408,424.0
cond-mat.other,0.16666666666666666,0.014705882352941176,0.02702702702702703,68.0
cond-mat.quant-gas,0.5761589403973509,0.6083916083916084,0.5918367346938775,143.0
cond-mat.soft,0.54,0.569620253164557,0.5544147843942505,237.0
cond-mat.stat-mech,0.3841642228739003,0.447098976109215,0.41324921135646686,293.0
cond-mat.str-el,0.5366795366795367,0.4793103448275862,0.5063752276867031,290.0
cond-mat.supr-con,0.6477987421383647,0.6023391812865497,0.6242424242424243,171.0
cs.AI,0.3684210526315789,0.30333333333333334,0.3327239488117002,300.0
cs.AR,0.4186046511627907,0.47368421052631576,0.4444444444444444,38.0
cs.CC,0.43333333333333335,0.3333333333333333,0.37681159420289856,39.0
cs.CE,0.05555555555555555,0.0196078431372549,0.028985507246376812,51.0
cs.CG,0.3076923076923077,0.16666666666666666,0.21621621621621623,24.0
cs.CL,0.7130102040816326,0.7493297587131368,0.730718954248366,746.0
cs.CR,0.6796875,0.6327272727272727,0.655367231638418,275.0
cs.CV,0.7092857142857143,0.7969502407704655,0.7505668934240363,1246.0
cs.CY,0.3333333333333333,0.36879432624113473,0.3501683501683502,141.0
cs.DB,0.47619047619047616,0.410958904109589,0.4411764705882353,73.0
cs.DC,0.5666666666666667,0.5214723926380368,0.5431309904153354,163.0
cs.DL,0.5098039215686274,0.5,0.5048543689320388,52.0
cs.DM,0.0,0.0,0.0,37.0
cs.DS,0.34615384615384615,0.4153846153846154,0.3776223776223776,65.0
cs.ET,0.4444444444444444,0.22857142857142856,0.3018867924528302,35.0
cs.FL,0.7142857142857143,0.38461538461538464,0.5,26.0
cs.GL,0.0,0.0,0.0,5.0
cs.GR,0.39285714285714285,0.3055555555555556,0.34375,36.0
cs.GT,0.5697674418604651,0.6901408450704225,0.6242038216560509,71.0
cs.HC,0.49382716049382713,0.54421768707483,0.517799352750809,147.0
cs.IR,0.4690265486725664,0.3897058823529412,0.42570281124497994,136.0
cs.IT,0.6875,0.6529680365296804,0.6697892271662763,438.0
cs.LG,0.5014513788098693,0.6398148148148148,0.5622457282343368,1080.0
cs.LO,0.46835443037974683,0.6166666666666667,0.5323741007194245,120.0
cs.MA,0.15384615384615385,0.0625,0.08888888888888889,32.0
cs.MM,0.5,0.10526315789473684,0.17391304347826086,38.0
cs.MS,0.5,0.1,0.16666666666666666,10.0
cs.NA,0.3333333333333333,0.09090909090909091,0.14285714285714285,11.0
cs.NE,0.35384615384615387,0.3026315789473684,0.3262411347517731,76.0
cs.NI,0.5137614678899083,0.5833333333333334,0.5463414634146342,192.0
cs.OH,0.0,0.0,0.0,27.0
cs.OS,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
cs.PF,0.0,0.0,0.0,18.0
cs.PL,0.4473684210526316,0.3541666666666667,0.3953488372093023,48.0
cs.RO,0.6484149855907781,0.6696428571428571,0.6588579795021962,336.0
cs.SC,0.0,0.0,0.0,11.0
cs.SD,0.3924050632911392,0.33695652173913043,0.36257309941520466,92.0
cs.SE,0.5396825396825397,0.576271186440678,0.5573770491803278,177.0
cs.SI,0.4642857142857143,0.40310077519379844,0.4315352697095436,129.0
cs.SY,0.29411764705882354,0.08333333333333333,0.12987012987012986,60.0
econ.EM,0.20833333333333334,0.1282051282051282,0.15873015873015872,39.0
econ.GN,0.2631578947368421,0.2564102564102564,0.2597402597402597,39.0
econ.TH,0.17647058823529413,0.1875,0.18181818181818182,16.0
eess.AS,0.48484848484848486,0.41025641025641024,0.4444444444444444,78.0
eess.IV,0.55,0.3684210526315789,0.44126074498567336,209.0
eess.SP,0.3352941176470588,0.2893401015228426,0.3106267029972752,197.0
eess.SY,0.4433497536945813,0.44776119402985076,0.44554455445544555,201.0
gr-qc,0.6520833333333333,0.6745689655172413,0.663135593220339,464.0
hep-ex,0.5671641791044776,0.4935064935064935,0.5277777777777778,77.0
hep-lat,0.5340909090909091,0.6025641025641025,0.5662650602409639,78.0
hep-ph,0.6253101736972705,0.6428571428571429,0.6339622641509434,392.0
hep-th,0.5272277227722773,0.5851648351648352,0.5546875,364.0
math-ph,0.2191780821917808,0.15165876777251186,0.1792717086834734,211.0
math.AC,0.5434782608695652,0.44642857142857145,0.49019607843137253,56.0
math.AG,0.5714285714285714,0.6381322957198443,0.6029411764705882,257.0
math.AP,0.5227963525835866,0.6323529411764706,0.5723793677204659,272.0
math.AT,0.40540540540540543,0.21428571428571427,0.2803738317757009,70.0
math.CA,0.3924050632911392,0.3333333333333333,0.36046511627906974,93.0
math.CO,0.5288461538461539,0.7142857142857143,0.6077348066298343,231.0
math.CT,0.47619047619047616,0.5263157894736842,0.5,38.0
math.CV,0.36363636363636365,0.25396825396825395,0.29906542056074764,63.0
math.DG,0.5708154506437768,0.7189189189189189,0.6363636363636364,185.0
math.DS,0.4810810810810811,0.4218009478672986,0.4494949494949495,211.0
math.FA,0.5,0.44954128440366975,0.47342995169082125,109.0
math.GM,0.0,0.0,0.0,25.0
math.GN,0.3333333333333333,0.25,0.2857142857142857,16.0
math.GR,0.5747126436781609,0.6329113924050633,0.6024096385542169,79.0
math.GT,0.6460176991150443,0.5572519083969466,0.5983606557377049,131.0
math.HO,0.21212121212121213,0.25925925925925924,0.23333333333333334,27.0
math.KT,0.75,0.15,0.25,20.0
math.LO,0.35714285714285715,0.4098360655737705,0.3816793893129771,61.0
math.MG,0.3157894736842105,0.24,0.2727272727272727,50.0
math.NA,0.5377358490566038,0.6309963099630996,0.5806451612903226,271.0
math.NT,0.5495049504950495,0.5904255319148937,0.5692307692307692,188.0
math.OA,0.5185185185185185,0.34146341463414637,0.4117647058823529,41.0
math.OC,0.4547738693467337,0.5323529411764706,0.4905149051490515,340.0
math.PR,0.50187265917603,0.5677966101694916,0.532803180914513,236.0
math.QA,0.22807017543859648,0.26,0.24299065420560748,50.0
math.RA,0.4025974025974026,0.37349397590361444,0.3875,83.0
math.RT,0.44680851063829785,0.42,0.4329896907216495,100.0
math.SG,0.5263157894736842,0.2777777777777778,0.36363636363636365,36.0
math.SP,0.47619047619047616,0.3225806451612903,0.38461538461538464,31.0
math.ST,0.4224137931034483,0.392,0.4066390041493776,125.0
nlin.AO,0.3157894736842105,0.24,0.2727272727272727,25.0
nlin.CD,0.3902439024390244,0.3137254901960784,0.34782608695652173,51.0
nlin.CG,0.5,0.2857142857142857,0.36363636363636365,7.0
nlin.PS,0.3888888888888889,0.45161290322580644,0.417910447761194,31.0
nlin.SI,0.6206896551724138,0.375,0.4675324675324675,48.0
nucl-ex,0.3,0.2222222222222222,0.2553191489361702,27.0
nucl-th,0.5833333333333334,0.5833333333333334,0.5833333333333334,132.0
physics.acc-ph,0.6491228070175439,0.6271186440677966,0.6379310344827587,59.0
physics.ao-ph,0.5405405405405406,0.43478260869565216,0.4819277108433735,46.0
physics.app-ph,0.24528301886792453,0.13,0.16993464052287582,100.0
physics.atm-clus,0.5,0.1,0.16666666666666666,10.0
physics.atom-ph,0.3972602739726027,0.4027777777777778,0.4,72.0
physics.bio-ph,0.19642857142857142,0.21153846153846154,0.2037037037037037,52.0
physics.chem-ph,0.4772727272727273,0.4158415841584158,0.4444444444444444,101.0
physics.class-ph,0.3,0.23076923076923078,0.2608695652173913,52.0
physics.comp-ph,0.21951219512195122,0.12,0.15517241379310345,75.0
physics.data-an,0.1111111111111111,0.07407407407407407,0.08888888888888889,27.0
physics.ed-ph,0.46875,0.4838709677419355,0.47619047619047616,31.0
physics.flu-dyn,0.5429864253393665,0.631578947368421,0.583941605839416,190.0
physics.gen-ph,0.19230769230769232,0.12987012987012986,0.15503875968992248,77.0
physics.geo-ph,0.3448275862068966,0.2564102564102564,0.29411764705882354,39.0
physics.hist-ph,0.5,0.4594594594594595,0.4788732394366197,37.0
physics.ins-det,0.6146788990825688,0.5317460317460317,0.5702127659574469,126.0
physics.med-ph,0.359375,0.46938775510204084,0.40707964601769914,49.0
physics.optics,0.5910290237467019,0.6345609065155807,0.6120218579234973,353.0
physics.plasm-ph,0.5420560747663551,0.5178571428571429,0.5296803652968036,112.0
physics.pop-ph,0.0,0.0,0.0,16.0
physics.soc-ph,0.3515151515151515,0.3945578231292517,0.3717948717948718,147.0
physics.space-ph,0.14285714285714285,0.05263157894736842,0.07692307692307693,19.0
q-bio.BM,0.2916666666666667,0.20588235294117646,0.2413793103448276,34.0
q-bio.CB,0.0,0.0,0.0,8.0
q-bio.GN,0.6666666666666666,0.4166666666666667,0.5128205128205128,24.0
q-bio.MN,0.375,0.4090909090909091,0.391304347826087,22.0
q-bio.NC,0.5131578947368421,0.5652173913043478,0.5379310344827586,69.0
q-bio.OT,0.0,0.0,0.0,9.0
q-bio.PE,0.5454545454545454,0.525,0.535031847133758,80.0
q-bio.QM,0.2978723404255319,0.2153846153846154,0.25,65.0
q-bio.SC,0.3333333333333333,0.06666666666666667,0.1111111111111111,15.0
q-bio.TO,0.5454545454545454,0.3333333333333333,0.41379310344827586,18.0
q-fin.CP,0.23529411764705882,0.23529411764705882,0.23529411764705882,17.0
q-fin.EC,0.0,0.0,0.0,1.0
q-fin.GN,0.07142857142857142,0.09090909090909091,0.08,11.0
q-fin.MF,0.08333333333333333,0.0625,0.07142857142857142,16.0
q-fin.PM,0.6666666666666666,0.5263157894736842,0.5882352941176471,19.0
q-fin.PR,0.25,0.1111111111111111,0.15384615384615385,18.0
q-fin.RM,0.45454545454545453,0.29411764705882354,0.35714285714285715,17.0
q-fin.ST,0.5555555555555556,0.4,0.46511627906976744,25.0
q-fin.TR,0.5,0.26666666666666666,0.34782608695652173,15.0
quant-ph,0.6607700312174818,0.7435597189695551,0.699724517906336,854.0
stat.AP,0.2988505747126437,0.23214285714285715,0.2613065326633166,112.0
stat.CO,0.2571428571428571,0.23076923076923078,0.24324324324324326,39.0
stat.ME,0.47530864197530864,0.6234817813765182,0.5394045534150613,247.0
stat.ML,0.2647058823529412,0.10344827586206896,0.1487603305785124,174.0
