Term,Frequency
we,8777
proc,6543
design,6417
mem,5950
comput,5394
use,5159
perform,5146
hardwar,4512
system,4487
base,4438
net,4280
acceler,4263
propos,4050
architectur,3968
data,3945
effici,3927
model,3883
can,3517
gate,3262
array,3249
high,3180
applic,3177
our,3148
programm,2986
field,2980
time,2967
energi,2957
unit,2942
power,2902
implement,2783
neural,2757
which,2612
paper,2503
optim,2477
from,2400
graph,2383
result,2213
have,2150
learn,2138
algo,2098
level,2030
oper,2027
chip,2012
improv,1990
compar,1930
achiev,1914
show,1896
circuit,1839
reduc,1792
present,1762
requir,1757
larg,1754
low,1750
work,1734
has,1722
approach,1712
state,1700
generat,1598
cach,1575
provid,1561
devic,1557
techniqu,1536
access,1522
evalu,1500
simul,1491
1,1487
howev,1466
dram,1461
core,1431
while,1429
latenc,1420
execut,1397
bit,1395
differ,1390
machin,1381
method,1373
enabl,1368
2,1351
accuraci,1345
also,1344
signific,1344
increas,1317
devel,1310
demonstr,1288
s,1283
up,1282
framework,1279
cost,1270
multipl,1252
new,1243
parallel,1229
challeng,1229
more,1219
error,1219
area,1211
convolut,1205
softwar,1174
train,1173
technolog,1172
resourc,1171
than,1153
multi,1149
been,1142
it,1131
integr,1130
two,1119
effect,1118
scale,1094
art,1089
specif,1088
support,1087
complex,1076
logic,1075
number,1059
both,1058
deep,1054
infer,1052
between,1044
limit,1039
secur,1014
code,1011
onli,998
novel,983
first,981
analysi,981
func,979
address,977
consumpt,977
exist,971
one,968
solut,966
when,955
layer,954
languag,953
explor,942
due,942
overhead,937
introduc,936
fault,933
quantum,932
central,930
attack,926
dynam,924
control,924
throughput,919
over,918
real,918
util,911
program,901
map,890
stor,888
test,869
set,866
platform,860
studi,858
synt,856
e,851
3,850
instruct,843
workload,836
end,836
recent,834
size,815
precis,815
intellig,811
communic,808
space,803
tool,801
mani,796
addit,795
research,790
each,787
problem,785
dnn,779
key,771
all,770
various,762
block,755
approxim,751
predict,747
need,746
exploit,745
includ,726
task,723
bandwidt,723
non,723
sourc,721
most,721
featur,719
through,717
input,717
open,716
make,704
order,703
experiment,701
digit,701
embed,701
averag,698
allow,696
benchmark,692
artifici,690
singl,687
point,687
4,681
