Term,Frequency
we,6305
problem,3852
complex,2636
comput,2350
algo,2150
quantum,1837
graph,1749
show,1611
result,1510
can,1498
which,1449
time,1437
polynomi,1421
bound,1342
our,1320
set,1315
use,1245
model,1175
hard,1101
from,1068
studi,1026
number,978
func,967
class,904
np,897
optim,892
prove,856
two,842
complet,837
also,827
one,811
system,802
general,794
base,791
net,786
paper,752
have,748
state,740
has,730
all,672
classic,660
case,650
tree,642
approxim,641
s,640
effici,624
circuit,621
work,619
proof,617
linear,613
learn,612
new,610
size,601
game,578
between,563
given,559
provid,556
known,554
where,545
first,538
lower,533
theori,529
some,526
solv,525
over,515
when,512
ani,511
structur,510
exist,505
it,498
method,492
approach,479
relat,479
introduc,477
present,475
k,474
consid,470
find,466
onli,461
1,461
solut,460
machin,458
under,457
non,449
random,448
propos,445
each,444
construct,442
program,439
space,438
input,428
mani,422
order,422
been,419
finit,417
differ,413
well,410
constraint,409
give,408
paramet,407
more,405
other,402
proc,401
recent,397
properti,395
reduct,391
natur,387
applic,386
queri,386
local,378
2,374
even,372
both,371
obtain,368
data,364
instanc,362
decis,362
p,359
than,359
valu,351
question,349
algebra,349
inform,349
restrict,348
exponenti,346
most,346
constant,344
requir,335
boolean,334
measur,333
allow,331
defin,329
logic,327
fix,326
sever,326
theoret,324
perform,321
framework,321
particular,320
how,318
distribut,318
languag,317
call,317
whether,314
g,310
test,309
simul,308
sampl,304
group,302
connect,301
way,299
i,298
rank,298
power,296
larg,295
match,294
analysi,293
parameter,291
addit,290
degre,290
equival,288
extend,286
while,286
improv,285
task,285
theorem,284
tensor,284
high,282
edg,282
open,282
generat,281
multipl,280
possibl,280
character,279
e,278
n,277
oper,274
direct,274
vertex,274
determin,273
establish,271
includ,271
satisfi,270
techniqu,270
point,269
devel,268
count,266
automata,265
decid,264
howev,264
weight,264
formula,263
dynam,261
type,260
code,254
neural,253
condit,252
matrix,250
variabl,249
conjectur,248
cost,248
term,248
independ,245
path,245
version,244
factor,244
protocol,243
variant,241
reduc,240
low,240
turi,238
previous,238
form,237
determinist,236
exact,234
depth,234
real,231
notion,231
tractabl,231
demonstr,230
small,229
interest,227
mem,226
design,226
so,225
object,225
certain,224
3,224
search,224
make,223
achiev,222
rule,222
simpl,221
limit,221
main,219
final,217
separ,217
famili,215
may,215
minim,215
contain,212
specif,212
free,212
respect,211
express,210
communic,210
agent,210
three,209
same,209
depend,209
appli,208
strong,207
investig,207
represent,207
import,206
singl,205
combinatori,205
posit,205
field,205
dimens,205
minimum,204
via,203
upper,200
correspond,200
dimension,199
research,199
hamiltonian,198
transform,198
sequenc,197
similar,197
vertic,196
evalu,196
second,195
various,192
nois,192
up,191
binari,190
implement,190
product,190
statist,189
integ,189
estim,187
color,185
error,185
maximum,185
exampl,185
sum,184
answer,183
classif,183
cut,182
compar,182
d,181
everi,181
al,181
pspace,181
cover,180
physic,179
et,179
extens,178
practic,178
univers,177
probabl,175
further,174
hierarchi,172
fundament,172
output,171
distanc,171
knowledg,170
about,169
focus,168
sat,168
effect,168
standard,167
doe,165
through,165
signific,163
like,163
analyz,162
t,162
whose,162
concept,162
equal,161
discuss,159
length,159
close,159
solvabl,159
reason,158
multi,158
select,158
subset,157
maxim,157
impli,157
regular,157
do,156
remain,156
width,156
arbitrari,155
combin,155
follow,154
step,153
parallel,153
repres,152
formal,152
without,151
partial,151
gap,150
describ,150
deriv,150
player,149
resourc,148
strategi,147
here,146
qubit,146
them,144
observ,144
zero,144
special,144
interact,144
within,143
consist,142
computab,141
level,140
novel,140
understand,140
verifi,140
cannot,139
thus,139
need,138
label,138
run,137
matric,136
challeng,136
symmetr,136
context,136
explor,136
increas,135
veri,135
advantag,135
lead,135
node,135
common,134
least,134
block,134
best,133
initi,133
train,133
moreov,132
out,132
o,132
shown,131
oracl,131
control,131
assumpt,130
equat,130
infinit,130
scale,130
scheme,130
formul,129
us,129
access,129
key,129
chang,129
predict,128
identifi,128
probabilist,126
monoton,126
encod,125
map,125
convex,125
vector,124
wide,124
guarante,123
uniform,123
furthermor,123
name,122
gate,122
assign,121
mathemat,121
those,121
altern,121
logarithm,120
tool,120
intellig,120
domain,120
promis,119
energi,119
pair,119
scienc,116
mean,116
either,116
world,116
averag,116
cluster,116
uniqu,115
negat,115
precis,114
enumer,114
w,114
origin,113
experi,113
discret,113
hold,112
correct,112
suffici,112
layer,112
bipartit,112
robust,112
string,111
total,111
goal,111
near,111
tempor,111
asymptot,110
numer,110
recur,110
potenti,110
fpt,110
csp,110
transit,110
due,109
squar,109
tight,109
better,109
onlin,109
tile,109
be,108
sinc,108
take,107
attent,107
decomposit,107
contrast,106
contribut,106
bit,106
definit,105
partit,105
cycl,105
reachabl,105
satisfact,104
global,104
detect,104
word,104
cliqu,104
continu,104
captur,104
expect,103
among,103
list,103
schedul,103
stochast,103
csps,103
view,103
fact,102
ask,102
toward,102
adversari,102
entangl,101
admit,101
m,100
log,100
turn,100
adapt,100
associ,99
deep,99
isomorph,98
4,98
motiv,98
scenario,98
quadrat,98
mechan,98
coeffici,98
long,98
synt,98
differenti,98
behavior,97
subgraph,97
interv,97
element,97
central,96
unitari,96
quantifi,96
util,96
topolog,96
c,95
artifici,95
qma,94
f,94
descript,93
compress,93
yield,93
involv,93
were,93
move,93
literatur,93
rang,93
puzzl,93
expand,92
necessari,92
decod,92
what,92
assum,91
infer,91
rate,91
pattern,91
secur,91
produc,90
spars,90
relationship,90
undecid,90
still,90
channel,90
devic,89
popular,88
full,88
principl,88
almost,88
becom,88
fair,88
plan,88
resolut,88
iter,87
exhibit,87
beyond,87
support,87
compon,87
self,87
intract,87
consequ,86
perspect,86
therefor,86
perfect,86
explicit,85
commut,85
entropi,85
dichotomi,85
geometr,84
aim,84
line,84
threshold,84
side,84
anoth,84
hypergraph,84
reli,84
note,83
art,83
ground,82
few,82
interpret,82
sens,82
candid,82
arithmet,81
activ,81
articl,81
area,81
invari,81
basic,81
vote,81
often,81
survey,81
architectur,81
integr,81
target,81
feasibl,80
hand,80
inequ,80
build,80
check,80
address,80
hypothesi,79
prefer,79
good,79
part,79
ration,79
super,79
lattic,79
correl,78
current,78
branch,78
idea,77
play,77
h,77
must,77
unit,77
worst,77
chain,77
found,76
phase,76
featur,76
planar,76
year,76
verif,76
short,75
fulli,75
higher,75
stabl,75
implic,74
suggest,74
embed,74
alloc,74
recogn,73
variat,73
action,73
signal,73
q,73
ratio,72
much,72
along,72
essenti,72
accuraci,71
share,71
simultan,71
solver,71
claus,71
metric,71
gadget,71
success,70
valid,70
x,70
experiment,70
abl,70
alway,70
individu,70
sub,70
social,70
benchmark,70
trivial,70
after,69
concern,69
less,69
grid,69
four,69
against,69
varieti,69
inspir,69
weak,69
sourc,69
synchr,69
dataset,69
unifi,68
relax,68
conjunct,68
capabl,68
delay,68
max,68
privaci,68
analog,67
project,67
argument,67
constrain,67
flow,67
seri,67
could,66
round,66
plant,66
accord,66
easi,66
elect,66
plane,66
b,66
appear,66
mix,66
domin,66
latter,65
closur,65
sensit,65
internet,64
role,64
hidden,64
collect,64
lemma,64
empir,64
kernel,64
0,64
relev,63
offer,63
revers,63
public,63
insight,63
attack,63
assembl,63
proper,62
reveal,62
yet,62
amount,62
grow,62
realiz,62
compil,62
explain,62
grain,62
team,62
prover,62
fast,61
kind,61
l,61
resolv,61
intersect,61
stabil,61
contract,61
basi,61
quasi,61
balanc,60
permut,60
ident,60
box,60
r,60
strict,60
submodular,60
advic,60
locat,60
trade,60
updat,60
fine,60
surpris,59
choic,59
place,59
futur,59
evid,59
semi,59
fragment,59
influenc,59
semant,59
would,59
homomorph,59
gaussian,59
far,59
analogu,59
accept,58
alreadi,58
employ,58
normal,58
prior,58
characterist,58
noisi,58
aspect,58
explan,58
pure,58
avail,58
converg,58
array,58
claim,57
nondeterminist,57
kolmogorov,57
get,57
enabl,57
critic,57
equilibrium,57
sequenti,56
distinguish,56
abov,56
issu,56
refin,56
receiv,56
shortest,56
delet,56
configur,56
speedup,56
capac,56
runtim,55
believ,55
min,55
major,55
desir,55
comparison,55
period,55
sort,55
avoid,55
neighbor,55
v,55
score,55
multivari,55
vs,54
communiti,54
illustr,54
bias,54
exploit,54
smaller,54
simplifi,54
typic,54
instead,54
ad,54
emerg,54
symmetri,54
unbound,54
outcom,53
refer,53
proven,53
complement,53
should,53
although,53
walk,53
last,53
advanc,53
span,53
item,53
heurist,52
unless,52
difficult,52
attribut,52
indic,52
regard,52
end,52
refut,52
regim,52
subject,52
index,52
technic,52
black,52
proposit,52
off,52
specifi,52
examin,51
distinct,51
stor,51
start,51
induc,51
despit,51
win,51
cross,51
stoc,50
becaus,50
characteris,50
faster,50
divers,50
imposs,50
perman,50
help,50
abstract,50
expans,50
crucial,50
encrypt,50
calcul,49
usual,49
smooth,49
canon,49
voter,49
henc,49
transfer,49
pcp,49
hardwar,49
messag,48
reach,48
collaps,48
leverag,48
analyt,48
remov,48
speed,48
abil,48
modular,48
cryptograph,48
markov,48
invers,47
arbitrarili,47
inde,47
human,47
competit,47
intermedi,47
rewrit,47
termin,47
boundari,47
decad,47
provabl,47
feedback,47
outperform,47
across,47
trace,47
calculus,47
fail,46
pseudorandom,46
consider,46
cnf,46
translat,46
pariti,46
suitabl,46
preserv,46
larger,46
cellular,46
travel,46
reliabl,46
platform,46
polici,46
certif,45
aris,45
read,45
generalis,45
counterpart,45
disjoint,45
just,45
geometri,45
next,44
spectral,44
true,44
bayesian,44
look,44
densiti,44
togeth,44
presenc,44
lie,44
execut,44
impact,44
hit,44
enough,43
primit,43
done,43
affin,43
cardin,43
simpler,43
symbol,43
demand,43
systemat,43
foundat,43
lift,43
tradit,43
fraction,43
orient,43
progress,43
poli,42
causal,42
detail,42
automaton,42
landscap,42
difficulti,42
border,42
rigor,42
highlight,42
ii,42
semidefinit,42
unknown,42
root,42
robot,42
convolut,42
regress,42
pac,42
inapproxim,41
boson,41
seem,41
law,41
combinator,41
datalog,41
parti,41
who,41
