Term,Frequency
we,8743
algo,3702
graph,3027
use,2879
point,2817
problem,2804
comput,2662
our,2345
can,2319
method,2251
which,2134
set,2076
from,1939
data,1830
result,1668
show,1642
base,1601
model,1547
time,1528
paper,1486
two,1482
space,1474
topolog,1450
distanc,1347
complex,1332
number,1307
geometr,1273
structur,1258
approach,1246
present,1219
propos,1218
surfac,1206
optim,1205
shape,1199
persist,1119
one,1109
between,1105
also,1065
have,1053
polygon,1043
edg,1033
general,1021
mesh,1014
studi,1014
has,1005
given,995
new,988
provid,974
net,951
effici,945
func,944
it,922
n,901
planar,895
analysi,892
3d,885
curv,883
convex,882
construct,876
bound,868
approxim,867
draw,865
each,855
applic,854
all,849
object,846
dimension,838
proc,834
tree,831
plane,827
geometri,797
s,796
map,783
represent,782
ani,778
case,753
generat,751
simpl,750
introduc,704
differ,703
line,689
prove,679
exist,674
1,673
find,671
non,665
linear,661
featur,661
first,649
local,648
triangul,644
system,643
path,642
work,636
connect,635
consid,634
both,633
where,633
more,631
diagram,630
imag,626
homolog,624
well,617
order,614
been,612
other,611
properti,607
learn,600
when,598
vertic,594
metric,594
framework,588
onli,576
segment,574
implement,573
embed,572
field,572
k,569
some,568
perform,563
solut,555
techniqu,554
relat,549
most,542
high,542
design,532
than,529
demonstr,524
devel,524
discret,524
2,523
solv,518
measur,517
under,514
manifold,513
defin,511
direct,511
give,510
known,508
compar,506
polynomi,503
obtain,503
dimens,501
p,499
sever,497
allow,496
while,493
improv,485
e,485
how,483
mani,482
larg,478
3,477
class,471
requir,470
g,468
boundari,467
input,464
cross,463
repres,461
over,459
call,458
region,455
sampl,451
minim,450
real,449
intersect,446
describ,444
novel,442
inform,438
match,436
cloud,435
size,431
appli,431
particular,423
visual,423
area,423
theori,421
three,420
cluster,419
domain,419
vertex,416
tool,415
posit,411
includ,411
paramet,410
hard,407
cover,405
recent,404
correspond,402
minimum,401
complet,399
possibl,396
type,395
howev,394
oper,390
form,387
robot,387
continu,387
i,386
np,385
close,385
dataset,384
state,382
previous,381
exampl,380
transform,378
robust,378
o,375
same,374
addit,371
effect,370
weight,369
detect,366
achiev,363
practic,362
estim,360
finit,357
numer,355
distribut,355
open,352
euclidean,352
pair,350
import,350
contain,349
constraint,348
parallel,343
experi,343
determin,338
voronoi,337
reconstruct,336
unit,334
vector,333
scale,333
qualiti,330
natur,328
grid,328
triangl,327
invari,326
even,325
challeng,322
condit,321
face,321
dynam,321
exact,320
evalu,319
extend,318
similar,317
multi,316
them,315
everi,315
final,315
without,314
algebra,314
so,312
via,308
tile,308
specif,307
test,307
combin,304
sequenc,303
simul,300
task,300
through,299
theoret,295
art,294
character,291
free,290
various,290
respect,286
make,284
configur,283
2d,281
extens,281
way,281
self,280
level,280
smooth,278
node,277
experiment,277
combinatori,276
classif,276
term,276
main,275
motion,275
random,274
length,274
partit,274
signific,274
search,273
consist,272
d,272
orient,272
cell,270
may,269
limit,269
spatial,269
coordin,268
valu,268
reduc,266
rang,265
small,265
interest,265
further,262
element,259
degre,258
global,257
deriv,257
step,257
label,257
up,256
common,256
pattern,256
program,256
color,256
singl,255
project,255
produc,254
arbitrari,253
within,253
b,253
factor,251
neural,251
rigid,251
assembl,250
famili,249
regular,247
c,247
need,247
deform,246
preserv,245
support,245
simplici,245
part,245
adapt,244
theorem,242
scheme,241
fix,241
queri,241
lower,239
machin,239
investig,238
proof,238
classic,238
multipl,238
squar,237
hull,237
layout,237
maximum,235
identifi,234
circl,233
fast,232
densiti,232
fold,231
constant,231
visibl,231
angl,230
formul,230
build,230
extract,230
decomposit,229
whether,227
interact,227
cycl,227
establish,226
group,226
depend,224
veri,224
delaunay,222
integr,222
polytop,221
question,221
focus,221
locat,221
disk,221
chang,220
mathemat,220
research,220
guarante,219
second,217
orthogon,217
control,216
low,216
higher,215
neighbor,215
lead,214
along,214
t,214
move,213
explor,213
curvatur,213
whose,213
restrict,212
standard,212
geodes,212
power,211
analyz,211
guard,211
volum,209
enabl,207
uniform,206
often,205
least,205
dual,205
plan,205
cost,204
separ,204
thus,204
increas,204
do,204
4,203
due,203
modul,203
wide,202
discuss,201
mean,201
address,199
shortest,199
captur,199
version,198
avail,198
about,198
origin,197
like,197
here,196
strategi,195
differenti,195
straight,195
code,194
mem,194
center,194
follow,193
run,192
near,192
parameter,192
certain,190
compon,190
pack,189
take,189
x,189
maxim,188
associ,188
conform,187
fundament,187
target,186
m,185
0,184
statist,184
variant,183
stabil,183
calcul,183
reduct,182
best,182
notion,181
instanc,181
rectangl,180
us,179
normal,178
rotat,176
comparison,176
special,174
iter,174
deep,174
cut,173
current,173
concept,172
partial,172
univers,172
trajectori,172
creat,171
doe,171
equat,170
converg,170
better,170
sphere,169
involv,169
encod,168
polyhedron,168
synt,168
view,167
initi,167
accuraci,166
varieti,166
error,165
matrix,165
side,165
overlap,165
r,165
critic,164
collect,164
physic,164
util,164
correct,164
user,164
filtrat,164
precis,163
four,163
parametr,163
world,163
al,162
select,162
equival,162
softwar,162
goal,161
valid,161
link,161
yield,160
ratio,159
rout,159
moreov,158
turn,158
independ,158
train,157
convolut,157
those,157
reli,155
polyhedra,155
et,154
few,154
shown,154
subset,154
log,153
compact,153
descriptor,153
arrang,153
layer,152
total,152
observ,152
key,151
nois,151
mors,151
out,150
unfold,149
filter,149
output,149
merg,149
track,149
flow,149
reeb,149
depth,148
uniqu,148
potenti,148
detail,147
remain,147
engin,146
energi,146
sum,146
digit,146
implicit,146
symmetri,145
explicit,145
idea,145
either,144
satisfi,144
singular,144
interv,144
heurist,144
sourc,144
express,143
integ,142
furthermor,142
end,142
variat,142
motiv,142
admit,142
interpol,141
