Term,Frequency
model,12840
we,12138
imag,10789
method,7239
our,6186
learn,5372
dataset,5301
generat,5246
from,5092
train,5003
propos,4946
data,4870
base,4830
perform,4516
use,4445
featur,4062
net,3930
task,3790
object,3439
approach,3414
which,3326
segment,3246
detect,3238
3d,3043
video,2912
demonstr,2827
result,2807
can,2735
challeng,2732
effect,2710
enhanc,2693
achiev,2629
improv,2600
high,2507
visual,2492
introduc,2387
signific,2340
multi,2335
inform,2307
novel,2284
diffus,2245
larg,2214
state,2211
have,2176
howev,2157
exist,2111
framework,2037
vision,2023
effici,2010
proc,2000
evalu,1972
neural,1971
represent,1957
art,1938
transfer,1924
comput,1913
languag,1896
specif,1882
experi,1880
while,1874
differ,1872
text,1857
paper,1851
classif,1850
address,1804
transform,1801
adapt,1794
domain,1783
qualiti,1780
both,1771
time,1751
real,1720
modal,1702
limit,1684
predict,1672
has,1665
scene,1642
semant,1621
accuraci,1606
deep,1598
design,1570
across,1540
show,1537
human,1534
between,1520
two,1514
more,1510
avail,1504
applic,1480
estim,1480
attent,1478
work,1474
benchmark,1474
robust,1452
compar,1448
scale,1436
code,1427
reconstruct,1426
addit,1422
general,1418
protocol,1409
s,1404
extens,1394
sampl,1393
synt,1388
point,1369
supervis,1364
view,1356
new,1353
label,1349
integr,1339
local,1339
map,1336
it,1332
through,1323
level,1323
github,1313
consist,1313
motion,1307
present,1306
optim,1293
various,1291
recent,1288
hypertext,1286
provid,1274
studi,1272
pre,1266
modul,1265
also,1263
set,1260
leverag,1258
pose,1250
fine,1228
first,1212
convolut,1207
medic,1191
techniqu,1175
complex,1171
distribut,1158
advanc,1144
requir,1140
condit,1139
prompt,1133
due,1125
devel,1118
divers,1114
includ,1108
field,1105
accur,1105
util,1102
research,1099
system,1091
multipl,1085
space,1085
architectur,1083
input,1082
enabl,1080
onli,1072
outperform,1062
world,1051
com,1045
class,1043
knowledg,1043
tempor,1040
spatial,1040
recognit,1030
captur,1020
problem,1010
extract,1004
capabl,1004
encod,1002
align,998
structur,994
analysi,974
strategi,971
dynam,971
camera,965
often,964
one,958
over,952
low,949
self,945
resolut,937
prior,936
focus,932
potenti,929
cross,922
understand,920
tune,919
face,913
algo,901
shot,901
depth,898
issu,895
reduc,886
each,886
singl,884
without,881
sourc,873
mask,873
fusion,866
loss,865
1,864
further,864
been,863
employ,863
target,861
layer,853
scenario,844
annot,839
guid,827
when,826
multimod,826
test,825
comprehens,817
within,817
end,817
e,810
region,805
global,804
intellig,797
paramet,795
other,791
gaussian,787
control,778
direct,777
2,774
current,773
interact,769
previous,763
augment,759
make,757
experiment,753
detail,743
under,741
contrast,741
abil,735
adversari,733
combin,730
metric,729
cloud,729
aim,728
0,726
frame,726
superior,726
explor,721
most,720
dure,713
embed,712
via,710
relat,710
precis,709
incorpor,708
open,707
all,699
infer,685
long,683
well,682
awar,682
artifici,670
three,670
track,670
latent,669
foundat,669
natur,667
public,666
increas,666
score,665
particular,664
appli,657
term,654
cost,652
stage,651
identifi,650
lead,644
like,643
select,640
assess,638
similar,636
rang,636
where,634
than,631
instanc,627
graph,626
nois,621
solut,614
context,610
key,607
valid,603
render,596
mechan,594
ground,590
furthermor,589
offer,588
action,587
better,586
token,586
sever,585
environ,581
shape,580
crucial,577
need,571
percept,569
distil,568
func,565
tradit,561
pixel,559
2d,556
reli,555
weight,542
concept,537
remain,529
content,529
step,527
find,526
conduct,525
promis,523
edit,523
event,522
few,520
allow,519
mem,518
import,516
interpret,516
lack,515
drive,514
match,514
non,512
correspond,505
robot,504
compress,499
practic,498
free,495
decod,495
clip,492
3,489
wide,488
ensur,488
sequenc,487
zero,487
continu,484
refer,483
observ,483
anomali,483
gap,481
repres,479
obtain,478
autonom,477
refin,476
critic,472
compon,471
facilit,468
g,468
light,467
chang,466
them,466
machin,464
baselin,464
oper,463
final,463
pair,463
grain,462
moreov,461
project,460
facial,458
preserv,458
type,456
depend,454
produc,451
activ,450
attribut,449
diseas,447
pipelin,447
measur,447
maintain,445
posit,445
area,444
progress,442
style,442
clinic,441
mani,433
bias,433
denois,431
attack,427
number,426
hand,426
downstream,415
creat,415
reason,415
i,413
success,411
common,410
simpl,410
initi,409
unifi,409
geometr,408
brain,406
even,405
small,405
variat,402
up,401
error,401
construct,400
name,399
simul,397
categori,397
frequenc,396
size,396
respect,395
automat,394
toward,394
uncertainti,394
origin,394
second,393
user,393
collect,392
standard,391
rgb,386
driven,386
sensor,386
ani,386
reliabl,386
output,384
spars,383
futur,382
build,382
highlight,381
queri,381
textur,378
despit,377
express,376
lidar,375
5,375
investig,374
typic,374
patch,374
given,373
degrad,372
contribut,372
mitig,371
joint,370
how,370
pretrain,368
person,366
thus,362
signal,361
out,361
surfac,358
resourc,356
block,355
involv,355
sam,355
physic,354
yet,354
individu,354
handl,353
therebi,353
detector,352
scan,352
shift,349
call,349
guidanc,348
color,347
dens,347
associ,346
realist,346
support,345
splat,345
unsupervis,344
retriev,344
strong,343
background,343
especi,342
relationship,341
power,340
vari,340
tackl,339
edg,338
trajectori,338
fulli,337
correl,337
insight,336
emerg,335
diagnosi,334
4,333
io,332
mamba,332
rate,331
implement,331
exhibit,331
contain,330
ct,330
geometri,330
autom,330
vit,330
question,330
distanc,329
branch,328
sens,327
still,327
flow,326
may,325
subject,325
caption,324
struggl,323
appear,322
minim,321
separ,320
fidel,320
same,319
normal,319
head,318
inher,318
restor,317
pseudo,316
vehicl,316
consid,316
cancer,314
impact,314
gradient,313
discrimin,312
mri,312
analyz,312
pattern,311
quantit,311
locat,310
averag,310
essenti,309
substanti,308
best,306
extend,305
box,302
part,301
regular,301
deploy,301
remot,298
way,298
realiti,297
against,296
descript,295
indic,295
surpass,295
textual,294
mean,293
adopt,293
establish,292
shown,292
dual,292
case,292
main,291
characterist,289
higher,289
reveal,289
manual,288
vector,288
follow,288
phase,288
notabl,287
nerf,287
inspir,286
channel,285
caus,284
distinct,283
paradigm,282
made,281
constraint,281
tumor,281
linear,279
lightweight,278
group,278
remark,278
overcom,277
among,276
bodi,276
remov,276
fuse,275
expert,274
complet,274
ood,274
connect,273
teacher,273
behavior,272
competit,272
backbon,272
relev,271
exploit,270
innov,270
perspect,269
vlms,269
aggreg,268
technolog,268
patient,267
properti,266
simultan,266
secur,266
balanc,266
generaliz,266
speed,264
flexibl,264
wise,263
convent,263
student,263
implicit,263
interest,263
identif,263
report,263
becom,261
manipul,261
cluster,261
unseen,261
tool,260
assist,260
explicit,259
invers,259
play,257
advantag,256
uniqu,256
10,256
therefor,255
sota,254
truth,252
hierarch,252
four,252
less,251
were,251
deriv,249
mesh,249
share,248
stream,247
filter,247
order,246
audio,243
hybrid,243
solv,243
iter,240
decis,239
instruct,239
boundari,238
although,238
composit,237
releas,237
exampl,234
dimension,234
quantiz,234
rich,233
some,233
benefit,233
