Term,Frequency
data,16219
we,12813
queri,8940
use,5699
model,5576
graph,4616
proc,4453
our,4232
base,4227
databa,4175
can,4018
system,4000
from,3739
propos,3554
languag,3486
which,3459
learn,3323
algo,3279
perform,3234
approach,3145
structur,2957
time,2898
paper,2860
dataset,2836
result,2831
effici,2802
larg,2550
applic,2534
method,2453
problem,2335
optim,2285
show,2255
have,2229
relat,2222
set,2186
provid,2178
comput,2172
evalu,2161
user,2005
has,1936
knowledg,1921
present,1900
exist,1891
real,1883
stor,1851
generat,1843
over,1840
high,1827
differ,1805
techniqu,1773
framework,1741
task,1729
inform,1718
design,1705
studi,1684
analysi,1613
new,1606
also,1581
two,1559
devel,1554
pattern,1552
machin,1550
howev,1540
more,1523
research,1507
work,1505
net,1496
index,1493
challeng,1447
complex,1442
mine,1431
search,1424
effect,1418
state,1414
distribut,1406
improv,1404
semant,1380
oper,1372
manag,1364
requir,1354
one,1332
support,1322
it,1317
been,1292
e,1269
while,1263
both,1262
order,1260
privaci,1234
experi,1224
between,1221
implement,1218
introduc,1216
demonstr,1199
mem,1196
compar,1183
mani,1180
first,1163
novel,1161
integr,1159
solut,1151
sourc,1119
util,1118
execut,1112
cost,1111
answer,1110
scale,1109
train,1107
achiev,1105
world,1103
all,1100
extens,1088
s,1077
each,1075
signific,1071
qualiti,1065
than,1053
make,1052
case,1052
specif,1041
analyt,1040
how,1028
art,1027
well,1026
object,1026
join,1025
domain,1014
valu,998
when,979
find,978
benchmark,974
most,965
stream,959
other,957
onli,954
need,944
allow,943
match,942
entiti,942
number,936
similar,932
engin,931
enabl,931
up,928
tree,917
event,914
under,912
tabl,907
includ,899
accuraci,899
multipl,897
recent,893
reduc,889
func,888
space,882
address,878
general,872
featur,870
experiment,863
workload,862
various,861
type,861
through,853
increas,848
schema,848
synt,844
level,843
multi,842
key,839
explor,838
rule,836
access,835
sever,834
detect,832
where,828
identifi,827
practic,825
import,822
i,822
estim,816
limit,813
properti,811
call,809
cluster,804
program,800
approxim,788
represent,783
natur,781
select,779
open,777
given,768
predict,765
tool,751
extract,751
consist,750
g,744
scalabl,735
transact,725
often,720
avail,713
addit,708
combin,701
transform,701
dynam,691
them,687
end,685
focus,683
some,682
big,682
k,680
constraint,673
repres,670
term,669
spatial,669
collect,665
consid,659
updat,656
depend,654
defin,651
express,651
sampl,648
may,642
context,641
appli,638
without,635
due,632
1,632
intellig,624
size,621
seri,621
interact,619
ontolog,617
current,612
build,612
wide,607
attribut,607
log,607
analyz,606
visual,606
contain,603
measur,601
share,601
web,600
outperform,596
standard,595
servic,593
extend,587
strategi,586
further,586
across,586
rang,585
2,583
resourc,582
aggreg,582
architectur,582
label,582
three,581
way,576
aim,576
embed,576
mechan,573
node,571
question,570
issu,569
text,567
chang,567
adapt,567
rdf,566
error,563
class,560
construct,560
tradit,559
common,559
describ,559
non,559
ani,557
direct,556
same,552
local,544
unit,543
plan,543
interfac,542
partit,541
within,540
discoveri,538
particular,537
potenti,537
edg,537
record,537
differenti,532
like,532
tempor,531
cloud,529
view,529
test,527
reason,527
input,527
singl,521
complet,519
better,518
possibl,517
understand,517
communiti,515
leverag,514
retriev,513
thus,510
point,509
bound,508
discuss,507
becom,506
guarante,501
automat,499
about,498
interest,496
deep,493
protocol,492
main,491
classif,488
code,488
map,487
technolog,486
final,485
valid,485
human,484
decis,483
platform,476
even,475
lead,471
enhanc,470
neural,470
low,468
link,466
exampl,466
parallel,465
concept,463
document,458
name,457
version,457
logic,454
do,454
associ,446
sequenc,446
preserv,445
blockchain,444
artifici,440
scienc,439
path,438
creat,437
advanc,437
formal,435
public,435
accur,435
control,433
secur,432
offer,432
insight,432
proven,430
format,430
compress,428
pipelin,427
investig,424
comprehens,421
capabl,421
statist,420
observ,420
group,419
infer,418
locat,418
produc,418
instanc,418
previous,417
top,417
captur,416
via,415
product,411
scenario,410
tune,410
step,410
conduct,408
busi,407
handl,405
dimension,405
discov,404
best,401
linear,400
futur,400
field,399
divers,399
form,398
metric,398
obtain,398
filter,397
veri,395
fast,394
paramet,392
popular,390
compon,390
second,389
latenc,389
modern,388
sparql,388
driven,387
power,386
help,386
activ,385
so,384
run,383
heterogen,383
tupl,383
among,382
internet,381
continu,380
autom,379
environ,379
exploit,376
metadata,375
privat,375
vector,374
sensit,373
transfer,373
trajectori,370
pre,370
theoret,369
small,368
scheme,367
toward,367
industri,366
minim,364
take,363
relationship,362
neighbor,359
simpl,359
amount,356
contribut,355
solv,355
social,354
involv,352
individu,352
3,352
employ,350
recommend,349
known,348
survey,348
dure,346
core,346
central,345
imag,345
moreov,344
frequent,343
organ,343
awar,343
faster,342
thing,341
onlin,340
emerg,339
relev,338
adopt,336
out,334
distanc,333
reli,333
therefor,332
correct,332
ensur,331
deploy,331
impact,330
overhead,326
sinc,326
target,325
magnitud,324
furthermor,324
hard,323
typic,323
fact,323
softwar,323
those,321
output,321
clean,320
report,319
project,318
empir,317
abl,317
area,315
respect,315
facilit,315
maintain,314
origin,313
rank,313
be,312
refer,310
robust,310
video,310
encod,308
subgraph,307
numer,306
hash,304
critic,304
goal,304
nearest,302
speed,302
precis,301
deriv,301
varieti,301
part,300
count,300
lake,300
remain,299
effort,297
flexibl,297
connect,297
fair,297
follow,295
respons,294
column,294
determin,292
independ,290
condit,290
throughput,290
cardin,289
baselin,289
server,289
still,288
fundament,288
assess,286
altern,285
lack,285
workflow,285
free,284
concurr,284
much,283
few,280
probabilist,279
repair,279
against,278
year,277
block,276
random,275
characterist,275
yet,273
write,272
benefit,269
doe,268
load,268
pair,267
becaus,267
behavior,267
exact,266
collabor,266
prove,265
phase,265
literatur,265
four,263
long,263
increment,262
factor,261
posit,261
devic,261
gap,260
interpret,259
detail,257
principl,257
content,257
