Term,Frequency
we,5289
algo,4095
problem,2752
graph,2120
our,1719
time,1474
use,1418
which,1323
optim,1299
can,1199
set,1148
data,1098
show,1072
result,1022
comput,999
model,931
from,922
approxim,902
net,899
base,846
effici,841
bound,834
learn,801
number,778
studi,754
two,742
provid,715
tree,709
method,705
structur,704
one,686
general,684
perform,682
propos,679
paper,654
work,644
have,627
quantum,624
has,617
where,601
also,593
edg,591
improv,582
approach,580
complex,569
when,557
applic,556
distribut,556
proc,547
case,546
match,536
onlin,535
first,533
solut,525
analysi,525
k,522
func,522
new,520
all,518
s,517
under,513
random,509
it,502
present,502
each,496
linear,493
find,489
design,469
order,466
more,460
between,460
given,458
consid,448
1,446
state,443
polynomi,435
both,432
onli,431
cost,428
than,421
search,416
while,415
introduc,415
predict,415
sampl,410
known,408
exist,405
cluster,401
size,396
framework,394
larg,390
privaci,389
differ,385
solv,379
over,378
guarante,377
e,377
well,374
high,373
node,373
implement,371
queri,370
most,369
mani,364
class,364
been,362
achiev,362
dynam,361
ani,357
weight,343
other,341
minim,338
theoret,337
space,336
techniqu,336
system,335
real,329
non,325
competit,321
estim,321
practic,319
requir,319
compar,318
connect,318
constraint,317
differenti,317
mem,317
path,313
obtain,313
hard,313
object,312
give,309
instanc,308
classic,307
howev,303
recent,301
devel,299
some,298
valu,295
2,294
lower,294
machin,294
g,293
how,293
n,285
demonstr,285
direct,284
maxim,284
prove,280
input,279
oper,278
signific,277
allow,277
distanc,277
fair,276
addit,275
paramet,275
ratio,273
local,271
i,268
program,268
includ,267
up,266
singl,265
novel,264
properti,264
agent,264
robust,263
vertex,263
error,262
even,261
inform,261
sever,258
select,256
simpl,254
construct,253
parallel,252
relat,251
dataset,248
previous,246
specif,244
partit,243
world,243
multipl,242
point,241
effect,240
best,238
particular,237
reduc,237
adapt,235
group,235
evalu,235
make,234
run,230
experi,224
schedul,224
item,223
possibl,222
privat,222
task,221
art,221
sequenc,220
al,219
call,216
util,216
stream,216
test,215
exact,215
minimum,214
et,214
variant,214
vertic,212
factor,212
natur,210
generat,209
challeng,208
appli,207
constant,206
independ,206
interest,206
probabl,206
import,203
small,203
depend,198
scale,197
limit,197
various,196
extens,196
maximum,195
complet,195
mechan,195
extend,194
string,194
unit,194
measur,193
subgraph,192
via,190
compress,190
o,188
np,187
decis,186
reduct,186
alloc,186
may,185
research,185
fundament,184
scheme,183
further,183
increas,182
same,182
common,182
matrix,181
respect,180
final,180
near,180
represent,179
similar,179
focus,178
without,178
count,177
stochast,176
rank,175
hash,174
dimension,172
low,171
three,171
resourc,169
repres,168
step,167
simul,167
better,167
multi,167
rang,164
fast,163
adversari,163
goal,163
level,162
through,162
strong,161
binari,161
term,160
experiment,159
code,158
degre,157
list,157
fix,157
polici,157
version,157
within,157
consist,156
way,155
wide,155
spars,155
detect,154
exampl,154
main,154
explor,153
decomposit,153
cut,152
question,151
address,150
empir,149
follow,149
condit,148
pattern,148
contain,148
stor,148
3,147
assign,147
type,147
open,146
total,146
faster,146
need,146
key,146
cover,146
theori,146
identifi,145
metric,145
expect,144
price,143
flow,142
