Term,Frequency
we,7640
comput,6330
quantum,5727
use,4428
net,3836
base,3499
mem,3283
system,3176
circuit,3003
can,2997
model,2986
propos,2604
perform,2371
design,2360
devic,2240
which,2210
proc,2132
algo,2093
optim,1999
problem,1984
our,1971
implement,1889
neural,1875
from,1871
learn,1837
effici,1805
time,1771
data,1717
applic,1704
result,1698
simul,1690
paper,1579
approach,1572
have,1534
energi,1513
high,1485
communic,1470
hardwar,1465
show,1456
present,1432
gate,1424
has,1402
demonstr,1397
state,1357
machin,1340
method,1332
oper,1312
power,1304
technolog,1266
architectur,1243
work,1204
inform,1197
provid,1182
func,1137
devel,1120
two,1097
also,1073
generat,1073
it,1049
larg,1034
logic,1028
physic,1017
requir,1013
howev,1011
signal,1007
optic,1004
been,1002
train,999
new,988
studi,987
challeng,959
differ,955
solut,951
neuromorph,951
integr,949
s,948
intellig,939
number,938
compar,933
low,933
one,930
qubit,918
effect,912
potenti,911
scale,907
limit,906
non,898
photon,891
achiev,887
control,870
error,865
more,864
complex,863
artifici,861
between,860
dynam,850
improv,844
current,832
digit,830
enabl,824
classic,804
research,789
techniqu,781
framework,778
neuron,771
solv,759
both,744
through,740
novel,738
accuraci,731
task,729
signific,725
analog,719
multipl,709
channel,709
input,709
increas,698
introduc,694
level,692
while,690
set,681
molecular,678
program,669
well,664
promis,657
first,655
term,654
structur,653
experiment,649
multi,645
analysi,644
evalu,640
bit,639
recent,638
than,637
field,634
capabl,628
spike,628
includ,618
how,618
over,612
all,602
reduc,601
onli,596
due,595
when,594
random,591
emerg,591
scheme,588
specif,587
exist,583
distribut,583
realiz,562
where,560
stor,559
array,558
other,556
singl,556
phase,554
real,554
cost,552
futur,545
deep,543
nois,538
make,535
classif,533
need,533
linear,531
up,530
consid,529
rate,529
electron,528
practic,527
revers,526
paramet,525
order,522
various,521
user,520
allow,518
explor,518
here,514
addit,514
case,513
reservoir,513
graph,511
1,509
chip,508
approxim,507
connect,500
layer,499
direct,498
address,495
each,494
cell,494
receiv,494
general,491
size,490
resist,487
environ,486
weight,486
detect,485
discuss,484
synt,482
