Term,Frequency
we,5112
automata,2118
model,1939
languag,1914
system,1795
use,1467
problem,1430
can,1318
state,1226
time,1207
which,1204
show,1111
finit,1106
algo,1091
from,1048
our,1021
base,910
result,901
proc,834
comput,797
regular,772
set,770
logic,766
two,754
one,752
properti,742
paper,730
learn,715
net,705
specif,704
word,701
approach,699
formal,693
studi,689
complex,665
synt,651
decid,605
have,601
automaton,588
propos,587
also,575
order,570
generat,568
present,566
determinist,565
over,560
provid,559
general,555
class,553
express,550
given,527
tree,526
control,514
program,510
bound,507
func,502
defin,499
prove,493
all,492
new,486
case,482
it,476
first,473
method,471
check,460
has,458
graph,458
verif,454
linear,451
relat,450
introduc,449
s,448
free,446
equival,445
number,445
gramm,440
data,439
machin,437
work,432
theori,427
game,421
structur,411
implement,410
construct,409
oper,408
non,406
exist,405
tempor,405
consid,401
between,397
framework,396
more,395
some,390
complet,390
under,385
applic,380
differ,377
semant,363
context,362
algebra,358
devel,357
tool,354
where,352
allow,352
well,352
string,350
infinit,350
way,350
requir,346
sequenc,343
input,338
each,335
techniqu,332
been,330
transit,330
when,329
onli,324
reachabl,320
analysi,318
test,316
weight,315
both,315
known,312
call,312
e,311
type,309
optim,309
task,308
constraint,307
transduc,307
proof,305
mem,304
notion,299
observ,293
effici,290
minim,288
other,287
object,277
howev,276
whether,273
ani,272
satisfi,270
extend,269
decis,265
event,265
while,264
behavior,263
than,262
valu,262
ltl,262
k,261
addit,260
strategi,260
safeti,257
symbol,255
natur,254
how,254
abstract,253
exampl,252
space,252
condit,250
transform,249
particular,249
formula,249
perform,247
i,246
design,246
inform,245
dynam,244
solv,243
polynomi,240
size,239
obtain,239
demonstr,235
term,234
mani,232
group,232
1,231
larg,231
sever,230
probabilist,230
automat,228
effect,227
execut,227
correct,226
theorem,225
character,225
appli,224
real,219
restrict,219
most,219
counter,219
extens,218
power,217
accept,214
determin,213
describ,212
respect,210
monitor,209
recent,208
solut,208
same,208
final,208
make,208
distribut,208
level,207
includ,206
possibl,206
environ,206
neural,206
give,205
verifi,205
synchr,204
revers,204
investig,204
step,202
form,202
may,201
undecid,200
them,200
trace,192
repres,192
2,191
label,189
combin,189
output,188
concurr,188
pushdown,187
local,187
about,186
classic,184
direct,183
depend,182
via,182
compar,182
measur,180
second,179
limit,178
evalu,178
nondeterminist,176
improv,175
run,175
communic,174
composit,174
agent,174
represent,173
posit,171
partial,171
reason,171
petri,170
main,169
simul,169
deriv,169
rule,168
regist,168
ration,167
theoret,167
previous,167
attack,165
g,164
so,164
open,163
import,163
b,163
plan,163
practic,162
altern,161
interact,161
reduc,160
even,160
encod,160
exponenti,159
various,158
multi,158
robust,158
through,157
novel,157
high,157
product,156
contain,156
standard,156
question,155
monoid,154
softwar,154
par,153
configur,152
equat,152
close,152
multipl,152
find,151
correspond,150
alphabet,149
n,148
variabl,148
separ,148
polici,147
boolean,146
length,145
establish,145
guarante,145
three,144
protocol,144
challeng,144
everi,142
robot,142
closur,141
dimension,140
identifi,140
singl,139
domain,139
simpl,138
interest,138
fix,138
queri,138
version,135
interpret,135
pattern,135
autom,135
consist,135
action,134
precis,134
stochast,134
discret,134
do,133
probabl,133
compon,133
without,132
code,132
specifi,132
like,132
infer,132
paramet,131
enabl,131
up,131
approxim,130
often,130
address,130
quantum,130
translat,130
support,130
variant,129
further,129
those,129
thus,128
reduct,128
need,126
concept,125
