Term,Frequency
we,2798
model,1738
3d,1639
our,1625
generat,1622
method,1526
imag,1277
from,1063
base,1039
use,1011
render,754
approach,706
can,706
scene,705
propos,704
high,678
train,645
data,638
qualiti,626
represent,621
view,597
motion,595
learn,589
which,589
neural,585
visual,573
diffus,565
object,559
novel,558
gaussian,548
demonstr,547
proc,512
shape,508
field,500
reconstruct,493
result,491
mesh,479
introduc,468
time,461
optim,457
synt,448
text,447
point,442
control,438
dataset,433
net,422
human,415
design,411
real,408
challeng,406
perform,397
video,396
exist,393
while,391
user,386
present,386
effect,385
applic,383
edit,381
achiev,379
simul,377
comput,375
effici,372
framework,371
geometri,360
enabl,358
multi,357
work,355
surfac,346
task,338
textur,335
paper,334
techniqu,333
howev,327
larg,326
transfer,324
interact,321
graph,317
featur,316
both,313
show,312
signific,310
have,306
input,303
experi,302
state,301
consist,296
complex,296
space,295
improv,294
pose,294
new,286
evalu,284
physic,284
2d,282
structur,281
art,277
differ,273
more,272
dynam,270
condit,267
also,263
virtual,260
materi,259
through,257
it,256
compar,255
provid,255
requir,252
two,250
between,249
light,247
detail,246
s,245
splat,244
recent,243
enhanc,243
sampl,242
captur,242
algo,241
limit,241
integr,239
allow,239
map,238
scale,238
singl,238
set,236
realiti,230
direct,230
has,230
various,230
anim,230
first,228
address,227
specif,225
inform,225
deform,224
style,224
func,223
leverag,221
project,221
studi,218
divers,218
addit,216
includ,215
problem,211
system,211
prior,210
semant,209
multipl,208
transform,205
estim,203
adapt,202
local,201
accur,197
over,196
protocol,196
each,195
level,193
hypertext,189
produc,189
content,189
appear,188
general,186
research,184
onli,184
nerf,184
extens,183
repres,182
differenti,182
geometr,180
camera,176
devel,175
bodi,175
avatar,174
often,173
explor,171
radianc,171
languag,171
non,170
world,169
cloud,167
express,166
preserv,165
github,165
paramet,165
via,163
previous,162
domain,161
spatial,161
implicit,161
reduc,160
pipelin,160
across,159
resolut,159
latent,157
capabl,157
than,157
further,157
creat,155
analysi,154
make,154
advanc,153
avail,152
pre,152
other,151
code,150
encod,150
prompt,150
util,149
predict,148
without,148
within,148
natur,147
due,147
realist,147
fine,147
combin,146
augment,146
guid,145
one,144
under,144
segment,144
when,143
e,142
awar,140
well,140
distribut,139
fidel,138
environ,138
potenti,138
color,138
driven,136
stage,136
oper,135
strategi,134
face,134
robust,133
align,133
distanc,133
like,132
hand,132
region,130
attent,129
architectur,128
accuraci,126
end,126
target,125
employ,125
offer,125
where,124
depth,124
part,123
outperform,123
solut,122
been,122
precis,120
support,120
garment,120
key,118
issu,117
ani,116
approxim,115
global,115
sourc,115
focus,114
frame,114
volum,113
loss,113
incorpor,113
vector,113
how,111
three,111
mani,110
deep,110
current,110
layer,110
furthermor,110
facilit,109
vision,109
given,109
normal,109
all,109
facial,109
supervis,109
manipul,108
invers,108
io,107
appli,107
extract,107
valid,107
posit,107
charact,107
step,106
construct,105
tradit,105
fast,105
them,104
rang,104
compress,104
person,104
number,104
implement,103
term,103
low,103
second,103
unit,103
constraint,103
relight,103
practic,102
compon,102
grid,102
open,102
speed,102
tempor,102
explicit,101
continu,101
superior,100
metric,100
creation,100
correspond,100
relat,100
final,99
topolog,99
simpl,98
abil,98
properti,98
understand,97
observ,97
styliz,97
spars,96
path,96
quantit,96
better,95
initi,95
find,95
maintain,95
gradient,95
need,95
label,94
modul,94
infer,93
dure,92
dimension,92
ensur,92
sequenc,92
ray,90
cloth,90
game,90
digit,90
distil,90
head,90
import,89
lead,89
scenario,89
experiment,89
error,89
layout,89
most,88
flow,88
common,88
comprehens,88
sever,87
joint,87
reli,87
refer,87
refin,87
g,86
involv,86
trace,86
order,86
increas,86
automat,85
wide,84
origin,84
primit,84
collect,84
self,84
similar,83
formul,83
reflect,83
typic,82
tool,82
way,82
even,82
remain,81
vari,81
free,81
2,80
volumetr,80
particular,80
nois,80
qualit,79
mechan,79
insight,79
illumin,79
type,79
stor,79
program,79
defin,79
handl,78
aim,77
pattern,76
1,76
mem,76
lack,76
score,76
match,76
engin,75
intellig,75
pixel,75
asset,75
follow,74
cost,74
descript,74
benchmark,74
display,74
tune,74
i,74
conduct,73
build,73
com,73
form,73
up,73
area,73
regular,73
full,73
element,72
take,72
modal,72
depend,71
mask,71
guidanc,71
sketch,71
page,71
select,70
extend,70
knowledg,70
smooth,70
output,70
curv,70
audio,70
obtain,69
unifi,69
acceler,69
deriv,69
variat,69
baselin,69
pair,69
test,69
discret,68
scheme,68
attribut,68
embed,68
power,68
track,68
gestur,68
3dgs,68
solv,67
boundari,67
artifici,67
uncertainti,67
contrast,66
analyz,66
concept,66
correct,66
standard,66
4d,66
frequenc,66
speech,66
fluid,66
chang,65
size,65
contribut,65
minim,65
detect,64
few,64
do,64
trajectori,64
us,64
possibl,64
agent,64
gs,64
varieti,63
exampl,63
robot,63
toward,63
signal,63
shade,63
especi,63
per,63
particl,63
photo,63
iter,63
devic,63
linear,62
movement,62
arbitrari,62
exhibit,61
along,61
consid,60
flexibl,60
moreov,60
crucial,60
desir,59
coordin,59
scalabl,59
inpaint,59
subject,59
artifact,59
thus,58
small,58
case,58
artist,58
rate,58
promis,58
emerg,58
fit,58
rgb,57
numer,57
struggl,57
context,57
plausibl,57
interpol,57
identifi,57
queri,57
orient,56
yet,56
compact,56
close,56
raster,56
individu,56
same,56
success,56
ground,56
parametr,56
edg,55
complet,55
sdf,55
ident,55
progress,54
cross,54
assess,54
either,54
fabric,54
critic,54
contain,53
denois,53
realism,53
futur,53
draw,53
highlight,53
plane,53
overcom,53
inspir,53
machin,53
technolog,53
main,52
hierarch,52
contact,52
long,52
locat,52
bound,51
respect,51
weight,51
sign,51
innov,51
measur,51
still,51
demand,50
rigid,50
connect,50
seamless,50
call,50
faster,50
factor,50
separ,50
valu,49
instead,49
composit,49
expert,49
rich,49
coars,49
discuss,49
shadow,49
resourc,49
collis,49
convolut,48
best,48
altern,48
comparison,48
disentangl,48
adjust,48
parameter,48
grain,48
interfac,48
coher,48
doe,48
unlik,48
viewpoint,47
adversari,47
higher,47
simultan,47
triangl,47
skill,47
may,47
strong,47
annot,47
establish,47
relationship,47
about,47
blend,47
3,46
investig,46
showcas,46
shot,46
yield,46
tackl,46
adopt,46
essenti,46
monocular,46
perceptu,46
tailor,45
recov,45
public,45
parallel,45
textual,45
stabl,45
interpret,45
benefit,45
inher,45
zero,45
filter,44
despit,44
modifi,44
faith,44
energi,44
hybrid,44
spheric,44
perceiv,43
decod,43
constrain,43
forward,43
simplifi,43
rapid,43
consum,43
access,43
against,43
manual,43
gap,43
fundament,42
help,42
remov,42
communic,42
line,42
indic,42
custom,42
group,42
difficult,42
versatil,42
hair,42
manifold,41
so,41
surpass,41
pretrain,41
core,41
those,41
efficaci,41
popular,41
converg,41
name,41
specifi,41
re,41
densiti,40
sinc,40
behavior,40
correl,40
percept,40
wild,40
characterist,40
solid,40
