Term,Frequency
we,6830
channel,3232
propos,2931
code,2925
communic,2733
base,2636
system,2591
inform,2558
optim,2501
perform,2161
net,2031
model,1916
which,1898
use,1888
result,1848
data,1757
algo,1728
problem,1712
our,1670
can,1632
multipl,1532
method,1509
rate,1502
paper,1490
user,1453
design,1423
from,1369
scheme,1343
learn,1334
estim,1323
signal,1250
achiev,1212
ris,1201
comput,1192
error,1165
decod,1141
effici,1112
distribut,1100
approach,1089
bound,1088
sens,1085
power,1044
show,1039
wireless,1015
provid,1010
two,1009
mimo,996
complex,995
time,973
multi,957
antenna,916
between,902
over,883
consid,877
func,869
effect,860
general,859
state,853
high,852
simul,852
receiv,850
proc,846
both,843
number,841
transmiss,829
studi,820
non,819
deriv,817
demonstr,813
also,809
where,808
framework,797
under,774
low,772
field,763
quantum,747
it,743
joint,736
generat,732
compar,728
has,725
beamform,710
access,708
one,706
measur,702
introduc,697
analysi,696
intellig,693
improv,686
s,679
set,676
first,675
train,662
each,661
new,661
numer,660
signific,658
challeng,656
linear,652
applic,647
while,642
larg,636
have,635
limit,627
enhanc,625
work,621
specif,621
nois,619
case,611
integr,609
transmit,608
semant,608
theoret,605
random,602
input,602
devel,601
present,599
novel,593
differ,592
when,590
requir,590
capac,587
howev,584
probabl,582
exist,572
detect,569
scenario,556
frequenc,554
addit,549
techniqu,549
compress,548
maxim,544
reduc,536
output,536
near,536
solut,526
paramet,524
through,520
interfer,514
investig,511
enabl,510
transform,507
constraint,507
approxim,506
energi,506
theori,505
task,503
sourc,499
condit,499
structur,495
massiv,493
more,491
phase,490
term,487
matrix,485
neural,481
sampl,480
order,478
resourc,475
construct,473
gain,463
minim,462
local,462
array,461
obtain,460
beam,456
address,455
util,453
onli,451
space,443
surfac,442
particular,440
all,440
singl,440
bit,440
assist,435
point,433
select,433
oper,423
via,422
deep,421
posit,418
entropi,415
been,412
csi,411
domain,411
than,407
direct,407
free,406
due,404
well,402
form,400
statist,398
i,394
isac,391
key,388
lower,387
practic,387
final,386
character,385
devic,384
increas,381
convent,380
aid,380
alloc,379
target,377
precod,377
relat,376
recent,374
sum,373
metric,373
employ,369
ratio,365
further,363
sequenc,363
includ,362
other,362
adapt,361
cell,357
control,356
technolog,356
mean,356
imag,356
solv,355
messag,355
reflect,355
close,354
modul,353
formul,351
weight,350
potenti,349
retriev,348
outperform,347
properti,345
machin,344
furthermor,344
activ,343
connect,343
spatial,342
scale,342
graph,342
featur,339
iter,339
strategi,338
cost,337
reliabl,337
