Term,Frequency
we,3180
comput,2306
use,2302
algo,1899
perform,1704
proc,1675
implement,1621
method,1554
problem,1256
optim,1226
model,1189
graph,1127
system,1109
can,1101
data,1093
librari,1093
unit,1028
high,1007
base,993
present,988
which,982
code,950
parallel,940
applic,879
from,864
func,858
program,841
our,811
provid,809
time,789
softwar,789
matrix,786
numer,775
effici,753
devel,726
packag,726
paper,692
result,692
linear,690
solver,636
approach,629
new,620
generat,601
framework,601
equat,596
simul,592
algebra,585
oper,580
differenti,550
solv,545
element,534
mem,531
solut,531
also,527
differ,519
learn,516
it,513
structur,506
larg,501
number,499
user,495
order,492
python,489
c,488
have,487
s,486
tensor,485
design,482
analysi,476
spars,467
includ,466
multipl,464
languag,463
general,455
has,454
one,449
mani,445
complex,444
show,442
finit,440
allow,439
work,436
demonstr,436
two,431
requir,430
sourc,430
scale,421
level,420
tool,414
interfac,414
both,414
distribut,411
propos,409
set,398
well,391
compar,388
machin,382
other,380
techniqu,372
more,370
precis,367
test,366
integr,363
introduc,360
describ,352
support,352
automat,351
mathemat,346
matric,346
avail,345
improv,345
open,344
exampl,338
been,332
all,329
how,325
dynam,323
vector,323
domain,322
evalu,319
approxim,318
architectur,315
some,310
featur,305
specif,305
scientif,304
than,302
achiev,302
polynomi,301
case,297
up,295
net,293
kernel,293
sever,291
onli,289
while,286
core,286
multi,284
studi,282
compil,282
over,280
first,279
central,279
point,274
non,269
mesh,267
extens,266
when,265
exist,264
space,260
between,260
acceler,259
adapt,257
scalabl,257
through,256
block,255
enabl,253
experi,252
appli,251
task,249
research,248
fast,248
combin,248
real,248
reduc,247
standard,246
make,244
discuss,241
object,241
engin,240
paramet,239
deriv,239
field,235
express,235
transform,235
most,234
factor,234
signific,231
run,230
state,230
howev,229
benchmark,228
relat,227
iter,225
r,224
addit,222
represent,222
size,222
valu,220
product,220
low,220
under,219
error,218
2,217
import,215
type,215
matlab,214
accuraci,214
singl,211
ad,210
form,210
arithmet,210
need,210
particular,209
increas,209
random,208
power,208
rang,207
decomposit,207
calcul,205
dimension,205
challeng,205
discret,204
hardwar,202
direct,201
wide,200
current,200
e,195
within,195
step,195
each,194
platform,194
call,193
possibl,192
compon,191
like,190
project,190
strategi,189
flexibl,189
practic,188
where,187
variabl,186
common,184
transfer,184
extend,183
recent,183
effect,183
various,182
1,181
physic,181
abstract,179
often,179
scheme,178
ani,178
partial,177
construct,177
estim,176
communic,176
three,175
cost,174
seri,171
array,171
class,170
input,170
symbol,170
environ,170
term,169
execut,169
access,168
version,166
free,165
detail,165
statist,165
limit,164
focus,163
modern,162
julia,162
without,162
imag,161
local,161
simpl,160
part,160
art,160
via,159
way,159
protocol,159
quantum,159
util,158
exploit,158
i,155
obtain,154
speedup,154
may,153
mpi,151
continu,151
build,150
dens,150
given,149
veri,149
stor,149
repres,148
defin,148
node,148
capabl,147
invers,147
sampl,146
known,146
speed,144
main,143
consid,142
cluster,142
robust,142
depend,141
formul,141
theori,140
hypertext,139
scienc,139
novel,139
same,138
illustr,138
faster,137
grid,137
nonlinear,136
sequenc,136
aim,133
3,133
g,131
key,131
them,130
best,130
infer,130
inform,130
reduct,130
small,130
correct,130
doubl,128
find,128
global,127
purpos,127
here,127
second,127
final,126
due,126
dimens,126
target,126
so,125
involv,125
higher,125
take,125
flow,125
format,125
hybrid,124
deep,124
constraint,123
special,123
contain,123
offer,123
gradient,122
properti,122
varieti,122
mix,122
written,121
geometri,121
classic,121
proof,120
further,120
intel,120
even,120
rank,119
document,119
advantag,119
multigrid,119
minim,118
consist,118
comparison,118
control,118
typic,117
bound,116
chang,115
search,115
condit,114
do,114
across,114
select,114
autom,114
arbitrari,112
articl,112
produc,112
thus,112
share,112
end,111
float,111
easi,111
give,110
routin,109
better,109
experiment,109
basic,109
geometr,109
concept,108
easili,108
complet,108
portabl,108
formal,108
boundari,106
initi,106
potenti,106
runtim,105
tune,105
neural,105
github,105
origin,104
independ,104
report,104
advanc,103
becom,103
blas,103
synt,103
pdes,103
handl,102
mean,102
address,102
train,102
similar,102
nvidia,102
communiti,101
interact,101
explor,101
about,101
compress,100
output,99
observ,99
modul,99
lead,99
mechan,99
dataset,99
benefit,98
respect,98
converg,98
pattern,96
accur,96
predict,96
bayesian,96
generic,95
collect,95
symmetr,95
cuda,95
toolbox,94
bit,94
assembl,94
explicit,93
heterogen,93
measur,93
help,92
fortran,92
employ,92
creat,92
lower,92
previous,91
effort,91
coupl,91
world,91
degre,91
tree,90
analyt,90
methodolog,90
partit,90
facilit,90
layer,90
0,89
correspond,89
orient,89
loop,89
valid,89
map,89
modular,89
knowledg,88
templat,88
theoret,88
those,88
good,88
analyz,88
integ,88
reli,88
built,87
natur,87
associ,86
interest,86
shown,86
full,86
determin,86
sinc,86
suit,86
unifi,86
tradit,86
particl,86
fit,85
refer,85
popular,85
basi,84
forward,84
squar,84
furthermor,84
abl,84
overhead,84
leverag,84
releas,83
enhanc,83
energi,83
pde,83
interv,82
mathematica,82
name,82
line,82
openmp,82
public,81
suitabl,81
hand,81
few,81
altern,81
precondition,81
com,81
aris,80
thread,80
usag,80
idea,79
context,79
be,79
mode,79
singular,79
avoid,78
coeffici,78
follow,78
famili,78
cut,78
reason,77
among,77
outperform,77
rule,76
out,76
less,76
eigenvalu,76
spectral,76
fluid,76
topolog,75
separ,75
investig,75
programm,75
choic,75
much,74
success,74
especi,74
either,74
identifi,74
descript,74
variant,74
interpol,74
galerkin,74
futur,73
fulli,73
goal,73
gemm,73
year,72
massiv,72
manag,72
supercomput,72
jl,72
issu,71
n,71
exact,71
us,71
becaus,71
visual,71
adjoint,71
4,71
discontinu,71
group,70
instanc,70
least,70
refin,70
prove,69
toward,69
prototyp,69
uncertainti,69
stochast,69
ode,69
regular,68
reproduc,68
qualiti,67
theorem,67
classif,67
technolog,67
maintain,67
3d,67
mont,67
carlo,67
gain,66
resourc,66
fix,66
hierarch,66
wave,66
reliabl,65
indic,65
subspac,65
area,65
materi,65
spatial,65
load,65
constrain,64
deal,64
explain,64
updat,64
newton,64
were,64
establish,64
major,64
triangular,64
pipelin,64
phase,64
therefor,63
revers,63
moreov,62
posit,62
schedul,62
fourier,62
krylov,62
curv,62
intens,62
reconstruct,62
decis,61
assist,61
2d,61
variat,61
contribut,61
svd,61
convex,60
file,60
doe,60
propag,60
analys,60
signal,60
verifi,60
gaussian,60
against,60
sequenti,60
aspect,60
5,59
critic,59
friend,59
digit,59
probabl,59
yet,59
strong,59
sparsiti,59
toolkit,58
yield,58
fundament,58
made,58
densiti,58
licens,58
found,58
tile,58
larger,58
overview,58
highlight,58
cach,58
incorpor,58
guid,57
manipul,57
binari,57
match,57
embed,57
root,57
batch,57
convent,57
still,57
java,57
specifi,57
precondit,57
per,57
activ,57
acl2,57
pytorch,57
parametr,56
k,56
stabil,56
compos,56
fft,56
devic,56
manifold,56
preserv,56
detect,55
could,55
characterist,55
amount,55
ordinari,55
close,55
simplifi,55
contract,55
stencil,55
realiz,54
long,54
ii,54
path,54
write,54
weak,54
rapid,54
dure,53
ration,53
fem,53
essenti,53
multivari,53
necessari,53
magnitud,53
understand,53
top,53
comprehens,53
notat,53
formula,52
start,52
constant,52
difficult,52
literatur,52
elimin,52
intellig,52
togeth,52
review,52
upon,52
regress,52
dune,52
implicit,51
stage,51
lapack,51
demand,51
math,51
o,51
static,51
translat,50
box,50
bottleneck,50
empir,50
poisson,50
technic,50
competit,50
serial,50
custom,50
expens,50
causal,50
introduct,49
assess,49
prover,49
intern,49
consider,49
expect,49
shape,49
four,49
instruct,49
sensit,49
modifi,49
tempor,49
definit,49
along,49
although,49
genet,49
balanc,49
petsc,49
rate,48
manual,48
logic,48
abil,48
zero,48
configur,48
behavior,48
uniqu,48
smooth,48
gap,48
care,48
surfac,48
numpi,48
xeon,48
equival,47
whose,47
hierarchi,47
infrastructur,47
edg,47
certain,46
instead,46
usual,46
should,46
cover,46
normal,46
round,46
emerg,46
motiv,46
grow,46
scientist,46
compact,46
biolog,45
ellipt,45
simultan,45
ensur,45
h,45
must,45
total,45
volum,45
driven,45
bandwidt,45
spmv,45
workflow,45
choos,44
branch,44
m,44
restrict,44
elementari,44
industri,44
read,44
cell,44
feast,44
scenario,44
crucial,44
b,44
eas,44
eigensolv,44
pass,43
recur,43
weight,43
primit,43
connect,43
remain,43
short,43
etc,43
verif,43
count,43
diagon,43
near,43
stream,43
adopt,43
individu,43
aggreg,43
tensorflow,43
million,42
lack,42
around,42
quick,42
cycl,42
exhibit,42
web,42
x,42
coordin,42
filter,42
ecosystem,42
lattic,41
view,41
almost,41
what,41
scalar,41
uniform,41
unstructur,41
artifici,41
paradigm,41
great,41
000,41
surrog,41
cross,41
jacobian,41
dg,41
concern,40
mapl,40
extrem,40
alreadi,40
freeli,40
substanti,40
appropri,40
suffici,40
now,40
come,40
examin,40
educ,40
pseudo,40
prior,40
p,40
column,40
list,40
10,40
expert,40
deploy,40
firedrak,40
author,39
lie,39
vari,39
resolut,39
octav,39
compat,39
re,39
heurist,39
conveni,39
multicor,39
averag,39
databa,39
divers,39
determinist,39
entir,39
hermitian,39
riemannian,39
extract,38
dual,38
look,38
pair,38
question,38
log,38
conform,38
index,38
miss,38
background,38
extern,38
next,38
interpret,38
synchr,38
qr,38
port,38
permut,38
combinatori,38
principl,38
hyperbol,38
overal,38
conduct,38
irregular,38
metric,37
consum,37
replac,37
expans,37
side,37
princip,37
d,37
split,37
intermedi,37
organ,37
thousand,37
solid,37
tailor,37
residu,37
convolut,37
quadrat,36
calculus,36
manner,36
rather,36
unknown,36
last,36
save,36
usabl,36
seamless,36
bring,36
composit,36
diffus,36
circuit,36
after,36
rigor,36
amg,36
event,35
role,35
profil,35
just,35
markov,35
check,35
choleski,35
black,35
symmetri,35
impact,35
nest,35
law,35
auto,35
face,35
quantif,35
fenic,35
simd,35
quasi,35
evolut,34
rewrit,34
straightforward,34
get,34
add,34
everi,34
actual,34
asymptot,34
tutori,34
fill,34
loss,34
option,34
multipli,34
self,34
hard,34
assumpt,34
gate,34
row,34
elast,34
right,34
multiphys,34
whole,33
back,33
who,33
ideal,33
overlap,33
