Term,Frequency
we,2338
method,1994
problem,1173
numer,1146
equat,1100
model,926
use,890
approxim,700
time,695
propos,694
comput,688
order,660
solut,657
base,627
scheme,612
algo,598
which,597
approach,587
system,580
result,572
our,555
converg,536
net,521
func,517
discret,506
from,505
optim,501
can,482
solv,480
finit,475
linear,474
data,459
high,447
oper,438
neural,427
error,425
two,407
present,406
effici,400
analysi,392
differenti,390
element,376
space,375
condit,375
paper,368
demonstr,354
estim,349
dynam,342
provid,341
general,340
show,324
nonlinear,323
paramet,314
differ,310
dimension,302
applic,296
integr,295
introduc,294
effect,293
experi,292
work,291
accuraci,290
iter,286
also,284
new,283
simul,283
matrix,282
non,280
point,279
local,279
proc,274
perform,273
one,272
physic,271
step,271
framework,261
structur,261
deriv,259
learn,259
boundari,255
reduc,250
studi,249
both,247
it,245
s,243
devel,241
complex,240
set,240
random,239
field,236
term,233
under,232
domain,232
formul,231
bound,223
well,223
properti,223
case,223
invers,221
adapt,221
theoret,218
flow,218
appli,213
through,209
when,207
first,205
construct,204
onli,202
stabil,201
partial,200
train,200
stochast,199
test,196
have,196
inform,195
diffus,195
state,193
techniqu,192
novel,191
consid,190
robust,190
includ,188
compar,188
obtain,188
low,187
mesh,186
number,186
limit,185
regular,184
depend,184
larg,182
addit,182
preserv,181
gradient,180
pdes,179
scale,178
requir,178
allow,175
between,173
variabl,173
exampl,172
distribut,170
has,170
while,169
solver,169
prove,167
valu,165
tensor,165
signific,165
energi,164
particular,162
more,160
control,159
sampl,158
implement,158
where,157
decomposit,154
coeffici,154
accur,153
coupl,152
improv,151
design,150
second,148
wave,147
theori,146
classic,145
sever,145
exist,143
rank,141
combin,140
challeng,140
conserv,139
rate,139
employ,139
matric,139
form,138
strategi,138
implicit,138
continu,137
reconstruct,137
direct,136
cost,136
dimens,136
multi,135
variat,135
kernel,135
size,133
type,132
three,130
potenti,129
illustr,129
spatial,129
explicit,127
minim,127
measur,127
achiev,124
graph,124
consist,123
establish,123
eigenvalu,123
grid,123
observ,122
been,122
standard,122
howev,121
pde,121
generat,120
precondition,120
some,119
discontinu,119
predict,118
acceler,118
various,117
valid,117
than,117
address,117
level,117
polynomi,116
mem,116
phase,115
imag,115
involv,114
stabl,113
over,112
layer,112
recent,111
free,111
posit,110
project,109
singular,109
galerkin,108
find,107
extend,107
constraint,107
global,107
respect,107
fast,106
spectral,106
fluid,106
practic,105
class,105
evalu,105
via,104
investig,104
all,104
interpol,103
squar,102
final,102
extens,102
real,102
map,101
initi,101
analyz,101
transform,101
relat,100
within,100
lead,100
basi,100
weight,100
newton,98
due,98
algebra,98
given,98
split,98
fulli,97
specif,97
pinn,97
surfac,96
mean,95
other,95
featur,95
particl,95
deep,94
stoke,94
associ,93
factor,93
each,93
represent,93
enabl,93
law,92
further,92
precondit,92
transport,92
without,92
precis,92
need,91
parametr,91
machin,91
mani,90
block,90
quasi,89
frequenc,89
compress,89
sourc,88
describ,87
smooth,87
least,87
product,86
origin,86
small,86
focus,86
mathemat,85
known,85
subspac,85
interfac,85
volum,85
symmetr,84
part,84
furthermor,83
reduct,83
vector,83
semi,83
euler,82
import,82
how,82
make,82
flux,82
multipl,81
compon,81
exponenti,81
moreov,80
1,80
nois,80
correspond,79
higher,79
filter,79
enhanc,79
uncertainti,79
geometri,79
densiti,79
residu,79
driven,79
asymptot,78
rang,78
weak,78
exact,78
discuss,77
gaussian,76
independ,76
aris,75
e,75
util,75
mix,75
increas,75
even,75
often,74
geometr,74
degre,74
shown,74
fraction,74
strong,73
analyt,73
altern,73
mode,72
seri,72
ensur,72
wide,72
previous,71
full,70
shape,70
natur,70
defin,70
norm,70
veloc,70
key,69
support,69
interact,69
refin,69
fix,69
may,68
dg,68
offer,67
behavior,67
2,67
fourier,67
ani,66
quadrat,66
orthogon,66
materi,66
spars,66
main,65
advantag,65
interest,65
incorpor,65
suitabl,65
long,65
uniqu,64
perturb,64
possibl,64
singl,64
rigor,64
forward,64
quantum,64
multiscal,63
uniform,63
power,63
explor,63
conduct,63
infer,63
up,62
exhibit,62
parallel,62
engin,62
call,62
object,61
out,61
assumpt,61
poisson,61
input,61
loss,61
scatter,61
formula,61
capabl,60
navier,60
transfer,59
here,59
node,59
repres,59
entropi,59
tradit,59
region,59
tool,58
select,58
relax,58
context,58
crucial,58
manifold,58
govern,58
methodolog,58
nonloc,58
elast,58
same,58
indic,58
typic,58
hybrid,57
way,57
balanc,56
empir,56
calcul,56
ensembl,56
pressur,56
tempor,56
mont,56
carlo,56
captur,56
gmres,56
satisfi,55
suffici,55
experiment,55
lie,55
evolut,55
architectur,55
rung,55
kutta,55
coars,55
propag,55
leverag,54
probabl,54
essenti,54
arbitrari,54
read,54
pose,54
certain,54
cell,54
version,53
correct,53
appropri,53
updat,53
search,53
expans,53
metric,53
quadratur,53
connect,53
benchmark,53
sketch,53
veri,53
guarante,52
so,52
infinit,52
character,52
aim,52
task,52
heat,52
reaction,52
bayesian,51
i,51
dual,51
reli,51
total,51
like,51
activ,51
flexibl,50
mechan,50
convex,50
most,50
normal,50
period,50
oscil,50
hyperbol,50
parabol,50
zero,50
ellipt,49
literatur,49
exploit,49
convolut,49
us,49
cahn,49
determin,49
invari,49
surrog,49
delay,49
across,48
simpl,48
reliabl,48
diverg,48
issu,48
vari,48
identifi,48
code,48
stationari,48
diagon,48
curv,47
near,47
doe,47
lower,47
unknown,47
krylov,47
unit,47
moment,46
constrain,46
constant,46
homogen,46
avoid,46
dure,46
confirm,45
scenario,45
media,45
b,45
ill,45
contribut,45
resolut,45
contrast,44
definit,44
handl,44
stiff,44
regim,44
colloc,44
them,43
symmetri,43
sensit,43
remain,43
modifi,43
program,42
