Term,Frequency
system,2116
we,1758
applic,1066
time,1046
mem,1027
perform,1009
proc,989
use,896
schedul,819
data,683
can,655
base,654
oper,607
virtual,592
from,548
our,530
task,524
kernel,521
paper,519
comput,508
which,477
real,473
model,470
design,459
propos,450
implement,446
provid,442
secur,441
user,432
devic,430
stor,420
algo,407
os,398
show,397
unit,396
execut,394
present,390
machin,390
resourc,386
high,385
net,376
hardwar,374
have,367
file,362
softwar,356
program,355
manag,353
access,347
devel,347
state,339
new,335
approach,334
effici,331
level,320
requir,304
support,299
i,294
evalu,294
run,288
it,287
linux,286
has,282
cach,281
improv,279
page,279
result,275
differ,269
optim,269
architectur,268
s,268
critic,265
platform,264
overhead,263
central,255
control,253
exist,252
code,246
share,240
work,240
also,234
latenc,234
servic,230
one,228
while,228
dynam,226
reduc,218
attack,218
all,217
howev,216
cloud,216
mechan,215
analysi,211
integr,210
techniqu,210
enabl,209
onli,209
address,209
allow,208
more,208
compar,206
graph,206
larg,206
energi,206
low,204
set,202
increas,201
func,200
environ,200
framework,200
o,199
than,198
call,197
over,195
studi,194
mani,193
case,193
when,192
under,192
two,190
between,190
first,190
core,189
make,185
been,184
isol,181
demonstr,181
effect,181
space,180
power,179
specif,178
multi,178
achiev,175
challeng,175
problem,173
interfac,172
number,172
distribut,172
workload,171
both,168
signific,168
solut,168
most,168
test,167
polici,166
learn,165
protect,162
up,161
research,161
need,161
each,160
alloc,159
contain,155
server,154
introduc,153
other,152
method,151
protocol,150
without,150
order,149
through,148
thread,147
parallel,147
well,146
limit,144
drive,143
key,142
object,141
util,141
featur,140
lock,140
multipl,139
modern,139
ani,138
write,137
deploy,137
runtim,137
internet,136
request,136
embed,136
includ,135
compon,134
sourc,133
languag,133
cost,133
tool,133
how,132
avail,131
where,131
stack,130
predict,130
e,130
1,128
current,125
due,123
end,122
experi,122
some,121
singl,120
complex,120
adapt,119
general,118
2,118
open,115
extens,115
technolog,114
awar,114
disk,113
direct,112
consid,112
import,112
communic,111
configur,111
migrat,110
addit,110
simul,110
node,110
mobil,110
layer,109
even,109
recent,109
novel,109
wide,108
heterogen,108
partit,108
mode,108
them,107
like,107
possibl,107
non,107
guarante,106
scale,105
consist,105
fault,104
minim,103
solid,103
deadlin,103
io,102
respons,101
switch,100
block,100
within,100
flash,100
various,99
sever,98
exploit,98
averag,98
host,97
so,96
inform,96
benchmark,96
art,96
often,95
practic,95
main,95
multiprocessor,95
find,94
detect,94
build,94
becom,94
physic,94
throughput,94
across,93
issu,93
consumpt,93
driver,93
capabl,92
concurr,92
generat,92
measur,92
thing,92
size,91
intellig,91
analyz,90
offer,90
describ,90
cluster,89
job,89
tradit,88
same,88
hard,88
demand,87
checkpoint,87
relat,87
term,87
scheme,87
world,87
content,86
combin,86
android,86
structur,85
small,85
read,84
popular,84
monitor,84
chang,84
three,84
scalabl,84
better,84
type,84
impact,84
becaus,84
field,83
depend,82
tabl,82
ensur,81
abstract,81
context,81
prioriti,81
transpar,81
do,81
take,80
leverag,80
dram,80
may,79
concept,79
discuss,79
identifi,79
vulnerab,79
synchr,79
enforc,79
extend,78
remot,77
simpl,77
trust,77
channel,77
potenti,76
flow,76
engin,76
window,76
out,76
rate,75
failur,75
speed,75
complet,75
constraint,74
experiment,74
prevent,74
prototyp,74
lead,74
domain,74
bound,74
appli,74
behavior,73
less,73
trace,73
higher,73
path,73
second,73
programm,73
further,72
