Term,Frequency
we,7333
perform,5924
model,3862
system,3841
use,3756
proc,3589
net,3431
data,2954
comput,2940
time,2885
optim,2475
applic,2348
base,2306
can,2206
our,2167
algo,1846
paper,1833
which,1824
propos,1811
unit,1808
result,1789
graph,1668
from,1634
high,1551
approach,1471
show,1460
provid,1406
analysi,1400
simul,1372
mem,1360
effici,1356
servic,1352
learn,1350
evalu,1336
differ,1306
have,1264
distribut,1188
present,1164
method,1106
studi,1105
parallel,1102
code,1099
design,1095
devel,1087
implement,1072
larg,1067
improv,1063
problem,1059
energi,1049
two,1039
has,1023
benchmark,1015
resourc,1006
framework,994
compar,978
work,977
user,963
power,957
also,957
state,948
requir,938
architectur,900
number,890
more,884
program,880
schedul,880
queue,878
server,865
achiev,858
machin,854
new,846
techniqu,842
set,840
execut,832
when,825
one,814
oper,810
cost,803
both,799
real,788
hardwar,787
level,778
it,775
scale,774
case,767
while,761
s,759
howev,759
task,759
over,757
node,753
under,753
measur,752
cach,749
protocol,746
communic,744
solut,743
first,741
multipl,735
devic,734
predict,728
softwar,728
generat,725
each,723
cloud,723
increas,707
been,705
between,705
signific,695
central,694
reduc,692
polici,691
multi,690
inform,686
job,684
train,676
dynam,675
func,668
than,668
consid,668
size,667
effect,665
up,663
mani,661
rate,661
control,659
challeng,652
end,650
workload,648
how,631
well,628
neural,627
access,619
delay,614
1,613
complex,601
demonstr,598
traffic,598
all,597
limit,597
experi,596
run,594
order,594
other,587
accuraci,584
deep,584
exist,576
acceler,575
where,567
latenc,564
specif,564
onli,562
stor,553
enabl,548
avail,546
throughput,543
platform,542
bound,540
e,539
low,539
scheme,539
test,538
research,538
general,534
support,528
util,526
most,517
paramet,517
load,510
introduc,506
tool,503
mobil,503
internet,500
make,500
core,498
includ,496
i,487
various,486
need,485
sever,485
scalabl,482
non,480
allow,480
manag,479
analyz,479
environ,473
impact,469
sourc,464
consumpt,461
metric,461
intellig,460
singl,458
heterogen,456
infer,455
import,452
compil,448
through,445
recent,444
mean,442
due,440
estim,439
packet,434
some,432
analyt,430
term,427
alloc,426
deploy,423
languag,422
find,421
g,421
share,416
type,415
configur,415
channel,415
select,414
call,413
depend,413
transmiss,412
averag,411
2,410
wireless,408
cluster,407
wide,404
across,404
kernel,404
investig,402
edg,402
novel,400
deriv,396
probabl,391
structur,389
identifi,389
space,389
address,387
addit,384
art,384
error,383
appli,380
layer,379
flow,378
arriv,375
current,375
random,374
virtual,373
scenario,369
practic,368
approxim,364
numer,363
strategi,361
focus,361
artifici,361
domain,360
object,360
may,359
combin,358
extens,357
without,355
technolog,354
obtain,354
field,353
relat,351
adapt,351
point,350
particular,349
overhead,349
given,348
class,347
three,342
bandwidt,342
speed,341
qualiti,341
integr,339
possibl,338
block,333
stochast,330
local,329
becom,329
minim,326
key,325
featur,322
capac,322
explor,321
final,321
open,318
