Term,Frequency
model,8967
speech,7790
we,6818
audio,4270
train,3519
use,3486
propos,3096
perform,2867
our,2845
method,2742
base,2731
generat,2724
data,2703
from,2663
speaker,2613
learn,2547
languag,2506
task,2331
system,2200
dataset,2187
approach,1900
which,1834
can,1801
result,1795
improv,1761
text,1743
net,1730
recognit,1697
sound,1653
featur,1636
music,1584
enhanc,1476
larg,1445
asr,1411
paper,1406
inform,1375
neural,1357
effect,1346
evalu,1342
achiev,1330
represent,1327
synt,1320
proc,1318
acoust,1300
challeng,1298
show,1291
time,1245
detect,1245
have,1234
demonstr,1233
multi,1233
voic,1229
qualiti,1158
end,1145
signal,1121
emot,1082
differ,1068
compar,1036
introduc,1027
studi,1022
work,1015
has,1010
howev,1002
high,984
supervis,984
signific,981
sourc,980
both,969
while,964
classif,955
domain,955
experi,935
encod,925
two,911
transform,911
framework,893
pre,876
state,875
s,872
real,857
also,855
automat,853
present,852
novel,851
adapt,846
nois,842
specif,832
transfer,827
between,817
predict,811
effici,801
more,800
embed,798
applic,786
self,773
target,769
extract,769
recent,768
layer,757
research,755
human,752
sampl,746
set,743
addit,741
onli,738
condit,734
art,722
separ,716
address,712
it,711
level,710
input,708
robust,707
attent,705
comput,695
tts,694
limit,691
fine,682
label,681
deep,672
provid,672
design,658
first,656
control,642
through,639
various,635
tune,632
exist,629
been,627
modal,623
error,623
avail,616
outperform,614
relat,611
low,611
leverag,609
architectur,607
new,607
baselin,604
estim,601
decod,600
convers,597
explor,595
general,593
diffus,592
scale,589
one,586
visual,584
paramet,582
accuraci,582
analysi,580
test,580
includ,573
devel,572
when,571
experiment,571
frequenc,570
util,570
requir,569
direct,561
techniqu,559
record,559
shot,557
across,556
rate,546
loss,541
natur,539
2,534
complex,534
over,531
token,530
non,519
other,515
style,515
intellig,513
1,512
align,509
focus,505
scenario,502
advanc,502
augment,498
than,496
score,495
further,493
multipl,488
singl,487
without,486
prompt,486
word,484
integr,482
each,480
capabl,476
optim,475
convolut,474
code,474
well,469
context,468
cross,465
object,463
infer,462
reduc,461
algo,459
combin,459
consist,458
similar,457
machin,456
enabl,453
zero,453
modul,451
aim,448
previous,444
divers,442
better,440
employ,440
investig,439
potenti,435
benchmark,434
0,429
all,428
appli,424
term,424
metric,423
environ,423
transcript,416
output,416
field,414
content,413
due,413
knowledg,412
problem,406
protocol,405
dure,405
semant,404
resourc,401
secur,397
find,393
channel,392
strategi,392
distribut,390
local,390
often,389
space,389
tempor,387
most,384
event,382
sequenc,379
extens,374
abil,373
where,372
e,371
increas,368
make,368
joint,368
spatial,368
diariz,367
hypertext,365
captur,363
understand,361
within,358
incorpor,354
codec,354
sever,351
current,351
socket,351
world,350
under,349
adversari,348
obtain,345
allow,345
furthermor,345
segment,343
translat,343
annot,342
structur,339
issu,338
microphon,338
user,337
multilingu,335
assess,334
contrast,334
like,332
three,331
long,331
conduct,329
spectrogram,327
simul,327
particular,325
github,325
stream,322
open,320
measur,319
func,318
activ,311
pretrain,311
dynam,309
express,309
match,308
utter,308
stage,308
frame,306
import,304
best,304
interact,304
produc,301
whisper,301
subject,300
3,298
mask,297
public,296
lead,296
how,295
refer,295
video,294
comprehens,294
via,294
select,293
latent,293
reconstruct,293
identifi,292
need,291
noisi,290
unit,289
characterist,289
artifici,288
imag,286
filter,284
spoken,282
continu,281
accur,278
accent,278
number,277
size,277
listen,276
depend,276
step,275
discret,273
vocal,273
distil,271
up,270
rang,269
them,268
second,266
class,266
toward,264
ani,263
superior,262
reduct,262
given,261
remain,261
offer,261
type,261
tradit,260
fusion,260
common,259
mem,259
room,258
call,257
track,257
downstream,257
mani,256
sing,255
respons,255
corpus,254
devic,254
creat,250
origin,249
verif,248
reli,247
short,247
oper,246
moreov,246
final,246
mechan,245
variat,242
multimod,242
mixtur,240
weight,239
vector,239
may,237
valid,236
prior,236
phonem,236
respect,235
linguist,234
array,234
individu,234
solut,234
cost,233
out,232
preserv,232
gap,231
collect,231
technolog,231
discrimin,231
few,230
even,230
same,229
consid,229
promis,229
unseen,229
wide,229
english,228
name,226
awar,226
attack,226
indic,226
pair,226
were,225
i,225
compon,225
wer,222
impact,222
factor,221
caption,221
involv,220
build,220
5,218
compress,218
practic,217
standard,217
spoof,216
foundat,216
repres,215
