File,Cluster
0003017,1
0003036,1
0003040,1
0003073,2
0103020,1
0106004,1
0106010,2
0202004,2
0204053,4
0205079,1
0207038,1
0207071,1
0210027,1
0211031,1
0305013,1
0305026,1
0305029,4
0306036,1
0309036,1
0405027,4
0405107,2
0407034,1
0408069,0
0411016,1
0412079,2
0412080,1
0412084,1
0502020,1
0502082,1
0503043,1
0508032,3
0509025,1
0509032,1
0511038,0
0511073,1
0512010,1
0601131,2
0604054,1
0605031,2
0606115,0
0608103,1
0609133,2
0704.3395,2
0704.3453,4
0705.0969,2
0705.1110,1
0705.1209,2
0705.1999,1
0705.4566,1
0706.0022,2
0710.0013,1
0710.3561,1
0711.2909,1
0711.3419,0
0712.1097,1
0712.3147,2
0712.4126,1
0801.1275,0
0802.2429,1
0803.4253,1
0805.1727,2
0805.3800,0
0805.3802,2
0806.0784,2
0807.3669,1
0808.0112,2
0808.3109,1
0809.0416,1
0809.0755,1
0810.3865,4
0811.0310,2
0811.0335,2
0811.0602,4
0811.1878,1
0812.0885,2
0812.1462,1
0812.2785,4
0812.2991,0
0812.4360,2
0812.4460,2
0901.3769,1
0902.0798,2
0902.2871,2
0902.3749,1
0903.0279,2
0903.0465,1
0903.1139,1
0903.1451,1
0903.4930,3
0903.5289,2
0904.3352,1
0904.3808,2
0905.3582,4
0905.3766,1
0905.3769,1
0905.4387,2
0906.0311,4
0906.4321,1
0906.4332,1
0907.2775,0
0907.2993,1
0907.4509,2
0907.5155,4
0908.2050,1
0909.2339,1
0909.2375,2
0910.1238,1
0910.3124,2
0910.3485,1
0910.4903,4
0911.1021,2
0912.3228,1
1001.1257,4
1001.1836,2
1001.2170,2
1001.2208,2
1002.0134,1
1002.0696,2
1002.2897,1
1002.3023,0
1002.3307,1
1003.0746,1
1003.1658,1
1003.3082,2
1003.3821,3
1003.4196,2
1003.5305,3
1004.2854,2
1004.3939,3
1004.4734,2
1004.5215,2
1005.0608,2
1005.1716,1
1005.3502,2
1005.4025,2
1005.4592,2
1005.4963,4
1005.5268,1
1006.1030,4
1006.1930,1
1006.2204,1
1006.3654,2
1006.4551,2
1006.4949,2
1006.5896,1
1007.2534,1
1007.5130,3
1007.5421,1
1008.0273,2
1008.4257,2
1008.5387,2
1009.0077,2
1009.1174,1
1009.5048,4
1009.5290,1
1009.6119,2
1009.6127,3
1010.5943,4
1011.0330,0
1011.2512,2
1011.3557,4
1011.5951,1
1012.0841,0
1012.1635,0
1012.1659,0
1012.3312,2
1012.3853,1
1012.4046,2
1012.4824,3
1012.5960,1
1012.6018,4
1101.3381,1
1102.0079,1
1102.0714,2
1102.2125,1
1102.3680,1
1103.0632,2
1103.1156,3
1103.3223,2
1103.3420,4
1103.3430,0
1103.3904,1
1104.3250,1
1104.3344,2
1104.4053,1
1104.4290,1
1105.1247,2
1105.1929,2
1105.5443,1
1105.5465,1
1106.0245,0
1106.0247,1
1106.0252,1
1106.0667,2
1106.0680,4
1106.1796,4
1106.1797,1
1106.1817,2
1106.1998,1
1106.2647,1
1106.2692,1
1106.3361,4
1106.3967,2
1106.4218,2
1106.4557,1
1106.4573,3
1106.4578,1
1106.4864,1
1106.4868,1
1106.5258,1
1106.5316,1
1106.5998,2
1107.0020,1
1107.0027,1
1107.0034,2
1107.0035,0
1107.0038,1
1107.0046,1
1107.0134,1
1107.0194,1
1107.1950,4
1107.2090,2
1107.3894,3
1107.4163,1
1107.4303,0
1107.4573,4
1107.4937,1
1107.5462,2
1107.5930,1
1108.3614,1
1108.4199,1
1108.4891,1
1108.5825,2
1109.0114,2
1109.1966,3
1109.2048,3
1109.2127,1
1109.2138,1
1109.2140,4
1109.2148,1
1109.2154,0
1109.2271,2
1109.4335,1
1109.5666,2
1109.5716,2
1109.6033,4
1109.6112,2
1109.6344,1
1109.6348,1
1109.6621,1
1110.2730,0
1110.2737,1
1110.2739,1
1110.3385,1
1110.3888,1
1110.4657,2
1110.5172,0
1111.0041,2
1111.0044,1
1111.0059,1
1111.2249,1
1111.2763,2
1111.4232,2
1111.5689,1
1111.5720,1
1111.6713,2
1111.6883,2
1111.7190,2
1112.0508,1
1112.5309,1
1112.5370,2
1201.3408,1
1201.5426,1
1201.5841,2
1201.6583,1
1202.0837,2
1202.1886,2
1202.2536,1
1202.3707,1
1202.3709,1
1202.3711,1
1202.3718,1
1202.3719,1
1202.3754,1
1202.4063,0
1202.6009,4
1202.6177,2
1202.6386,4
1203.0088,1
1203.0220,1
1203.0699,1
1203.1021,2
1203.2556,3
1203.3227,0
1203.3466,1
1203.3470,3
1203.3482,1
1203.3493,1
1203.3510,1
1203.5452,2
1203.6716,2
1204.1681,1
1204.2712,0
1204.3844,1
1204.4991,1
1204.6415,1
1205.1820,1
1205.2541,1
1205.2601,1
1205.2637,1
1205.2652,1
1205.2655,1
1205.2659,1
1205.3380,2
1205.3964,2
1205.3966,4
1205.5367,1
1206.0855,2
1206.0925,2
1206.0976,1
1206.1458,4
1206.1678,3
1206.1794,1
1206.3233,1
1206.3245,1
1206.3258,2
1206.3272,1
1206.3280,4
1206.3282,1
1206.3284,1
1206.3285,1
1206.3289,1
1206.3658,2
1206.3959,2
1206.5242,1
1206.5250,3
1206.5273,1
1206.5287,1
1206.5940,1
1206.6473,1
1206.6816,2
1206.6819,1
1206.6825,1
1206.6829,1
1206.6834,1
1206.6843,1
1206.6844,1
1206.6849,1
1206.6867,1
1206.6876,1
1206.6877,1
1207.1352,2
1207.1356,1
1207.1357,1
1207.1369,1
1207.1370,1
1207.1386,1
1207.1387,4
1207.1388,1
1207.1391,1
1207.1398,3
1207.1401,1
1207.1407,1
1207.1641,0
1207.3315,1
1207.3543,2
1207.3874,1
1207.4116,1
1207.4124,1
1207.4137,1
1207.4153,1
1207.4173,1
1207.4177,1
1207.4525,0
1207.6713,0
1208.1921,2
1208.1955,1
1208.2102,3
1208.4942,1
1208.4945,1
1208.5333,3
1208.5340,1
1208.5341,3
1208.5554,1
1209.0852,2
1209.4275,3
1209.4975,1
1209.5567,1
1209.5601,1
1210.0075,1
1210.0772,1
1210.1753,1
1210.1785,1
1210.1791,1
1210.2715,2
1210.4865,1
1210.4870,0
1210.4885,1
1210.4900,1
1210.4916,1
1210.6855,3
1210.8385,4
1211.0611,1
1211.2126,2
1211.2972,4
1212.0229,2
1212.0692,1
1212.0750,2
1212.1143,1
1212.2455,1
1212.2457,1
1212.2461,1
1212.2496,1
1212.2497,1
1212.2505,1
1212.5276,0
1212.6527,0
1301.0173,4
1301.0571,1
1301.0574,1
1301.0603,3
1301.2137,1
1301.2146,0
1301.2256,1
1301.2258,1
1301.2265,1
1301.2275,1
1301.2287,1
1301.2288,1
1301.2290,1
1301.2292,1
1301.2293,1
1301.2295,4
1301.2301,1
1301.2304,1
1301.3836,1
1301.3842,1
1301.3848,1
1301.3859,2
1301.3861,1
1301.3872,0
1301.3873,1
1301.3876,2
1301.3878,1
1301.3881,1
1301.3883,2
1301.3897,1
1301.4272,1
1301.5943,2
1301.6679,1
1301.6683,1
1301.6686,4
1301.6688,1
1301.6689,1
1301.6709,1
1301.6712,1
1301.6718,1
1301.6724,1
1301.6729,1
1301.6732,1
1301.6737,1
1301.6741,1
1301.6748,1
1301.6750,4
1301.6975,2
1301.7360,1
1301.7365,4
1301.7367,1
1301.7370,1
1301.7384,1
1301.7387,1
1301.7398,1
1301.7405,1
1301.7410,1
1301.7416,1
1301.7418,3
1301.7676,1
1302.1522,1
1302.1525,1
1302.1527,1
1302.1530,1
1302.1534,1
1302.1541,1
1302.1546,1
1302.1547,3
1302.1550,1
1302.1554,1
1302.1556,1
1302.1564,1
1302.3551,1
1302.3553,1
1302.3557,1
1302.3573,1
1302.3575,1
1302.3581,1
1302.3584,1
1302.3585,3
1302.3595,1
1302.3601,1
1302.3607,1
1302.3610,1
1302.4381,1
1302.4475,2
1302.4932,3
1302.4943,1
1302.4955,1
1302.4958,1
1302.4961,4
1302.4966,3
1302.4967,1
1302.4975,1
1302.4981,1
1302.4985,1
1302.4992,1
1302.4993,1
1302.6779,4
1302.6780,1
1302.6787,1
1302.6797,1
1302.6807,1
1302.6809,1
1302.6814,1
1302.6816,1
1302.6817,1
1302.6820,1
1302.6825,1
1302.6836,1
1302.6842,1
1302.6848,1
1302.6849,1
1302.6852,1
1302.6855,1
1303.1469,4
1303.1470,1
1303.1471,1
1303.1472,1
1303.1475,1
1303.1481,1
1303.1495,1
1303.1496,1
1303.1499,1
1303.1501,1
1303.1504,1
1303.1512,1
1303.1513,1
1303.1519,2
1303.1700,1
1303.2013,2
1303.3163,1
1303.5395,1
1303.5415,1
1303.5422,1
1303.5426,2
1303.5428,1
1303.5429,1
1303.5431,1
1303.5436,1
1303.5710,1
1303.5715,1
1303.5720,1
1303.5727,1
1303.5730,0
1303.5734,2
1303.5736,3
1303.5749,1
1303.5750,1
1303.5757,1
1303.5760,4
1303.5761,2
1303.7200,2
1303.7430,0
1304.0100,1
1304.0145,1
1304.0844,1
1304.1082,1
1304.1087,2
1304.1103,1
1304.1104,1
1304.1105,1
1304.1125,1
1304.1138,1
1304.1146,2
1304.1497,2
1304.1512,1
1304.1514,2
1304.1519,2
1304.1524,4
1304.1534,1
1304.1819,4
1304.2346,1
1304.2347,3
1304.2353,1
1304.2357,1
1304.2364,0
1304.2365,1
1304.2368,1
1304.2369,1
1304.2370,1
1304.2377,1
1304.2379,1
1304.2384,1
1304.2711,1
1304.2714,1
1304.2723,1
1304.2733,1
1304.2745,1
1304.2755,1
1304.2756,2
1304.3078,2
1304.3087,1
1304.3093,1
1304.3099,2
1304.3100,3
1304.3103,1
1304.3107,2
1304.3111,1
1304.3115,1
1304.3116,1
1304.3118,2
1304.3208,1
1304.3432,0
1304.3435,1
1304.3437,2
1304.3446,1
1304.3448,1
1304.3450,2
1304.3763,1
1304.3846,2
1304.3854,2
1304.3859,2
1304.3879,0
1304.4028,2
1304.4415,1
1304.5159,3
1304.5449,1
1304.5554,2
1304.5970,1
