Term,Mitigated Information
galaxi,0.009487764
cosmolog,0.0053907726
we,-0.003444368
dark,-0.0035691354
observ,-0.0068942066
matter,-0.009075658
redshift,-0.009349835
from,-0.0117050735
cosmic,-0.011780504
mass,-0.013890974
univers,-0.015327839
gravit,-0.015710365
model,-0.016068496
use,-0.017323729
which,-0.017569367
background,-0.017986234
field,-0.017990883
scale,-0.017991334
can,-0.018161116
find,-0.018520627
scalar,-0.01914053
halo,-0.019193457
inflat,-0.0194154
result,-0.02005284
densiti,-0.020389302
data,-0.020537356
format,-0.020579247
show,-0.020579271
survey,-0.020789959
our,-0.020820064
present,-0.020891694
star,-0.02094457
larg,-0.021021236
primordi,-0.021177677
energi,-0.02162641
studi,-0.02163941
also,-0.021778747
galact,-0.021781204
z,-0.022032246
evolut,-0.022065371
effect,-0.02211307
paramet,-0.02228243
have,-0.022303697
between,-0.02248208
lens,-0.022566974
relat,-0.022577206
cmb,-0.022592064
than,-0.022815807
detect,-0.0231146
cluster,-0.023199243
time,-0.023297105
emiss,-0.023321733
high,-0.023356332
stellar,-0.023407403
two,-0.023438554
spectrum,-0.023504497
measur,-0.023665603
graviti,-0.0238104
inflationari,-0.023837503
ray,-0.02405215
one,-0.024100391
luminos,-0.024169449
0,-0.024251029
1,-0.024265077
telescop,-0.024278592
power,-0.02428776
possibl,-0.02429013
sourc,-0.024310496
has,-0.024335902
hubbl,-0.0244514
base,-0.024475157
discuss,-0.024481097
massiv,-0.02455142
differ,-0.024585743
earli,-0.024651514
provid,-0.024673901
new,-0.024729006
first,-0.024767105
depend,-0.024851236
simul,-0.024920601
compar,-0.024926491
well,-0.024927896
physic,-0.024955446
paper,-0.024959348
propos,-0.024962114
perturb,-0.024979183
non,-0.024983715
method,-0.024993408
probe,-0.025047543
sky,-0.025054343
genet,-0.025115976
order,-0.025146822
it,-0.025191542
baryon,-0.025194343
structur,-0.025195481
distribut,-0.02522621
radio,-0.025287252
constraint,-0.025309514
potenti,-0.025333242
more,-0.025372446
consist,-0.025382463
both,-0.025383309
all,-0.025399279
standard,-0.025414962
2,-0.025424473
includ,-0.025461808
most,-0.025468048
microwav,-0.025492167
rang,-0.025541123
expect,-0.025560308
futur,-0.025561137
general,-0.025581885
constrain,-0.025596265
radiat,-0.025645327
system,-0.025655372
popul,-0.025805824
properti,-0.025818737
other,-0.025825117
theori,-0.025835693
veri,-0.025900017
correl,-0.02590904
signific,-0.025910895
agn,-0.0259457
sampl,-0.026025975
space,-0.026031613
predict,-0.026041094
low,-0.026064212
veloc,-0.026093291
region,-0.026108371
like,-0.026118256
func,-0.026137428
form,-0.026141318
may,-0.0261595
analysi,-0.026227007
inflaton,-0.026346862
perform,-0.026353545
consid,-0.026354939
been,-0.026376778
small,-0.026395421
black,-0.0264041
estim,-0.026420318
5,-0.026423626
deriv,-0.026448403
recent,-0.026453886
quasar,-0.026474291
state,-0.026476229
approach,-0.02648233
3,-0.02648375
proc,-0.026492344
hole,-0.026492383
obtain,-0.026497852
some,-0.026510151
algo,-0.02651779
line,-0.026518624
within,-0.02652011
particl,-0.026522057
produc,-0.026538763
light,-0.026554566
merger,-0.026579117
when,-0.026582658
onli,-0.026584702
lead,-0.026586704
tensor,-0.026614962
astrophys,-0.026619218
limit,-0.026627095
epoch,-0.026632622
fraction,-0.026653484
spectra,-0.026659172
planck,-0.026692107
abund,-0.026724132
investig,-0.026734434
due,-0.026746782
signal,-0.026761144
x,-0.026763558
direct,-0.026764054
while,-0.026773324
domin,-0.026784468
out,-0.026792878
s,-0.026811538
howev,-0.026821105
flux,-0.026826182
work,-0.026851056
where,-0.026868882
case,-0.02687525
suggest,-0.026875695
learn,-0.026890788
bright,-0.026931547
allow,-0.026965687
test,-0.026995396
strong,-0.027025485
up,-0.02706002
found,-0.027078932
could,-0.027118504
current,-0.027123924
supernova,-0.027127
problem,-0.027142728
number,-0.027155321
demonstr,-0.027160253
dynam,-0.027164694
particular,-0.027198013
ratio,-0.027199911
fit,-0.027200494
here,-0.02720225
resolut,-0.027207231
coupl,-0.02721435
point,-0.027230192
scenario,-0.027232695
wave,-0.027241042
reioniz,-0.027263673
net,-0.027267996
determin,-0.02728471
statist,-0.027362797
generat,-0.0273746
