Term,Mitigated Information
planet,0.025532207
planetari,0.0056019085
exoplanet,0.001559726
earth,0.00042213034
orbit,0.000116791576
star,-0.000610346
observ,-0.00090547954
we,-0.002017828
solar,-0.0022199713
atmospher,-0.0030198083
jupit,-0.0034887367
from,-0.004596114
mass,-0.0054787397
stellar,-0.0074250847
use,-0.0077385744
have,-0.007971929
format,-0.008098402
disk,-0.008265222
which,-0.008373564
giant,-0.008378863
protoplanetari,-0.008600427
s,-0.008649068
system,-0.008689136
our,-0.008808894
mission,-0.008859479
asteroid,-0.008867171
model,-0.008941946
present,-0.009161674
result,-0.009363983
habit,-0.009376898
than,-0.009427789
detect,-0.009477268
find,-0.009629322
can,-0.009632085
around,-0.009694394
high,-0.009914724
dwarf,-0.010045714
1,-0.010061262
surfac,-0.010184629
eccentr,-0.010208728
dust,-0.010213536
evolut,-0.010306067
host,-0.010401577
studi,-0.010489786
like,-0.01052485
also,-0.010549946
telescop,-0.01062399
suggest,-0.010649648
radial,-0.0107910475
0,-0.010809085
bodi,-0.010937606
may,-0.010990425
show,-0.011061082
between,-0.011110545
has,-0.01119944
near,-0.011238308
data,-0.011246407
au,-0.011270296
transit,-0.011349584
two,-0.011376716
simul,-0.011521698
been,-0.0115296105
genet,-0.011611876
moon,-0.011614084
here,-0.011642877
accret,-0.011658265
low,-0.011717199
ice,-0.011751721
provid,-0.011755183
neptun,-0.011763688
time,-0.011774502
it,-0.011819627
comet,-0.011837462
kepler,-0.011901306
differ,-0.0119304005
veloc,-0.0119407885
planetesim,-0.011958353
belt,-0.011975936
period,-0.011979495
base,-0.012018271
proc,-0.0120437145
both,-0.012048548
2,-0.012064975
more,-0.012069033
inner,-0.012072884
outer,-0.012115216
5,-0.012118673
includ,-0.012120738
instrument,-0.012120819
hot,-0.01212963
larg,-0.012136482
form,-0.012181859
compar,-0.012243116
measur,-0.012251061
could,-0.012251288
terrestri,-0.012258001
size,-0.012265141
most,-0.012269855
water,-0.012325397
possibl,-0.012328684
composit,-0.0123310685
other,-0.012339085
temperatur,-0.012342152
radiat,-0.01237475
rang,-0.012379403
migrat,-0.012383951
rocki,-0.012433821
infrar,-0.012435282
region,-0.012439965
effect,-0.012440879
signific,-0.0124721695
saturn,-0.012487181
sun,-0.012492608
previous,-0.01250183
rotat,-0.012525671
one,-0.012533238
first,-0.0125661455
3,-0.012600408
abund,-0.012608861
new,-0.012692694
determin,-0.012702452
dure,-0.012722865
well,-0.012723583
mar,-0.012731785
method,-0.012796221
would,-0.012814307
meteorit,-0.0128253475
zone,-0.012842849
space,-0.012850262
paramet,-0.012857951
due,-0.012874078
paper,-0.012883597
propos,-0.012885141
howev,-0.012904391
exoplanetari,-0.012913441
m,-0.012919202
extrasolar,-0.012927424
object,-0.012956888
photometr,-0.0129584335
10,-0.012958881
consist,-0.012996025
found,-0.012998895
companion,-0.013005525
dynam,-0.013006483
small,-0.013024787
flux,-0.0130345905
were,-0.0130382795
radius,-0.013039084
constrain,-0.013065126
survey,-0.01307577
all,-0.013079742
timescal,-0.013080777
relat,-0.013105156
algo,-0.013116171
within,-0.013129175
spacecraft,-0.013163118
4,-0.013171104
year,-0.013175881
evid,-0.013189339
order,-0.013190949
import,-0.013196976
spectra,-0.013204946
ratio,-0.013205013
expect,-0.013208354
satellit,-0.0132306805
investig,-0.013234321
spectral,-0.013239745
potenti,-0.013244372
analysi,-0.013246687
properti,-0.013250861
light,-0.013259153
day,-0.013259626
long,-0.013264047
indic,-0.013322758
depend,-0.013326008
futur,-0.013336054
veri,-0.013352886
current,-0.013364737
tidal,-0.013373303
similar,-0.013377896
physic,-0.013388145
pressur,-0.013391264
impact,-0.013397722
silic,-0.013399833
up,-0.013408088
estim,-0.013425121
onli,-0.01343232
main,-0.013439419
work,-0.013440033
young,-0.013441443
while,-0.01344186
variat,-0.013445858
cometari,-0.013472688
understand,-0.013476498
about,-0.013477931
densiti,-0.013485303
bright,-0.013486061
when,-0.013494266
photometri,-0.013495097
debri,-0.013501347
emiss,-0.013502183
confirm,-0.013518396
direct,-0.0135187805
activ,-0.013521473
increas,-0.013525249
obtain,-0.013532587
distribut,-0.013537003
perform,-0.013537968
produc,-0.013539269
rate,-0.01354255
inclin,-0.013547574
eclips,-0.013556411
those,-0.01356211
imag,-0.013573471
addit,-0.013615458
cloud,-0.013624774
disc,-0.013635066
thermal,-0.01364033
approach,-0.01364824
over,-0.013651501
brown,-0.013651889
explain,-0.013667593
structur,-0.013668196
state,-0.013687961
popul,-0.013693288
domin,-0.013711775
limit,-0.013712663
search,-0.013714724
recent,-0.0137185
close,-0.013730965
field,-0.013733643
presenc,-0.013737085
phase,-0.013739249
nasa,-0.013741857
three,-0.01375213
through,-0.013755742
explor,-0.013755827
numer,-0.013780829
devel,-0.013781179
albedo,-0.013797117
some,-0.013811211
consid,-0.01381404
allow,-0.013823705
case,-0.013825769
strong,-0.013827153
predict,-0.013854397
deriv,-0.013859383
hd,-0.013864078
character,-0.013880977
known,-0.013895995
chondrit,-0.013903593
chemic,-0.013904949
occur,-0.013916352
daysid,-0.013922177
where,-0.013929257
fraction,-0.0139439255
micron,-0.013950414
requir,-0.013951895
precis,-0.013955174
wavelength,-0.013963095
target,-0.01396485
discuss,-0.013967736
radii,-0.014000081
problem,-0.014010981
type,-0.014013298
wasp,-0.014013396
origin,-0.014017109
sever,-0.014022282
km,-0.014033985
jwst,-0.0140354615
spectrograph,-0.014039661
resolut,-0.014041183
caus,-0.014042727
optic,-0.014042892
particular,-0.014044876
demonstr,-0.014064191
interior,-0.014064273
jovian,-0.014066881
line,-0.014067874
k,-0.014072405
magnitud,-0.014079652
curv,-0.01408116
less,-0.014085371
identifi,-0.014086464
calcul,-0.014088189
exist,-0.014093577
al,-0.014099827
co2,-0.014102167
condit,-0.014104715
larger,-0.014110093
heat,-0.014113366
locat,-0.014115195
major,-0.014117405
cassini,-0.014118919
wind,-0.014119268
particl,-0.01412338
earli,-0.014124507
general,-0.014127927
martian,-0.014132716
learn,-0.014138041
grain,-0.014149639
observatori,-0.014153191
net,-0.014157236
astronom,-0.0141639635
non,-0.014170228
how,-0.014176264
secular,-0.014183814
func,-0.014184173
higher,-0.014189731
ocean,-0.014193724
gravit,-0.014193843
scale,-0.0141955735
nearbi,-0.014196263
discov,-0.014199406
smaller,-0.014201061
massiv,-0.014201929
mean,-0.014204266
et,-0.014209604
becaus,-0.014212245
combin,-0.014220693
comput,-0.014223871
wide,-0.014226669
number,-0.01423397
i,-0.014239835
initi,-0.0142463045
h2o,-0.01424869
lower,-0.01425421
