Term,Mitigated Information
ray,0.015273111
observ,0.0016033181
emiss,-0.0014300845
we,-0.0034876869
gamma,-0.006504693
from,-0.0066486476
star,-0.0070111784
x,-0.00773809
energi,-0.008202108
accret,-0.010036062
black,-0.010282898
galact,-0.010471175
hole,-0.010674301
pulsar,-0.011642986
radio,-0.012090229
mass,-0.012301225
detect,-0.012348268
sourc,-0.012360756
neutron,-0.012454736
binari,-0.012822581
supernova,-0.012854144
high,-0.013501117
astrophys,-0.013760619
gravit,-0.014195736
use,-0.014291929
which,-0.014300419
model,-0.014334497
flux,-0.014410306
telescop,-0.014682555
present,-0.0150947645
can,-0.015249609
galaxi,-0.015376272
relativist,-0.015620236
jet,-0.015622657
cosmic,-0.015650988
result,-0.015966604
radiat,-0.01602951
burst,-0.016039923
studi,-0.016495014
time,-0.016512912
have,-0.01651825
find,-0.0167255
also,-0.016745947
spectral,-0.01685829
show,-0.01696267
our,-0.0170639
matter,-0.0172358
spectra,-0.017333098
data,-0.017423004
shock,-0.017483821
neutrino,-0.017792655
stellar,-0.017860794
event,-0.01789906
field,-0.017904151
spectrum,-0.017925661
evolut,-0.018053394
agn,-0.018057153
magnet,-0.018110238
wave,-0.018163368
observatori,-0.01817505
between,-0.018261159
has,-0.01839417
than,-0.018428568
two,-0.018511062
particl,-0.018547155
region,-0.018652631
merger,-0.018705307
differ,-0.018761683
1,-0.018762523
tev,-0.018849041
emit,-0.018909318
possibl,-0.018927567
produc,-0.018931016
light,-0.01893124
larg,-0.019009225
physic,-0.019079067
luminos,-0.019094415
gev,-0.019126955
line,-0.019150825
blazar,-0.019201195
wind,-0.019232363
progenitor,-0.019260377
discuss,-0.019286035
veri,-0.019295543
kev,-0.019311314
rang,-0.019327916
new,-0.019416086
nuclei,-0.019466847
effect,-0.019475676
base,-0.01948891
power,-0.01952023
one,-0.019523924
been,-0.019547082
flare,-0.01956684
remnant,-0.019633971
it,-0.01963875
properti,-0.019641157
signific,-0.019669633
most,-0.019716203
may,-0.019726183
measur,-0.019757194
simul,-0.019789312
disk,-0.01979493
first,-0.019815978
optic,-0.019817185
propos,-0.019821517
low,-0.019856125
like,-0.0198563
outburst,-0.019912045
recent,-0.01992146
paper,-0.019923499
dure,-0.019963076
compton,-0.01998097
bright,-0.019989042
provid,-0.02001205
relat,-0.020040529
system,-0.020053938
consist,-0.020057274
method,-0.020071154
paramet,-0.020095821
strong,-0.020126428
fermi,-0.020144202
xmm,-0.020164112
more,-0.020188512
0,-0.020206464
transient,-0.020218227
both,-0.020225395
lat,-0.020244936
5,-0.020259025
expect,-0.020260379
object,-0.020303294
state,-0.020308578
band,-0.020340485
suggest,-0.02035891
here,-0.020395659
massiv,-0.020401614
swift,-0.020416208
well,-0.020418497
compact,-0.020480093
10,-0.020530486
compar,-0.020565037
includ,-0.020569598
distribut,-0.020584254
rotat,-0.020599587
report,-0.020611657
all,-0.02061363
activ,-0.02062506
origin,-0.02062895
icecub,-0.020629723
analysi,-0.0206448
proc,-0.020659946
explos,-0.020662418
densiti,-0.020663466
s,-0.020673038
current,-0.02069535
ejecta,-0.020697676
grbs,-0.02070068
compon,-0.020721942
previous,-0.020722624
other,-0.020726858
scale,-0.0207518
outflow,-0.020763705
up,-0.020769473
grb,-0.020772133
frequenc,-0.020775873
due,-0.020808268
found,-0.020811446
depend,-0.020841124
could,-0.020843059
supermass,-0.02085314
acceler,-0.020875935
chandra,-0.020878343
around,-0.02088154
core,-0.020883765
investig,-0.020896884
plasma,-0.020909334
rate,-0.020924587
perform,-0.020969847
domin,-0.020972988
howev,-0.020994684
cherenkov,-0.020996928
2,-0.02100663
orbit,-0.02101329
period,-0.02101695
year,-0.021034043
interact,-0.021045618
detector,-0.021073315
approach,-0.021082174
curv,-0.021082249
medium,-0.021086102
dark,-0.021102872
thermal,-0.021119187
search,-0.021130536
limit,-0.02118555
constrain,-0.021186348
work,-0.021186884
non,-0.021199604
predict,-0.021202516
100,-0.0212326
within,-0.021247933
order,-0.021249989
while,-0.021255828
3,-0.021257095
variabl,-0.021304708
day,-0.021329507
format,-0.021336017
some,-0.021341957
onli,-0.021368625
when,-0.021374393
interstellar,-0.021382703
phase,-0.021391697
explain,-0.021404082
sky,-0.02141944
learn,-0.021443484
general,-0.021452183
evid,-0.021464434
long,-0.021494608
near,-0.021498242
through,-0.021507949
estim,-0.02151274
problem,-0.021535829
addit,-0.02155191
disc,-0.021563916
case,-0.02156737
about,-0.021574799
lead,-0.021579824
obtain,-0.021581585
futur,-0.021586929
background,-0.021589998
form,-0.021592516
allow,-0.021640092
mechan,-0.02167802
signal,-0.021687927
ligo,-0.021711849
where,-0.021713022
demonstr,-0.02172121
those,-0.021725439
angular,-0.021725722
probe,-0.021732982
photon,-0.021734072
consid,-0.021745257
determin,-0.02177535
direct,-0.021789953
type,-0.021791272
electromagnet,-0.021798655
structur,-0.021802615
sensit,-0.021805685
radius,-0.021815367
popul,-0.02182499
indic,-0.02184482
extragalact,-0.021845628
electron,-0.021847514
magnetospher,-0.021866273
soft,-0.021891115
after,-0.021891583
calcul,-0.021901298
over,-0.021901958
would,-0.02191512
peak,-0.02192863
func,-0.021931676
space,-0.021943117
out,-0.021946527
three,-0.021948477
net,-0.021953028
understand,-0.02195638
sever,-0.021960149
collaps,-0.021972701
were,-0.021983914
few,-0.0219841
instabl,-0.021987619
associ,-0.021995991
generat,-0.02200079
psr,-0.022019543
sn,-0.022028198
increas,-0.022035649
detail,-0.022036292
fit,-0.022036307
devel,-0.022038855
particular,-0.022050546
featur,-0.022053424
comput,-0.02207776
surround,-0.022085326
import,-0.02209459
algo,-0.022103734
sne,-0.022104455
test,-0.022124099
array,-0.02212419
spin,-0.022136683
applic,-0.022136971
candid,-0.02214133
i,-0.02215233
set,-0.022153804
fast,-0.022159003
synchr,-0.022174032
