Term,Mitigated Information
telescop,0.0029098988
we,-0.004275332
instrument,-0.0055804686
use,-0.0066289627
observ,-0.0077014137
from,-0.0077499524
data,-0.0092852395
astronom,-0.009435065
present,-0.010067651
observatori,-0.010413054
astronomi,-0.010469068
high,-0.010783276
star,-0.011162246
detect,-0.011803104
sky,-0.011955111
mission,-0.0119578
detector,-0.012097112
can,-0.01232497
imag,-0.012438085
which,-0.012477374
sourc,-0.012806752
optic,-0.013225817
time,-0.0132407425
measur,-0.013450884
astrophys,-0.013528827
result,-0.013555873
scienc,-0.013599368
have,-0.013647261
has,-0.013731543
ray,-0.013752094
base,-0.013778131
array,-0.013903098
model,-0.013944233
survey,-0.014042152
atmospher,-0.014053487
perform,-0.014059497
also,-0.014259202
resolut,-0.01430408
our,-0.014312347
new,-0.014314862
provid,-0.014530152
method,-0.014567768
larg,-0.014660222
signal,-0.014663178
devel,-0.0148057025
planet,-0.014909488
test,-0.0149342455
rang,-0.014972717
simul,-0.015057869
radio,-0.015201755
field,-0.01527079
exoplanet,-0.015292352
system,-0.015299814
design,-0.015302531
been,-0.01531595
earth,-0.015336478
studi,-0.015337817
nois,-0.015409843
scientif,-0.015439188
space,-0.015440514
show,-0.015459797
proc,-0.015462926
two,-0.015504819
requir,-0.01551956
includ,-0.015589377
paper,-0.015660089
futur,-0.015660759
sensit,-0.01569248
analysi,-0.015724547
stellar,-0.015736528
light,-0.015832309
1,-0.015836645
calibr,-0.015864313
well,-0.01588198
gravit,-0.015884224
it,-0.015909415
solar,-0.01592956
than,-0.01597406
s,-0.016038135
one,-0.016084189
low,-0.016122747
differ,-0.0161316
galaxi,-0.01618685
current,-0.016228132
cosmic,-0.01624668
effect,-0.016250659
allow,-0.016258765
first,-0.016302008
between,-0.016306853
propos,-0.016321022
band,-0.01633461
describ,-0.016366098
photometr,-0.016384376
wavelength,-0.016434044
both,-0.016446944
all,-0.016483812
spectral,-0.016538097
compar,-0.016561855
search,-0.016567864
more,-0.016582083
limit,-0.01658946
algo,-0.016652089
work,-0.016654696
object,-0.016661642
discuss,-0.016682774
techniqu,-0.01671177
produc,-0.01675841
other,-0.01676414
energi,-0.016786678
estim,-0.016861886
over,-0.01686832
improv,-0.016871635
veri,-0.01687179
year,-0.016896123
demonstr,-0.01689695
spectrograph,-0.016900916
frequenc,-0.016901176
10,-0.016931875
2,-0.016948739
emiss,-0.016995734
approach,-0.017010316
signific,-0.01707157
up,-0.017105337
5,-0.017114485
event,-0.017134193
orbit,-0.017152898
0,-0.017159969
project,-0.017161332
find,-0.017166566
cherenkov,-0.017168313
direct,-0.017180055
here,-0.017183594
precis,-0.017207503
expect,-0.017213514
paramet,-0.017224569
most,-0.017245654
apertur,-0.017255917
order,-0.01729319
potenti,-0.017305575
obtain,-0.01730737
wide,-0.017314015
bright,-0.017331358
capabl,-0.017340763
galact,-0.017343128
set,-0.017368134
state,-0.017383322
facil,-0.01738888
inform,-0.017406031
generat,-0.017429736
addit,-0.017439129
increas,-0.017446704
func,-0.017477863
implement,-0.017485317
background,-0.017485691
sever,-0.01748642
satellit,-0.017495919
infrar,-0.017505918
distribut,-0.017507076
possibl,-0.017510602
