Term,Mitigated Information
star,0.028325316
observ,0.00486162
solar,0.0037444262
stellar,-0.00020804163
we,-0.004268073
mass,-0.0068491623
from,-0.008599895
magnet,-0.015173459
use,-0.015459811
dwarf,-0.015987616
which,-0.017395549
evolut,-0.017508
have,-0.017936707
present,-0.01846036
coron,-0.018578524
line,-0.018784005
emiss,-0.019038212
model,-0.019074842
result,-0.019218195
region,-0.019536873
our,-0.019711832
sun,-0.019832652
high,-0.02001642
studi,-0.020128796
binari,-0.020335503
period,-0.020347847
spectra,-0.020351065
field,-0.02055784
0,-0.020590382
than,-0.021078654
find,-0.021171235
flux,-0.021172892
telescop,-0.021257749
also,-0.021379821
show,-0.02140257
can,-0.021513876
spectroscop,-0.021535095
flare,-0.021536967
1,-0.021853223
format,-0.021864515
between,-0.021912914
veloc,-0.022215927
photospher,-0.022302862
atmospher,-0.02240078
giant,-0.022762403
data,-0.022764523
two,-0.022836665
suggest,-0.022949567
time,-0.023010405
spectral,-0.023026064
wind,-0.02307773
disk,-0.02321293
photometr,-0.023229709
larg,-0.023250315
rotat,-0.02334507
differ,-0.023397326
found,-0.023721734
type,-0.023806993
low,-0.02389654
has,-0.023949714
orbit,-0.024010321
photometri,-0.024015732
were,-0.024025444
detect,-0.024051279
abund,-0.024059942
determin,-0.02416913
planet,-0.024203358
5,-0.024227522
near,-0.024296299
most,-0.02437121
young,-0.024388101
2,-0.0244002
dure,-0.024486348
planetari,-0.024500769
3,-0.024512244
like,-0.024528235
been,-0.024552917
resolut,-0.024575414
bright,-0.024587989
eject,-0.024663895
radial,-0.024737863
one,-0.024769712
accret,-0.024781846
corona,-0.024822138
compar,-0.024857514
system,-0.024882786
s,-0.024893682
massiv,-0.024934275
galact,-0.024966773
base,-0.02499386
provid,-0.025013924
more,-0.025073042
may,-0.025085643
it,-0.02511109
analysi,-0.025217157
companion,-0.025225092
well,-0.025226738
measur,-0.025274487
first,-0.02530519
relat,-0.02530925
erupt,-0.02532731
new,-0.025342893
both,-0.02545027
paramet,-0.02545258
survey,-0.025500473
previous,-0.025532283
plasma,-0.025550364
strong,-0.025627911
rang,-0.025648804
obtain,-0.025673108
other,-0.025692742
effect,-0.025727566
luminos,-0.025740854
activ,-0.025781762
propos,-0.025792345
red,-0.025809696
supernova,-0.025841152
all,-0.025851216
radiat,-0.0258981
sourc,-0.025946112
white,-0.025964605
main,-0.026010707
method,-0.026041655
paper,-0.026098952
light,-0.026140828
investig,-0.026154218
around,-0.026170833
object,-0.026203983
signific,-0.026214503
includ,-0.026249874
infrar,-0.026255496
structur,-0.026271649
pulsat,-0.026279155
proc,-0.026303656
possibl,-0.02633569
confirm,-0.02639493
indic,-0.02645365
form,-0.026456065
properti,-0.026466016
ray,-0.026475929
optic,-0.02654152
within,-0.026553523
temperatur,-0.026559649
convect,-0.02655971
veri,-0.026579674
observatori,-0.026589971
chromospher,-0.026601044
popul,-0.026621273
consist,-0.026654596
physic,-0.026760466
three,-0.02676552
astrophys,-0.026798096
mhd,-0.026806407
variabl,-0.026820598
cluster,-0.026827948
evid,-0.026839513
energi,-0.026841396
10,-0.026916454
simul,-0.026941128
i,-0.02696826
identifi,-0.02697762
progenitor,-0.026982725
here,-0.027036063
nebula,-0.027041715
scale,-0.027084611
circumstellar,-0.02708983
age,-0.027091468
sampl,-0.027132161
eclips,-0.027143959
onli,-0.027192753
dust,-0.027192768
h,-0.027194679
howev,-0.027197054
imag,-0.027205331
deriv,-0.027231112
sunspot,-0.027233524
variat,-0.02727906
surfac,-0.027298238
about,-0.027311308
phase,-0.027319606
produc,-0.027351312
space,-0.027378138
densiti,-0.027402412
6,-0.027402967
gaia,-0.027416542
