Term,Mitigated Information
electron,-0.0052886745
we,-0.007340462
quantum,-0.012616847
spin,-0.021171972
magnet,-0.022585288
effect,-0.028479613
coupl,-0.029293833
state,-0.030518029
field,-0.030595532
can,-0.03251744
which,-0.03385565
use,-0.034493066
two,-0.034642737
system,-0.03485127
energi,-0.0352265
from,-0.035722967
show,-0.03594483
dot,-0.035993066
transport,-0.036652867
interact,-0.036796954
studi,-0.037116326
result,-0.03774489
between,-0.037788577
temperatur,-0.038451843
here,-0.038824543
depend,-0.039526246
devic,-0.039878916
hall,-0.040189575
our,-0.040192947
topolog,-0.040207498
induc,-0.040226847
model,-0.040384453
tunnel,-0.040829808
charg,-0.040835187
metal,-0.040836025
reson,-0.04131621
insul,-0.041425586
materi,-0.041571576
band,-0.04179883
calcul,-0.04185232
electr,-0.042386666
strong,-0.042398464
current,-0.042563587
dimension,-0.042700566
experiment,-0.04274103
properti,-0.042759784
conduct,-0.042768233
demonstr,-0.042824436
phase,-0.04335641
structur,-0.043920524
singl,-0.04396929
func,-0.04401113
base,-0.044178113
excit,-0.044209093
non,-0.04421293
transit,-0.044213712
also,-0.044225857
find,-0.044250175
graph,-0.044294655
paper,-0.04439581
densiti,-0.04449057
observ,-0.044725917
differ,-0.044877555
polar,-0.04511202
one,-0.045112133
optic,-0.045132507
semiconductor,-0.045142725
have,-0.045250285
voltag,-0.04526112
regim,-0.04550346
junction,-0.045743942
ferromagnet,-0.04587579
orbit,-0.045921817
measur,-0.045951866
propos,-0.04597564
investig,-0.04602421
symmetri,-0.046057113
present,-0.046089895
mode,-0.046092615
due,-0.046102792
high,-0.04612232
both,-0.046166368
method,-0.046236087
time,-0.046275545
theoret,-0.046596657
provid,-0.046621896
well,-0.04662212
potenti,-0.046668887
phonon,-0.04666938
lead,-0.04680261
exciton,-0.046856754
surfac,-0.046899896
local,-0.04690769
low,-0.046944387
dynam,-0.046962358
has,-0.04702516
theori,-0.047053527
gate,-0.047145173
superconduct,-0.047179855
atom,-0.04722246
data,-0.047401227
direct,-0.04745378
control,-0.04749022
frequenc,-0.04752425
approach,-0.047786806
carrier,-0.047880158
order,-0.047942273
presenc,-0.0479595
bilay,-0.048050374
realiz,-0.048099123
through,-0.04814654
scatter,-0.048242774
applic,-0.048251335
gap,-0.04829233
perform,-0.04848927
layer,-0.04852098
oscil,-0.048579514
mechan,-0.048641846
when,-0.04866511
it,-0.048678525
dirac,-0.0487596
edg,-0.048761506
bulk,-0.048795056
proc,-0.04900348
work,-0.04901277
been,-0.04902517
reveal,-0.0491236
learn,-0.049124066
exhibit,-0.049127955
report,-0.04917051
photon,-0.049215563
recent,-0.04924687
fermi,-0.049263895
rang,-0.049265668
new,-0.049271956
allow,-0.049295276
problem,-0.049323913
lattic,-0.049368408
coher,-0.04943215
heterostructur,-0.04943845
larg,-0.049456652
physic,-0.049462896
thermal,-0.04953711
where,-0.04955848
appli,-0.04957226
level,-0.049662434
under,-0.049666546
nanowir,-0.049747013
monolay,-0.04978421
obtain,-0.0498102
coulomb,-0.049851697
nanoscal,-0.049860634
relat,-0.04986964
first,-0.049876627
wave,-0.049883455
general,-0.04991479
extern,-0.04995926
consid,-0.049961183
crystal,-0.05000465
paramet,-0.050019227
increas,-0.05002846
experi,-0.050083183
howev,-0.05015256
devel,-0.050154403
limit,-0.050186615
found,-0.050198555
possibl,-0.05023102
generat,-0.050304644
describ,-0.05041025
disord,-0.050428916
chiral,-0.05044988
respons,-0.05045016
s,-0.05048392
zero,-0.050535243
while,-0.050585594
tunabl,-0.05059031
number,-0.050595243
comput,-0.050604153
simul,-0.05062229
spectroscopi,-0.050628893
within,-0.050708953
compar,-0.05071744
spintron,-0.050721243
discuss,-0.050733563
film,-0.050744012
net,-0.05080421
point,-0.050823104
case,-0.05087761
form,-0.05089695
than,-0.050915923
qubit,-0.050971333
set,-0.05098197
more,-0.051008407
algo,-0.051072206
determin,-0.05108272
includ,-0.051089384
light,-0.051110268
near,-0.05112258
addit,-0.051131714
onli,-0.051141072
strength,-0.051141277
numer,-0.051152863
equat,-0.051173814
impur,-0.051212367
dataset,-0.051249363
scale,-0.051262733
predict,-0.05127229
other,-0.051272456
landau,-0.051326435
behavior,-0.05134402
fermion,-0.051345825
probe,-0.051349945
microscopi,-0.051350124
open,-0.05140507
train,-0.051406574
confin,-0.051436264
nm,-0.05145004
bind,-0.05145978
enhanc,-0.05147886
correl,-0.051500436
exist,-0.051512446
signific,-0.051517483
resist,-0.051562555
analyt,-0.051579505
interfac,-0.051599298
thin,-0.0516413
character,-0.051643074
type,-0.051650733
nanostructur,-0.051657416
tune,-0.051675584
emerg,-0.051691804
transistor,-0.05171276
all,-0.051715482
fabric,-0.051719505
even,-0.051719584
chang,-0.051730998
hamiltonian,-0.051742613
contact,-0.05176311
plasmon,-0.05177169
particular,-0.051778764
effici,-0.05177885
introduc,-0.051782273
2d,-0.051786985
rashba,-0.051793974
task,-0.05180682
microscop,-0.051824838
magnitud,-0.051836822
linear,-0.051843192
space,-0.051854346
plane,-0.051869392
import,-0.051870402
three,-0.051874273
consist,-0.05187515
1,-0.051901758
like,-0.05191202
pump,-0.051928
finit,-0.051940985
particl,-0.051941227
substrat,-0.051945675
improv,-0.051951047
inform,-0.051959958
deriv,-0.051970206
up,-0.051985227
equilibrium,-0.05202511
nanotub,-0.05202856
analysi,-0.0520412
condit,-0.05205164
superconductor,-0.052056197
spectrum,-0.05206393
way,-0.052110307
exchang,-0.05211139
combin,-0.052113812
molecular,-0.05211804
term,-0.052133396
nano,-0.052137025
carbon,-0.05216767
revers,-0.05217551
phenomena,-0.052212253
how,-0.052224502
may,-0.052228846
weak,-0.052241676
break,-0.052257713
optim,-0.052291866
period,-0.05229592
featur,-0.052325897
techniqu,-0.052326206
via,-0.052329943
over,-0.052345615
