Term,Mitigated Information
bose,0.009615273
condens,0.0028686048
atom,0.002572558
we,-0.00034181576
quantum,-0.00066939497
interact,-0.0013716879
ultracold,-0.0023559062
state,-0.0040800017
superfluid,-0.004215079
einstein,-0.0045147045
trap,-0.004770277
system,-0.004826097
phase,-0.0060007726
gase,-0.0063352566
lattic,-0.0070621613
dimension,-0.007866136
two,-0.007908053
bodi,-0.007913652
boson,-0.008092752
spin,-0.008193661
genet,-0.008354701
fermion,-0.00837512
which,-0.00843465
fermi,-0.008816892
dynam,-0.008838014
studi,-0.008857669
optic,-0.00898772
coupl,-0.0090219835
can,-0.009022044
densiti,-0.00919977
excit,-0.009356005
use,-0.009472476
regim,-0.009548818
particl,-0.009629423
from,-0.009770793
bec,-0.009788037
show,-0.009854235
transit,-0.009858212
potenti,-0.010113154
cold,-0.010113824
field,-0.010172556
experiment,-0.010237319
result,-0.0104506565
model,-0.010525861
our,-0.01053496
effect,-0.010539262
one,-0.010598352
strong,-0.010722066
find,-0.010787422
between,-0.01081761
realiz,-0.011038523
energi,-0.011073819
pitaevskii,-0.011106819
hubbard,-0.011164025
non,-0.011181415
wave,-0.011183695
time,-0.011270866
temperatur,-0.011403585
observ,-0.011637963
investig,-0.011686513
repuls,-0.011752072
momentum,-0.01181006
depend,-0.011826856
also,-0.01183079
numer,-0.011843423
algo,-0.011864511
paper,-0.011871824
mani,-0.011871899
gross,-0.011946758
strength,-0.012003318
ground,-0.012022833
correl,-0.012066993
order,-0.012160448
differ,-0.012255581
physic,-0.012280469
mode,-0.0123013
base,-0.012342815
method,-0.012433644
properti,-0.012469769
well,-0.012470229
confin,-0.012474981
long,-0.012479289
propos,-0.01248163
demonstr,-0.012506779
present,-0.012534143
theori,-0.01254482
rang,-0.012550035
experi,-0.012611536
attract,-0.012626004
consid,-0.01262694
local,-0.012647297
paramet,-0.012663815
matter,-0.012667681
analyt,-0.012701081
bogoliubov,-0.0127070835
equat,-0.0127071915
insul,-0.012716742
quench,-0.012719498
provid,-0.012744686
reson,-0.012755484
magnet,-0.012756654
func,-0.012763172
simul,-0.012763809
calcul,-0.012781724
induc,-0.012783929
data,-0.012798543
pair,-0.012801353
mean,-0.012808959
here,-0.012822237
both,-0.012824029
have,-0.012843362
approach,-0.0128510585
symmetri,-0.012854005
presenc,-0.012855348
three,-0.012862119
equilibrium,-0.012864184
weak,-0.012874533
oscil,-0.012875096
fluctuat,-0.0128755495
limit,-0.012893936
exhibit,-0.012895695
dipolar,-0.012896173
where,-0.012913752
diagram,-0.01298026
mott,-0.013006436
perform,-0.013036539
describ,-0.013040676
number,-0.013077235
singl,-0.013083343
discuss,-0.013086958
has,-0.013117575
exact,-0.013131077
lead,-0.013138982
finit,-0.013145514
vortex,-0.013147152
when,-0.013168961
zero,-0.013171969
hamiltonian,-0.013197188
scatter,-0.013200074
harmon,-0.013232697
recent,-0.013233831
learn,-0.013235681
feshbach,-0.013268209
orbit,-0.013285206
topolog,-0.013286371
character,-0.01328834
general,-0.013302506
soliton,-0.013323627
spectrum,-0.013331402
high,-0.013369953
control,-0.013377651
coher,-0.01339325
it,-0.01340189
disord,-0.013402299
case,-0.0134046115
thermal,-0.0134074725
emerg,-0.01342562
critic,-0.013438089
rydberg,-0.013460504
first,-0.013483111
new,-0.013488311
measur,-0.013506785
