Term,Mitigated Information
we,-0.0038398923
liquid,-0.011023743
dynam,-0.011065761
particl,-0.011822099
simul,-0.012702848
model,-0.013612052
which,-0.014135217
use,-0.014365751
studi,-0.01440256
from,-0.014607051
molecular,-0.014714185
polym,-0.01488417
colloid,-0.01500733
fluid,-0.015457194
result,-0.015547546
can,-0.015735254
between,-0.015916692
show,-0.016159143
system,-0.016578333
forc,-0.016933575
two,-0.017074853
elast,-0.017126251
here,-0.017447978
our,-0.017477818
mechan,-0.017480878
structur,-0.01749362
shear,-0.017543606
phase,-0.017712684
find,-0.017810326
effect,-0.017819995
depend,-0.017884253
interact,-0.017913984
materi,-0.018263591
surfac,-0.018406585
transit,-0.018437909
differ,-0.018873231
observ,-0.019091355
stress,-0.019118018
behavior,-0.019207146
equilibrium,-0.019209286
flow,-0.019460943
non,-0.019499935
properti,-0.019578647
energi,-0.01962884
theori,-0.019645229
experiment,-0.019779265
state,-0.019786648
also,-0.019804139
rang,-0.019931836
time,-0.019972827
paper,-0.020010509
investig,-0.020026607
solid,-0.020046862
base,-0.020063331
self,-0.020072328
densiti,-0.020091556
have,-0.020108873
glass,-0.020214492
func,-0.02023879
scale,-0.020265097
activ,-0.020315466
both,-0.020318558
diffus,-0.020334385
nemat,-0.020435046
present,-0.02045196
method,-0.02047275
propos,-0.020479228
size,-0.020513043
numer,-0.02056775
length,-0.020574039
confin,-0.020589871
order,-0.0206073
fluctuat,-0.020619072
temperatur,-0.020625073
suspens,-0.020653374
proc,-0.020688768
one,-0.02070289
predict,-0.020711556
form,-0.020765873
water,-0.020783784
droplet,-0.020796591
increas,-0.02082694
soft,-0.0208605
crystal,-0.020898148
concentr,-0.02097286
well,-0.021023087
induc,-0.021034015
field,-0.021054
cell,-0.021119386
high,-0.021122165
molecul,-0.02114065
exhibit,-0.021158159
rheolog,-0.021159753
shape,-0.021181338
pack,-0.021202385
it,-0.02121361
when,-0.02122761
motion,-0.021267835
has,-0.021281539
protein,-0.021288816
approach,-0.021296676
deform,-0.021304311
provid,-0.021308564
data,-0.021318642
direct,-0.021321679
respons,-0.021341374
potenti,-0.021358117
under,-0.021387212
where,-0.021402135
larg,-0.021421123
interfac,-0.02142435
relat,-0.021451022
experi,-0.021463811
like,-0.02155172
theoret,-0.021568432
describ,-0.021575525
assembl,-0.021593142
perform,-0.021598365
chain,-0.021621417
small,-0.021680728
obtain,-0.021687534
contact,-0.021690678
lead,-0.021710204
dimension,-0.021719884
demonstr,-0.021733085
paramet,-0.02175149
hydrodynam,-0.02175286
granular,-0.02177547
separ,-0.021778803
agreement,-0.021786328
biolog,-0.021786591
occur,-0.021826556
general,-0.021830937
local,-0.021850249
microscop,-0.021852614
equat,-0.021856215
kinet,-0.0218621
strong,-0.021881528
pressur,-0.021886514
chang,-0.021892203
devel,-0.021897092
solut,-0.021965798
veloc,-0.021974485
been,-0.02200213
work,-0.022009255
found,-0.022014052
long,-0.022030037
propel,-0.022032134
solvent,-0.022032376
relax,-0.02206851
sphere,-0.022092368
than,-0.022107307
analyt,-0.022127371
new,-0.022128176
first,-0.022131648
consid,-0.022147354
while,-0.022149807
control,-0.022154763
measur,-0.022165902
bulk,-0.022178138
distribut,-0.022178568
substrat,-0.02219502
learn,-0.02219827
macroscop,-0.022202184
applic,-0.022206206
thermodynam,-0.022219818
compar,-0.022227947
friction,-0.022234913
coupl,-0.02223875
through,-0.022244986
free,-0.02225648
due,-0.022260647
problem,-0.022262067
complex,-0.022265863
rate,-0.02227364
mean,-0.02227449
gel,-0.022286909
simpl,-0.022289012
linear,-0.02229079
how,-0.022300733
low,-0.022321645
brownian,-0.02232524
comput,-0.022327535
regim,-0.022331951
more,-0.022340186
recent,-0.02235741
limit,-0.022372656
allow,-0.022373125
howev,-0.022379315
calcul,-0.022403734
other,-0.02240988
number,-0.0224116
format,-0.022417003
physic,-0.022434253
appli,-0.022444246
case,-0.022452844
strain,-0.02250207
role,-0.022514706
spheric,-0.022568194
condit,-0.022571072
isotrop,-0.022571143
viscos,-0.022579184
correl,-0.022596532
interfaci,-0.022603355
disord,-0.02260364
includ,-0.022614826
determin,-0.022618104
volum,-0.02261887
reveal,-0.02262238
lattic,-0.02262436
onli,-0.02263559
orient,-0.022648213
three,-0.022705536
boundari,-0.022710605
net,-0.02271619
suggest,-0.022718279
thermal,-0.022737566
discuss,-0.022750637
all,-0.022780163
s,-0.022790277
dna,-0.022793068
within,-0.022802189
glassi,-0.02281484
analysi,-0.022823198
critic,-0.022824299
singl,-0.022837752
wall,-0.022861034
algo,-0.022861782
set,-0.022875095
emerg,-0.022883182
deriv,-0.02289982
possibl,-0.022903044
term,-0.02291554
rigid,-0.022940215
introduc,-0.022950951
crystallin,-0.02295198
addit,-0.022954607
dataset,-0.022956075
aqueous,-0.022974143
exist,-0.022977836
natur,-0.022982234
may,-0.022989579
viscous,-0.02299943
grain,-0.0230006
tension,-0.02300185
understand,-0.02301114
signific,-0.02302021
generat,-0.023022057
swim,-0.023042059
viscoelast,-0.02304593
layer,-0.023062382
charg,-0.02306774
improv,-0.023071447
along,-0.023073958
near,-0.023078466
motil,-0.02308265
character,-0.023100475
consist,-0.023104157
steadi,-0.023104783
inform,-0.02311285
design,-0.023118837
wet,-0.023123011
combin,-0.023128025
nucleat,-0.023149509
pattern,-0.023151271
over,-0.023151577
e,-0.023161467
shown,-0.023163956
propuls,-0.023164054
attract,-0.023165993
quantit,-0.023167374
valu,-0.023174778
point,-0.02318313
driven,-0.023198504
fraction,-0.023202203
mixtur,-0.023203129
task,-0.023203501
train,-0.023204956
mem,-0.02320699
polymer,-0.023209404
space,-0.023226818
i,-0.02323164
decreas,-0.023242071
extern,-0.023245644
account,-0.023251634
presenc,-0.02325317
hard,-0.023253443
particular,-0.023256661
stabil,-0.023258295
report,-0.023269566
thin,-0.02328035
constant,-0.02330398
law,-0.023305243
transport,-0.023310266
mani,-0.023315776
stretch,-0.023320815
yield,-0.023344843
move,-0.02336014
becom,-0.023362605
optim,-0.02336505
each,-0.023365257
final,-0.023369174
framework,-0.023372909
supercool,-0.023378387
even,-0.023385799
distinct,-0.023397166
featur,-0.023406204
interplay,-0.023406396
bend,-0.023407308
phenomena,-0.023410948
bond,-0.023413306
rod,-0.023423973
hydrophob,-0.023424903
repuls,-0.023425065
achiev,-0.023426548
effici,-0.023433274
influenc,-0.02343356
import,-0.023434078
some,-0.023435153
slow,-0.023436453
known,-0.023441887
close,-0.02344473
pore,-0.023447672
filament,-0.023455286
electrostat,-0.023459435
amorph,-0.023460565
region,-0.023466773
mont,-0.02346693
carlo,-0.02346779
spontan,-0.023477977
geometri,-0.023480551
configur,-0.02348069
similar,-0.023484278
stiff,-0.023510309
monom,-0.023516651
requir,-0.02351712
finit,-0.02351865
specif,-0.023519194
spatial,-0.023520345
dissip,-0.023520716
behaviour,-0.023527898
type,-0.02353098
microfluid,-0.023533769
strength,-0.023534555
via,-0.023537323
chemic,-0.023539495
vesicl,-0.023547355
undergo,-0.023550931
associ,-0.023554556
nanoparticl,-0.023555787
correspond,-0.023555892
sever,-0.023564776
displac,-0.023571776
thus,-0.023583647
adsorpt,-0.023586875
approxim,-0.023588836
evalu,-0.02358885
1,-0.02358999
further,-0.023595948
coeffici,-0.023596715
same,-0.02359829
dilut,-0.023599155
novel,-0.023601573
bead,-0.02360472
vari,-0.023621146
swimmer,-0.023629887
phenomenon,-0.023631118
most,-0.02363612
explain,-0.023636742
jam,-0.023641083
surfact,-0.023643516
film,-0.023647305
matter,-0.023650238
random,-0.023651183
take,-0.02365338
power,-0.023655482
melt,-0.023657091
veri,-0.023659132
out,-0.023659512
rotat,-0.023668656
descript,-0.023670534
challeng,-0.023671977
techniqu,-0.023678547
previous,-0.023692636
mode,-0.023696601
coars,-0.023704898
up,-0.023705672
emuls,-0.023710418
dure,-0.023712425
instabl,-0.023713153
strand,-0.023715638
explor,-0.023735378
quantum,-0.023737386
compress,-0.023739249
wide,-0.023756616
slip,-0.023756782
various,-0.023757894
real,-0.02376308
homogen,-0.023767568
diagram,-0.02376944
identifi,-0.023778249
ratio,-0.023789218
level,-0.023789892
electrolyt,-0.023790266
2,-0.023795303
initi,-0.023809277
estim,-0.023810728
porous,-0.023812672
growth,-0.023822501
larger,-0.023828728
salt,-0.023836572
analyz,-0.023838961
minim,-0.02384334
io,-0.023845121
way,-0.023853483
lipid,-0.023855384
abov,-0.023870502
evolut,-0.023877002
oper,-0.023877919
posit,-0.023880629
remain,-0.02388192
exampl,-0.023882711
elucid,-0.023884373
art,-0.02389129
second,-0.023892
extend,-0.023895903
given,-0.023899892
copolym,-0.023907907
drive,-0.02390939
profil,-0.023913095
director,-0.023913356
compon,-0.023917627
connect,-0.023925934
cluster,-0.023926718
morpholog,-0.023931269
collect,-0.023932971
express,-0.023939366
nonlinear,-0.02394095
imag,-0.023943825
prove,-0.023944393
lennard,-0.023944488
persist,-0.02394772
reduc,-0.02395016
class,-0.023950357
thick,-0.023954036
expon,-0.023955507
so,-0.02395557
construct,-0.023957323
fundament,-0.023960471
make,-0.023964362
organ,-0.023964677
statist,-0.02396484
dimens,-0.023966514
angl,-0.023975879
stabl,-0.023975953
mesoscop,-0.023976933
short,-0.023977092
characterist,-0.023991307
parallel,-0.02399602
neural,-0.023998536
period,-0.023998566
focus,-0.02400509
give,-0.02400518
test,-0.024005506
typic,-0.024009937
vibrat,-0.024010528
pair,-0.024012713
play,-0.024015557
intern,-0.024021063
extens,-0.024021672
interest,-0.024021728
enhanc,-0.02402674
exact,-0.024027526
ani,-0.024029156
detect,-0.02403005
relev,-0.024044214
us,-0.02404538
without,-0.024047842
current,-0.024053805
geometr,-0.024054708
follow,-0.02405524
capillari,-0.024058416
medium,-0.024061512
qualit,-0.024062835
environ,-0.024066292
integr,-0.024066556
frequenc,-0.024066612
valid,-0.02407264
multipl,-0.024074098
phys,-0.02407824
micro,-0.024083063
revers,-0.024085546
averag,-0.024085853
adhes,-0.02409055
crossov,-0.02409148
detail,-0.024093524
respect,-0.024094252
user,-0.024095533
research,-0.024104455
continu,-0.024110327
contain,-0.02411498
were,-0.024116782
load,-0.024119893
classic,-0.024120294
display,-0.024123954
sampl,-0.024125304
opposit,-0.024125833
trap,-0.02413075
radius,-0.02413083
scatter,-0.024133323
conform,-0.024134517
continuum,-0.024140136
squar,-0.024140637
symmetri,-0.024141269
plastic,-0.024142932
gradient,-0.024144415
enabl,-0.024145639
involv,-0.024145951
contribut,-0.024146266
interparticl,-0.024150705
adsorb,-0.024152871
object,-0.024156239
spring,-0.024157427
aris,-0.02415855
anisotrop,-0.024166174
static,-0.024169607
multi,-0.024170713
address,-0.024173222
below,-0.024174782
langevin,-0.024178587
insid,-0.02418063
upon,-0.02418179
higher,-0.024185684
elong,-0.024189733
topolog,-0.024190012
good,-0.024191681
defect,-0.024192855
suffici,-0.024193026
domain,-0.024195543
languag,-0.024195893
sourc,-0.02420323
indic,-0.024203965
threshold,-0.024204398
arrest,-0.024204822
establish,-0.024207719
defin,-0.024214905
variat,-0.024215065
uniform,-0.024215354
wherea,-0.024215711
wave,-0.024217505
aggreg,-0.024218224
examin,-0.024218671
origin,-0.024224536
implement,-0.024230663
reproduc,-0.024232239
dens,-0.024233514
light,-0.024233762
produc,-0.024236917
either,-0.024242103
them,-0.024244146
affect,-0.024247162
appear,-0.024247535
represent,-0.024247788
contrast,-0.02424906
break,-0.02425253
magnitud,-0.024253853
polydispers,-0.024254061
polar,-0.024256535
speed,-0.024258038
common,-0.02426029
dispers,-0.024262689
employ,-0.024264889
repres,-0.02426514
distanc,-0.02426516
microswimm,-0.024265427
domin,-0.024266146
bodi,-0.024267
open,-0.024269586
avail,-0.024271267
electr,-0.024275599
need,-0.02427656
caus,-0.024278073
heterogen,-0.024281522
down,-0.024284258
solv,-0.024288
key,-0.024288287
transfer,-0.024291482
accuraci,-0.02429221
biopolym,-0.024292227
smectic,-0.024292227
independ,-0.024292493
quasi,-0.024292786
metast,-0.024297174
condens,-0.024297426
degre,-0.024297627
coexist,-0.02429789
composit,-0.024302786
captur,-0.02430702
bacteria,-0.024308803
classif,-0.024311053
insight,-0.024312746
micell,-0.024314413
lower,-0.024319025
furthermor,-0.024321266
often,-0.024326779
systemat,-0.024327587
drop,-0.024328105
jone,-0.024329057
deep,-0.024329139
graph,-0.024329329
tissu,-0.024333082
understood,-0.024333697
latter,-0.024334766
explicit,-0.024335796
heat,-0.024337899
passiv,-0.02433883
barrier,-0.024342755
those,-0.024344884
modifi,-0.024348527
3,-0.024349421
call,-0.024349492
main,-0.024349745
genet,-0.02435006
element,-0.02435091
oil,-0.02435241
probe,-0.024355298
absenc,-0.024355592
univers,-0.024356902
across,-0.024358287
about,-0.024358436
do,-0.02435975
actin,-0.024360545
line,-0.024371067
standard,-0.024375506
code,-0.024377763
world,-0.024380706
far,-0.02438192
normal,-0.024385609
