Term,Mitigated Information
learn,-0.009405464
we,-0.009865999
model,-0.01839406
our,-0.034880925
propos,-0.03538588
task,-0.038143154
use,-0.03886662
train,-0.040368713
perform,-0.041285962
base,-0.046008706
from,-0.04711133
can,-0.047659516
method,-0.04930035
dataset,-0.050678223
approach,-0.050895244
paper,-0.051483788
data,-0.051863454
which,-0.05300744
languag,-0.05321426
evalu,-0.059424948
demonstr,-0.059508584
result,-0.059907332
howev,-0.061012402
challeng,-0.06132522
show,-0.061902665
generat,-0.062055305
improv,-0.06230554
net,-0.063942805
intellig,-0.064103834
have,-0.064395055
experi,-0.06582562
larg,-0.06650144
effect,-0.06700695
work,-0.06714839
proc,-0.06716687
has,-0.067230076
novel,-0.06733923
artifici,-0.06740115
human,-0.067952596
problem,-0.06815952
art,-0.069078505
introduc,-0.06912228
achiev,-0.069168955
state,-0.069340274
more,-0.06955816
provid,-0.069777526
neural,-0.07014623
while,-0.07059894
framework,-0.0709939
algo,-0.071284845
knowledg,-0.071412235
exist,-0.07155243
signific,-0.07172977
set,-0.072203666
differ,-0.07240839
system,-0.07256672
real,-0.07270524
world,-0.0728768
inform,-0.07292574
research,-0.07298424
present,-0.07348107
also,-0.073657215
specif,-0.073868036
studi,-0.07423284
effici,-0.0742915
reinforc,-0.07431287
address,-0.074423574
deep,-0.07460648
devel,-0.07538651
two,-0.07548196
new,-0.07598269
make,-0.07600491
domain,-0.07604925
applic,-0.07607045
both,-0.07610465
optim,-0.07617825
between,-0.07650976
machin,-0.076603785
outperform,-0.07682081
comput,-0.076846905
agent,-0.07699127
it,-0.07699992
compar,-0.077109076
design,-0.07711831
recent,-0.07728102
predict,-0.077281356
high,-0.07741716
benchmark,-0.0774958
leverag,-0.07802854
s,-0.07804586
requir,-0.078081995
time,-0.07813503
transfer,-0.07842985
been,-0.07857885
decis,-0.07933212
complex,-0.07943991
represent,-0.07959708
first,-0.07996677
general,-0.079974025
various,-0.08009116
through,-0.08009276
across,-0.0801917
one,-0.08047022
featur,-0.08072543
multi,-0.08081696
accuraci,-0.08089138
limit,-0.081332795
classif,-0.081341125
imag,-0.08135328
natur,-0.081419855
when,-0.0814985
other,-0.08150329
extens,-0.08160712
focus,-0.08162388
avail,-0.0816824
over,-0.0817713
explor,-0.081811726
how,-0.08200388
techniqu,-0.08203715
well,-0.08204095
onli,-0.08205997
includ,-0.082066
each,-0.08210345
capabl,-0.08218177
enabl,-0.08221496
most,-0.08245386
understand,-0.082503654
enhanc,-0.08260309
hypertext,-0.08262343
addit,-0.08271249
often,-0.08316154
text,-0.08344656
user,-0.083467185
where,-0.08348751
reason,-0.08357649
adapt,-0.08358332
baselin,-0.083617374
architectur,-0.08363934
code,-0.08364277
divers,-0.08377829
github,-0.08383528
environ,-0.08386114
protocol,-0.083893485
pre,-0.08389366
multipl,-0.08397345
object,-0.08401446
mani,-0.08404703
abil,-0.08406329
potenti,-0.084092855
better,-0.084135756
transform,-0.08418757
util,-0.084269
increas,-0.084340036
strategi,-0.08436261
find,-0.08439526
combin,-0.08443439
aim,-0.08457248
import,-0.08466746
polici,-0.08468203
than,-0.08468347
semant,-0.08474905
advanc,-0.084775425
analysi,-0.08491354
structur,-0.08492949
relat,-0.08492951
level,-0.08506542
infer,-0.08507986
graph,-0.08510553
further,-0.08530013
e,-0.0853561
func,-0.085413
current,-0.08542068
without,-0.085489996
appli,-0.08557491
issu,-0.085577056
input,-0.08560089
com,-0.08561464
all,-0.0856872
under,-0.08570493
integr,-0.085706
qualiti,-0.08570732
robust,-0.08576119
need,-0.08581682
test,-0.08584017
sampl,-0.08615047
sever,-0.0862289
due,-0.08625232
identifi,-0.08633349
supervis,-0.08649553
context,-0.08650163
success,-0.086555265
experiment,-0.08662966
direct,-0.08665515
scenario,-0.08674951
solut,-0.0867952
empir,-0.0868029
them,-0.08682087
practic,-0.08683921
comprehens,-0.08689402
distribut,-0.086962596
scale,-0.08697098
particular,-0.08704255
consist,-0.08721736
three,-0.087292574
fine,-0.08730622
allow,-0.08734469
attent,-0.087356836
reduc,-0.08739344
visual,-0.087453924
term,-0.08745678
number,-0.08748628
space,-0.08749618
solv,-0.08765563
automat,-0.08771805
observ,-0.087799564
consid,-0.08780151
dynam,-0.08791872
given,-0.0880153
detect,-0.08810839
label,-0.08812209
prompt,-0.08814311
field,-0.08817156
interact,-0.08818892
repres,-0.08823821
conduct,-0.08827546
1,-0.08827734
lead,-0.08837353
previous,-0.08839824
2,-0.088413976
sourc,-0.08845891
encod,-0.08852376
non,-0.08852779
may,-0.08865129
final,-0.08865614
action,-0.08867696
synt,-0.08868102
control,-0.0886881
futur,-0.08868971
tune,-0.08869152
case,-0.088703305
extract,-0.08872895
captur,-0.08873511
select,-0.08895108
like,-0.088967204
some,-0.08903502
cost,-0.08905363
order,-0.08907325
tradit,-0.08907836
