Term,Mitigated Information
polynomi,0.00056389964
complex,-6.544549E-05
problem,-0.000119874545
np,-0.0004886247
we,-0.00049712474
algo,-0.0015568645
hard,-0.0016580378
comput,-0.0019667735
bound,-0.0023418765
show,-0.0024439557
result,-0.002748524
prove,-0.0027587141
graph,-0.0027961403
which,-0.0029021755
known,-0.0029424161
can,-0.002953156
use,-0.002962711
time,-0.003005689
complet,-0.003159825
paper,-0.0031665885
number,-0.0032205707
our,-0.003220715
given,-0.0032887072
from,-0.0032951431
all,-0.0033351392
class,-0.0033951807
also,-0.003411753
set,-0.0034288166
studi,-0.0034489944
model,-0.00352166
give,-0.0035357606
two,-0.0035498133
proof,-0.0035697434
decid,-0.003591402
one,-0.0036397371
exponenti,-0.0037205014
have,-0.0037265874
p,-0.0037523834
solv,-0.0037572277
some,-0.0037638205
lower,-0.0037723382
classic,-0.0037991423
size,-0.0038041335
computab,-0.0038251886
base,-0.0038269183
boolean,-0.0038388162
solvabl,-0.0038458449
case,-0.0038789404
has,-0.0038839267
pspace,-0.003887662
propos,-0.0039015594
new,-0.0039097066
present,-0.003910157
func,-0.003921783
introduc,-0.003932821
method,-0.0039354563
general,-0.0039387224
determinist,-0.0039411252
where,-0.003950609
game,-0.003978503
first,-0.0039948886
variant,-0.003995535
over,-0.0039971787
tractabl,-0.003998488
other,-0.0040011136
system,-0.004003928
provid,-0.0040098364
combinatori,-0.00402049
quantum,-0.0040316354
exist,-0.0040327837
when,-0.0040327837
effici,-0.004035497
between,-0.00403552
data,-0.004038017
natur,-0.004040416
optim,-0.004043109
mani,-0.0040441845
fix,-0.004056171
work,-0.0040582186
even,-0.0040638545
ani,-0.004082678
onli,-0.0040869606
random,-0.004089287
particular,-0.004091633
satisfact,-0.004098444
defin,-0.0041004093
state,-0.0041116173
whether,-0.0041117454
constant,-0.004119765
linear,-0.0041212253
most,-0.004121588
perform,-0.0041220407
main,-0.0041237143
vertex,-0.00412432
approach,-0.00413507
effect,-0.004135797
obtain,-0.0041411985
differ,-0.004142478
s,-0.004146092
version,-0.004148202
reduct,-0.00414906
program,-0.004149613
solut,-0.0041575306
it,-0.0041582063
finit,-0.0041613523
each,-0.004161935
proc,-0.004168035
relat,-0.004175108
well,-0.004184747
under,-0.0041870037
certain,-0.004193215
both,-0.0042086043
theori,-0.0042135078
input,-0.004216442
instanc,-0.004222123
impli,-0.0042288057
satisfi,-0.0042330413
constraint,-0.0042365002
automata,-0.004239198
recent,-0.004246976
exact,-0.0042492663
theoret,-0.0042534173
requir,-0.00425862
notion,-0.004260832
k,-0.004264138
n,-0.0042683617
find,-0.0042683985
restrict,-0.0042685685
player,-0.0042693606
consid,-0.0042707506
tree,-0.00427255
conjectur,-0.0042731767
than,-0.0042758924
high,-0.00427785
demonstr,-0.0042780316
more,-0.0042789336
applic,-0.0042804093
been,-0.004281608
extend,-0.0042819786
net,-0.004283902
non,-0.004291859
approxim,-0.004297636
determin,-0.0042994297
interest,-0.004300596
about,-0.0043007866
follow,-0.0043055955
structur,-0.0043060873
order,-0.0043106386
may,-0.004320744
howev,-0.004321224
correspond,-0.0043264325
final,-0.004329375
parameter,-0.004331175
weight,-0.004333997
allow,-0.0043344963
addit,-0.0043345555
csp,-0.0043349904
edg,-0.004340406
larg,-0.0043414566
learn,-0.0043430994
import,-0.0043470184
paramet,-0.004347468
count,-0.004350469
sat,-0.0043526688
field,-0.0043537
minimum,-0.0043560844
independ,-0.004358513
2,-0.0043605915
inform,-0.004363413
way,-0.004368556
cnf,-0.004369851
question,-0.004375153
possibl,-0.004375508
e,-0.004377158
devel,-0.004377246
sever,-0.004377764
observ,-0.0043789395
open,-0.0043800366
compar,-0.004380311
space,-0.00438092
variabl,-0.0043842793
construct,-0.004386757
subset,-0.004388986
sum,-0.004389951
1,-0.0043903394
call,-0.0043953704
while,-0.0043960507
turi,-0.0043973173
equival,-0.004399705
term,-0.004400586
machin,-0.0044015674
includ,-0.0044031735
analysi,-0.004403437
experi,-0.0044055167
techniqu,-0.004405849
generat,-0.0044066263
three,-0.0044067185
properti,-0.00440857
string,-0.0044088927
decis,-0.004409786
cover,-0.0044111083
measur,-0.0044181235
cannot,-0.004418845
everi,-0.004420188
form,-0.0044214083
distribut,-0.004425619
improv,-0.004428905
logspac,-0.0044319727
stoc,-0.004433379
establish,-0.0044337367
vertic,-0.004434245
algebra,-0.0044361413
dynam,-0.004440164
connect,-0.004442146
limit,-0.0044426634
direct,-0.00444278
point,-0.0044459812
appli,-0.004446076
bqp,-0.0044477275
enumer,-0.004447973
kolmogorov,-0.0044543706
simul,-0.004457923
languag,-0.004458081
simpl,-0.0044583576
queri,-0.004458656
upper,-0.004459205
character,-0.0044602756
signific,-0.004460305
previous,-0.004464722
i,-0.004464755
how,-0.004465177
rule,-0.0044657905
investig,-0.0044669546
dataset,-0.004468457
condit,-0.0044684857
run,-0.004469134
predict,-0.0044706403
logic,-0.004473589
subexponenti,-0.0044763526
train,-0.0044769673
search,-0.004479645
arbitrari,-0.0044807745
formal,-0.0044813924
depend,-0.00448191
through,-0.0044820583
achiev,-0.0044823014
discuss,-0.0044848104
out,-0.004490209
match,-0.00449047
valu,-0.004491633
multipl,-0.0044926745
binari,-0.004492684
assumpt,-0.0044935346
degre,-0.0044937367
probabl,-0.0044942833
fact,-0.004494387
design,-0.004494937
tight,-0.0044999244
so,-0.0045008124
whose,-0.004501857
framework,-0.004502474
special,-0.0045024804
ppad,-0.0045045177
task,-0.0045058206
strong,-0.0045077745
et,-0.0045078476
energi,-0.0045084096
g,-0.004509513
evalu,-0.004509616
remain,-0.0045110374
circuit,-0.0045112036
error,-0.0045127734
assign,-0.004514964
theorem,-0.0045164833
imag,-0.004516884
wide,-0.0045183175
via,-0.0045188246
featur,-0.0045189415
here,-0.0045198835
al,-0.0045202454
power,-0.00452141
same,-0.0045222514
subgraph,-0.0045223488
potenti,-0.0045231516
challeng,-0.004523772
detect,-0.0045244624
real,-0.0045248824
local,-0.0045249616
scale,-0.004525104
experiment,-0.00452517
novel,-0.004525753
interact,-0.0045257667
dichotomi,-0.004526358
hold,-0.00452816
type,-0.0045283674
deriv,-0.0045287916
due,-0.0045295176
contrast,-0.004529842
reduc,-0.00453147
increas,-0.004531647
best,-0.004533
integ,-0.0045333044
make,-0.004533582
veri,-0.004535308
analyz,-0.0045365104
second,-0.0045370916
turn,-0.0045379805
specif,-0.0045385323
maximum,-0.004539442
bipartit,-0.004539517
oper,-0.0045396355
doe,-0.004540972
factor,-0.004541198
exampl,-0.0045420737
polytop,-0.004546509
focus,-0.0045476435
numer,-0.004548427
estim,-0.0045506875
proposit,-0.004551144
small,-0.004551258
parallel,-0.0045515597
3,-0.004551593
dimension,-0.0045531094
settl,-0.004553975
step,-0.004554551
research,-0.0045548934
path,-0.0045586717
contain,-0.004559188
test,-0.0045595146
singl,-0.004559678
implement,-0.0045606974
free,-0.0045611137
level,-0.004561336
describ,-0.004561533
up,-0.0045626257
low,-0.0045630634
equat,-0.0045630727
shown,-0.004563157
hierarchi,-0.004563452
win,-0.0045634774
further,-0.004564183
f,-0.0045644767
semicomput,-0.004565333
respect,-0.004565656
standard,-0.004565767
lead,-0.0045658825
near,-0.0045690066
just,-0.0045705284
identifi,-0.0045706946
motiv,-0.0045726704
unari,-0.0045727794
mechan,-0.004573291
within,-0.0045748185
consist,-0.004574934
oracl,-0.004575214
object,-0.0045762905
combin,-0.0045777494
were,-0.00457811
them,-0.004579239
sinc,-0.0045797504
practic,-0.0045801
semidefinit,-0.004580266
without,-0.004580399
formula,-0.004580737
various,-0.0045825886
separ,-0.0045840787
famili,-0.004584093
least,-0.004584523
cryptographi,-0.0045863306
captur,-0.0045868424
physic,-0.004588025
classif,-0.004591878
art,-0.0045920145
across,-0.004593121
moreov,-0.0045934734
those,-0.0045940815
posit,-0.0045944713
delet,-0.0045947297
particl,-0.004594894
univers,-0.0045951316
subclass,-0.0045973836
