Term,Mitigated Information
we,-0.0003634669
algo,-0.0010733991
set,-0.0015083377
polygon,-0.0015648431
point,-0.0016139719
can,-0.0016329745
problem,-0.0017021244
use,-0.0017603571
which,-0.0018468993
comput,-0.0018606219
paper,-0.0018835329
our,-0.0019271568
geometr,-0.0019507391
topolog,-0.0019557138
given,-0.0019582417
show,-0.002004566
from,-0.0020623407
two,-0.0020667484
result,-0.0021034488
base,-0.0021425467
planar,-0.0022184975
persist,-0.0022222428
present,-0.0022243909
graph,-0.0022358424
number,-0.0022410464
provid,-0.002246241
complex,-0.0022789123
method,-0.0022952855
model,-0.0023035707
has,-0.0023113405
data,-0.0023138318
homolog,-0.0023174267
plane,-0.0023559015
triangul,-0.0023590948
also,-0.0023668716
mesh,-0.0023915586
ani,-0.0023970231
triangl,-0.0024070002
space,-0.0024174075
effici,-0.0024229973
propos,-0.0024241474
one,-0.0024277368
between,-0.0024508503
minimum,-0.00245897
call,-0.0024772985
edg,-0.0024876825
applic,-0.0024944404
convex,-0.0024949778
simpl,-0.002500189
studi,-0.0025007057
each,-0.002501361
geometri,-0.0025077565
time,-0.0025125002
structur,-0.0025196625
3d,-0.0025295715
it,-0.002529913
general,-0.002546668
vertic,-0.002552109
intersect,-0.0025532036
have,-0.0025639303
work,-0.0025653744
exist,-0.0025754413
distanc,-0.0025760191
approach,-0.0025789253
euclidean,-0.0025816613
give,-0.0025906186
all,-0.002594005
analysi,-0.0025962992
np,-0.0025980708
new,-0.002598154
n,-0.0026100946
consid,-0.002625835
introduc,-0.0026260251
bound,-0.00263872
system,-0.0026407049
o,-0.0026444497
prove,-0.0026469838
2d,-0.0026489259
repres,-0.0026515422
some,-0.0026584172
voronoi,-0.0026616077
when,-0.0026656047
both,-0.0026705896
solv,-0.0026730995
differ,-0.002682706
surfac,-0.0026843925
curv,-0.0026919509
techniqu,-0.0026949672
first,-0.0027003505
perform,-0.002704574
demonstr,-0.0027059298
same,-0.0027092514
case,-0.0027095536
find,-0.0027133804
proc,-0.002716833
class,-0.0027178044
shape,-0.002721628
effect,-0.002721722
hard,-0.0027233725
1,-0.0027235835
where,-0.0027238564
state,-0.0027271684
been,-0.0027291905
rectangl,-0.0027380078
dimension,-0.002740533
more,-0.002740923
well,-0.0027415159
while,-0.002743315
dimens,-0.0027480926
defin,-0.0027527094
visual,-0.0027535015
featur,-0.0027549677
onli,-0.0027571432
other,-0.0027578336
object,-0.002759607
particular,-0.0027633666
previous,-0.002765645
barcod,-0.0027726174
them,-0.0027728027
map,-0.0027733992
known,-0.0027802577
addit,-0.0027813427
under,-0.0027870152
input,-0.0027895647
3,-0.0027929088
direct,-0.0027930748
implement,-0.0027941577
vertex,-0.0027978297
func,-0.0027982646
obtain,-0.0028006318
