Term,Mitigated Information
imag,0.069039345
dataset,0.0038917363
propos,0.0026588067
we,-0.007874444
method,-0.008463257
learn,-0.009319819
train,-0.011451423
our,-0.023852393
art,-0.027696822
perform,-0.0283267
net,-0.029830145
model,-0.031521924
task,-0.04193244
from,-0.043670446
use,-0.046864863
base,-0.04806965
achiev,-0.0518002
featur,-0.057123907
neural,-0.05860978
deep,-0.05869163
which,-0.058763385
approach,-0.060247
result,-0.06241054
novel,-0.062731974
state,-0.06298205
demonstr,-0.06326007
can,-0.06383837
visual,-0.06406893
convolut,-0.064241774
challeng,-0.0643497
experi,-0.064460345
data,-0.065072276
improv,-0.06538756
paper,-0.065555364
segment,-0.066696785
vision,-0.06802218
object,-0.06888459
howev,-0.07032516
transfer,-0.07061674
generat,-0.07492958
hypertext,-0.07543525
show,-0.07677528
github,-0.07785908
video,-0.07804796
scene,-0.07825668
effect,-0.078826904
avail,-0.079234965
have,-0.07974169
accuraci,-0.07980719
evalu,-0.079888605
classif,-0.080039956
inform,-0.0804203
work,-0.08061842
benchmark,-0.08120536
3d,-0.08151291
differ,-0.08192651
exist,-0.08196655
protocol,-0.08223629
introduc,-0.08278953
signific,-0.08334884
com,-0.08349201
high,-0.0837837
detect,-0.08393082
outperform,-0.084718645
has,-0.08496334
supervis,-0.085505374
specif,-0.08569507
code,-0.08606512
represent,-0.086108774
comput,-0.08680026
two,-0.08730064
extens,-0.087524265
framework,-0.08762229
label,-0.08765484
while,-0.087791756
both,-0.08783124
more,-0.0878734
address,-0.088200785
proc,-0.08832891
recognit,-0.088808276
compar,-0.08900577
multi,-0.08924331
architectur,-0.08949416
semant,-0.08958032
recent,-0.08964385
problem,-0.09048107
larg,-0.09056051
also,-0.09074246
present,-0.09082244
real,-0.09156072
between,-0.092220396
new,-0.092890546
input,-0.093259506
qualiti,-0.093295306
first,-0.0934217
effici,-0.09381828
applic,-0.09390174
human,-0.094082065
design,-0.094162606
onli,-0.09430188
set,-0.09451169
annot,-0.09465624
attent,-0.09502547
map,-0.09577441
provid,-0.09590684
camera,-0.09628773
extract,-0.09640738
predict,-0.09645784
time,-0.09672251
been,-0.096754655
robust,-0.09685959
each,-0.09700646
addit,-0.09725202
enhanc,-0.09755068
studi,-0.097639486
requir,-0.097873926
it,-0.097924754
various,-0.09802685
leverag,-0.09806719
further,-0.098239645
limit,-0.098355696
transform,-0.09863508
one,-0.09922907
consist,-0.09929307
adapt,-0.09956614
reconstruct,-0.099573694
multipl,-0.09962974
most,-0.09979281
pixel,-0.0999214
better,-0.09992327
synt,-0.09992957
without,-0.099954545
over,-0.10001193
scale,-0.10005021
util,-0.100224525
captur,-0.10024565
encod,-0.10024633
due,-0.10024725
level,-0.10054515
loss,-0.10066199
modal,-0.10068437
system,-0.100758836
algo,-0.10081469
other,-0.100897186
accur,-0.10118884
techniqu,-0.101210445
fine,-0.10138057
sampl,-0.10139802
across,-0.10140884
general,-0.10143949
superior,-0.10157168
public,-0.10180219
modul,-0.101878844
experiment,-0.101960175
well,-0.10204142
pose,-0.10229428
research,-0.10240779
adversari,-0.10243731
pre,-0.102471866
domain,-0.10258358
optim,-0.10265344
world,-0.10272377
includ,-0.102771915
previous,-0.10278611
when,-0.10285065
devel,-0.10289009
than,-0.103036135
e,-0.10307638
estim,-0.10308458
enabl,-0.10325898
combin,-0.1033462
local,-0.10341905
end,-0.1034877
make,-0.10359362
singl,-0.10385087
through,-0.10407911
frame,-0.10447702
divers,-0.104567185
knowledg,-0.104692906
focus,-0.104767814
appli,-0.10497616
capabl,-0.1051834
view,-0.105321124
aim,-0.105562896
strategi,-0.10558112
structur,-0.10559894
test,-0.10564381
baselin,-0.10568835
face,-0.10572512
issu,-0.105731905
all,-0.10578538
current,-0.10580118
where,-0.10581495
s,-0.105843544
analysi,-0.106001794
spatial,-0.10603628
import,-0.106086046
complex,-0.10612032
sever,-0.10613972
text,-0.10619519
often,-0.10628
target,-0.10631248
1,-0.10652603
mask,-0.10659962
space,-0.10669008
direct,-0.10678358
three,-0.10680371
prior,-0.10681595
discrimin,-0.10682301
layer,-0.10690631
reduc,-0.10692634
low,-0.10702636
mani,-0.107088044
medic,-0.107169576
obtain,-0.10740316
class,-0.10750247
align,-0.107696354
similar,-0.107714675
region,-0.10777318
employ,-0.10780999
field,-0.10793155
automat,-0.10796537
advanc,-0.10797141
abil,-0.10799874
relat,-0.108121306
self,-0.10817965
joint,-0.1082579
under,-0.10830514
guid,-0.108352765
tempor,-0.108380355
them,-0.10854027
func,-0.10859136
unsupervis,-0.108748585
potenti,-0.10875469
shot,-0.10879173
explor,-0.10881595
dure,-0.10884699
resolut,-0.108856395
2,-0.108870976
augment,-0.10891087
increas,-0.10900426
imagenet,-0.1090478
final,-0.10923907
term,-0.10926748
incorpor,-0.10937988
cost,-0.10939076
valid,-0.1094176
score,-0.109467074
infer,-0.10946718
sourc,-0.109487474
point,-0.10949255
success,-0.10950589
distribut,-0.10951446
cross,-0.109514825
contrast,-0.10954736
furthermor,-0.10975598
number,-0.10976693
scenario,-0.1097736
rgb,-0.10986765
allow,-0.10998171
languag,-0.109982975
integr,-0.1101076
awar,-0.11013771
non,-0.11013871
find,-0.11015941
