Term,Mitigated Information
queri,0.0042471015
data,0.0026241532
databa,0.0021629452
we,-0.0009495163
paper,-0.0024862813
use,-0.0028505796
can,-0.0034665377
our,-0.0034880613
propos,-0.0038173958
base,-0.003946995
proc,-0.004174864
which,-0.004314173
from,-0.004348099
perform,-0.0044617197
effici,-0.004498806
algo,-0.004523463
evalu,-0.0046796123
approach,-0.0047021545
set,-0.004802524
show,-0.004834962
stor,-0.0049591134
present,-0.00497164
mine,-0.004973708
exist,-0.004991854
schema,-0.0049982914
real,-0.005051492
time,-0.0050625363
system,-0.0050721504
support,-0.0050901882
result,-0.005115761
model,-0.005223336
graph,-0.0052770255
dataset,-0.0053446805
execut,-0.005348417
applic,-0.0053746537
user,-0.005398239
comput,-0.0054465616
have,-0.005455462
problem,-0.005495576
howev,-0.005559918
languag,-0.005602827
techniqu,-0.005636676
design,-0.005653087
implement,-0.0056652986
has,-0.0056697503
also,-0.005678896
provid,-0.0057126014
over,-0.0057577007
structur,-0.0057674935
workload,-0.005776905
introduc,-0.0058349497
relat,-0.0058380403
extens,-0.005860722
larg,-0.0058826865
world,-0.0058885165
pattern,-0.0058893613
method,-0.0058954926
inform,-0.005897011
join,-0.005901576
while,-0.0059199315
differ,-0.0059353127
research,-0.005961204
knowledg,-0.005973017
complex,-0.005986606
studi,-0.0059880097
novel,-0.005988587
more,-0.0060117184
index,-0.006022422
manag,-0.006038825
framework,-0.0060754986
experi,-0.006076635
most,-0.0060835183
been,-0.0061041866
work,-0.006117611
first,-0.006119719
two,-0.0061352775
requir,-0.00614292
challeng,-0.0061504925
new,-0.0061622066
one,-0.006171521
oper,-0.006188389
each,-0.0061896536
call,-0.006189938
mani,-0.0061911424
compar,-0.0061944597
it,-0.0062063634
devel,-0.006206812
web,-0.0062163137
answer,-0.006245158
semant,-0.0062660137
order,-0.0062868996
other,-0.006288274
than,-0.006305859
practic,-0.0063336953
both,-0.006351152
improv,-0.0063781478
enabl,-0.006384327
learn,-0.0063948384
demonstr,-0.0064102
access,-0.0064123347
optim,-0.006419203
search,-0.0064434176
specif,-0.0064575085
mem,-0.006461963
effect,-0.006464151
well,-0.0064768544
sparql,-0.0064784926
high,-0.0064896955
e,-0.0065054474
various,-0.0065109516
experiment,-0.0065254727
generat,-0.006532275
signific,-0.006537113
analysi,-0.0065403376
all,-0.00655484
need,-0.00655619
task,-0.0065571168
onli,-0.006559449
state,-0.0065625245
attribut,-0.0065644025
tupl,-0.006566878
often,-0.0065799872
between,-0.0065825
make,-0.006601771
cost,-0.006618811
repres,-0.006627318
art,-0.0066400124
address,-0.0066460255
achiev,-0.0066647474
number,-0.00666753
general,-0.006679395
datalog,-0.006692771
allow,-0.0066946587
sever,-0.0067036683
import,-0.0067261057
tree,-0.006741158
entiti,-0.0067533944
includ,-0.0067543564
reduc,-0.006789072
ontolog,-0.0067993253
distribut,-0.006808182
where,-0.006811361
them,-0.0068221665
rdf,-0.006823621
scalabl,-0.006833974
domain,-0.006842497
extract,-0.0068426905
multipl,-0.006845019
transact,-0.0068567223
type,-0.006862959
integr,-0.006864522
match,-0.0068653473
s,-0.006865487
find,-0.0068690106
up,-0.006870729
given,-0.0068745613
outperform,-0.006876048
increas,-0.006877524
logic,-0.0068782535
case,-0.0068810326
net,-0.0068960856
analyt,-0.006906573
wide,-0.006914776
sourc,-0.0069160727
func,-0.006916626
way,-0.0069167577
how,-0.0069199298
synt,-0.0069242893
rule,-0.0069271876
solut,-0.0069279647
machin,-0.0069289664
engin,-0.0069356877
faster,-0.006936952
addit,-0.0069382526
final,-0.006947667
when,-0.0069510248
under,-0.0069556558
accuraci,-0.006973424
tabl,-0.006981693
discoveri,-0.006991439
recent,-0.006997441
defin,-0.007000781
1,-0.0070017353
focus,-0.007005378
analyz,-0.0070101074
scale,-0.007012909
pipelin,-0.0070325285
i,-0.007033106
term,-0.007038762
ani,-0.0070388117
appli,-0.0070419856
size,-0.0070531294
benchmark,-0.0070576183
even,-0.0070610996
valu,-0.007063063
space,-0.0070676524
util,-0.0070681227
partit,-0.0070686573
some,-0.007072102
build,-0.0070826123
through,-0.007086078
select,-0.0070884526
express,-0.0070905173
conjunct,-0.0070939497
consid,-0.00710045
issu,-0.00710449
collect,-0.0071051433
contain,-0.0071053957
leverag,-0.007105663
limit,-0.007109451
main,-0.007110298
describ,-0.007111899
program,-0.007113526
discov,-0.0071293185
without,-0.0071295816
current,-0.007133538
avail,-0.0071348986
object,-0.0071385363
properti,-0.007142197
further,-0.0071433177
identifi,-0.007147586
qualiti,-0.0071477583
combin,-0.0071560424
run,-0.0071658795
2,-0.007168205
context,-0.007174106
field,-0.0071760276
g,-0.007179104
key,-0.0071793385
natur,-0.007182231
