Term,Mitigated Information
citat,0.005244746
research,0.0024014662
scientif,0.0012207491
journal,0.00073825195
public,0.00039583782
scienc,0.00018506125
bibliometr,-0.00042539253
publish,-0.00048624026
scholar,-0.0006444028
cite,-0.0009957182
we,-0.0013105639
author,-0.0018383302
academ,-0.0018420458
articl,-0.0018921526
use,-0.0020555223
from,-0.0022680825
paper,-0.0023556757
data,-0.002479123
web,-0.0025196793
impact,-0.0027975484
institut,-0.0028264623
disciplin,-0.0028885903
which,-0.002945084
studi,-0.0030764318
base,-0.003079741
year,-0.0031873172
index,-0.0032119383
analysi,-0.003267114
indic,-0.0032980372
bibliograph,-0.003323279
result,-0.0033565785
document,-0.0033582335
differ,-0.0034035859
can,-0.0034068846
most,-0.0034338376
our,-0.0034633416
other,-0.0034843152
more,-0.0035023962
between,-0.0035062835
inform,-0.0035078472
has,-0.0035084882
also,-0.0035168114
scopus,-0.0035238345
databa,-0.0035317717
have,-0.0035400782
scientist,-0.0035822797
field,-0.0035875926
show,-0.003636517
countri,-0.0036402328
how,-0.0036420939
find,-0.003650169
model,-0.0036783293
one,-0.0037017977
provid,-0.003733468
social,-0.003744665
knowledg,-0.003748796
refer,-0.0037503955
present,-0.0037647465
work,-0.0037651816
two,-0.003769934
scientometr,-0.0037767123
librari,-0.003798233
method,-0.0038181709
authorship,-0.0038191183
peer,-0.0038398886
identifi,-0.0038439638
access,-0.0038446025
analyz,-0.0038483571
review,-0.0038692919
number,-0.003877502
topic,-0.003892704
evalu,-0.0039009927
import,-0.0039161444
univers,-0.0039258255
collabor,-0.0039264807
nation,-0.0039265915
propos,-0.003929881
s,-0.0039359545
proc,-0.0039438433
open,-0.00394736
than,-0.003949746
content,-0.0039691725
collect,-0.0039791707
text,-0.003992706
metadata,-0.003994607
relat,-0.004000977
about,-0.0040038903
been,-0.0040088925
count,-0.0040253904
time,-0.0040294747
literatur,-0.0040330435
it,-0.004045534
affili,-0.0040512495
analys,-0.004054052
system,-0.004054278
communiti,-0.0040604756
devel,-0.0040659816
qualiti,-0.004067331
assess,-0.00407214
measur,-0.004073826
career,-0.0040853317
all,-0.0041000787
approach,-0.004106873
new,-0.0041148327
howev,-0.0041163117
digit,-0.004119157
level,-0.0041296757
perform,-0.0041362597
over,-0.0041453815
were,-0.0041542626
wos,-0.004158279
editori,-0.004166004
rank,-0.0041675307
compar,-0.0041719745
increas,-0.0041906373
high,-0.004203641
factor,-0.004229231
mani,-0.0042310003
avail,-0.004232957
fund,-0.0042420914
effect,-0.004252258
venu,-0.0042523015
sourc,-0.004257605
resourc,-0.004257859
term,-0.004261077
first,-0.004262034
confer,-0.004262052
net,-0.0042621377
individu,-0.004262348
dataset,-0.00426441
while,-0.0042658513
each,-0.0042696577
product,-0.00427225
user,-0.0042786584
comput,-0.0043037543
dblp,-0.004309482
current,-0.0043107625
repositori,-0.004312467
italian,-0.0043181847
through,-0.0043224962
onli,-0.004327009
disciplinari,-0.0043275123
larg,-0.004332532
set,-0.0043479186
make,-0.0043480513
altmetr,-0.004348052
state,-0.004348134
practic,-0.004353755
among,-0.004355097
relationship,-0.004355652
archiv,-0.004363646
appli,-0.004363836
suggest,-0.0043648276
both,-0.00436637
focus,-0.0043720203
them,-0.004374658
exist,-0.0043775653
be,-0.004379053
understand,-0.0043820934
well,-0.0043850252
within,-0.0043856134
share,-0.0043916036
support,-0.00439381
discoveri,-0.0043983036
problem,-0.0043988433
discuss,-0.0043998496
investig,-0.0044014864
signific,-0.004404328
link,-0.0044075116
organ,-0.004407881
quantit,-0.004409072
describ,-0.004415097
when,-0.004417759
book,-0.0044185384
applic,-0.0044186413
some,-0.0044330056
search,-0.00443515
technolog,-0.004442987
report,-0.0044452916
distribut,-0.0044485563
includ,-0.004450321
specif,-0.004454066
group,-0.00446148
may,-0.0044694236
demonstr,-0.004470018
recent,-0.004474597
general,-0.0044753295
contribut,-0.0044794083
often,-0.0044829864
although,-0.0044852584
like,-0.0044862907
case,-0.004488127
who,-0.0044883345
introduc,-0.004494548
question,-0.004496346
million,-0.0044966685
func,-0.004498337
googl,-0.004503626
scholarship,-0.004503681
top,-0.0045079035
those,-0.0045084106
languag,-0.004509469
area,-0.004511142
advanc,-0.0045111957
possibl,-0.0045118495
role,-0.0045146337
aspect,-0.004515039
condit,-0.0045151673
aim,-0.0045162286
main,-0.004517096
challeng,-0.0045222896
common,-0.004522535
allow,-0.004522777
three,-0.0045299786
structur,-0.0045305016
help,-0.004532315
e,-0.004532328
list,-0.004533801
semant,-0.0045372536
becaus,-0.004537361
extract,-0.004538225
algo,-0.004540084
polici,-0.004540133
learn,-0.0045414004
empir,-0.004543747
same,-0.004544708
titl,-0.004546423
across,-0.0045468593
societi,-0.0045471066
offer,-0.0045478465
type,-0.004549301
sever,-0.004550098
valid,-0.0045501417
co,-0.004550387
recommend,-0.0045537567
examin,-0.0045575825
intern,-0.0045589986
human,-0.004559271
repres,-0.004563942
improv,-0.0045676157
reveal,-0.0045691878
methodolog,-0.004569447
integr,-0.004570717
futur,-0.0045711035
retriev,-0.004571174
particular,-0.0045779534
plos,-0.0045781303
space,-0.0045783645
1,-0.0045791967
tool,-0.004579469
where,-0.0045804013
servic,-0.0045849546
observ,-0.0045859823
do,-0.0045865607
experi,-0.0045898333
consid,-0.0045899316
addit,-0.0045900242
combin,-0.0045911344
interest,-0.004591155
engin,-0.004592478
non,-0.004593161
various,-0.0045932103
contain,-0.0045965007
associ,-0.004597368
whether,-0.0045976555
generat,-0.0046002273
subject,-0.004601578
simul,-0.004605219
creat,-0.0046059014
manag,-0.004606596
context,-0.0046070707
order,-0.00460764
relev,-0.00460881
referenc,-0.004609024
expert,-0.0046098884
past,-0.0046099066
under,-0.00461267
technic,-0.0046166843
softwar,-0.0046173846
energi,-0.004617729
potenti,-0.0046183188
patent,-0.0046203258
framework,-0.004620636
graph,-0.0046212347
similar,-0.004623396
keyword,-0.004623689
2,-0.004623898
here,-0.004624022
pattern,-0.0046242257
frequent,-0.0046254173
paramet,-0.0046264133
purpos,-0.0046276497
part,-0.004627724
30,-0.004629707
vocabulari,-0.004629727
optim,-0.0046300297
quantum,-0.004630391
record,-0.0046312204
requir,-0.00463197
submiss,-0.0046323156
featur,-0.004633401
divers,-0.0046346746
download,-0.004635877
averag,-0.004635981
obtain,-0.004636353
dynam,-0.004637827
second,-0.004639484
out,-0.0046403715
need,-0.0046404228
domain,-0.004640634
design,-0.004640933
extent,-0.0046417764
due,-0.004642451
task,-0.004642611
categori,-0.0046430943
10,-0.0046437867
becom,-0.0046449597
way,-0.004645819
name,-0.0046488666
total,-0.004649055
object,-0.004651211
natur,-0.0046518343
further,-0.0046519563
prestig,-0.0046523595
limit,-0.004652411
higher,-0.004653247
properti,-0.0046543153
effort,-0.0046549863
theori,-0.0046589063
000,-0.004659241
highlight,-0.0046634884
innov,-0.004664933
posit,-0.0046649473
final,-0.0046674022
cover,-0.004667879
cultur,-0.0046699913
comprehens,-0.0046704877
sinc,-0.004671176
found,-0.0046723476
output,-0.004672938
respect,-0.004673873
2016,-0.004673898
issu,-0.0046746978
pagerank,-0.0046754954
