Term,Mitigated Information
algo,0.005858604
problem,0.0007046864
we,-0.00081501604
graph,-0.0033061903
time,-0.0050507523
our,-0.0054615857
which,-0.0059345667
use,-0.0059471177
can,-0.0060098916
show,-0.006146496
set,-0.006198245
comput,-0.0062847994
number,-0.006400341
optim,-0.006446135
bound,-0.006654871
polynomi,-0.0066810707
np,-0.0066931113
result,-0.0068062833
paper,-0.0069692237
approxim,-0.0073393956
given,-0.0074001164
hard,-0.007454293
tree,-0.0075428993
from,-0.0076778606
effici,-0.0076945294
present,-0.0077811917
also,-0.007877944
known,-0.007890361
base,-0.007890534
one,-0.007890604
edg,-0.007978424
all,-0.007986683
data,-0.008046622
model,-0.0081327325
propos,-0.008188229
has,-0.008220067
solv,-0.008334415
studi,-0.008362393
have,-0.008400079
provid,-0.008427633
general,-0.008457136
where,-0.008493492
two,-0.008566004
new,-0.008589709
complex,-0.008663308
method,-0.008721466
guarante,-0.0087365415
most,-0.008772014
work,-0.00877459
find,-0.008838371
perform,-0.008855209
applic,-0.008886455
approach,-0.008898083
case,-0.008905021
than,-0.008942461
more,-0.008970017
queri,-0.008985035
linear,-0.0089897355
first,-0.00899245
improv,-0.008999247
each,-0.009002518
onli,-0.009017964
mani,-0.009061684
it,-0.009061859
when,-0.009062007
structur,-0.0090742465
consid,-0.00911361
instanc,-0.009117774
k,-0.009129369
solut,-0.009130234
vertex,-0.009147692
match,-0.009163167
ani,-0.009195281
variant,-0.009197187
introduc,-0.009214803
practic,-0.009293096
program,-0.009296474
give,-0.009313215
1,-0.009318362
between,-0.009332638
sever,-0.009337432
run,-0.009338927
size,-0.009361922
exist,-0.009406504
net,-0.0094083855
random,-0.009412213
proc,-0.00941548
vertic,-0.0094498405
both,-0.00945132
other,-0.009464773
some,-0.009469043
system,-0.009472105
constraint,-0.009473876
worst,-0.009510034
o,-0.009526515
implement,-0.009529362
well,-0.009532057
minimum,-0.009533572
state,-0.009546263
input,-0.009549373
larg,-0.0095500685
under,-0.009556946
minim,-0.009561214
greedi,-0.0095749935
while,-0.009581861
been,-0.009589103
order,-0.009590948
prove,-0.009595894
e,-0.009607912
node,-0.009659587
real,-0.00967005
over,-0.009681422
call,-0.009682625
maximum,-0.009684543
differ,-0.0097011
func,-0.009710297
search,-0.009736784
design,-0.0097446125
techniqu,-0.00974954
signific,-0.009757647
class,-0.009757994
simpl,-0.009758133
effect,-0.009780288
analysi,-0.00978809
even,-0.009799457
integ,-0.009810253
recent,-0.009825411
allow,-0.009829583
s,-0.009837364
best,-0.009837896
interest,-0.009848208
parallel,-0.00984896
howev,-0.009854926
compar,-0.009856397
previous,-0.009859785
n,-0.009873434
lower,-0.009874539
exact,-0.009899235
requir,-0.009906112
addit,-0.009917716
sequenc,-0.009932632
particular,-0.009933407
cost,-0.00993675
constant,-0.009939832
weight,-0.009958901
distribut,-0.009964785
demonstr,-0.009970016
obtain,-0.009987984
space,-0.010003289
devel,-0.010004066
high,-0.010004706
mem,-0.010006124
up,-0.010007715
partit,-0.010015594
classic,-0.010015769
includ,-0.010017767
achiev,-0.010045984
maxim,-0.010048145
onlin,-0.010049624
path,-0.010053435
theoret,-0.010074833
learn,-0.010079384
non,-0.010102339
combinatori,-0.010112596
heurist,-0.010124321
better,-0.010128873
same,-0.010137156
object,-0.010155731
machin,-0.010181319
possibl,-0.0101858005
schedul,-0.010189903
experi,-0.010192602
submodular,-0.010192684
assign,-0.010196193
relat,-0.010201906
natur,-0.010202482
i,-0.01021027
import,-0.010214889
extend,-0.010232998
tractabl,-0.010238759
2,-0.010240697
et,-0.010245361
goal,-0.010247054
inform,-0.010260635
field,-0.010261475
world,-0.010262622
competit,-0.010264225
how,-0.010264425
art,-0.010264472
dynam,-0.010274528
complet,-0.010275445
properti,-0.0102800615
small,-0.0102835465
al,-0.010287545
fix,-0.010292322
appli,-0.010296089
reduc,-0.010297252
tight,-0.010307646
connect,-0.010313768
evalu,-0.010320881
reduct,-0.010325917
make,-0.0103305075
formul,-0.010333509
novel,-0.010346677
observ,-0.010352598
independ,-0.0103525985
factor,-0.010356675
framework,-0.010358662
generat,-0.0103655495
final,-0.010368809
bipartit,-0.010370792
direct,-0.010376973
paramet,-0.010377676
fundament,-0.01038675
main,-0.01039197
length,-0.010393253
singl,-0.010393535
list,-0.010393899
exponenti,-0.010399173
undirect,-0.010405784
respect,-0.010409232
depend,-0.010409871
may,-0.01042416
extens,-0.010426598
answer,-0.010428333
increas,-0.010430673
limit,-0.010432703
measur,-0.010436234
delet,-0.010448518
experiment,-0.010450654
defin,-0.010450843
version,-0.0104586175
distanc,-0.010461658
specif,-0.010463403
further,-0.0104648825
construct,-0.010467915
veri,-0.010469357
g,-0.010470654
local,-0.010471944
investig,-0.010480202
multipl,-0.01048228
oper,-0.010494704
whether,-0.010495001
term,-0.010500056
simul,-0.010501219
so,-0.010504601
point,-0.010507508
describ,-0.010508022
upper,-0.010509271
type,-0.010511312
valu,-0.010511542
adapt,-0.010511736
much,-0.010512019
theori,-0.010512939
dataset,-0.010514612
lead,-0.010516382
sort,-0.010516542
subset,-0.010522099
challeng,-0.010522235
train,-0.010524297
combin,-0.010525256
need,-0.010526013
speedup,-0.010528646
task,-0.010533089
select,-0.010535268
various,-0.010535301
shortest,-0.010539326
compress,-0.010541279
empir,-0.010546773
ratio,-0.010550022
