Term,Mitigated Information
comput,-0.00012940424
circuit,-0.000417314
we,-0.00086477696
hardwar,-0.0010746834
use,-0.0020497402
can,-0.00207286
devic,-0.0020771076
base,-0.002187465
quantum,-0.0022611897
perform,-0.002387444
net,-0.0024192468
system,-0.0024299808
design,-0.0024400451
implement,-0.002506392
proc,-0.0025668298
technolog,-0.0025698326
which,-0.0025838497
paper,-0.00263514
mem,-0.0027193753
architectur,-0.0028332293
effici,-0.0028432664
result,-0.0028447474
propos,-0.0028540087
model,-0.0028545058
provid,-0.0028574246
algo,-0.0028631194
demonstr,-0.0028990894
have,-0.0029576146
from,-0.0029627578
present,-0.0029960547
optim,-0.003010077
neuromorph,-0.003036051
simul,-0.0030399472
gate,-0.003045937
applic,-0.003056849
our,-0.003095303
requir,-0.0031066746
howev,-0.0031120442
time,-0.0031348788
has,-0.0031491
show,-0.0031784894
qubit,-0.0031801264
devel,-0.0032209645
approach,-0.0032303077
limit,-0.0032448946
digit,-0.003261915
high,-0.003283586
communic,-0.0033021788
cmos,-0.0033140783
problem,-0.0033179172
compar,-0.0033266142
power,-0.0033385514
also,-0.003350907
neural,-0.0033618635
consumpt,-0.0033735246
data,-0.0033796395
challeng,-0.003397102
enabl,-0.0033983886
capabl,-0.0034082963
input,-0.00342707
solut,-0.0034288138
energi,-0.0034299954
potenti,-0.0034385254
low,-0.0034407
work,-0.0034521723
studi,-0.00345572
two,-0.0034673342
research,-0.003467882
machin,-0.0034723703
scale,-0.0034806277
method,-0.0034833676
emerg,-0.0034835306
analog,-0.003484477
larg,-0.0035014069
inform,-0.0035315175
state,-0.003538614
achiev,-0.003538715
both,-0.0035395352
while,-0.0035396325
func,-0.0035551195
output,-0.003555959
promis,-0.0035581419
learn,-0.003559649
novel,-0.0035635433
been,-0.003564329
one,-0.0035678656
current,-0.0035692207
oper,-0.0035745685
new,-0.0035767946
effect,-0.0035781865
bit,-0.0035861263
increas,-0.0035911081
differ,-0.0035945063
futur,-0.0036071523
crossbar,-0.0036084051
logic,-0.0036260989
more,-0.003628725
neuron,-0.0036480378
classic,-0.0036496709
realiz,-0.003656438
includ,-0.0036575713
how,-0.00366473
control,-0.003671919
advanc,-0.003673101
between,-0.0036734766
complex,-0.0036833251
improv,-0.0036853072
physic,-0.0036941576
first,-0.0036952994
it,-0.0036979471
than,-0.0037015495
cost,-0.0037052082
biolog,-0.0037072515
introduc,-0.0037142967
artifici,-0.0037164066
here,-0.0037213133
s,-0.0037246023
signific,-0.0037314289
due,-0.0037354317
integr,-0.0037367665
number,-0.0037371179
level,-0.003743032
offer,-0.0037431582
recent,-0.003744808
solv,-0.0037631637
generat,-0.0037661463
addit,-0.0037680743
where,-0.0037733868
reduc,-0.003778569
set,-0.0037848088
spike,-0.003788428
parallel,-0.0037886128
physarum,-0.0038070327
multipl,-0.0038072835
util,-0.0038081766
program,-0.0038086562
order,-0.003811026
well,-0.0038118204
direct,-0.0038122642
exist,-0.00381378
signal,-0.0038172093
transistor,-0.0038200933
other,-0.003826782
synapt,-0.0038283109
inspir,-0.003832284
intellig,-0.0038352972
address,-0.003836005
find,-0.0038425531
convent,-0.003842992
anneal,-0.003843484
allow,-0.0038437096
techniqu,-0.0038487858
task,-0.0038529334
non,-0.003856624
platform,-0.0038567225
explor,-0.00385695
polycephalum,-0.003861919
through,-0.0038623414
connect,-0.0038629663
various,-0.003866
scalabl,-0.0038690567
advantag,-0.003875023
array,-0.0038755515
e,-0.0038775057
accuraci,-0.0038780156
sever,-0.0038818803
access,-0.0038823092
altern,-0.0038830743
may,-0.003884043
specif,-0.0038874748
acceler,-0.003888725
paradigm,-0.0038914362
structur,-0.0038927635
when,-0.0038945407
tradit,-0.0038946809
term,-0.0038952138
experiment,-0.003895495
framework,-0.0038971053
error,-0.0038984409
over,-0.0039000306
all,-0.0039004616
consid,-0.0039103236
train,-0.003911692
repres,-0.003912875
paramet,-0.0039136163
need,-0.003916674
molecular,-0.003917663
stor,-0.003920351
singl,-0.0039226045
highlight,-0.0039243996
up,-0.003928935
investig,-0.003929586
general,-0.0039303624
final,-0.0039309342
deep,-0.0039325017
mani,-0.003936932
onli,-0.0039404007
most,-0.0039410098
qualiti,-0.0039431676
impact,-0.003944262
brain,-0.003945361
practic,-0.0039477143
form,-0.003947797
dynam,-0.003951021
chip,-0.0039531295
each,-0.0039570364
optic,-0.00395876
random,-0.0039601037
field,-0.0039642258
resourc,-0.0039660656
synaps,-0.003966353
chang,-0.00396864
latenc,-0.003969324
distribut,-0.003971745
appli,-0.0039722556
1,-0.0039726878
hybrid,-0.00397628
tool,-0.0039784545
speed,-0.003980498
natur,-0.003981376
transmiss,-0.003982764
case,-0.003984046
interact,-0.0039873063
demand,-0.0039880974
i,-0.0039890916
era,-0.003989784
scheme,-0.0039909184
combin,-0.0039931466
enhanc,-0.0039963415
multi,-0.0040011373
unit,-0.004002181
moor,-0.004004596
analysi,-0.0040071774
under,-0.0040088757
employ,-0.00400893
space,-0.004009601
relat,-0.0040117167
make,-0.004012424
observ,-0.0040128203
stimuli,-0.0040137134
possibl,-0.0040143332
size,-0.0040144473
evalu,-0.0040156418
import,-0.0040162103
some,-0.0040212544
within,-0.004021741
experi,-0.0040227603
domain,-0.0040228446
interconnect,-0.00402689
discuss,-0.0040300405
analyz,-0.0040305182
measur,-0.004030874
principl,-0.004033731
benchmark,-0.004033751
obtain,-0.004035495
slime,-0.004036252
properti,-0.004037867
execut,-0.004042064
mechan,-0.0040422142
binari,-0.0040423027
depend,-0.00404557
area,-0.0040460248
open,-0.0040462846
build,-0.004048355
unconvent,-0.0040496234
support,-0.0040543973
electron,-0.004055945
numer,-0.0040576127
major,-0.004058554
electro,-0.004059428
graph,-0.004060414
softwar,-0.0040604775
avail,-0.004066203
toward,-0.0040678126
weight,-0.0040684384
delay,-0.004068638
voltag,-0.0040699076
like,-0.0040712412
type,-0.004071839
test,-0.0040738545
accur,-0.0040744166
magnitud,-0.0040762518
mould,-0.0040773046
featur,-0.0040807105
shown,-0.0040828637
fulli,-0.0040835696
mean,-0.0040836423
nois,-0.0040843743
three,-0.004086401
focus,-0.004086453
linear,-0.004087996
further,-0.0040881527
exampl,-0.004088529
indic,-0.004089983
industri,-0.004090764
compil,-0.0040918384
classif,-0.0040939106
modul,-0.004097383
critic,-0.004098161
2,-0.0040982696
even,-0.0040985355
simpl,-0.00409917
fast,-0.004099951
success,-0.0041000843
sourc,-0.0041003237
rate,-0.0041027013
ani,-0.004102897
previous,-0.004103037
abil,-0.0041041067
matrix,-0.0041048243
leverag,-0.004105229
local,-0.0041057994
robust,-0.0041060736
report,-0.0041063353
thus,-0.004106616
environ,-0.0041069067
particular,-0.0041069454
configur,-0.0041073738
via,-0.0041081663
activ,-0.0041103372
substrat,-0.0041107554
photon,-0.0041108867
furthermor,-0.004111354
conduct,-0.0041117445
theori,-0.004111774
call,-0.004112277
cell,-0.0041126856
near,-0.0041143945
variabl,-0.0041151997
valu,-0.0041156327
key,-0.004115652
construct,-0.0041158963
known,-0.004117361
approxim,-0.00411742
art,-0.004117483
volatil,-0.0041176127
layer,-0.004118356
programm,-0.004119055
spice,-0.004121623
aim,-0.004123506
so,-0.0041251634
point,-0.0041253623
wide,-0.004125396
snn,-0.0041262354
4,-0.0041267797
minim,-0.0041278163
without,-0.0041319416
target,-0.0041333623
predict,-0.004133703
creat,-0.0041353186
higher,-0.004135383
compon,-0.0041358527
benefit,-0.0041359332
boolean,-0.004137145
node,-0.0041378364
few,-0.0041395975
best,-0.0041397912
hard,-0.004140034
built,-0.004140094
part,-0.0041405796
human,-0.0041419705
rang,-0.00414332
rapid,-0.0041448665
them,-0.0041452264
concept,-0.004145269
describ,-0.004145541
insight,-0.00414573
condit,-0.0041457843
way,-0.004146461
given,-0.0041471054
ise,-0.0041472213
involv,-0.0041483976
encod,-0.0041485475
lower,-0.004149815
qaoa,-0.004151254
rout,-0.0041519287
np,-0.0041527147
adapt,-0.0041531418
purpos,-0.0041542696
could,-0.0041546053
beyond,-0.0041546705
across,-0.004154746
dataset,-0.004154791
better,-0.0041558165
real,-0.0041558878
protoplasm,-0.0041562403
shor,-0.0041564284
continu,-0.004157423
