Term,Mitigated Information
automata,0.0034412798
automaton,0.00039504468
we,-0.00039298536
decid,-0.00083879405
languag,-0.0008443884
formal,-0.0019099065
finit,-0.0019963924
show,-0.00203805
determinist,-0.0020590317
word,-0.0020969086
undecid,-0.002204733
problem,-0.0022217638
can,-0.0023570843
which,-0.0023808382
use,-0.0023810328
regular,-0.0024230294
gramm,-0.0024348975
paper,-0.002489735
from,-0.002560689
result,-0.0025679595
complex,-0.0025789244
model,-0.0026322883
prove,-0.0027188202
algo,-0.0027366874
given,-0.0027505483
express,-0.0027577435
time,-0.0028002523
our,-0.0028175372
system,-0.002819523
equival,-0.002828795
state,-0.0028314954
comput,-0.0028375513
logic,-0.0028474825
also,-0.0028510673
one,-0.0028546124
general,-0.002860098
present,-0.0028610465
two,-0.0028697057
studi,-0.0028880332
base,-0.0029073358
whether,-0.0029273282
verif,-0.0029685895
alphabet,-0.0029803733
reachabl,-0.0030087722
introduc,-0.0030184337
bound,-0.003029438
accept,-0.003069079
infinit,-0.0030782227
defin,-0.003080655
all,-0.0030808933
provid,-0.0030895448
properti,-0.0031005032
class,-0.0031013403
have,-0.0031223446
proof,-0.003128847
pushdown,-0.003144191
propos,-0.0031449494
exist,-0.0031557796
set,-0.0031685815
case,-0.0031754565
tree,-0.0031822338
kleen,-0.003186636
method,-0.0031944872
proc,-0.003206282
some,-0.0032069366
nondeterminist,-0.0032079741
synt,-0.0032146834
where,-0.0032279915
allow,-0.0032356626
polynomi,-0.0032421767
has,-0.003244917
notion,-0.00325026
free,-0.0032528364
over,-0.0032571254
work,-0.0032641653
first,-0.0032763097
number,-0.0032851265
data,-0.0032870094
context,-0.0032896241
non,-0.0032992386
give,-0.0032992726
relat,-0.0033027418
approach,-0.003306505
theori,-0.0033109104
subclass,-0.0033129673
consid,-0.0033143288
everi,-0.0033157396
new,-0.003317499
construct,-0.003321278
check,-0.0033215128
monoid,-0.0033240656
call,-0.0033252393
devel,-0.0033356883
complet,-0.0033381681
mem,-0.0033384212
extend,-0.0033443056
generat,-0.0033483543
well,-0.0033507554
perform,-0.0033521797
differ,-0.0033525561
effect,-0.0033542672
it,-0.0033568412
between,-0.003358021
string,-0.0033670177
bisimilar,-0.003370166
other,-0.003377425
more,-0.0033774972
same,-0.0033865073
petri,-0.0033964657
techniqu,-0.0034004045
main,-0.0034024063
specif,-0.003402445
applic,-0.003403214
bisimul,-0.0034035759
empti,-0.0034065614
while,-0.0034087799
transduc,-0.0034200465
decis,-0.0034212228
algebra,-0.0034243492
exponenti,-0.0034245884
both,-0.003428432
s,-0.0034297202
under,-0.0034374706
obtain,-0.0034375638
