Term,Mitigated Information
research,7.1602335E-05
silo,4.846642E-05
conscious,2.3808338E-05
areascomput,3.6966449E-06
cdoi,3.6966449E-06
edsger,3.6966449E-06
kano,3.6966449E-06
noriaki,3.6966449E-06
wybe,3.6966449E-06
curlew,-1.621477E-05
eusprig,-1.621477E-05
vvr,-1.621477E-05
bgl,-2.3761051E-05
laundri,-2.3761051E-05
rda,-2.3761051E-05
we,-2.6026686E-05
chaitin,-2.8746697E-05
inhal,-2.8746697E-05
perenni,-2.8746697E-05
thunderbird,-2.8746697E-05
wrangl,-2.8746697E-05
detect,-3.1266245E-05
godel,-3.770488E-05
loyalti,-3.9684353E-05
intellig,-3.97881E-05
asthma,-4.148983E-05
gitlab,-4.4536086E-05
rationalis,-4.4536086E-05
airway,-4.5846828E-05
rhetor,-4.5846828E-05
unconnect,-4.5846828E-05
global,-4.8227026E-05
easiest,-4.91849E-05
decommiss,-5.0316805E-05
clinic,-5.286586E-05
busi,-5.4790627E-05
affair,-5.4851145E-05
dijkstra,-5.5504526E-05
prioritis,-5.5504526E-05
document,-5.5610613E-05
paper,-5.6840403E-05
now,-5.8216774E-05
estat,-5.8387017E-05
epistemolog,-5.889978E-05
academi,-5.956668E-05
personnel,-6.1218976E-05
spreadsheet,-6.1218976E-05
get,-6.149949E-05
eco,-6.164077E-05
blueprint,-6.222236E-05
five,-6.465725E-05
arena,-6.496174E-05
outcom,-6.5927605E-05
kind,-6.599062E-05
treatment,-6.61668E-05
identif,-6.621289E-05
pain,-6.622054E-05
consult,-6.681039E-05
pros,-6.709636E-05
model,-6.796223E-05
warrant,-6.861733E-05
from,-6.914274E-05
everi,-7.000581E-05
entertain,-7.111154E-05
use,-7.161629E-05
corpor,-7.174032E-05
essay,-7.234221E-05
undertaken,-7.272966E-05
scienc,-7.310642E-05
score,-7.351588E-05
approach,-7.391663E-05
respiratori,-7.48531E-05
clinician,-7.743182E-05
sizabl,-7.780193E-05
pro,-7.793414E-05
symptom,-7.793414E-05
interdisciplinari,-7.84953E-05
system,-7.879552E-05
feel,-7.931114E-05
most,-7.968389E-05
evalu,-7.973862E-05
org,-8.0671576E-05
predict,-8.101997E-05
enterpris,-8.157887E-05
suitabl,-8.164898E-05
artifici,-8.20583E-05
disconnect,-8.2081286E-05
legaci,-8.237403E-05
discern,-8.303949E-05
www,-8.322115E-05
decis,-8.3682404E-05
assess,-8.3867126E-05
fifth,-8.400938E-05
adher,-8.451058E-05
theme,-8.522939E-05
convey,-8.524459E-05
exercis,-8.561293E-05
spirit,-8.568808E-05
result,-8.6117E-05
analysi,-8.621461E-05
stakehold,-8.670139E-05
turi,-8.690887E-05
four,-8.7158E-05
help,-8.7245455E-05
somewhat,-8.751292E-05
area,-8.79893E-05
project,-8.837271E-05
journal,-8.8511384E-05
economi,-8.869492E-05
maker,-8.887605E-05
matur,-8.9028086E-05
profound,-8.9491106E-05
taxonomi,-8.9993584E-05
satisfact,-9.0318186E-05
extract,-9.0543464E-05
expertis,-9.0701666E-05
could,-9.075428E-05
tendenc,-9.101323E-05
impact,-9.117923E-05
larg,-9.1660215E-05
european,-9.2283786E-05
benchmark,-9.300768E-05
actuat,-9.305381E-05
math,-9.3181414E-05
centric,-9.339816E-05
inevit,-9.339816E-05
delta,-9.344092E-05
drug,-9.356907E-05
report,-9.3906354E-05
futur,-9.39916E-05
underscor,-9.413883E-05
involv,-9.438237E-05
activ,-9.471192E-05
friend,-9.497299E-05
opinion,-9.497299E-05
tool,-9.5032185E-05
were,-9.512293E-05
goe,-9.588841E-05
proc,-9.592691E-05
support,-9.604059E-05
healthcar,-9.611435E-05
common,-9.6458585E-05
practic,-9.682837E-05
client,-9.685954E-05
peculiar,-9.694844E-05
compani,-9.695803E-05
better,-9.701398E-05
never,-9.718426E-05
which,-9.7239026E-05
differ,-9.731791E-05
societi,-9.7686265E-05
machin,-9.821333E-05
drawn,-9.868957E-05
intent,-9.883151E-05
have,-9.956841E-05
his,-9.962236E-05
ever,-9.98319E-05
fragment,-9.993433E-05
also,-9.993621E-05
happen,-0.00010013823
deep,-0.00010021094
adjac,-0.00010023941
clean,-0.00010038889
our,-0.000100665595
understand,-0.00010072309
thought,-0.00010081521
method,-0.00010082187
domain,-0.00010093466
need,-0.00010096329
base,-0.000101016194
revisit,-0.00010106939
incomplet,-0.000101286976
parti,-0.000101286976
inconsist,-0.00010142433
enabl,-0.00010160342
audio,-0.00010171709
two,-0.00010246059
implement,-0.000102932674
contextu,-0.00010330124
can,-0.000103470506
retain,-0.00010372237
green,-0.000103919854
accret,-0.00010408608
object,-0.00010413123
within,-0.000104334045
further,-0.000104501734
belong,-0.0001048797
window,-0.00010509862
agre,-0.00010511525
integr,-0.00010514425
percept,-0.00010533351
evolutionari,-0.00010560949
list,-0.00010560949
sound,-0.00010580081
anomali,-0.000105878535
econom,-0.000106352265
outlin,-0.00010638753
princip,-0.00010649775
spontan,-0.00010649775
environment,-0.00010654187
quick,-0.00010674775
describ,-0.0001067478
health,-0.000106890555
mine,-0.00010690489
three,-0.00010723916
log,-0.0001074337
patient,-0.000107753105
realiti,-0.00010821387
right,-0.00010843974
choos,-0.00010850056
custom,-0.000108732194
compris,-0.00010875635
featur,-0.00010876787
equip,-0.00010891228
specif,-0.000108971464
greater,-0.000109017914
discuss,-0.000109032975
dataset,-0.00010906432
diseas,-0.00010910131
suit,-0.000109204266
potenti,-0.00010927297
look,-0.00010957373
live,-0.000109759065
complex,-0.00011003504
notabl,-0.00011012773
show,-0.00011027997
instrument,-0.000110381734
life,-0.000110905974
unsupervis,-0.000110905974
alreadi,-0.00011093496
medic,-0.000111082416
theori,-0.000111171306
some,-0.000111188456
expens,-0.00011125737
though,-0.00011145388
effici,-0.00011152866
simplifi,-0.000111978865
scientif,-0.00011213967
other,-0.000112687456
actual,-0.00011280405
recent,-0.00011289824
conserv,-0.000113325455
find,-0.00011337818
person,-0.00011339367
studi,-0.000113396716
when,-0.0001136028
compar,-0.000113722555
distinguish,-0.000113802795
been,-0.000113981354
taken,-0.00011407462
set,-0.00011418482
algo,-0.00011419668
remov,-0.00011426345
monitor,-0.00011445994
feedback,-0.0001145613
learn,-0.0001145616
phenomenon,-0.00011462702
broad,-0.00011468271
present,-0.00011484889
data,-0.00011493513
it,-0.00011502975
capac,-0.000115115945
come,-0.00011512061
rise,-0.00011526379
problem,-0.00011527397
has,-0.000115314055
effect,-0.00011532178
provid,-0.00011542058
earli,-0.00011556003
propos,-0.00011568174
plan,-0.00011593223
implic,-0.00011597806
evolv,-0.00011598464
high,-0.00011602869
demonstr,-0.0001161129
smaller,-0.000116113
et,-0.000116213
manner,-0.00011622349
categori,-0.000116465446
henc,-0.000116471056
sensor,-0.000116600015
risk,-0.0001166053
communiti,-0.00011663511
definit,-0.00011669806
work,-0.00011688525
both,-0.000117115764
al,-0.00011711769
effort,-0.00011711769
intern,-0.00011712772
upon,-0.000117168995
general,-0.00011734197
place,-0.00011737152
expans,-0.00011742778
next,-0.00011749096
recognit,-0.00011757471
hard,-0.00011786597
manag,-0.000117904296
platform,-0.000118177784
social,-0.00011818143
softwar,-0.000118517695
com,-0.000118541364
content,-0.00011854637
togeth,-0.000118714626
basi,-0.00011895669
purpos,-0.000119016615
shift,-0.0001190209
beyond,-0.00011903372
facilit,-0.00011910551
methodolog,-0.00011920796
core,-0.00011931601
would,-0.000119435004
first,-0.00011979587
well,-0.000120239776
negat,-0.00012026765
reliabl,-0.00012027223
adopt,-0.000120441895
link,-0.00012050813
s,-0.00012065159
amount,-0.00012081751
highlight,-0.00012109898
baselin,-0.000121109995
hypertext,-0.000121138284
yet,-0.00012114573
convent,-0.00012163371
usual,-0.00012177933
especi,-0.0001218651
label,-0.00012186732
relat,-0.00012187309
although,-0.00012211435
review,-0.0001221282
central,-0.00012224063
seri,-0.0001223391
articl,-0.00012235258
affect,-0.00012248986
perform,-0.00012264021
non,-0.00012267038
examin,-0.00012269893
theorem,-0.00012272464
public,-0.00012290798
visual,-0.0001229122
consid,-0.00012308393
embed,-0.0001230971
view,-0.00012310898
abil,-0.0001231119
time,-0.00012313918
becaus,-0.00012313944
format,-0.00012317227
fulli,-0.0001233531
experi,-0.00012351722
between,-0.00012353194
while,-0.00012353662
search,-0.0001235725
program,-0.00012367983
state,-0.00012369575
technolog,-0.00012387437
along,-0.0001239135
year,-0.00012391676
univers,-0.00012393612
obtain,-0.00012407583
altern,-0.00012408709
dynam,-0.00012428142
case,-0.00012428332
concept,-0.00012444226
pattern,-0.00012455735
one,-0.00012464495
doe,-0.00012470705
4,-0.00012474222
infer,-0.00012474359
fundament,-0.00012475967
under,-0.00012476178
devic,-0.0001247912
where,-0.00012484823
space,-0.00012485812
than,-0.00012493192
properti,-0.00012508234
advanc,-0.00012515632
precis,-0.00012516323
simul,-0.00012545244
product,-0.00012555165
characterist,-0.00012555307
architectur,-0.00012582207
part,-0.00012588168
issu,-0.00012599597
success,-0.00012608473
protocol,-0.00012609147
achiev,-0.00012617982
reveal,-0.0001264217
contain,-0.00012653042
new,-0.0001265337
knowledg,-0.00012653373
factor,-0.00012653931
moreov,-0.00012654155
signal,-0.00012654328
cost,-0.00012663097
outperform,-0.00012663186
contribut,-0.00012663774
analyt,-0.0001266416
becom,-0.0001267249
those,-0.00012673228
scenario,-0.00012682626
world,-0.0001269152
context,-0.0001269168
paramet,-0.00012697291
func,-0.00012699842
user,-0.00012707968
key,-0.00012708768
statist,-0.00012708845
g,-0.00012708925
strategi,-0.00012717064
critic,-0.00012717122
dure,-0.00012717154
compon,-0.0001271717
often,-0.00012740532
through,-0.00012744864
requir,-0.00012747732
comput,-0.00012755502
suggest,-0.00012771266
util,-0.00012771295
net,-0.00012780126
long,-0.00012784597
howev,-0.00012789738
thus,-0.0001279217
more,-0.00012793088
applic,-0.00012796397
wide,-0.00012797839
particular,-0.00012799526
field,-0.0001280727
chang,-0.00012809431
interest,-0.00012809744
behavior,-0.00012815424
group,-0.00012815543
classif,-0.0001282439
condit,-0.00012827702
them,-0.00012831103
enhanc,-0.00012831864
call,-0.00012837716
novel,-0.00012838686
defin,-0.00012840713
coupl,-0.00012845041
transfer,-0.00012845352
devel,-0.00012850088
interact,-0.00012853488
structur,-0.00012857644
out,-0.00012860428
observ,-0.00012870337
exist,-0.00012870392
even,-0.00012872751
task,-0.00012874983
due,-0.0001288724
represent,-0.00012889522
analyz,-0.00012892965
generat,-0.00012897397
scale,-0.00012899055
focus,-0.00012907611
introduc,-0.00012908009
identifi,-0.00012909966
rate,-0.00012916284
inform,-0.00012916556
order,-0.00012920288
art,-0.00012929142
increas,-0.00012929735
address,-0.00012929997
power,-0.0001293045
determin,-0.00012930676
