Term,Mitigated Information
3d,5.2135554E-05
we,-0.00057890033
our,-0.0011655921
method,-0.0014946872
use,-0.0018362203
render,-0.0019618315
imag,-0.0022369013
visual,-0.0026914268
propos,-0.0027179325
novel,-0.0027958918
from,-0.0028272914
can,-0.0028273833
approach,-0.002871872
model,-0.0028804163
generat,-0.002902809
base,-0.002910405
which,-0.0029164092
mesh,-0.003085046
synt,-0.0032082233
demonstr,-0.003219405
result,-0.0034540412
present,-0.003501498
shape,-0.0036029052
represent,-0.0036487998
data,-0.003663796
learn,-0.0037145102
qualiti,-0.00378856
paper,-0.0038232391
comput,-0.0038474659
train,-0.0038533392
design,-0.0038760768
input,-0.0038899295
user,-0.003904204
high,-0.0039415327
while,-0.003959747
view,-0.0039921324
neural,-0.003999566
show,-0.004043122
real,-0.0040591024
proc,-0.004067741
net,-0.004081846
applic,-0.004165239
reconstruct,-0.0041864193
anim,-0.004204588
techniqu,-0.004235906
scene,-0.004263735
differ,-0.0042705545
object,-0.0042805285
art,-0.0042916266
surfac,-0.004328329
introduc,-0.0043362174
edit,-0.00433711
captur,-0.0043595275
also,-0.0043646614
dataset,-0.0043698996
human,-0.0043800995
virtual,-0.004401589
have,-0.0044058654
graph,-0.0044313055
perform,-0.0044533648
produc,-0.004463528
evalu,-0.004463722
work,-0.0044687404
more,-0.0044728247
pose,-0.0044746096
challeng,-0.0044762497
time,-0.004481703
optim,-0.004484392
enabl,-0.0044890577
2d,-0.004499529
pipelin,-0.004499953
creat,-0.004518227
textur,-0.0045415103
both,-0.004544684
achiev,-0.004554145
new,-0.0045563728
provid,-0.0045582205
effici,-0.0045609754
map,-0.0045625926
first,-0.004582921
has,-0.0046144985
repres,-0.0046163504
exist,-0.0046182317
allow,-0.004629231
geometri,-0.0046325354
signific,-0.004644311
effect,-0.0046475334
problem,-0.0046509737
specif,-0.004679745
algo,-0.0046924986
state,-0.004708727
featur,-0.004721903
space,-0.0047330875
geometr,-0.0047337115
two,-0.004741435
motion,-0.004757934
transfer,-0.004765355
complex,-0.0047874767
control,-0.0047927364
field,-0.0047948123
between,-0.004797347
recent,-0.0047985683
requir,-0.0048051933
task,-0.004810886
multi,-0.0048248065
set,-0.00484685
realiti,-0.004855822
howev,-0.0048572025
encod,-0.0048652655
compar,-0.0048709223
studi,-0.0048805387
camera,-0.0048861504
radianc,-0.004896001
inform,-0.0048985365
experi,-0.004924299
deep,-0.0049479753
address,-0.004956412
well,-0.0049583847
system,-0.0049619614
framework,-0.0049635125
onli,-0.004968171
artifact,-0.0049731303
addit,-0.0049740532
includ,-0.0049771518
light,-0.0049776332
larg,-0.0049777604
through,-0.0049796295
over,-0.004987547
realist,-0.0049987785
interact,-0.004999091
it,-0.0050003645
consist,-0.0050030043
direct,-0.005009694
detail,-0.005018957
devel,-0.005035658
point,-0.005037304
combin,-0.005051268
structur,-0.005066082
research,-0.0050690956
improv,-0.005081106
been,-0.0050844755
divers,-0.0050862357
given,-0.00508909
func,-0.005097748
hypertext,-0.005097787
local,-0.0051021613
without,-0.0051193926
photorealist,-0.005119684
supervis,-0.0051243003
make,-0.0051311404
resolut,-0.005132998
other,-0.0051373607
nerf,-0.005139374
video,-0.0051551927
one,-0.005158907
avail,-0.005170012
limit,-0.0051778704
each,-0.005183592
volumetr,-0.0051908395
appli,-0.0052011404
implement,-0.0052054245
