Term,Mitigated Information
game,0.011135642
player,-6.0169492E-05
we,-0.0005888174
nash,-0.0012520668
agent,-0.002411142
equilibrium,-0.0031863255
problem,-0.0040193875
show,-0.0041075395
auction,-0.0042504333
optim,-0.004341581
strategi,-0.0044038617
equilibria,-0.004541655
which,-0.0045719654
payoff,-0.004608922
can,-0.004726281
set,-0.004759943
algo,-0.004803474
our,-0.005014657
studi,-0.005073578
incent,-0.005120026
paper,-0.0051913257
result,-0.005215465
price,-0.0052270303
each,-0.0052804593
use,-0.0053905416
social,-0.005401624
model,-0.0055596586
where,-0.0056135096
from,-0.0056218146
strateg,-0.0057042884
when,-0.005735456
welfar,-0.0057853335
maxim,-0.005792814
alloc,-0.0058525987
propos,-0.005950354
exist,-0.0060119727
two,-0.0060287043
provid,-0.0060891435
s,-0.0061050663
decis,-0.006113385
comput,-0.0062715355
has,-0.006290327
consid,-0.0063011255
also,-0.0063042943
under,-0.006331397
have,-0.006352312
revenu,-0.0063909865
general,-0.0065913177
base,-0.006592601
market,-0.0066630375
mechan,-0.006673032
fair,-0.0067320624
inform,-0.006787998
design,-0.0068110046
prefer,-0.006886257
first,-0.006886751
between,-0.0068884157
case,-0.006900687
seller,-0.0069258297
theoret,-0.00692911
other,-0.0069586183
cooper,-0.0069655757
cost,-0.0069951206
all,-0.0070126792
util,-0.007053564
it,-0.007075085
buyer,-0.0070899976
one,-0.0070917606
net,-0.0071229674
time,-0.007141552
differ,-0.0071648015
number,-0.007168654
valuat,-0.007171447
individu,-0.007171948
outcom,-0.0071723647
learn,-0.0072015026
work,-0.007213087
effici,-0.007218116
onli,-0.0072492603
how,-0.007266514
system,-0.007270938
distribut,-0.0072824573
play,-0.0072859656
perform,-0.00734007
envi,-0.007349666
both,-0.0073675783
behavior,-0.0073700184
more,-0.007385861
make,-0.007393648
present,-0.0073964912
bound,-0.007402744
who,-0.0074156136
econom,-0.0074167787
character,-0.007422582
among,-0.0074234544
howev,-0.0074242917
given,-0.007424674
selfish,-0.0074397363
some,-0.0074411705
dilemma,-0.0074661495
method,-0.0074668927
known,-0.0074973525
valu,-0.0075179143
framework,-0.0075517227
introduc,-0.007552823
solut,-0.0075573125
