Term,Mitigated Information
recommend,0.004870508
user,0.0014421178
we,-0.001562193
item,-0.0032116738
dataset,-0.004340725
propos,-0.004737538
base,-0.004957752
model,-0.005253524
inform,-0.0058568954
learn,-0.0062123137
retriev,-0.006498755
our,-0.006592682
use,-0.006810551
from,-0.0069446163
data,-0.007275804
perform,-0.007384968
method,-0.007939228
paper,-0.007984977
task,-0.008353435
experi,-0.008577978
system,-0.008634226
which,-0.008892226
howev,-0.009002039
approach,-0.009391926
can,-0.009761259
result,-0.009784871
have,-0.010013968
document,-0.010180074
text,-0.010305911
queri,-0.010345142
improv,-0.010486571
languag,-0.010668932
show,-0.010776516
evalu,-0.010797625
research,-0.010816935
art,-0.011105521
effect,-0.01118284
larg,-0.011185305
has,-0.01121865
exist,-0.011260678
prefer,-0.011281263
rank,-0.01148622
specif,-0.011488387
train,-0.011533049
search,-0.011540023
novel,-0.011556141
demonstr,-0.011663245
signific,-0.011709375
challeng,-0.011729463
problem,-0.011826266
provid,-0.011931686
differ,-0.011976644
two,-0.0121077495
knowledg,-0.012108868
semant,-0.012119324
more,-0.012158191
studi,-0.012214111
world,-0.012306222
proc,-0.012350479
set,-0.012353008
real,-0.012375835
generat,-0.012411859
relev,-0.012414634
also,-0.01245254
content,-0.012454512
e,-0.012478505
work,-0.012522738
outperform,-0.012632498
achiev,-0.012659291
state,-0.0127014
extract,-0.012727642
been,-0.0127343405
onlin,-0.012739167
address,-0.012743209
framework,-0.012757783
represent,-0.01284337
embed,-0.012988708
between,-0.013007937
most,-0.013043458
extens,-0.013048655
present,-0.013085513
both,-0.01308576
featur,-0.013101992
new,-0.01321238
make,-0.013244046
click,-0.013247997
public,-0.013254138
net,-0.013285747
person,-0.013297971
collabor,-0.013298434
compar,-0.013336343
recent,-0.0133428285
introduc,-0.01336742
while,-0.013372229
predict,-0.013400247
algo,-0.013400866
first,-0.013416858
each,-0.013485024
other,-0.013494565
time,-0.013623297
design,-0.013663543
web,-0.013720794
avail,-0.013725813
neural,-0.0137293935
domain,-0.013741877
leverag,-0.013742343
relat,-0.013746564
import,-0.013766623
baselin,-0.013778853
one,-0.013814177
accuraci,-0.013872753
it,-0.013890034
effici,-0.013950291
over,-0.013956887
graph,-0.013985122
similar,-0.013985739
conduct,-0.013991221
collect,-0.014050055
devel,-0.01406561
high,-0.014074728
analysi,-0.014085635
enhanc,-0.014097992
through,-0.014099796
interact,-0.014116366
s,-0.014116926
util,-0.014173193
well,-0.014210709
filter,-0.014225339
applic,-0.01423028
identifi,-0.014283158
captur,-0.014289175
better,-0.014316753
when,-0.014361946
qualiti,-0.0143635
onli,-0.014373116
score,-0.0144216735
techniqu,-0.014422478
natur,-0.014451496
addit,-0.01448293
find,-0.014490299
benchmark,-0.014492182
often,-0.0144997155
term,-0.014504043
interest,-0.01450712
various,-0.014534786
further,-0.014535631
aim,-0.014551231
focus,-0.014563936
explor,-0.014574206
encod,-0.014576682
context,-0.014580257
comprehens,-0.014582444
automat,-0.014594635
comput,-0.014595798
topic,-0.01460394
need,-0.014604099
corpus,-0.014604985
them,-0.014612182
mani,-0.014618688
issu,-0.014624264
requir,-0.014636025
textual,-0.014644023
help,-0.014651559
superior,-0.0146647245
word,-0.014668049
all,-0.014670868
three,-0.014682479
where,-0.014703953
limit,-0.014709042
classif,-0.01473373
how,-0.014741179
popular,-0.01474895
increas,-0.01477034
than,-0.014772221
scale,-0.014788582
tradit,-0.014793336
deep,-0.014794723
appli,-0.01479757
attent,-0.014811905
across,-0.014817007
structur,-0.014818058
machin,-0.0148206595
multi,-0.014825856
optim,-0.014863015
includ,-0.014880104
select,-0.014882479
experiment,-0.014886521
consid,-0.014906732
build,-0.014910002
sourc,-0.014956242
news,-0.01495808
i,-0.014987394
sever,-0.015006768
general,-0.015013508
given,-0.015023338
g,-0.015028483
due,-0.015037167
commerc,-0.0150546385
social,-0.0150684845
combin,-0.015078837
communiti,-0.015088869
multipl,-0.015096538
name,-0.015111065
vector,-0.0151222525
current,-0.015123792
entiti,-0.0151498215
awar,-0.015168763
servic,-0.01517331
repres,-0.015201013
number,-0.015207675
level,-0.015229184
fine,-0.015246515
func,-0.015255046
order,-0.015258687
wide,-0.015282102
human,-0.015287832
2,-0.015313143
may,-0.015325131
some,-0.015341483
integr,-0.015349799
call,-0.015357573
end,-0.01536002
million,-0.0153709
transfer,-0.015373947
match,-0.015374472
behavior,-0.015375189
final,-0.015383496
main,-0.015384474
empir,-0.015391131
lead,-0.015398076
direct,-0.015399292
1,-0.015402339
ctr,-0.015405005
incorpor,-0.015413228
enabl,-0.015416172
trec,-0.015419561
code,-0.015422574
best,-0.01542409
mine,-0.015427778
engin,-0.015442043
latent,-0.01545252
field,-0.015455788
factor,-0.015468153
histor,-0.015469094
support,-0.015472641
long,-0.015473808
potenti,-0.015475215
target,-0.015479103
space,-0.015481325
within,-0.0154840555
pre,-0.015492337
pattern,-0.015493857
obtain,-0.015496556
solut,-0.015515619
test,-0.015519569
distribut,-0.015522111
case,-0.015525771
under,-0.015528981
ndcg,-0.01553387
label,-0.015535371
adapt,-0.015538847
dynam,-0.015544544
rate,-0.015546703
previous,-0.015547125
measur,-0.015549973
supervis,-0.015551845
product,-0.015555397
understand,-0.01555655
exploit,-0.0155576365
complex,-0.015566424
non,-0.015567649
way,-0.015571244
particular,-0.015577391
metric,-0.015587332
practic,-0.015588032
observ,-0.015589429
energi,-0.01559995
sequenti,-0.015610084
platform,-0.015610483
without,-0.015611794
attribut,-0.015614557
type,-0.015621149
up,-0.015628476
implement,-0.015640307
allow,-0.01564568
consist,-0.015649136
adopt,-0.015661987
common,-0.01566203
typic,-0.015662998
reli,-0.015669309
