Term,Mitigated Information
channel,0.0034884429
we,-0.007812121
communic,-0.011899554
paper,-0.014089758
propos,-0.014581567
code,-0.0151459845
optim,-0.01586924
rate,-0.016031632
wireless,-0.01692725
result,-0.017456794
inform,-0.017544052
scheme,-0.018068586
receiv,-0.018143889
perform,-0.018361289
which,-0.018393159
base,-0.019029569
transmit,-0.019044003
use,-0.019273162
signal,-0.0199681
transmiss,-0.020186443
can,-0.021084689
decod,-0.021587271
multipl,-0.021645656
show,-0.021796994
achiev,-0.022021282
system,-0.022123197
user,-0.02243619
problem,-0.022438198
mimo,-0.022593476
error,-0.02276943
net,-0.022868488
consid,-0.02323467
antenna,-0.023513608
interfer,-0.02355625
algo,-0.023599764
from,-0.023606002
deriv,-0.024425097
simul,-0.024673209
bound,-0.025141813
also,-0.02519741
capac,-0.025291938
provid,-0.02578546
two,-0.025924722
model,-0.026065482
our,-0.026199538
design,-0.026324093
probabl,-0.026502183
power,-0.026553864
joint,-0.026665203
maxim,-0.02667531
effici,-0.026867777
over,-0.026892751
transmitt,-0.026940122
number,-0.026986882
access,-0.027022474
where,-0.027053647
under,-0.027094174
fade,-0.027210524
bit,-0.02725138
nois,-0.027311716
studi,-0.027467292
complex,-0.02748669
distribut,-0.027692351
between,-0.02777623
data,-0.027934194
method,-0.027975252
beamform,-0.0279768
station,-0.028001988
both,-0.028128298
general,-0.028250124
has,-0.028254531
time,-0.028262122
relay,-0.028333314
present,-0.028421002
numer,-0.028482985
messag,-0.028547112
random,-0.028554613
first,-0.028573893
case,-0.028608395
approach,-0.028640397
output,-0.028678514
have,-0.028700832
low,-0.028717715
one,-0.028725944
it,-0.02872803
each,-0.028746301
when,-0.028873859
new,-0.028909273
gain,-0.02891047
compar,-0.028911475
alloc,-0.028947959
improv,-0.02904224
requir,-0.029208165
comput,-0.02929029
obtain,-0.029509546
orthogon,-0.02951826
non,-0.029572567
input,-0.029597268
estim,-0.029611316
constraint,-0.029782526
proc,-0.029880634
work,-0.029916128
multi,-0.02994546
high,-0.029949825
downlink,-0.029988565
while,-0.029999439
state,-0.030023051
linear,-0.030059922
onli,-0.030063998
differ,-0.0300975
minimum,-0.03015136
close,-0.030296916
func,-0.030317841
scenario,-0.030359637
reduc,-0.030370954
effect,-0.03039959
demonstr,-0.030416658
set,-0.030455831
applic,-0.030499894
term,-0.030518914
shown,-0.03052225
ratio,-0.030552747
maximum,-0.030572165
lower,-0.03059345
signific,-0.030601012
techniqu,-0.03064041
minim,-0.030667044
character,-0.030705618
precod,-0.030732643
exist,-0.030761866
uplink,-0.030794602
