Term,Mitigated Information
logic,0.009284987
we,-0.0020967948
program,-0.0064868983
use,-0.0067992597
formal,-0.0070080413
can,-0.007238418
which,-0.007291494
semant,-0.007831389
proof,-0.007971937
paper,-0.00820335
system,-0.008231657
verif,-0.008374472
show,-0.008534405
model,-0.008619221
express,-0.008639044
result,-0.00882259
reason,-0.008867625
from,-0.008879568
set,-0.008890986
our,-0.008925024
calculus,-0.009007803
base,-0.009052429
decid,-0.009055701
languag,-0.009066952
present,-0.009160739
problem,-0.009180596
prove,-0.009193242
check,-0.009351756
notion,-0.009394073
comput,-0.0095733665
defin,-0.009745471
theori,-0.009887727
approach,-0.009903559
abstract,-0.009944841
provid,-0.009982261
complet,-0.010092359
also,-0.010115635
properti,-0.01017891
relat,-0.010325269
satisfi,-0.010340947
order,-0.010388679
have,-0.01045282
studi,-0.010474602
proc,-0.010484289
formula,-0.01060583
propos,-0.010620875
two,-0.010626229
first,-0.010641053
one,-0.010659501
introduc,-0.010717249
extend,-0.01076008
method,-0.010850595
time,-0.010868027
has,-0.010884489
structur,-0.010889284
work,-0.010890275
algo,-0.010906014
implement,-0.010916466
general,-0.010916607
undecid,-0.010970371
state,-0.01099275
equival,-0.010997727
between,-0.0110291075
synt,-0.011041544
proposit,-0.011055401
allow,-0.011061688
fragment,-0.011106131
rule,-0.011156509
it,-0.011177506
automata,-0.011200131
finit,-0.011206626
specif,-0.011208816
s,-0.0112091685
well,-0.011232369
applic,-0.011234818
rewrit,-0.01123663
type,-0.011240982
sound,-0.011244536
been,-0.0112692835
oper,-0.011271201
complex,-0.0112831285
tool,-0.011306632
call,-0.0113139935
all,-0.011318844
new,-0.01135066
exist,-0.011356715
data,-0.011375958
both,-0.011395281
some,-0.011398252
term,-0.011399096
recur,-0.011416581
how,-0.01142345
func,-0.011464573
given,-0.011465227
case,-0.011480184
construct,-0.0114901075
theorem,-0.011491272
differ,-0.0114925895
devel,-0.011496373
about,-0.011503188
give,-0.011506061
boolean,-0.011523059
more,-0.01152915
way,-0.01153225
over,-0.011533132
perform,-0.01156157
other,-0.011569444
where,-0.011571903
framework,-0.011611232
probabilist,-0.011618626
linear,-0.011620624
algebra,-0.01163499
effect,-0.011653576
consid,-0.011656725
extens,-0.011687406
prover,-0.011728354
class,-0.011741331
techniqu,-0.011761717
particular,-0.011797132
possibl,-0.011809475
graph,-0.011818783
calculi,-0.011821859
interpret,-0.011841889
exampl,-0.011842556
restrict,-0.011873749
natur,-0.011886882
sever,-0.01191798
concurr,-0.011921824
known,-0.011941783
ltl,-0.011948069
symbol,-0.011955197
monad,-0.011960865
under,-0.011964376
number,-0.011964871
induct,-0.011969498
non,-0.011972147
checker,-0.011974035
onli,-0.011977358
axiom,-0.01198102
verifi,-0.011985651
demonstr,-0.011988575
high,-0.011994615
describ,-0.011995415
when,-0.012011098
game,-0.012012528
correct,-0.01201389
analysi,-0.012030313
decis,-0.012039188
specifi,-0.012041574
lambda,-0.01204284
includ,-0.012048832
bound,-0.012057464
obtain,-0.012063039
mani,-0.012063662
while,-0.012076545
bisimul,-0.012087146
termin,-0.0120903365
requir,-0.012096595
categori,-0.012096957
coq,-0.0120982705
e,-0.012121335
make,-0.012135232
howev,-0.012139907
intuitionist,-0.012145497
net,-0.012153883
automat,-0.012155664
space,-0.012157497
field,-0.012161846
reachabl,-0.012167717
learn,-0.012180846
solv,-0.012184658
generat,-0.012186019
larg,-0.012186952
predic,-0.012187323
recent,-0.012192242
design,-0.012195464
safeti,-0.012216676
addit,-0.012225134
execut,-0.012236807
appli,-0.0122450385
isabell,-0.012246681
tree,-0.012248607
respect,-0.012250077
solver,-0.012251039
modal,-0.01225238
than,-0.012263995
form,-0.01226536
composit,-0.012270691
answer,-0.012278284
polynomi,-0.012279726
each,-0.012283541
deduct,-0.012284625
energi,-0.012285026
knowledg,-0.012293678
compar,-0.012303007
inform,-0.012303402
estim,-0.012309155
classic,-0.012311229
establish,-0.0123248175
smt,-0.01233862
observ,-0.012342149
bisimilar,-0.012343963
axiomat,-0.012344188
condit,-0.012347691
evalu,-0.012350211
computab,-0.012353614
tempor,-0.0123574855
find,-0.012361886
most,-0.012363409
investig,-0.012370043
