Term,Mitigated Information
librari,0.0009148582
implement,0.00055809447
comput,-8.588975E-05
use,-0.00033063104
we,-0.000547775
perform,-0.0008147405
packag,-0.0009557699
algo,-0.0009944901
program,-0.0010091314
numer,-0.0010224797
softwar,-0.0010434825
unit,-0.001117385
present,-0.001161573
which,-0.0011635614
method,-0.0011717306
proc,-0.0011953083
interfac,-0.0012107516
can,-0.0012136641
graph,-0.0012340873
solver,-0.001243405
paper,-0.0012684641
applic,-0.0013017484
effici,-0.0013127893
problem,-0.0013159274
parallel,-0.0013181467
provid,-0.0013291748
code,-0.0013567659
from,-0.001360557
our,-0.0014000898
solv,-0.0014018745
linear,-0.0014119502
scientif,-0.0014274855
result,-0.0014318923
base,-0.0014407634
high,-0.0014475749
python,-0.0014490943
system,-0.0014578721
cuda,-0.0014906926
optim,-0.0014923896
model,-0.0014974658
matrix,-0.001509229
func,-0.0015259209
c,-0.0015451766
data,-0.0015556363
nvidia,-0.0015605378
has,-0.0015628905
mani,-0.0015631861
includ,-0.0015692667
float,-0.0015699738
also,-0.0015731483
julia,-0.0015762874
run,-0.0015808856
show,-0.0015869857
sourc,-0.0015914852
requir,-0.0015940373
devel,-0.001606257
core,-0.0016124443
avail,-0.0016215065
mem,-0.0016243184
two,-0.0016274599
time,-0.0016304255
intel,-0.0016356503
approach,-0.0016454869
oper,-0.00164701
exampl,-0.0016518785
equat,-0.0016540905
propos,-0.0016596719
both,-0.0016661199
open,-0.001667913
scalabl,-0.001670573
user,-0.001674304
multipl,-0.0016812381
easi,-0.0016868282
allow,-0.0016868714
matlab,-0.0016939633
block,-0.001694179
algebra,-0.0017002175
work,-0.0017009865
one,-0.0017030139
mathemat,-0.0017038442
studi,-0.0017053643
support,-0.0017086966
architectur,-0.0017106441
design,-0.0017123839
flexibl,-0.001714228
new,-0.0017172538
introduc,-0.0017174699
have,-0.0017191069
languag,-0.0017204211
speedup,-0.0017239668
been,-0.0017247875
precis,-0.0017263453
differenti,-0.0017263965
automat,-0.0017278488
matric,-0.0017315433
vector,-0.0017322953
sever,-0.0017356861
central,-0.0017381819
compar,-0.0017405853
make,-0.0017426116
need,-0.0017488276
case,-0.0017507051
machin,-0.0017546939
framework,-0.0017548865
fast,-0.0017550716
solut,-0.0017558911
written,-0.0017574148
structur,-0.0017576462
demonstr,-0.0017600458
achiev,-0.001760314
it,-0.0017608462
general,-0.0017608651
signific,-0.0017630388
simul,-0.0017645846
improv,-0.0017676235
polynomi,-0.0017687792
mpi,-0.0017693487
mkl,-0.0017693752
numpi,-0.0017693752
s,-0.0017752752
larg,-0.0017755701
detail,-0.0017756225
differ,-0.0017785328
test,-0.0017811994
current,-0.0017814509
amd,-0.0017819295
techniqu,-0.0017827941
number,-0.0017839326
discuss,-0.0017841776
state,-0.0017883684
complex,-0.0017902349
describ,-0.0017909494
effect,-0.001791831
level,-0.0017920563
between,-0.001795286
import,-0.0018005325
compil,-0.0018022034
featur,-0.0018031519
arithmet,-0.0018040969
non,-0.0018041716
up,-0.0018079252
without,-0.0018147518
tool,-0.0018151543
more,-0.0018161266
stor,-0.0018191013
real,-0.0018200855
point,-0.0018201398
element,-0.0018226673
how,-0.0018231275
scale,-0.001823971
portabl,-0.0018281542
spars,-0.0018301388
singl,-0.0018304116
some,-0.0018310263
possibl,-0.0018343217
modern,-0.001835136
routin,-0.0018373402
hardwar,-0.0018385593
power,-0.0018394386
fortran,-0.0018396974
well,-0.0018400253
reduc,-0.0018434217
standard,-0.0018440227
call,-0.0018442925
over,-0.0018475878
first,-0.0018486725
scheme,-0.0018493582
product,-0.0018509266
extend,-0.0018513908
form,-0.0018540376
exploit,-0.0018541041
learn,-0.0018569884
spmv,-0.0018576368
generat,-0.0018581478
best,-0.0018585209
modular,-0.0018586484
direct,-0.0018591598
extens,-0.0018596824
order,-0.0018602322
analysi,-0.0018611678
appli,-0.0018621682
decomposit,-0.0018621889
project,-0.0018622944
toolbox,-0.0018636856
rang,-0.0018639858
arbitrari,-0.0018650389
relat,-0.0018659078
experi,-0.0018713609
recent,-0.0018721804
howev,-0.0018726285
bottleneck,-0.0018726967
common,-0.0018732144
all,-0.0018742932
practic,-0.001875383
most,-0.0018761734
net,-0.0018771014
approxim,-0.001878854
like,-0.0018805286
ani,-0.0018811865
csr,-0.0018826498
other,-0.0018831633
integr,-0.0018840579
set,-0.001884545
under,-0.0018856789
than,-0.001885829
where,-0.0018859606
engin,-0.0018884537
piec,-0.001888486
three,-0.0018891164
outperform,-0.0018894115
v100,-0.0018895409
mpi4pi,-0.0018903513
through,-0.0018907398
domain,-0.0018909381
while,-0.0018911606
eigenproblem,-0.0018926046
field,-0.001892738
when,-0.0018931956
obtain,-0.0018936377
purpos,-0.0018974394
limit,-0.0018986156
observ,-0.0018990142
tensor,-0.0018995501
a100,-0.0019005582
util,-0.0019014237
acceler,-0.001901539
distribut,-0.001901901
particular,-0.0019043398
wide,-0.0019044284
various,-0.0019044356
exist,-0.0019044569
node,-0.0019048754
onli,-0.0019050085
type,-0.0019055348
size,-0.001907206
symbol,-0.0019073231
consid,-0.0019107818
pdes,-0.0019114068
jl,-0.0019115084
help,-0.0019120187
find,-0.0019132597
built,-0.0019147304
build,-0.0019152124
addit,-0.001915988
concept,-0.0019166582
art,-0.0019168963
dynam,-0.0019174147
object,-0.0019176436
hypr,-0.0019178587
scipi,-0.0019178587
evalu,-0.0019179427
kernel,-0.0019180622
openmp,-0.0019183485
increas,-0.0019190877
scienc,-0.0019200101
space,-0.0019214491
although,-0.0019231034
prototyp,-0.0019237939
dens,-0.0019241357
via,-0.0019251592
inform,-0.0019255199
togeth,-0.0019256602
qr,-0.0019271143
licens,-0.0019271543
suit,-0.0019280161
measur,-0.0019289011
novel,-0.0019290119
protocol,-0.0019298389
arb,-0.0019302682
k80,-0.0019302682
lapack,-0.0019302682
finit,-0.0019303471
benchmark,-0.0019303738
specif,-0.0019304894
enabl,-0.001930793
magnitud,-0.001931244
mesh,-0.001931993
properti,-0.0019320085
capabl,-0.0019323967
paramet,-0.0019328501
low,-0.001933204
energi,-0.0019332062
special,-0.001933502
2,-0.0019335595
factor,-0.0019340604
class,-0.0019340959
templat,-0.0019341217
mathematica,-0.0019342899
combin,-0.0019344853
cost,-0.0019345535
unifi,-0.0019352318
condit,-0.0019372017
demand,-0.00193786
1,-0.0019385105
thread,-0.0019386419
each,-0.0019394341
communiti,-0.0019410597
iter,-0.0019416442
investig,-0.0019417754
hypertext,-0.0019425795
train,-0.0019427737
deriv,-0.0019429997
illustr,-0.0019441202
term,-0.0019441239
about,-0.001944716
codebas,-0.0019458008
target,-0.0019465748
version,-0.0019467606
theori,-0.0019467889
even,-0.0019477326
accuraci,-0.0019478211
final,-0.0019487957
known,-0.0019488555
due,-0.001949167
fft,-0.0019497679
gtx,-0.0019506485
seri,-0.0019508414
rapid,-0.0019516636
depend,-0.0019525941
predict,-0.0019535176
kit,-0.001953554
challeng,-0.001954036
blas,-0.0019550908
cray,-0.0019550908
gemm,-0.0019550908
petsc,-0.0019550908
preprocessor,-0.0019550908
fem,-0.0019556116
invers,-0.0019569467
repres,-0.0019575707
key,-0.0019577304
adapt,-0.0019577572
statist,-0.0019578815
compon,-0.001958186
full,-0.0019584943
imag,-0.0019585025
galerkin,-0.0019585472
given,-0.0019589232
error,-0.001959167
often,-0.001959539
row,-0.0019605937
aim,-0.0019608303
interact,-0.0019609851
physic,-0.0019611947
potenti,-0.001961441
previous,-0.0019618268
transform,-0.0019619
focus,-0.0019631006
dataset,-0.0019639255
e,-0.0019644522
leverag,-0.001965857
task,-0.0019664422
speed,-0.0019667053
pass,-0.0019667346
expos,-0.001967584
easili,-0.0019677747
formul,-0.0019699885
partial,-0.00197106
valu,-0.0019711768
quantum,-0.0019712385
step,-0.0019714285
construct,-0.0019716292
mechan,-0.0019720201
i,-0.001972875
local,-0.001973542
further,-0.0019738392
abstract,-0.0019738814
reusabl,-0.001974647
estim,-0.0019749538
natur,-0.0019749608
rank,-0.0019749647
here,-0.0019752462
higher,-0.0019758292
strategi,-0.0019761128
across,-0.0019763904
made,-0.001976509
represent,-0.0019768425
mean,-0.0019769864
gpgpu,-0.001976999
summit,-0.001976999
varieti,-0.001977365
transfer,-0.0019776225
access,-0.0019787527
platform,-0.001978969
ad,-0.0019791988
fastest,-0.001979292
recur,-0.001979474
hierarch,-0.0019797175
triangular,-0.0019799254
experiment,-0.0019806188
interoper,-0.001981616
32,-0.001981674
difficult,-0.0019821448
lead,-0.0019821725
execut,-0.0019829487
therefor,-0.0019834887
bem,-0.0019837478
research,-0.0019842056
nonlinear,-0.001984271
within,-0.0019843217
may,-0.0019843434
sinc,-0.0019847762
dimension,-0.001985186
multi,-0.0019855965
address,-0.0019856195
consist,-0.0019861767
github,-0.0019862005
benefit,-0.0019865618
simd,-0.0019866412
xeon,-0.0019866412
typic,-0.001987067
transit,-0.0019875164
dsl,-0.001987943
mapl,-0.001987943
among,-0.0019883956
give,-0.001988856
shown,-0.0019890363
famili,-0.0019890838
x86,-0.0019891849
round,-0.0019892121
bit,-0.0019894186
file,-0.0019895935
out,-0.0019905227
reduct,-0.001990783
overview,-0.001990968
paradigm,-0.0019909919
them,-0.0019911823
involv,-0.0019913488
forward,-0.0019915032
aspect,-0.0019917185
runtim,-0.0019917383
chang,-0.0019917528
seismic,-0.00199191
input,-0.0019921374
select,-0.0019921698
thus,-0.0019922012
yet,-0.0019925968
heterogen,-0.0019929113
refer,-0.0019935668
goal,-0.001994045
tune,-0.001994227
doubl,-0.0019950233
control,-0.0019957193
jacobian,-0.0019963097
temperatur,-0.001996526
review,-0.0019966827
aris,-0.0019966897
workstat,-0.0019967365
detect,-0.0019968702
multiphys,-0.0019976413
prove,-0.0019977607
way,-0.001998721
rewrit,-0.0019991933
01002,-0.0019992886
100gf,-0.0019992886
2373,-0.0019992886
4080,-0.0019992886
970x,-0.0019992886
alquimia,-0.0019992886
batchrng,-0.0019992886
bcast,-0.0019992886
binary64,-0.0019992886
blis,-0.0019992886
boml,-0.0019992886
boomeramg,-0.0019992886
campari,-0.0019992886
cerebra,-0.0019992886
cgbn,-0.0019992886
changigng,-0.0019992886
cl1ck,-0.0019992886
copent,-0.0019992886
csr5,-0.0019992886
cuspars,-0.0019992886
cutlass,-0.0019992886
datagraph,-0.0019992886
destim,-0.0019992886
devito,-0.0019992886
differentialequ,-0.0019992886
dymola,-0.0019992886
elfi,-0.0019992886
ensmallen,-0.0019992886
essnet,-0.0019992886
extrama,-0.0019992886
farfel,-0.0019992886
fehlberg,-0.0019992886
filiot,-0.0019992886
fmms,-0.0019992886
futhark,-0.0019992886
globalbioim,-0.0019992886
gotobla,-0.0019992886
gplv2,-0.0019992886
guitenet,-0.0019992886
halko,-0.0019992886
hoeven,-0.0019992886
hpop,-0.0019992886
itensor,-0.0019992886
jinv,-0.0019992886
jsongrind,-0.0019992886
kronrod,-0.0019992886
lagr,-0.0019992886
lgmres,-0.0019992886
lightseq,-0.0019992886
linpro,-0.0019992886
llnl,-0.0019992886
lpg,-0.0019992886
m4rie,-0.0019992886
m4rm,-0.0019992886
mace2,-0.0019992886
mace4,-0.0019992886
majianthu,-0.0019992886
martinsson,-0.0019992886
matconvnet,-0.0019992886
mathexlab,-0.0019992886
mathschem,-0.0019992886
miver,-0.0019992886
mlpi,-0.0019992886
moduland,-0.0019992886
morlab,-0.0019992886
mpfr,-0.0019992886
mpich,-0.0019992886
mrrr,-0.0019992886
multiplatform,-0.0019992886
multisplit,-0.0019992886
ndtensor,-0.0019992886
nonlinearschroding,-0.0019992886
nvidialab,-0.0019992886
onemkl,-0.0019992886
onlinegcp,-0.0019992886
openbla,-0.0019992886
opencpu,-0.0019992886
opengm,-0.0019992886
opesci,-0.0019992886
optun,-0.0019992886
p3dfft,-0.0019992886
parament,-0.0019992886
pathtre,-0.0019992886
pdelab,-0.0019992886
phasepack,-0.0019992886
plasmodata,-0.0019992886
prepreprocessor,-0.0019992886
proofpeer,-0.0019992886
pympdata,-0.0019992886
pyspod,-0.0019992886
qibsh,-0.0019992886
qrkit,-0.0019992886
qrng,-0.0019992886
rapparmor,-0.0019992886
recv,-0.0019992886
relapack,-0.0019992886
rlibm,-0.0019992886
roostat,-0.0019992886
rsvdpack,-0.0019992886
rvgp,-0.0019992886
setintersectionproject,-0.0019992886
shukaiya,-0.0019992886
sldg,-0.0019992886
slepc,-0.0019992886
snes,-0.0019992886
spc5,-0.0019992886
sqre,-0.0019992886
starneig,-0.0019992886
superlu,-0.0019992886
tapenad,-0.0019992886
tiff,-0.0019992886
tpfa,-0.0019992886
ubermag,-0.0019992886
uel,-0.0019992886
vecma,-0.0019992886
vecmatk,-0.0019992886
verificarlo,-0.0019992886
workshar,-0.0019992886
writeabl,-0.0019992886
wtime,-0.0019992886
x87,-0.0019992886
xsdk,-0.0019992886
xt5,-0.0019992886
zgoubi,-0.0019992886
sometim,-0.001999468
comparison,-0.001999486
simpl,-0.0019998068
good,-0.00199991
output,-0.0020001247
deflat,-0.0020002695
calcul,-0.0020005344
effort,-0.002000572
programm,-0.0020007805
small,-0.0020007927
discret,-0.002001156
competit,-0.002001548
phase,-0.0020015673
line,-0.0020018225
sequel,-0.0020018357
defin,-0.0020019123
sparsiti,-0.0020020658
activ,-0.0020021556
enhanc,-0.002002744
sampl,-0.002002884
identifi,-0.0020029233
rate,-0.0020029948
interest,-0.002003858
basic,-0.0020038814
deep,-0.0020041945
strong,-0.0020042406
so,-0.0020046737
frequenc,-0.0020052302
advanc,-0.002005475
eigensolv,-0.002005554
neural,-0.0020056085
dimens,-0.0020057785
analyz,-0.0020059547
instruct,-0.002006012
com,-0.0020060702
sequenti,-0.0020063706
part,-0.0020064055
accur,-0.002006413
issu,-0.0020064348
do,-0.002006451
context,-0.002006469
environ,-0.0020067517
follow,-0.0020067748
contain,-0.0020068171
determin,-0.0020070078
correspond,-0.0020071235
theoret,-0.0020074472
methodolog,-0.0020083846
regist,-0.0020085387
obviat,-0.0020087534
group,-0.0020088144
same,-0.0020091888
similar,-0.0020092963
what,-0.002009451
great,-0.002009744
concern,-0.0020099254
multigrid,-0.0020104516
entail,-0.0020104605
second,-0.0020104628
mass,-0.0020105455
multiscal,-0.0020107275
densiti,-0.0020111683
titan,-0.0020116095
stationari,-0.0020116968
idea,-0.002011806
reliabl,-0.002011806
preserv,-0.0020120856
classif,-0.0020121671
consider,-0.0020124011
popular,-0.0020127604
3,-0.0020129965
reconstruct,-0.002013257
explor,-0.0020134482
interpol,-0.0020141448
share,-0.0020142007
unstructur,-0.0020143588
veri,-0.002014566
coeffici,-0.0020151238
industri,-0.0020158743
instal,-0.002015954
suitabl,-0.0020159723
big,-0.002016109
variat,-0.0020161257
spin,-0.0020162251
continu,-0.0020164219
faster,-0.002016457
especi,-0.0020165045
window,-0.002016572
split,-0.0020172205
near,-0.0020172566
character,-0.0020174317
linux,-0.0020174668
top,-0.0020177602
main,-0.002017798
behind,-0.002017837
respons,-0.0020182373
suggest,-0.002018281
found,-0.0020183474
produc,-0.0020184238
g,-0.0020186396
contigu,-0.0020186845
restart,-0.0020186845
resourc,-0.002018734
employ,-0.0020188536
associ,-0.0020188566
hyper,-0.0020188831
initi,-0.0020190417
1795,-0.0020190743
590x,-0.0020190743
acacia,-0.0020190743
binary32,-0.0020190743
bradshaw,-0.0020190743
byted,-0.0020190743
cockcroft,-0.0020190743
cpython,-0.0020190743
fastertransform,-0.0020190743
fp64,-0.0020190743
gpl3,-0.0020190743
gridap,-0.0020190743
hypatia,-0.0020190743
igraph,-0.0020190743
isc,-0.0020190743
juditski,-0.0020190743
jupyterhub,-0.0020190743
lassen,-0.0020190743
m4ri,-0.0020190743
moa,-0.0020190743
modernis,-0.0020190743
mtk,-0.0020190743
nlses,-0.0020190743
numba,-0.0020190743
nvlink,-0.0020190743
olcf,-0.0020190743
openmpi,-0.0020190743
perlmutt,-0.0020190743
pov,-0.0020190743
pvm,-0.0020190743
readthedoc,-0.0020190743
roofit,-0.0020190743
sbfem,-0.0020190743
septic,-0.0020190743
smat,-0.0020190743
starpu,-0.0020190743
subprogram,-0.0020190743
sycl,-0.0020190743
sympi,-0.0020190743
tloop,-0.0020190743
trilino,-0.0020190743
unconverg,-0.0020190743
vpc,-0.0020190743
cluster,-0.0020191763
coupl,-0.002019181
format,-0.0020191988
take,-0.0020194298
free,-0.0020194638
either,-0.002019703
analyt,-0.0020198117
creat,-0.0020198363
tradit,-0.0020199232
minim,-0.0020201209
year,-0.0020202294
abl,-0.002020267
boundari,-0.0020202927
nest,-0.002020301
understand,-0.0020204866
pair,-0.0020205101
modul,-0.0020207025
degre,-0.0020208042
behavior,-0.0020209977
express,-0.0020210042
pattern,-0.0020210303
separ,-0.0020210736
end,-0.0020212138
respect,-0.0020218052
valid,-0.0020220454
tensorflow,-0.0020222575
too,-0.0020226294
barrier,-0.0020226457
krylov,-0.0020227705
desktop,-0.0020229341
convex,-0.0020229965
coordin,-0.0020234024
singular,-0.0020234692
random,-0.002023631
organ,-0.00202379
connect,-0.0020239772
guid,-0.0020241623
kutta,-0.0020243153
region,-0.0020243984
particl,-0.0020246052
pytorch,-0.002024628
electron,-0.002024692
loss,-0.0020247775
bound,-0.002025048
pivot,-0.0020251463
upon,-0.0020253747
trigonometr,-0.002025626
workflow,-0.002025919
map,-0.002025982
next,-0.0020261696
accept,-0.002026207
supercomput,-0.0020262138
r,-0.0020262236
robust,-0.0020263488
fourier,-0.0020265607
3072,-0.0020265817
32768,-0.0020265817
bicg,-0.0020265817
bmp,-0.0020265817
bolfi,-0.0020265817
boothbi,-0.0020265817
bsf,-0.0020265817
crusher,-0.0020265817
cvxpi,-0.0020265817
downset,-0.0020265817
dut,-0.0020265817
geoscientist,-0.0020265817
horner,-0.0020265817
