Term,Mitigated Information
numer,0.0103587955
method,-0.0006732573
equat,-0.0029391756
problem,-0.003998274
we,-0.004064866
converg,-0.00803338
comput,-0.00811727
use,-0.008713858
approxim,-0.00879667
discret,-0.008837347
solut,-0.008894214
solv,-0.009110117
propos,-0.010228928
scheme,-0.010926164
which,-0.011307912
present,-0.011346197
result,-0.011400789
base,-0.011774402
paper,-0.011816169
algo,-0.011993999
order,-0.012079844
approach,-0.012192132
differenti,-0.012209466
effici,-0.0122694215
model,-0.012570022
can,-0.01262041
finit,-0.012694461
from,-0.013112301
linear,-0.013188241
func,-0.0135848215
element,-0.013619039
time,-0.013775617
our,-0.013840239
error,-0.013878785
show,-0.013886595
two,-0.014029188
galerkin,-0.014056293
accuraci,-0.0140657155
demonstr,-0.014109399
optim,-0.014136987
analysi,-0.014365129
provid,-0.014406693
mesh,-0.014469799
system,-0.014476558
applic,-0.014741494
condit,-0.0148548465
perform,-0.014957754
iter,-0.015027626
high,-0.015050348
exampl,-0.015075933
experi,-0.015093476
also,-0.015108196
nonlinear,-0.015289756
new,-0.015344043
dimension,-0.015430237
work,-0.015441356
introduc,-0.015442135
space,-0.015510276
both,-0.015540279
studi,-0.015657537
formul,-0.015664466
differ,-0.015677234
pdes,-0.01568555
deriv,-0.015730271
general,-0.015769856
one,-0.015794417
data,-0.01581079
matrix,-0.015841769
solver,-0.015851958
proc,-0.015891744
simul,-0.015899114
step,-0.015899416
appli,-0.015907258
partial,-0.015911285
implement,-0.015992327
boundari,-0.016008731
discontinu,-0.016019886
sever,-0.016050493
obtain,-0.016097233
theoret,-0.016099527
well,-0.016100537
devel,-0.016101483
term,-0.01611512
consid,-0.016123047
illustr,-0.016129553
have,-0.016231904
it,-0.016271485
under,-0.016280783
techniqu,-0.016282076
effect,-0.01640105
number,-0.016430322
estim,-0.016433809
stabil,-0.01646194
case,-0.01646415
invers,-0.016464526
properti,-0.016467687
first,-0.016483601
paramet,-0.016485969
has,-0.016505808
framework,-0.01659621
non,-0.016633296
test,-0.016645048
point,-0.016645547
pde,-0.01669532
decomposit,-0.0167025
prove,-0.016735004
larg,-0.016744316
allow,-0.016754419
oper,-0.016768012
flow,-0.016811881
compar,-0.016826142
set,-0.016846506
construct,-0.016847393
between,-0.016852215
when,-0.016853988
domain,-0.016901443
accur,-0.016902952
structur,-0.016903033
preserv,-0.016911343
valu,-0.016927566
requir,-0.016941015
combin,-0.016953189
more,-0.016996104
polynomi,-0.016997939
reduc,-0.017024564
state,-0.017036714
integr,-0.01704309
conserv,-0.017068403
addit,-0.017113177
includ,-0.017153215
onli,-0.0171772
where,-0.017190322
particular,-0.01719981
some,-0.017213132
physic,-0.017233469
net,-0.017289195
novel,-0.017289486
dynam,-0.017299023
variabl,-0.017308516
complex,-0.01731975
matric,-0.017326862
been,-0.017331082
gradient,-0.017353905
depend,-0.017372135
field,-0.01737592
interpol,-0.017388321
grid,-0.017388929
s,-0.017396701
scale,-0.017400846
stoke,-0.017407984
cost,-0.017423641
regular,-0.017433563
second,-0.017441262
respect,-0.01744497
fluid,-0.017465629
howev,-0.017473212
improv,-0.017482532
mathemat,-0.017499175
coeffici,-0.017500602
implicit,-0.017505031
diffus,-0.0175101
design,-0.017528793
learn,-0.017534371
exist,-0.017558673
dimens,-0.01756241
adapt,-0.01758905
while,-0.017589781
local,-0.017623316
relat,-0.017626403
than,-0.017629357
limit,-0.01763873
other,-0.01765876
continu,-0.017663706
precondit,-0.017693933
low,-0.017695554
three,-0.01770568
robust,-0.017709015
direct,-0.017716175
