Term,Mitigated Information
perform,0.00014692434
we,-0.0007271706
paper,-0.0009663468
use,-0.0010184459
proc,-0.0013831179
time,-0.0013904993
system,-0.0014839533
comput,-0.0015718387
optim,-0.0016485794
unit,-0.0016574813
execut,-0.0017838336
mem,-0.0018368427
which,-0.0018455341
queue,-0.0018893569
can,-0.0019140147
result,-0.0019336739
applic,-0.0019342757
base,-0.0019529918
data,-0.0019640739
hardwar,-0.0019777818
show,-0.001995104
model,-0.0020138512
our,-0.0020503588
servic,-0.002054803
net,-0.002088948
implement,-0.002102225
propos,-0.002120432
from,-0.0022086857
softwar,-0.0022240602
cach,-0.0022267676
workload,-0.00223127
schedul,-0.0022319257
resourc,-0.0022525222
present,-0.0022575078
have,-0.002259031
effici,-0.002280986
requir,-0.0022984378
design,-0.0023296734
user,-0.0023324941
improv,-0.0023482786
compar,-0.0023557888
speedup,-0.002365289
run,-0.0023736844
algo,-0.0023800046
central,-0.0023837518
high,-0.0024019978
evalu,-0.00240552
architectur,-0.0024130112
techniqu,-0.0024138847
achiev,-0.0024141176
oper,-0.0024149034
differ,-0.0024314178
provid,-0.0024346216
devel,-0.0024397434
analysi,-0.0024522212
both,-0.0024549214
work,-0.002459456
approach,-0.0024649135
distribut,-0.0024827449
graph,-0.0025173295
also,-0.002523876
program,-0.0025277338
method,-0.002566406
node,-0.002580177
two,-0.0025845915
has,-0.0025889096
when,-0.0025892504
signific,-0.002605024
runtim,-0.002608971
parallel,-0.0026109244
mani,-0.0026262414
studi,-0.0026271164
stor,-0.0026401863
platform,-0.0026476355
server,-0.0026491098
access,-0.0026517082
cost,-0.0026567641
latenc,-0.0026578326
larg,-0.0026594163
number,-0.0026629292
deploy,-0.0026757554
simul,-0.0026807822
one,-0.0026820083
reduc,-0.002683119
scalabl,-0.0027003577
problem,-0.0027077128
load,-0.0027090665
enabl,-0.0027121187
arriv,-0.0027140938
it,-0.0027151646
bandwidt,-0.0027180703
bottleneck,-0.002718232
than,-0.0027313582
code,-0.0027336893
traffic,-0.00273581
alloc,-0.0027373887
over,-0.0027391235
while,-0.0027465955
introduc,-0.0027493327
communic,-0.0027496263
set,-0.0027681831
real,-0.00277155
howev,-0.0027736619
kernel,-0.0027747164
generat,-0.0027909884
between,-0.0027944862
case,-0.0027999105
new,-0.0028005887
other,-0.0028019948
power,-0.00280227
acceler,-0.0028027953
up,-0.002805354
usag,-0.0028057161
intel,-0.0028130603
practic,-0.0028159043
effect,-0.0028165977
configur,-0.002820537
packet,-0.0028251528
overhead,-0.0028271985
state,-0.0028298078
framework,-0.0028305147
scale,-0.0028308604
under,-0.0028334602
compil,-0.0028335508
make,-0.002838418
cloud,-0.0028415837
where,-0.0028520655
consumpt,-0.0028548068
more,-0.0028573105
each,-0.002857516
support,-0.0028622283
increas,-0.0028688717
multipl,-0.0028699283
focus,-0.0028717308
current,-0.002872455
specif,-0.0028726102
polici,-0.00287484
job,-0.002876314
avail,-0.002883009
util,-0.0028836052
complex,-0.0028841195
analyz,-0.0028848415
