Term,Mitigated Information
program,0.0109061655
languag,0.0029092263
we,-0.0011700741
compil,-0.0018470227
implement,-0.0024296625
use,-0.0028094589
logic,-0.002862368
semant,-0.0034077428
can,-0.0036639015
execut,-0.0037964229
our,-0.0038955843
abstract,-0.0040060678
which,-0.004124206
paper,-0.004168622
code,-0.0041713305
present,-0.004254928
verif,-0.0044718375
base,-0.0044966787
system,-0.0044980533
from,-0.004543096
func,-0.0046029906
type,-0.0046233186
show,-0.004641002
formal,-0.004656566
softwar,-0.004664006
tool,-0.0047978014
comput,-0.004901292
express,-0.0049095913
devel,-0.004954931
oper,-0.005041964
model,-0.005074476
approach,-0.005083117
result,-0.005090371
have,-0.0051232884
provid,-0.00517875
sound,-0.0052218707
work,-0.00526723
programm,-0.005282169
specif,-0.00529008
applic,-0.0052921656
check,-0.005302036
perform,-0.005324182
proc,-0.005325718
techniqu,-0.005332513
synt,-0.005365447
call,-0.00545622
design,-0.005458446
propos,-0.0054705027
concurr,-0.005486756
proof,-0.0055340496
also,-0.005535085
data,-0.0055650785
defin,-0.005591393
automat,-0.005593073
support,-0.005608959
it,-0.0056440253
calculus,-0.005648186
reason,-0.005651303
prove,-0.005658079
time,-0.0056655747
declar,-0.0056711645
write,-0.005674831
has,-0.0056796595
allow,-0.0056910194
recur,-0.0056991884
static,-0.005704687
algo,-0.0057064993
new,-0.005708537
introduc,-0.005714185
correct,-0.005716757
first,-0.005720467
evalu,-0.0057517635
one,-0.00579637
make,-0.005808311
order,-0.005821045
analysi,-0.00582789
set,-0.005839172
java,-0.0058403304
method,-0.0058473763
practic,-0.005856008
s,-0.0058582276
runtim,-0.005861982
about,-0.005868475
studi,-0.0058778627
how,-0.0058982735
structur,-0.0058985734
more,-0.0059035234
librari,-0.005908835
two,-0.0059092534
general,-0.0059212698
over,-0.0059224493
generat,-0.005939903
state,-0.0059613967
extens,-0.00597515
all,-0.005984813
problem,-0.0059972918
level,-0.005998717
properti,-0.006020815
been,-0.00602951
differ,-0.006036236
exist,-0.0060381712
includ,-0.0060540875
mani,-0.006065428
both,-0.0060712066
written,-0.006079357
well,-0.006083638
rewrit,-0.0061052935
coq,-0.0061091036
verifi,-0.0061166277
framework,-0.0061184485
between,-0.0061234427
other,-0.0061265137
run,-0.006130987
effect,-0.0061531775
demonstr,-0.0061562834
mem,-0.0061637796
some,-0.0061662067
high,-0.0061675822
transform,-0.0061698537
relat,-0.006171733
howev,-0.0061728717
effici,-0.006174508
domain,-0.0061857267
translat,-0.0061892923
autom,-0.006193653
while,-0.006196959
definit,-0.006201389
imper,-0.0062084757
requir,-0.0062117456
