Term,Mitigated Information
speech,0.021304706
audio,0.008726131
speaker,0.00081946095
train,-0.000109860266
model,-0.0016888924
propos,-0.0018748812
we,-0.002121277
perform,-0.0031009673
recognit,-0.003109668
voic,-0.0033943998
music,-0.0037260624
use,-0.0040278933
acoust,-0.0044339937
sound,-0.005036542
asr,-0.0052540633
improv,-0.005607113
task,-0.00574336
learn,-0.0057492564
our,-0.0059623653
from,-0.0060633523
base,-0.0060892897
dataset,-0.0062885936
method,-0.006450439
paper,-0.006574955
result,-0.0068860855
neural,-0.0069638127
evalu,-0.0070643714
net,-0.007228587
achiev,-0.0072642034
signal,-0.0074315546
can,-0.007607527
show,-0.0077581173
data,-0.007808922
which,-0.007961955
automat,-0.008124864
approach,-0.008374025
featur,-0.008622285
experi,-0.00881243
system,-0.009194754
spectrogram,-0.009302145
text,-0.009305251
qualiti,-0.009396963
howev,-0.009435963
compar,-0.00944731
outperform,-0.009498818
work,-0.009510402
challeng,-0.009553568
differ,-0.009584136
baselin,-0.009658321
art,-0.009789189
classif,-0.009861138
deep,-0.009881128
demonstr,-0.009890499
generat,-0.009948591
languag,-0.010001202
has,-0.010013139
utter,-0.01002534
tts,-0.010041984
have,-0.0100565255
inform,-0.010086128
synt,-0.010109599
both,-0.010124508
time,-0.010158402
represent,-0.010190581
signific,-0.01022988
effect,-0.010259486
record,-0.010268422
while,-0.010298643
supervis,-0.010332594
mel,-0.010341223
end,-0.010366562
enhanc,-0.0103857815
two,-0.010410167
sourc,-0.010432332
present,-0.010463698
also,-0.010468241
encod,-0.010502897
transcript,-0.010525158
phonem,-0.010526075
microphon,-0.010547204
listen,-0.010560039
proc,-0.010572429
convolut,-0.010648508
state,-0.010649804
research,-0.0107312845
nois,-0.010771123
recent,-0.010801276
novel,-0.010806037
introduc,-0.010816463
separ,-0.0108422395
test,-0.010882285
architectur,-0.010895669
label,-0.010896144
between,-0.010918085
studi,-0.0109283095
extract,-0.010942055
wer,-0.01095338
multi,-0.010968254
domain,-0.010971089
set,-0.010977675
addit,-0.0109797735
pre,-0.010982823
better,-0.011038084
more,-0.011060599
input,-0.0110795805
high,-0.011114845
error,-0.011124717
embed,-0.011130466
word,-0.011154426
score,-0.011155731
when,-0.011202554
transform,-0.01123457
framework,-0.011241207
attent,-0.01124442
target,-0.011254413
onli,-0.011318726
decod,-0.011322193
experiment,-0.0113249915
pitch,-0.011375137
detect,-0.0114054615
human,-0.011419074
spoken,-0.011430264
specif,-0.011452125
it,-0.011455458
applic,-0.011482436
first,-0.01148549
further,-0.011485617
other,-0.011496599
convers,-0.011500491
one,-0.011528716
vocal,-0.011563293
larg,-0.0115655465
been,-0.0115672825
predict,-0.011576061
robust,-0.011584623
than,-0.011603502
rate,-0.011621121
address,-0.011623982
problem,-0.011634383
accuraci,-0.011638208
emot,-0.01164303
fine,-0.0116583025
condit,-0.011660103
avail,-0.011668661
without,-0.011673995
real,-0.0116778435
transfer,-0.011679215
provid,-0.011692671
adapt,-0.011721962
frequenc,-0.0117256995
new,-0.011763893
combin,-0.011764623
requir,-0.011775669
object,-0.011781404
well,-0.011805511
level,-0.011813984
techniqu,-0.0118269455
noisi,-0.011832424
design,-0.011835534
reverber,-0.011838669
various,-0.011863255
comput,-0.011879139
relat,-0.011892903
similar,-0.011924356
best,-0.011927938
loss,-0.011936134
timbr,-0.011937534
over,-0.011939058
general,-0.011939849
self,-0.011942348
aim,-0.011948958
recurr,-0.011949892
augment,-0.011972583
librispeech,-0.011974692
auditori,-0.011978084
previous,-0.011994252
limit,-0.011995379
consist,-0.012020207
corpus,-0.012039639
util,-0.012041643
s,-0.012048697
devel,-0.012055758
each,-0.012063446
all,-0.01206479
perceptu,-0.012065405
leverag,-0.012066206
sever,-0.012067553
term,-0.012080498
singl,-0.012086502
explor,-0.0120868115
exist,-0.012089364
appli,-0.012093158
focus,-0.012095883
most,-0.012115367
subject,-0.01212286
includ,-0.012123859
scenario,-0.012130303
algo,-0.012152425
1,-0.012157278
tune,-0.012181001
analysi,-0.012183182
through,-0.012186171
sing,-0.012188067
unseen,-0.012199682
metric,-0.012199834
short,-0.012202185
non,-0.012208379
2,-0.01221695
phonet,-0.012235251
where,-0.012240131
multipl,-0.012256177
make,-0.01228594
obtain,-0.01229928
cross,-0.012306584
layer,-0.012315023
machin,-0.012322551
verif,-0.012323832
estim,-0.012324471
sampl,-0.01232904
abil,-0.012331908
func,-0.012334602
frame,-0.012336015
intellig,-0.012336642
across,-0.012344871
song,-0.012349751
modal,-0.012376059
vocod,-0.0123872105
effici,-0.012395129
sequenc,-0.012401572
convent,-0.0124050025
direct,-0.012412589
dure,-0.01241295
low,-0.012415323
eer,-0.012416495
e,-0.012416947
optim,-0.012425598
align,-0.012428983
structur,-0.012446086
output,-0.012446868
investig,-0.01245013
content,-0.01245472
mask,-0.012455684
field,-0.012468649
genr,-0.012468994
employ,-0.01247045
due,-0.012489583
natur,-0.012492535
find,-0.012495933
conduct,-0.012498009
scale,-0.012503975
three,-0.012510817
final,-0.012516321
mos,-0.012516408
benchmark,-0.01251672
discrimin,-0.012525048
joint,-0.012525372
advanc,-0.01252895
reduc,-0.012531718
corpora,-0.012535094
collect,-0.012535211
integr,-0.012536492
melodi,-0.012543716
infer,-0.012553839
environ,-0.0125669325
number,-0.01256741
visual,-0.012572896
enabl,-0.012574105
tempor,-0.012575419
increas,-0.012576341
measur,-0.012582183
e2e,-0.012582308
clean,-0.012599161
observ,-0.012607646
consid,-0.01261023
shown,-0.012619459
complex,-0.0126303
success,-0.012631377
allow,-0.012636471
theori,-0.012643181
hear,-0.012644924
under,-0.012645004
style,-0.012648167
how,-0.012655839
cepstral,-0.0126559455
particular,-0.012662932
respect,-0.012669606
hour,-0.012669631
i,-0.012671787
waveform,-0.012673897
contrast,-0.012674475
second,-0.012676019
vc,-0.0126760295
issu,-0.012676954
degrad,-0.012681444
current,-0.01268977
paramet,-0.012695952
annot,-0.012696598
properti,-0.012697319
prosodi,-0.0126995165
furthermor,-0.012700208
code,-0.0127011435
strategi,-0.01270204
mixtur,-0.012703825
order,-0.012704359
5,-0.01270675
quantum,-0.012707186
case,-0.01271058
dynam,-0.012711037
context,-0.012711663
filter,-0.012721037
mani,-0.012723308
hypertext,-0.012723866
space,-0.01272428
public,-0.012733525
amount,-0.012734184
divers,-0.012735959
import,-0.012737779
depend,-0.0127422195
creat,-0.012744963
mean,-0.012749095
knowledg,-0.012752729
modul,-0.012753408
user,-0.012753431
produc,-0.012764129
lead,-0.012771903
world,-0.012773041
unlabel,-0.012773646
simul,-0.012774325
local,-0.012774369
linguist,-0.0127767
given,-0.012777936
some,-0.012781206
captur,-0.01278277
pronunci,-0.012791976
even,-0.012793785
distribut,-0.012795632
denois,-0.012797795
often,-0.012798524
potenti,-0.012803816
prior,-0.012816217
fusion,-0.012821485
ctc,-0.012821979
long,-0.012832865
unsupervis,-0.012837148
segment,-0.012838945
3,-0.012846945
equat,-0.012852403
abl,-0.01285361
protocol,-0.0128565505
need,-0.012857242
solut,-0.0128605785
pretrain,-0.012864483
compon,-0.012864672
polyphon,-0.012869537
track,-0.012873043
github,-0.012879991
0,-0.012881238
stream,-0.012881976
name,-0.012882829
energi,-0.012884502
dereverber,-0.012889409
pesq,-0.012889409
timit,-0.012889409
type,-0.0128975175
contain,-0.012898292
still,-0.01290217
control,-0.01291417
interact,-0.012917716
class,-0.012921332
common,-0.012923245
characterist,-0.0129240705
adversari,-0.0129273385
spectral,-0.012927497
speak,-0.012928419
incorpor,-0.012935403
like,-0.012937323
english,-0.01294636
them,-0.012951193
extens,-0.012951711
few,-0.01295209
numer,-0.0129563715
origin,-0.01295816
thus,-0.012958727
moreov,-0.0129587995
may,-0.012959098
wide,-0.012960201
channel,-0.012960487
independ,-0.01296107
shot,-0.012962096
truth,-0.012963068
build,-0.012963576
especi,-0.012967319
token,-0.01296741
vector,-0.012968034
same,-0.012969379
transcrib,-0.012970093
capabl,-0.012970792
reduct,-0.012973186
mandarin,-0.012976586
stft,-0.012976586
socket,-0.012979007
indic,-0.01298259
up,-0.0129834525
way,-0.0129835
ani,-0.012987162
open,-0.012990443
discuss,-0.01299707
call,-0.012998123
audioset,-0.013001485
event,-0.013001736
multilingu,-0.0130039025
resourc,-0.013005045
accur,-0.013009247
deriv,-0.013011404
accent,-0.013012913
valid,-0.013016352
imag,-0.0130175175
4,-0.013021968
possibl,-0.0130270785
mfcc,-0.0130275125
form,-0.013028979
linear,-0.0130292745
oper,-0.013036843
command,-0.013038897
point,-0.013039
assess,-0.013039389
via,-0.013041357
identifi,-0.013042395
superior,-0.013046239
refer,-0.013048392
describ,-0.013051003
lyric,-0.013051121
within,-0.013052075
part,-0.013053341
mechan,-0.013054066
dimension,-0.013054532
out,-0.013055453
stage,-0.013055614
rang,-0.013056691
implement,-0.01305717
help,-0.013060556
repres,-0.0130613865
scene,-0.013065939
main,-0.013070288
whisper,-0.013071058
prove,-0.01307144
clip,-0.013081494
match,-0.013082606
understand,-0.013083104
retriev,-0.013087407
adopt,-0.01308851
take,-0.013091348
mem,-0.013091534
durat,-0.0130924005
here,-0.013092444
finit,-0.013093546
recogn,-0.013096116
standard,-0.01309782
devic,-0.013101077
factor,-0.013104245
tdnn,-0.013106046
video,-0.0131066535
power,-0.0131096
step,-0.013111677
averag,-0.013111822
gain,-0.013117086
mismatch,-0.013117407
impact,-0.013119114
cost,-0.013122063
remain,-0.013123235
follow,-0.01312425
sdr,-0.013124266
aishel,-0.013126502
valu,-0.013127602
veri,-0.013128677
cue,-0.01313111
snr,-0.01313111
hubert,-0.013131601
wsj0,-0.013131601
physic,-0.013134329
tradit,-0.013134419
exampl,-0.013135877
theoret,-0.013138377
background,-0.013140288
about,-0.013141071
known,-0.013141824
strong,-0.0131429965
g,-0.013143069
higher,-0.013143395
weight,-0.013145581
convert,-0.0131467655
construct,-0.013148095
typic,-0.013148482
overal,-0.01315036
competit,-0.013152989
artifici,-0.013154969
7,-0.01315526
exploit,-0.013156966
select,-0.013158675
particl,-0.013159772
latent,-0.013159797
lack,-0.013160239
com,-0.013160463
dcase,-0.01316116
6,-0.013161587
phase,-0.013165069
correspond,-0.013165218
manual,-0.013165274
extend,-0.013167713
analyz,-0.013169482
activ,-0.013171513
room,-0.013174154
8,-0.013183036
although,-0.013184001
toward,-0.013184066
keyword,-0.013186169
reli,-0.01318639
involv,-0.013186434
scarciti,-0.013187008
were,-0.013187557
simpl,-0.013188037
semant,-0.013189701
parallel,-0.013189742
comprehens,-0.013190064
bound,-0.013196061
do,-0.013198625
technolog,-0.013199597
size,-0.013199738
year,-0.013201162
percept,-0.0132023515
progress,-0.013203975
distort,-0.013208991
diariz,-0.013209813
small,-0.013214087
key,-0.0132166175
spatial,-0.013217025
yield,-0.013219479
four,-0.013220818
multimod,-0.013220938
suffer,-0.013221266
identif,-0.013222274
coupl,-0.0132240215
monolingu,-0.013224722
correl,-0.013231461
contribut,-0.013231642
minim,-0.013231648
surpass,-0.013232815
full,-0.013233893
wav2vec,-0.013235386
determin,-0.0132392775
magnet,-0.013239463
binaur,-0.013240256
untranscrib,-0.013240256
dnn,-0.013240863
approxim,-0.013244848
densiti,-0.013246868
midi,-0.013246989
2mix,-0.013247049
interest,-0.013247174
suggest,-0.013248572
maintain,-0.0132490415
against,-0.013250327
fulli,-0.013250533
inspir,-0.013251203
either,-0.0132516995
10,-0.013255204
instrument,-0.013255393
great,-0.013259166
varieti,-0.013259241
practic,-0.013264878
ratio,-0.013265282
calcul,-0.01326574
multichannel,-0.013265878
temperatur,-0.013266627
ser,-0.013268265
pair,-0.013271736
db,-0.013273163
variat,-0.01327426
map,-0.0132744275
express,-0.013274765
chang,-0.013275572
downstream,-0.0132763935
promis,-0.013277277
advantag,-0.013279222
reconstruct,-0.013281992
variabl,-0.013282233
individu,-0.013284129
impuls,-0.013284419
give,-0.013285015
