Term,Mitigated Information
estim,0.0018370136
we,-0.0007045302
use,-0.0011856592
propos,-0.001295177
asymptot,-0.0013359574
model,-0.0014053123
regress,-0.0014323532
sampl,-0.0015067577
treatment,-0.0015963838
data,-0.001684981
paper,-0.0017044665
empir,-0.0017213153
method,-0.0017314728
our,-0.0017414594
variabl,-0.0017419276
panel,-0.001751238
under,-0.0018823156
unobserv,-0.00189458
nonparametr,-0.0019928904
econom,-0.0020057524
covari,-0.002011749
effect,-0.0020240443
outcom,-0.002065842
causal,-0.0020830105
from,-0.0020930532
studi,-0.0021037236
statist,-0.0021094892
simul,-0.0021139008
which,-0.0021742356
condit,-0.0022193245
can,-0.0022232647
financi,-0.0022439186
illustr,-0.0022613872
set,-0.0022727512
heterogen,-0.0022861238
base,-0.002305379
infer,-0.0023319952
result,-0.0023327623
macroeconom,-0.0023474307
show,-0.0023672888
when,-0.0023962625
approach,-0.0024205395
time,-0.0024616665
observ,-0.0024717771
market,-0.0024947599
distribut,-0.002501612
endogen,-0.0025042302
econometr,-0.0025223638
applic,-0.0025349401
appli,-0.0025486974
two,-0.0025508008
seri,-0.0025689597
autoregress,-0.0025716973
price,-0.0025786986
new,-0.0025812518
assumpt,-0.0025888307
func,-0.0025902954
test,-0.0025943704
differ,-0.0026026322
identif,-0.0026474076
polici,-0.002649395
forecast,-0.0026500812
consist,-0.0026573522
identifi,-0.0026656182
paramet,-0.002675578
provid,-0.0026757345
interest,-0.00267668
also,-0.0026852405
analysi,-0.0026952978
error,-0.0026966275
mont,-0.002699528
carlo,-0.0026999281
find,-0.0027010087
quantil,-0.002703272
unit,-0.0027054134
perform,-0.0027138458
size,-0.0027163383
averag,-0.002719947
volatil,-0.0027211457
than,-0.0027372227
common,-0.0027520834
altern,-0.0027534573
problem,-0.0027636169
spillov,-0.0027713072
devel,-0.0027782582
risk,-0.0027812233
larg,-0.0027906215
valid,-0.0027907768
practic,-0.0027915065
return,-0.0027998968
have,-0.002802473
instrument,-0.0028038896
depend,-0.002816519
var,-0.0028173777
both,-0.0028225053
between,-0.002828352
semiparametr,-0.0028364863
includ,-0.0028395206
properti,-0.0028431546
standard,-0.0028433965
where,-0.0028443497
establish,-0.00284929
specif,-0.002854086
s,-0.0028588502
heteroskedast,-0.0028615803
system,-0.0028626514
control,-0.0028698267
demonstr,-0.0028732026
mean,-0.0028732957
proc,-0.0028736063
valu,-0.0028742081
framework,-0.0028802059
confid,-0.0028852243
general,-0.00288689
finit,-0.0028870995
over,-0.0028950642
more,-0.002897093
it,-0.0029023755
introduc,-0.0029169242
restrict,-0.002917399
one,-0.002920466
bias,-0.0029340773
present,-0.002934207
compar,-0.0029403903
structur,-0.0029569373
measur,-0.0029591767
i,-0.0029611178
has,-0.002964597
high,-0.0029691695
group,-0.0029691893
stock,-0.0029758317
research,-0.0029775018
number,-0.0029782597
allow,-0.002978315
requir,-0.0029806576
inform,-0.002982874
consid,-0.0029857156
learn,-0.002989085
construct,-0.0029902388
effici,-0.0029903227
varianc,-0.0029909937
factor,-0.0029933979
predict,-0.0029960268
often,-0.0029964882
bootstrap,-0.002999288
deriv,-0.0030001157
experi,-0.0030007395
first,-0.0030029637
assess,-0.003006004
machin,-0.0030074427
robust,-0.0030090387
treat,-0.0030116278
select,-0.0030129196
bayesian,-0.0030148108
wage,-0.003017339
real,-0.0030182148
relat,-0.0030183413
import,-0.0030186817
nuisanc,-0.00302219
state,-0.003022319
theori,-0.0030238787
vari,-0.0030270524
probabl,-0.003031984
normal,-0.0030373833
weight,-0.0030409007
linear,-0.0030432618
optim,-0.0030445915
exist,-0.0030466542
case,-0.0030468833
non,-0.0030471066
literatur,-0.0030530065
well,-0.003054772
onli,-0.0030614964
power,-0.0030624177
howev,-0.003064242
countri,-0.0030662809
dimension,-0.0030670948
methodolog,-0.0030674418
firm,-0.0030693067
design,-0.0030716555
counterfactu,-0.0030721766
net,-0.0030739347
while,-0.003075439
other,-0.0030759673
theoret,-0.0030788544
comput,-0.0030800512
second,-0.0030809296
choic,-0.0030836645
novel,-0.0030837508
likelihood,-0.0030848403
particular,-0.0030862363
job,-0.0030864126
across,-0.0030934536
increas,-0.0030968597
decis,-0.0030985777
potenti,-0.0031000392
evalu,-0.0031002648
may,-0.0031018
term,-0.003102989
fix,-0.0031061727
further,-0.003109757
work,-0.0031103513
individu,-0.0031121147
how,-0.00311517
all,-0.0031177842
algo,-0.003118501
through,-0.0031190151
implement,-0.0031194082
given,-0.003121688
rate,-0.003125196
suggest,-0.0031267346
indic,-0.0031300406
random,-0.00313105
squar,-0.003131159
garch,-0.0031314767
propens,-0.0031315503
via,-0.003135662
chang,-0.0031380178
coeffici,-0.0031386954
latent,-0.0031387408
order,-0.0031389454
parametr,-0.003143808
mani,-0.0031465394
investig,-0.0031469131
some,-0.0031474424
affect,-0.0031545893
signific,-0.0031573125
obtain,-0.0031605707
bound,-0.0031615207
tail,-0.00316389
root,-0.0031650239
ani,-0.0031654662
interv,-0.0031662083
field,-0.0031665738
assign,-0.0031673377
small,-0.0031706528
even,-0.0031724027
level,-0.0031753127
possibl,-0.0031756791
avail,-0.0031758896
lead,-0.0031761066
been,-0.003176802
unknown,-0.003177061
point,-0.0031771318
presenc,-0.003177185
tool,-0.0031786687
quantum,-0.0031809257
approxim,-0.0031810603
score,-0.003181787
context,-0.0031823707
within,-0.0031847302
recent,-0.0031852804
accommod,-0.0031856287
demand,-0.003187128
dynam,-0.0031880578
make,-0.0031901086
dataset,-0.0031909444
techniqu,-0.0031916145
analyz,-0.0031955424
margin,-0.0031956383
account,-0.003197724
augment,-0.0031978618
stata,-0.0031987461
partial,-0.003199967
generat,-0.0032005901
challeng,-0.003202338
achiev,-0.0032029327
shortfal,-0.0032032912
exampl,-0.003203492
featur,-0.0032049078
improv,-0.0032054074
us,-0.0032059276
employ,-0.0032060142
type,-0.0032060149
form,-0.0032063061
limit,-0.003206504
addit,-0.0032117418
social,-0.00321203
nonlinear,-0.0032125348
true,-0.0032148815
most,-0.003215405
less,-0.0032185146
local,-0.0032189293
class,-0.003218998
relationship,-0.003219203
e,-0.0032198464
integr,-0.0032198608
three,-0.0032205125
involv,-0.0032207146
space,-0.0032212606
behavior,-0.00322216
synt,-0.0032229214
conduct,-0.0032238672
expect,-0.0032246737
each,-0.0032263247
incorpor,-0.003226718
energi,-0.0032267945
correct,-0.0032284162
direct,-0.0032288183
persist,-0.0032317026
better,-0.0032318258
cross,-0.0032318772
exogen,-0.0032336034
reli,-0.0032338102
natur,-0.00323423
corp,-0.0032343366
multivari,-0.003234433
issu,-0.0032345222
final,-0.0032350675
continu,-0.0032351194
combin,-0.0032352237
solut,-0.0032361466
do,-0.0032362053
moment,-0.003239207
discuss,-0.0032398445
adjust,-0.0032401108
least,-0.0032402617
examin,-0.0032412468
popular,-0.0032419171
earn,-0.0032424724
sever,-0.0032428917
converg,-0.0032439642
u,-0.0032445202
incom,-0.003244678
out,-0.0032448682
siev,-0.0032456557
simpl,-0.0032466978
subpopul,-0.0032471053
index,-0.003248187
null,-0.0032490566
imag,-0.0032495344
impact,-0.0032503568
alloc,-0.0032507686
regular,-0.0032519016
econometrician,-0.0032528145
util,-0.0032544562
trend,-0.0032550788
hypothesi,-0.003256797
educ,-0.0032574518
maker,-0.0032589133
period,-0.0032599233
semi,-0.0032622986
numer,-0.0032625082
doe,-0.0032640023
complex,-0.0032642158
extens,-0.0032642223
due,-0.0032647708
doubli,-0.0032659739
scale,-0.0032662288
relev,-0.0032671154
low,-0.0032674707
ol,-0.0032686975
imben,-0.003268755
stochast,-0.003269668
portfolio,-0.0032699918
train,-0.003270021
task,-0.0032702999
joint,-0.0032707346
physic,-0.0032715178
lasso,-0.0032719509
among,-0.003272241
misspecif,-0.0032728894
variat,-0.0032732612
veri,-0.003275083
substanti,-0.0032761241
recess,-0.0032766652
prove,-0.0032770839
step,-0.0032771144
call,-0.0032771549
defin,-0.0032776264
1,-0.0032776897
like,-0.0032778194
vector,-0.0032779188
without,-0.0032784143
inflat,-0.003278548
interact,-0.0032806979
moder,-0.0032835482
phase,-0.0032845598
fit,-0.0032849628
inferenti,-0.0032854895
concern,-0.0032871915
matrix,-0.0032874036
section,-0.003288572
iv,-0.0032888383
typic,-0.0032895554
address,-0.0032908863
exercis,-0.0032914414
confound,-0.0032919333
about,-0.0032920653
various,-0.0032922933
main,-0.003292998
bandit,-0.0032940956
wald,-0.0032954805
proxi,-0.0032957718
maximum,-0.0032969269
gdp,-0.0032971893
asset,-0.0032973832
discret,-0.003297388
monoton,-0.0032988782
estimand,-0.0032989308
much,-0.0032992263
experiment,-0.0032996046
reveal,-0.0032998088
recov,-0.0032998405
2,-0.0033012836
those,-0.0033023006
intervent,-0.0033028852
gmm,-0.0033036948
strategi,-0.0033046517
convent,-0.0033048897
explanatori,-0.0033052014
sinc,-0.0033055125
purchas,-0.0033058198
describ,-0.0033068042
same,-0.003306992
correl,-0.0033071535
equat,-0.0033073337
them,-0.0033075463
interpret,-0.0033081947
commod,-0.003308229
rcts,-0.0033083344
multipl,-0.0033083912
insur,-0.0033089882
reduc,-0.0033103523
rd,-0.003310842
stationar,-0.0033114501
oper,-0.0033120369
remain,-0.003313829
determin,-0.0033145235
independ,-0.0033160963
good,-0.003316476
tax,-0.0033171636
shown,-0.0033186688
correspond,-0.0033187065
moreov,-0.0033188867
art,-0.0033190995
2019,-0.0033194122
analys,-0.0033195047
follow,-0.0033196989
densiti,-0.0033198667
tradit,-0.0033199678
whether,-0.0033203978
key,-0.003320763
program,-0.0033209738
driven,-0.0033211277
rank,-0.003321202
here,-0.0033213084
aggreg,-0.003321481
nation,-0.003321617
newey,-0.0033217845
tvps,-0.0033217845
thus,-0.0033220258
wide,-0.0033220414
best,-0.003323035
mechan,-0.0033230945
match,-0.0033231894
larger,-0.0033242372
cointegr,-0.0033247848
code,-0.0033256146
scienc,-0.0033260868
singl,-0.0033279958
nonsepar,-0.0033283196
flexibl,-0.0033287392
coupl,-0.0033302372
global,-0.00333186
need,-0.0033325294
coverag,-0.0033327811
revenu,-0.0033329523
understand,-0.0033330189
uniform,-0.0033340664
current,-0.003334381
focus,-0.003334469
detect,-0.0033345947
particl,-0.0033350268
electron,-0.0033354934
outperform,-0.0033355951
so,-0.0033357185
specifi,-0.0033357828
yield,-0.0033358485
avers,-0.0033362254
world,-0.003336258
character,-0.0033363127
accur,-0.003336317
compon,-0.0033363968
adapt,-0.0033363984
doubl,-0.0033364187
sourc,-0.0033368736
health,-0.003337296
object,-0.0033379223
temperatur,-0.0033383395
way,-0.0033392557
discontinu,-0.0033398196
either,-0.0033401242
neural,-0.0033406464
uncertainti,-0.0033408732
exploit,-0.0033408883
magnet,-0.0033409216
amongst,-0.0033415556
help,-0.0033424462
evid,-0.0033428273
situat,-0.003342944
previous,-0.003344155
markov,-0.003344386
known,-0.003344617
strong,-0.0033449852
pattern,-0.0033452334
offer,-0.0033453272
rang,-0.0033454197
intern,-0.0033457908
climatolog,-0.0033460506
uncondit,-0.0033461333
highlight,-0.0033469715
kernel,-0.0033473398
worst,-0.0033480271
captur,-0.0033484092
posit,-0.003348663
classic,-0.0033488567
aim,-0.0033489764
angrist,-0.0033492637
chernozhukov,-0.0033492637
kaufmann,-0.0033492637
misidentif,-0.0033492637
run,-0.0033495456
part,-0.0033499373
multi,-0.0033500255
accuraci,-0.0033504406
constraint,-0.0033505517
produc,-0.0033506674
frequenc,-0.0033507824
germani,-0.0033508097
take,-0.0033509606
transfer,-0.0033511654
lag,-0.0033530141
solv,-0.003355267
economi,-0.003356561
incident,-0.0033569327
mild,-0.003357143
extend,-0.0033573268
becaus,-0.003357425
mixtur,-0.003357861
survey,-0.0033582405
load,-0.003358251
enabl,-0.0033582863
enhanc,-0.0033585322
short,-0.0033587983
represent,-0.0033592132
easi,-0.0033592624
give,-0.0033599061
benefit,-0.0033617013
2sls,-0.0033617315
aipw,-0.0033617315
macroeconomi,-0.0033617315
after,-0.0033618172
auction,-0.0033626552
optic,-0.003362975
weak,-0.0033630207
loss,-0.0033635185
analyt,-0.003364936
cost,-0.0033650894
futur,-0.0033652133
collect,-0.003365497
gaussian,-0.0033661693
crisi,-0.0033668657
up,-0.0033670606
bank,-0.0033688033
simultan,-0.0033701581
covar,-0.0033702091
pretest,-0.0033702091
long,-0.0033702732
explor,-0.003370571
spin,-0.0033713207
prior,-0.0033721067
influenc,-0.0033725402
ratio,-0.0033725835
graph,-0.0033733624
invalid,-0.0033739042
similar,-0.0033739742
calcul,-0.0033740518
critic,-0.0033746324
assum,-0.0033748564
domain,-0.0033751444
pre,-0.0033752895
p,-0.0033753512
transform,-0.0033755396
handl,-0.0033762432
unconfounded,-0.0033766895
weekday,-0.0033766895
deep,-0.0033770595
becom,-0.0033774036
associ,-0.0033774262
full,-0.0033775843
n,-0.0033777913
found,-0.0033782285
still,-0.0033783203
smoke,-0.0033787356
build,-0.0033790967
shock,-0.0033794872
product,-0.0033796309
characterist,-0.0033796844
target,-0.0033798637
respect,-0.003380178
superior,-0.0033803666
purpos,-0.003380402
2021,-0.0033811165
serial,-0.003381659
autocorrel,-0.0033818802
past,-0.003381957
split,-0.0033820486
wave,-0.0033825138
classif,-0.0033825198
threshold,-0.0033830425
extrem,-0.0033831515
smooth,-0.0033834453
3,-0.003383696
necessari,-0.0033842637
china,-0.0033843908
500,-0.003384623
ridg,-0.003384879
popul,-0.0033849985
higher,-0.0033854074
miss,-0.0033857154
logist,-0.0033858565
repres,-0.0033862332
birth,-0.0033862593
posterior,-0.0033862959
devic,-0.0033863438
bai,-0.003386441
nadaraya,-0.003386441
furthermor,-0.00338785
impli,-0.0033879424
packag,-0.0033880982
feasibl,-0.0033884274
elast,-0.0033886482
contribut,-0.0033887106
implic,-0.0033888223
sector,-0.0033890775
minim,-0.0033894586
1990,-0.0033895317
event,-0.0033896177
goal,-0.0033896712
et,-0.003390216
bahadur,-0.0033903336
p500,-0.0033903336
surfac,-0.0033905043
major,-0.0033908943
role,-0.003391093
labor,-0.003391279
aris,-0.003391441
success,-0.003391728
capabl,-0.003391873
exhibit,-0.0033921686
explicit,-0.003392171
languag,-0.0033923062
worker,-0.0033923287
weaker,-0.0033926696
close,-0.0033927322
heavi,-0.0033929448
open,-0.003393
dure,-0.0033931287
dimens,-0.003393235
respons,-0.0033932927
cluster,-0.0033934512
sequenti,-0.0033934999
precis,-0.0033935884
heckman,-0.003393678
gap,-0.00339386
exposur,-0.0033940743
support,-0.0033941995
al,-0.003394207
belief,-0.0033943502
along,-0.003395297
quantifi,-0.0033953607
connect,-0.0033954594
retail,-0.003395546
motion,-0.0033960582
practition,-0.003396386
scenario,-0.0033964422
transit,-0.0033966298
manag,-0.0033972287
million,-0.003397605
anoth,-0.0033976082
2017,-0.0033981404
protocol,-0.0033981723
deviat,-0.0033984487
intercept,-0.0033985095
spatial,-0.003398633
trade,-0.0033986655
appropri,-0.003398831
knowledg,-0.0033989712
contain,-0.0033990077
map,-0.0033990561
prefer,-0.0033990706
austria,-0.003399435
dml,-0.003399435
daili,-0.0033995574
built,-0.003399563
guarante,-0.0033999276
princip,-0.003400023
origin,-0.0034002583
difficult,-0.0034005726
channel,-0.0034009425
g,-0.0034010247
input,-0.0034014503
benchmark,-0.0034018941
binari,-0.003401973
hansen,-0.0034020548
fact,-0.003402203
scheme,-0.003403303
were,-0.0034041503
accord,-0.0034041738
arma,-0.0034042129
att,-0.0034042129
hoeffd,-0.0034042129
menu,-0.0034042129
confirm,-0.0034044576
complet,-0.0034045766
adopt,-0.003405089
activ,-0.0034051698
school,-0.0034052203
link,-0.0034053687
region,-0.003405526
pair,-0.003405846
ate,-0.0034062855
lower,-0.003406616
lack,-0.003406823
gain,-0.0034071375
user,-0.0034073982
tempor,-0.0034074872
environ,-0.0034076031
version,-0.0034078844
shapley,-0.0034079067
report,-0.0034080006
review,-0.0034082767
minimum,-0.0034082935
nonstationar,-0.0034083822
rct,-0.0034083822
unemploy,-0.0034083822
fail,-0.003408456
contrast,-0.0034085042
suffici,-0.0034085575
articl,-0.00340856
initi,-0.003408566
peer,-0.0034089359
2009,-0.0034096187
frequent,-0.0034096953
detail,-0.0034099862
argu,-0.0034100807
euro,-0.0034100912
encod,-0.003410361
es,-0.0034109897
free,-0.0034118437
mass,-0.0034122074
calibr,-0.0034123093
easili,-0.0034123205
plug,-0.0034123964
attract,-0.0034125324
proper,-0.003412869
lattic,-0.003413182
coupon,-0.0034134402
architectur,-0.0034143329
descript,-0.0034146402
neyman,-0.0034149322
youth,-0.0034149322
qualiti,-0.003414967
0,-0.0034149683
last,-0.0034154935
signal,-0.0034155454
india,-0.0034157622
advanc,-0.0034160786
gender,-0.0034163059
isoton,-0.0034163438
canon,-0.0034163622
competit,-0.0034164141
presum,-0.003416658
atom,-0.0034166765
receiv,-0.0034169916
cast,-0.003417383
onlin,-0.0034175264
charg,-0.003417535
investor,-0.003417892
platform,-0.0034183655
smallest,-0.0034185431
be,-0.0034187227
infin,-0.0034190165
unbiased,-0.0034190426
certain,-0.0034193727
recommend,-0.0034194328
impos,-0.0034195224
epidemiolog,-0.0034197078
pervas,-0.0034198207
neighbor,-0.003419892
chain,-0.0034199525
therefor,-0.0034201895
intraday,-0.0034203425
invers,-0.0034203967
formul,-0.0034204375
end,-0.0034205518
year,-0.0034206728
welfar,-0.003420918
proof,-0.003420983
self,-0.003421469
caus,-0.0034217522
itself,-0.0034217979
human,-0.0034221231
credibl,-0.00342217
evolut,-0.0034222382
light,-0.0034223534
reliabl,-0.0034223658
draw,-0.003422415
discount,-0.0034224333
geograph,-0.0034224675
intens,-0.0034224975
consider,-0.0034225816
ope,-0.0034226102
russia,-0.0034226102
advantag,-0.003422641
made,-0.0034228526
k,-0.003422904
insight,-0.0034229064
against,-0.0034230843
essenti,-0.0034230854
formal,-0.0034231083
configur,-0.0034231467
should,-0.003423155
motiv,-0.003423165
comprehens,-0.0034232377
tune,-0.003423245
13896,-0.0034232507
13900,-0.0034232507
2021b,-0.0034232507
agricol,-0.0034232507
atet,-0.0034232507
baraja,-0.0034232507
bct,-0.0034232507
beutner,-0.0034232507
bieren,-0.0034232507
