Term,Mitigated Information
econom,-0.0006918189
market,-0.0010490867
we,-0.0010555951
use,-0.0017377868
find,-0.0017574464
from,-0.0018380337
polici,-0.0018928645
impact,-0.0020612762
countri,-0.0020916783
price,-0.0021272046
model,-0.0021305839
increas,-0.0021519628
data,-0.0021986233
economi,-0.00220967
more,-0.0022773633
paper,-0.0023678667
studi,-0.00243557
firm,-0.0025796702
our,-0.002580043
result,-0.0025979124
which,-0.002624073
between,-0.0026434124
research,-0.0026713652
household,-0.0026903916
s,-0.002692065
show,-0.0027144982
can,-0.0027244124
how,-0.0027402511
risk,-0.0027575716
effect,-0.0027756253
incom,-0.002844804
suggest,-0.002908508
estim,-0.0029229932
invest,-0.0029295883
analysi,-0.0029297657
cost,-0.0029368429
base,-0.00293962
also,-0.0029577452
level,-0.0029634172
devel,-0.0029694317
capit,-0.0029935287
time,-0.0030225094
differ,-0.0030312508
prefer,-0.003031851
technolog,-0.0030319237
empir,-0.0030462474
have,-0.0030472162
provid,-0.003050417
financi,-0.0030674941
sector,-0.0030936608
social,-0.0031180617
examin,-0.0031315754
outcom,-0.0031399
signific,-0.0031459257
has,-0.0031482694
product,-0.0031516457
heterogen,-0.0031551083
approach,-0.0031628853
chang,-0.0031647559
first,-0.0031769904
new,-0.0031802924
method,-0.0031907654
propos,-0.0031908255
about,-0.0031933875
it,-0.0031937012
than,-0.0032027871
individu,-0.0032098866
tax,-0.003211588
relat,-0.0032164282
measur,-0.0032192934
literatur,-0.003223499
higher,-0.0032288558
two,-0.0032346887
system,-0.0032375362
world,-0.0032485793
most,-0.0032532122
trade,-0.0032545596
innov,-0.0032576032
decis,-0.0032676926
regul,-0.0032761986
relationship,-0.003287454
benefit,-0.0032883293
other,-0.0032937992
macroeconom,-0.0032981955
nation,-0.0032984687
demand,-0.0033036382
evid,-0.003307809
shock,-0.0033105493
year,-0.0033138506
public,-0.0033154106
less,-0.0033157577
strategi,-0.0033194746
gdp,-0.0033206488
valu,-0.0033310666
present,-0.00333142
one,-0.0033360727
over,-0.003352622
do,-0.003362605
investig,-0.0033675022
assess,-0.0033710513
employ,-0.0033713053
sustain,-0.0033737277
high,-0.003374675
policymak,-0.003374788
specif,-0.0033780711
set,-0.0033789026
may,-0.0033860793
share,-0.003395633
perform,-0.0034021302
posit,-0.0034025451
potenti,-0.0034036168
popul,-0.0034063712
busi,-0.0034064536
across,-0.003407111
well,-0.0034086346
import,-0.0034112069
contribut,-0.0034115564
indic,-0.0034142507
industri,-0.0034146872
through,-0.0034150374
survey,-0.0034168658
inform,-0.003418322
depend,-0.003418395
three,-0.0034195515
suppli,-0.0034222049
when,-0.003422555
digit,-0.0034290827
choic,-0.0034309828
govern,-0.0034337023
howev,-0.003435333
state,-0.0034447263
includ,-0.0034464856
educ,-0.0034476416
both,-0.0034488898
citi,-0.0034499872
major,-0.0034515972
proc,-0.0034520112
welfar,-0.003454863
reduc,-0.0034555737
reveal,-0.0034572806
polit,-0.0034609595
global,-0.003461184
consum,-0.003463284
under,-0.003464452
compar,-0.0034658476
while,-0.0034666196
servic,-0.003471671
net,-0.0034718711
analyz,-0.0034756053
intern,-0.0034791457
variabl,-0.0034800244
dynam,-0.003480896
respons,-0.003483342
compani,-0.0034848675
problem,-0.0034868568
manag,-0.0034953826
within,-0.0034955244
larg,-0.0034957428
purchas,-0.0034964324
monetari,-0.0034985684
covid,-0.003500391
avers,-0.0035005554
india,-0.003501624
identifi,-0.0035064872
demonstr,-0.003507731
area,-0.0035086412
transact,-0.0035112598
like,-0.0035125723
predict,-0.0035197802
lead,-0.0035212997
optim,-0.0035244438
util,-0.0035248026
engag,-0.0035301384
alloc,-0.0035303256
insight,-0.003530359
econometr,-0.0035323135
toward,-0.0035328416
panel,-0.0035332246
regulatori,-0.0035350998
func,-0.003535185
particular,-0.0035361832
work,-0.0035369296
explor,-0.0035372155
endogen,-0.0035398195
practic,-0.0035406663
exist,-0.0035414188
exogen,-0.003542721
general,-0.0035438654
artifici,-0.0035445015
were,-0.0035491362
case,-0.0035496154
challeng,-0.0035510492
need,-0.0035522522
term,-0.003552361
allow,-0.0035524252
lower,-0.0035528631
rate,-0.0035534347
support,-0.0035572636
margin,-0.0035579926
i,-0.0035621526
after,-0.0035645852
privat,-0.0035669145
among,-0.0035669517
factor,-0.003567604
distribut,-0.0035676658
period,-0.003567747
consid,-0.0035682404
learn,-0.0035703392
understand,-0.0035719832
climat,-0.0035722186
observ,-0.0035725504
been,-0.0035730316
labor,-0.0035747036
applic,-0.0035753534
negat,-0.003576139
regress,-0.0035763031
health,-0.0035763092
number,-0.0035770023
context,-0.003577788
framework,-0.0035822003
role,-0.003583389
comput,-0.0035838708
european,-0.0035857304
methodolog,-0.0035868697
agent,-0.0035874087
where,-0.0035882704
field,-0.0035888054
associ,-0.003589413
logit,-0.0035902408
focus,-0.0035904604
institut,-0.003591449
non,-0.0035941238
concern,-0.0035950057
earn,-0.0035982677
causal,-0.0035984695
poverti,-0.003599531
recent,-0.003603383
declin,-0.0036045075
algo,-0.0036060829
despit,-0.0036068407
peopl,-0.00360692
implement,-0.0036071842
structur,-0.0036077215
intellig,-0.0036082242
wage,-0.0036086575
all,-0.0036099001
each,-0.0036111602
discuss,-0.0036112042
generat,-0.0036119532
affect,-0.0036130196
revenu,-0.0036134163
china,-0.0036157516
credit,-0.0036165768
travel,-0.0036180008
onli,-0.0036182771
theori,-0.0036184185
fuel,-0.0036198893
competit,-0.0036202173
robust,-0.0036205344
face,-0.0036216094
design,-0.003622028
driver,-0.0036226376
should,-0.003624023
low,-0.0036250532
due,-0.0036252867
improv,-0.0036267808
behavior,-0.0036274213
statist,-0.0036275033
index,-0.0036299916
scienc,-0.003631014
appli,-0.003632575
limit,-0.0036343134
final,-0.0036345345
second,-0.0036345478
introduc,-0.003635
influenc,-0.003635286
consumpt,-0.0036352999
current,-0.0036360524
futur,-0.0036372293
order,-0.0036375027
expect,-0.0036385013
link,-0.0036386275
local,-0.003640158
growth,-0.0036416652
intervent,-0.003642169
space,-0.003642215
gender,-0.003644426
determin,-0.003647388
2019,-0.0036480266
19,-0.0036483465
power,-0.0036483924
complex,-0.0036487896
crise,-0.0036490327
2020,-0.0036519375
domest,-0.0036520634
collect,-0.0036521358
some,-0.0036521938
becaus,-0.0036524138
defin,-0.003653366
make,-0.0036541393
strateg,-0.0036564856
fund,-0.003656548
grow,-0.0036596616
account,-0.0036596856
experi,-0.0036608751
geograph,-0.003662215
long,-0.003662288
evalu,-0.0036630505
persist,-0.00366445
becom,-0.0036644982
incent,-0.003665323
follow,-0.0036657532
adopt,-0.0036662214
further,-0.0036669716
achiev,-0.003667024
us,-0.0036684063
substanti,-0.0036692466
addit,-0.003669505
volatil,-0.0036702394
key,-0.0036707032
obtain,-0.0036714287
effici,-0.003672732
quantum,-0.0036732415
tourism,-0.0036758773
respond,-0.0036792809
profit,-0.0036795577
bank,-0.0036812604
relev,-0.0036824825
condit,-0.0036833712
usd,-0.003684289
quantifi,-0.0036846127
properti,-0.0036850905
advanc,-0.0036853873
group,-0.0036865177
currenc,-0.0036870183
microeconom,-0.0036871375
emerg,-0.003687359
explain,-0.0036876383
inequ,-0.0036881294
onlin,-0.003689664
main,-0.0036901778
mani,-0.0036904314
simul,-0.0036918812
select,-0.0036925229
type,-0.0036928721
dure,-0.0036932358
pay,-0.0036933033
e,-0.0036936244
plan,-0.0036958144
stakehold,-0.0036963015
describ,-0.0036963099
implic,-0.003696458
various,-0.0036966752
dataset,-0.0036970044
whether,-0.0036973753
combin,-0.0036976968
test,-0.0036980128
bargain,-0.0036981665
recess,-0.0036981665
stock,-0.0036983085
imag,-0.003698575
renew,-0.0036986438
pattern,-0.003699711
offer,-0.0036999888
requir,-0.003700927
percent,-0.0037012163
doe,-0.0037016154
thus,-0.0037016405
game,-0.003702437
skill,-0.0037024908
life,-0.0037026445
aggreg,-0.0037026696
organ,-0.0037049796
job,-0.0037052664
activ,-0.0037065458
them,-0.0037068264
energi,-0.0037072096
natur,-0.003708
discount,-0.0037091665
even,-0.0037099093
novel,-0.0037116327
bias,-0.0037119607
sampl,-0.003712084
theoret,-0.003712126
region,-0.0037130446
help,-0.003715652
scale,-0.0037158267
1,-0.0037175561
labour,-0.0037176486
ration,-0.003718023
electr,-0.0037186781
uncertainti,-0.003718796
willing,-0.0037199804
paramet,-0.0037202486
consist,-0.0037203943
solut,-0.0037210507
deriv,-0.0037210917
return,-0.0037216048
sever,-0.0037225147
point,-0.0037226924
multipl,-0.0037249855
5,-0.0037261255
sourc,-0.0037266773
sale,-0.0037275865
organiz,-0.003728743
expos,-0.003728887
who,-0.0037290154
good,-0.0037290158
highlight,-0.0037302722
train,-0.0037315062
oper,-0.0037315483
2015,-0.0037320105
cryptocurr,-0.003732554
worldwid,-0.003733944
variat,-0.0037347723
construct,-0.0037363798
contrast,-0.0037367868
third,-0.0037368936
correl,-0.0037374198
total,-0.0037386005
direct,-0.0037387225
interest,-0.0037387318
what,-0.0037394105
unit,-0.0037398334
wealth,-0.0037398601
found,-0.0037398688
decentr,-0.003740268
pandem,-0.0037405305
male,-0.0037408115
way,-0.0037414387
interact,-0.003741664
money,-0.0037418122
poor,-0.0037428937
worker,-0.0037444965
seri,-0.003744902
2,-0.0037462218
unemploy,-0.0037476106
form,-0.0037476304
consider,-0.0037490712
analys,-0.0037493822
task,-0.0037495757
debt,-0.0037497925
detect,-0.0037500828
antitrust,-0.0037502253
techniqu,-0.0037511394
indonesia,-0.0037514525
often,-0.0037518388
2021,-0.003752034
could,-0.003752512
patent,-0.0037525897
premium,-0.0037525897
real,-0.0037526353
address,-0.0037528344
age,-0.0037549904
capita,-0.0037552048
mean,-0.0037553427
same,-0.0037557276
per,-0.0037561494
asset,-0.0037562249
crisi,-0.0037565613
export,-0.003756859
featur,-0.003757644
control,-0.003758387
co2,-0.003758642
mechan,-0.0037586852
financ,-0.003758721
rather,-0.0037599008
annual,-0.0037601984
live,-0.0037612382
overal,-0.0037613208
forecast,-0.0037613416
numer,-0.003761369
deter,-0.003761876
topic,-0.0037621066
report,-0.0037621115
reli,-0.0037625164
primarili,-0.0037625472
maker,-0.0037629094
moreov,-0.003763345
document,-0.0037636475
build,-0.003764259
2014,-0.0037643681
those,-0.003764642
decarbon,-0.0037650156
urgent,-0.00376736
critic,-0.0037674904
better,-0.0037683987
equilibrium,-0.003768495
leverag,-0.0037689775
aim,-0.0037696029
random,-0.0037697756
congest,-0.0037702122
percentag,-0.0037713712
here,-0.0037714313
experiment,-0.0037723659
advers,-0.0037727505
resourc,-0.003773545
dimension,-0.003773795
regard,-0.0037742695
media,-0.0037743952
extent,-0.0037748725
access,-0.003775198
strong,-0.0037752585
part,-0.0037767151
art,-0.00377694
opportun,-0.0037772786
particip,-0.0037775233
human,-0.003777577
societi,-0.0037776548
eci,-0.003777702
entrepreneurship,-0.003777702
cash,-0.003778315
equat,-0.0037784374
aspect,-0.0037786919
possibl,-0.003778916
option,-0.0037791154
integr,-0.0037792749
riski,-0.0037798297
rise,-0.003780402
driven,-0.0037804605
avail,-0.0037805028
asia,-0.0037807696
ride,-0.0037808393
adjust,-0.003781142
given,-0.0037813573
administr,-0.0037814667
carbon,-0.003781647
foreign,-0.0037817492
out,-0.0037831108
consequ,-0.0037839292
establish,-0.003783973
altern,-0.0037842437
spanish,-0.0037845725
so,-0.0037847725
manageri,-0.0037850619
secur,-0.0037854575
sell,-0.0037863634
transport,-0.0037865853
entrepreneur,-0.0037866752
stablecoin,-0.0037866752
especi,-0.003787202
scholar,-0.0037873716
facilit,-0.003788135
rang,-0.0037892559
review,-0.003789398
averag,-0.0037906752
electrif,-0.0037910012
linear,-0.0037910424
articl,-0.0037912987
blockchain,-0.0037915006
target,-0.0037916044
physic,-0.0037916957
presenc,-0.0037918063
cycl,-0.0037921437
singl,-0.0037925027
ani,-0.0037930289
hungari,-0.0037938126
remain,-0.003793816
prove,-0.0037938224
car,-0.0037945006
europ,-0.0037953053
expenditur,-0.0037963581
size,-0.0037974229
infrastructur,-0.0037981113
uniqu,-0.0037982755
take,-0.0037983328
initi,-0.0037987572
vari,-0.0037991472
instrument,-0.0037994345
tradit,-0.0038000774
tariff,-0.0038001977
creat,-0.0038005575
program,-0.0038010213
surfac,-0.003801163
emphas,-0.0038017172
up,-0.003801907
four,-0.0038021482
payment,-0.003802591
concentr,-0.0038037014
environment,-0.0038040292
legal,-0.0038046073
without,-0.0038051275
femal,-0.0038052928
win,-0.0038053608
treatment,-0.0038055035
taxat,-0.0038056867
violenc,-0.0038057936
lag,-0.0038061063
neural,-0.003806431
magnet,-0.0038070886
content,-0.0038071768
award,-0.0038073494
recommend,-0.0038076434
mitig,-0.0038077666
capac,-0.003807911
densiti,-0.0038084858
month,-0.0038086213
multi,-0.0038088947
previous,-0.003809125
3,-0.003809529
insur,-0.003809722
captur,-0.0038099573
exampl,-0.0038103748
indian,-0.0038109445
trip,-0.0038109445
drive,-0.00381132
2016,-0.0038115196
micro,-0.0038117578
purpos,-0.003811891
demograph,-0.0038121075
issu,-0.0038121166
reserv,-0.0038121445
investor,-0.0038126933
languag,-0.0038129152
prevent,-0.0038129971
zone,-0.0038130786
class,-0.0038134595
repres,-0.0038137757
graph,-0.00381389
rule,-0.0038140197
fact,-0.0038140833
visit,-0.0038144113
macro,-0.0038146973
aggrav,-0.0038148388
fiscal,-0.0038148388
phase,-0.003815013
reform,-0.003815033
extern,-0.003815075
similar,-0.0038152065
would,-0.0038152246
known,-0.003816149
school,-0.0038161704
asian,-0.0038162821
exposur,-0.0038163273
surabaya,-0.0038172482
output,-0.0038173588
object,-0.003817673
play,-0.0038180486
respect,-0.0038187006
communiti,-0.003818988
enhanc,-0.0038193485
urban,-0.0038194198
u,-0.0038200123
correspond,-0.0038202212
deep,-0.0038207509
transform,-0.0038217632
approxim,-0.0038219632
greater,-0.0038220885
person,-0.003822448
extens,-0.0038229174
wide,-0.0038232384
resili,-0.0038234158
manufactur,-0.0038234426
subject,-0.0038236203
be,-0.0038240931
open,-0.0038243737
give,-0.0038243812
budget,-0.003824477
question,-0.0038245623
character,-0.00382491
continu,-0.0038249798
economist,-0.0038256233
poland,-0.0038256233
tacit,-0.0038256233
receiv,-0.003825745
gain,-0.0038270091
america,-0.0038271477
react,-0.0038272685
characterist,-0.0038272948
spatial,-0.003828031
involv,-0.0038280757
0,-0.003828237
five,-0.0038282503
10,-0.0038282622
extend,-0.003828368
geopolit,-0.003828735
elicit,-0.0038295179
enabl,-0.0038295721
platform,-0.0038296683
rural,-0.0038299582
reason,-0.0038302925
locat,-0.0038303365
represent,-0.003830828
led,-0.0038313316
small,-0.0038315398
upfront,-0.0038315523
central,-0.003832124
emiss,-0.0038322704
optic,-0.0038323968
might,-0.003832562
technic,-0.0038329416
union,-0.0038332806
africa,-0.003833368
million,-0.0038340248
simpl,-0.0038343128
pre,-0.0038349356
assumpt,-0.003835199
sensit,-0.00383534
close,-0.0038356888
decreas,-0.0038359049
buyer,-0.0038359482
call,-0.003835971
standard,-0.003836396
behaviour,-0.003836466
argu,-0.0038367824
short,-0.0038374127
shown,-0.0038376031
fulli,-0.003837633
fit,-0.0038376565
children,-0.003837833
caus,-0.0038379016
incorpor,-0.003838237
pollut,-0.0038383533
news,-0.003838359
impli,-0.0038385098
exploit,-0.0038385266
likelihood,-0.003838529
much,-0.003838732
food,-0.003838956
origin,-0.0038392385
burden,-0.0038392749
pronounc,-0.003839459
attent,-0.003839775
transfer,-0.003839929
finit,-0.003839953
rich,-0.0038399543
russian,-0.003840052
mine,-0.0038400793
therefor,-0.0038402036
census,-0.0038405973
accord,-0.003841043
tool,-0.0038411126
spin,-0.0038418316
illustr,-0.0038419806
accuraci,-0.003842095
light,-0.0038424134
decad,-0.003842467
buy,-0.0038428574
coordin,-0.003843339
uber,-0.003843372
student,-0.0038433925
calcul,-0.0038437715
agenc,-0.0038440307
connect,-0.0038447578
ardl,-0.003844804
headquart,-0.003844804
intergener,-0.003844804
phev,-0.003844804
stylis,-0.003844804
wtp,-0.003844804
coupl,-0.003844837
fair,-0.0038449904
mobil,-0.003845704
transit,-0.0038464365
vehicl,-0.0038464868
domain,-0.0038465383
bound,-0.0038467094
effort,-0.0038471338
japan,-0.003848261
place,-0.0038485231
psycholog,-0.0038485816
marriag,-0.0038491413
classif,-0.0038497478
hazard,-0.003849878
south,-0.003850515
g,-0.0038507904
frequent,-0.0038514684
least,-0.0038515748
cover,-0.0038517208
user,-0.0038517525
strengthen,-0.0038518948
scenario,-0.0038522626
divers,-0.0038523793
machin,-0.0038528573
30,-0.0038531183
pareto,-0.0038534298
fix,-0.0038537905
avoid,-0.0038539846
solv,-0.0038540221
must,-0.0038540456
environ,-0.0038543118
15,-0.0038543376
traffic,-0.003854647
voter,-0.0038550978
constraint,-0.0038551055
6,-0.0038551493
era,-0.003855356
vote,-0.0038555388
self,-0.0038556135
file,-0.0038558354
probabl,-0.0038558731
still,-0.0038561332
weight,-0.0038563965
author,-0.0038567062
past,-0.0038568042
road,-0.0038572068
cbdc,-0.0038573476
gig,-0.0038573476
svar,-0.0038573476
government,-0.0038574485
scope,-0.0038578801
substitut,-0.0038582147
matur,-0.0038585123
core,-0.003858928
scheme,-0.0038591295
particl,-0.003859198
seek,-0.003859416
diminish,-0.0038594587
italian,-0.0038603428
land,-0.0038604448
had,-0.0038605197
adapt,-0.0038607721
auction,-0.0038614462
uncertain,-0.003861934
inflat,-0.0038624152
offic,-0.0038628052
conduct,-0.0038629072
entir,-0.0038630355
januari,-0.0038632485
complet,-0.0038633002
code,-0.003863378
via,-0.0038637246
histor,-0.003863726
veri,-0.0038639558
compet,-0.0038639968
analyt,-0.0038640245
actor,-0.0038640418
feasibl,-0.0038640779
knowledg,-0.0038649305
reinforc,-0.003864997
around,-0.0038651754
smaller,-0.003865376
impati,-0.0038657296
tend,-0.0038659144
feder,-0.0038660227
broader,-0.00386631
adult,-0.0038666555
municip,-0.003866665
though,-0.003866704
exacerb,-0.0038669778
7,-0.00386724
socio,-0.0038675538
evolut,-0.0038679293
classic,-0.003867983
mass,-0.003868067
serv,-0.003868509
expand,-0.003868577
indirect,-0.0038687543
17,-0.0038688483
metropolitan,-0.0038689664
ecosystem,-0.0038689992
11,-0.003869397
equilibria,-0.0038696213
foster,-0.0038696213
last,-0.003869894
action,-0.003870047
45,-0.0038702465
map,-0.003870928
4,-0.003871028
interpret,-0.0038710698
primari,-0.003871163
electron,-0.0038713377
either,-0.003871343
appear,-0.0038713643
gap,-0.0038713794
sinc,-0.0038714136
channel,-0.0038714227
concept,-0.003871492
algebra,-0.003871551
keyword,-0.0038715582
r,-0.0038720286
justic,-0.0038721478
entrepreneuri,-0.0038722001
prefectur,-0.0038722001
tfp,-0.0038722001
furthermor,-0.003872234
counti,-0.0038732109
preval,-0.0038736428
temperatur,-0.0038739394
produc,-0.0038744283
layer,-0.0038744637
signal,-0.0038749068
rapid,-0.0038752283
appropri,-0.0038755073
valid,-0.0038756095
error,-0.0038756994
men,-0.0038760812
accur,-0.0038760933
secondari,-0.0038766274
detail,-0.003877188
2022,-0.003877344
attitud,-0.003877361
reach,-0.0038774665
cpi,-0.0038776144
jel,-0.0038776144
remuner,-0.0038776144
independ,-0.0038779306
common,-0.00387826
20,-0.0038784791
uncov,-0.0038785606
district,-0.0038788405
spectral,-0.0038791464
dispar,-0.0038791504
symmetri,-0.0038792281
input,-0.003879702
formul,-0.0038799052
today,-0.0038800838
compon,-0.003881125
employe,-0.0038813406
2010,-0.0038815993
idea,-0.0038818503
reliabl,-0.0038818503
exchang,-0.0038818587
crowdfund,-0.0038819322
diplomaci,-0.0038819322
2011,-0.0038819513
brazil,-0.00388211
insignific,-0.00388211
fee,-0.0038827774
perturb,-0.0038828452
law,-0.0038833132
agricultur,-0.0038833811
text,-0.003883442
infer,-0.0038836084
anticip,-0.0038836745
