Term,Mitigated Information
game,-0.00025683525
we,-0.00041717204
prefer,-0.0006932617
market,-0.00081288884
player,-0.0008262902
payoff,-0.00084424205
equilibrium,-0.0010635138
optim,-0.0011312537
price,-0.0012114455
welfar,-0.0012209844
can,-0.001230501
which,-0.0012318094
agent,-0.001286364
when,-0.0013141714
show,-0.0013463658
nash,-0.0013484065
s,-0.0013773842
rule,-0.0014338661
decis,-0.001458473
inform,-0.0014841835
under,-0.00149607
equilibria,-0.0015031141
our,-0.0015079624
model,-0.0015152474
incent,-0.0015373282
use,-0.00155008
set,-0.0015711979
util,-0.0015766278
character,-0.0015768261
seller,-0.0015855237
from,-0.001592363
studi,-0.0015980143
econom,-0.0015987881
alloc,-0.0016083912
paper,-0.0016207305
choic,-0.0016285386
outcom,-0.0016310985
problem,-0.0016431045
axiom,-0.0016565125
result,-0.0016660634
buyer,-0.0016673421
maxim,-0.0016849737
social,-0.0017130947
provid,-0.0017142225
two,-0.0017266348
between,-0.001737677
ration,-0.0017527497
general,-0.0017749519
pareto,-0.0017888921
cost,-0.0018061621
consid,-0.0018112122
mechan,-0.001829727
how,-0.0018305246
also,-0.0018331148
firm,-0.0018357974
each,-0.0018397154
onli,-0.0018418685
method,-0.0018438936
uniqu,-0.0018464836
strateg,-0.0018643149
base,-0.0018710934
more,-0.0018808024
where,-0.0018842764
all,-0.0018849098
has,-0.0018910781
auction,-0.0018931123
have,-0.0019002634
belief,-0.0019011342
propos,-0.0019122328
one,-0.0019199145
behavior,-0.0019270187
product,-0.0019394031
exist,-0.0019454834
design,-0.0019499195
about,-0.0019533474
system,-0.0019596978
equival,-0.00195994
than,-0.0019695053
differ,-0.0019731394
given,-0.0019747573
some,-0.0019768572
strategi,-0.001982623
condit,-0.0019840635
polici,-0.0019956445
distribut,-0.0019970187
suffici,-0.002004691
present,-0.0020054413
new,-0.0020062767
it,-0.0020066435
both,-0.002006644
consum,-0.002012057
individu,-0.0020130319
depend,-0.0020145944
aggreg,-0.002014696
valu,-0.002015176
endogen,-0.0020161802
shapley,-0.002017282
data,-0.0020192403
privat,-0.0020196442
func,-0.0020206673
persuas,-0.0020235418
subgam,-0.0020248352
expect,-0.0020248895
competit,-0.0020263535
simpl,-0.002029747
while,-0.002031057
first,-0.0020356379
time,-0.0020382334
increas,-0.0020392425
effici,-0.0020393669
trade,-0.002040224
perform,-0.0020432894
state,-0.002044124
vote,-0.002047694
planner,-0.002048475
perfect,-0.0020501518
allow,-0.002050181
risk,-0.0020532808
theori,-0.0020559777
proc,-0.0020562897
bargain,-0.0020565395
revel,-0.0020565395
approach,-0.0020597891
properti,-0.0020606166
case,-0.0020624427
other,-0.0020629512
effect,-0.0020632704
profit,-0.0020693003
action,-0.0020707254
form,-0.0020707638
revenu,-0.0020731918
contract,-0.0020732912
bidder,-0.0020759865
applic,-0.0020763138
i,-0.0020777145
mani,-0.0020781825
may,-0.0020856455
ex,-0.0020872825
work,-0.0020873079
weaken,-0.0020876073
among,-0.0020879928
known,-0.0020927459
find,-0.0020927768
defin,-0.002095106
high,-0.0020992465
satisfi,-0.0021000034
well,-0.0021003855
win,-0.0021018405
framework,-0.002105322
margin,-0.0021053576
non,-0.002106101
make,-0.0021062323
over,-0.0021072896
good,-0.0021091923
maker,-0.0021094144
theoret,-0.0021101963
literatur,-0.002111232
comput,-0.0021148827
ani,-0.002114957
coalit,-0.0021156403
structur,-0.0021163467
