Term,Mitigated Information
speech,0.02585034
audio,0.008180699
speaker,0.0012738327
train,0.00118623
model,-0.001244118
propos,-0.0017990146
recognit,-0.0019479357
we,-0.0020483995
perform,-0.0032882325
voic,-0.003501569
asr,-0.003981202
use,-0.0043258495
acoust,-0.0046372944
improv,-0.005591958
learn,-0.005910529
task,-0.0059555015
our,-0.005975571
dataset,-0.0060922205
sound,-0.006368205
music,-0.006383037
from,-0.006398733
base,-0.0065323645
paper,-0.0068281507
method,-0.0070093623
result,-0.0071008215
neural,-0.007257249
evalu,-0.007327185
achiev,-0.0075279395
net,-0.0075650206
automat,-0.0075894534
data,-0.007831255
can,-0.007980608
show,-0.008043135
approach,-0.008538184
which,-0.008652385
signal,-0.0090982225
text,-0.009349091
experi,-0.009388717
featur,-0.0094720675
system,-0.009544642
compar,-0.009742716
baselin,-0.009763987
howev,-0.009904436
languag,-0.009956462
challeng,-0.009979774
differ,-0.010008886
work,-0.01006791
utter,-0.010102579
outperform,-0.010142691
qualiti,-0.0101864785
spectrogram,-0.010204458
demonstr,-0.010340728
art,-0.010347142
tts,-0.010410363
generat,-0.010553708
end,-0.010563296
deep,-0.010615668
inform,-0.010635963
phonem,-0.010641369
transcript,-0.010657979
classif,-0.010660935
has,-0.010670229
encod,-0.010714681
represent,-0.010772823
supervis,-0.0107781645
effect,-0.010805477
both,-0.010814008
while,-0.01085392
two,-0.010869849
have,-0.010898284
enhanc,-0.010956526
signific,-0.010972715
sourc,-0.010984746
synt,-0.010988815
wer,-0.010996139
time,-0.011011027
error,-0.011044175
present,-0.0110877035
also,-0.011151256
record,-0.011153003
word,-0.01119719
proc,-0.011204513
convolut,-0.01127635
state,-0.01131964
introduc,-0.011336178
microphon,-0.011348081
mel,-0.0114204455
multi,-0.0114243375
recent,-0.01142838
pre,-0.011437421
label,-0.011450397
decod,-0.011484133
test,-0.011486857
between,-0.011496
studi,-0.011515679
domain,-0.011522716
architectur,-0.011530206
extract,-0.011534331
separ,-0.011535319
attent,-0.011546087
novel,-0.01155884
research,-0.011609514
embed,-0.011629007
input,-0.0116353175
score,-0.011675031
more,-0.011683133
set,-0.011694989
transform,-0.011750609
nois,-0.011771531
experiment,-0.011775353
when,-0.01179961
addit,-0.011801289
rate,-0.01180887
onli,-0.011823425
high,-0.011830834
listen,-0.0118419565
better,-0.0118437465
spoken,-0.011874742
convers,-0.011932179
target,-0.011949129
librispeech,-0.012043294
framework,-0.012119855
address,-0.012129102
first,-0.012149647
accuraci,-0.012153561
robust,-0.012161389
transfer,-0.01216379
one,-0.012190316
it,-0.0121981865
detect,-0.012215225
specif,-0.012218037
without,-0.012228359
combin,-0.012242639
level,-0.012305089
larg,-0.012309945
been,-0.012312973
applic,-0.012324007
vocal,-0.012348479
predict,-0.012361646
other,-0.012371464
fine,-0.01238571
relat,-0.012388014
further,-0.012390274
human,-0.012393441
avail,-0.012395588
pitch,-0.012400691
self,-0.012413913
object,-0.012417056
provid,-0.01243337
problem,-0.012438883
real,-0.01243983
adapt,-0.012460115
condit,-0.012464395
loss,-0.012475841
leverag,-0.012490479
than,-0.012494102
new,-0.012499819
corpus,-0.012522742
emot,-0.012530893
design,-0.012559639
well,-0.012560882
requir,-0.012575986
various,-0.012577719
timbr,-0.012598358
over,-0.012612584
reverber,-0.012625195
recurr,-0.012628112
general,-0.01264245
s,-0.012659327
best,-0.012676258
util,-0.012680209
augment,-0.012686148
noisi,-0.012686631
similar,-0.0126971435
vocod,-0.012699768
limit,-0.012705186
frequenc,-0.012713344
consist,-0.0127152195
aim,-0.012716846
unseen,-0.012717135
2,-0.0127200615
comput,-0.012737814
techniqu,-0.01274529
previous,-0.012748627
singl,-0.012759783
devel,-0.012770431
auditori,-0.012770994
phonet,-0.012771704
scenario,-0.012787248
1,-0.012791433
all,-0.012791773
each,-0.012803974
term,-0.012804294
focus,-0.012825181
explor,-0.012835674
align,-0.012840556
exist,-0.01284347
modal,-0.012851091
layer,-0.012855404
appli,-0.01286826
includ,-0.012881279
tune,-0.012885281
through,-0.012894352
eer,-0.012904655
cross,-0.012909722
short,-0.012917197
sequenc,-0.012927905
across,-0.012935794
verif,-0.012945795
metric,-0.012952704
