Term,Mitigated Information
imag,0.02648658
net,-0.0009856594
learn,-0.0012221879
deep,-0.001630892
propos,-0.002653656
method,-0.0027863844
we,-0.003571557
use,-0.0059921835
dataset,-0.006462596
train,-0.006872642
perform,-0.0070525142
segment,-0.007967398
neural,-0.008130161
base,-0.008201533
from,-0.008496375
model,-0.009082865
data,-0.0092600025
convolut,-0.009448344
our,-0.009630481
result,-0.010589053
can,-0.0107301045
medic,-0.011360231
howev,-0.011583897
achiev,-0.011771606
which,-0.012085967
improv,-0.012224557
clinic,-0.0124028465
reconstruct,-0.01241664
approach,-0.012749852
demonstr,-0.012828005
high,-0.01300128
task,-0.0132834995
diagnosi,-0.013286386
art,-0.013296213
mri,-0.013374691
qualiti,-0.013398202
challeng,-0.013421055
have,-0.014512468
featur,-0.014644004
accuraci,-0.014653164
compar,-0.014809163
paper,-0.014869239
comput,-0.015055203
evalu,-0.015078124
differ,-0.015158957
novel,-0.015316016
inform,-0.015340103
show,-0.015357714
work,-0.0154599855
has,-0.015532171
classif,-0.015565882
proc,-0.015774664
effect,-0.015790805
generat,-0.015823152
signific,-0.015888985
diseas,-0.015993826
architectur,-0.016041359
avail,-0.016051378
experi,-0.01611014
resolut,-0.01613917
state,-0.016205803
detect,-0.016241496
techniqu,-0.016429847
applic,-0.016530985
devel,-0.016614458
patient,-0.016630357
ct,-0.01664013
requir,-0.016821848
3d,-0.016832624
two,-0.016844701
algo,-0.016912559
accur,-0.016956627
present,-0.016980527
specif,-0.01701751
also,-0.017036017
more,-0.017055973
time,-0.017066013
multi,-0.017101565
visual,-0.017123403
limit,-0.017169092
recent,-0.017178109
tissu,-0.017186623
studi,-0.01721248
brain,-0.017240347
while,-0.017336518
provid,-0.017339932
map,-0.017387208
framework,-0.01750044
both,-0.017501125
outperform,-0.0175449
problem,-0.017608322
transfer,-0.017616322
been,-0.017638512
address,-0.017653318
pixel,-0.017662521
between,-0.017703515
extract,-0.017707003
scan,-0.017710457
enhanc,-0.017770842
tomographi,-0.017921267
dice,-0.017934378
larg,-0.017937278
exist,-0.017945532
first,-0.017977633
low,-0.018047586
due,-0.01807423
effici,-0.018091012
object,-0.018098708
set,-0.018181685
code,-0.018215459
system,-0.018228875
other,-0.018248785
one,-0.018289138
real,-0.018293483
vision,-0.018294023
introduc,-0.018333785
video,-0.018353062
analysi,-0.01837039
public,-0.018407827
assess,-0.018407892
it,-0.018419674
util,-0.018435547
addit,-0.018451566
lesion,-0.018474072
new,-0.018491492
various,-0.018555323
appli,-0.01855976
most,-0.018618314
design,-0.018619535
compress,-0.018628133
adversari,-0.0186335
experiment,-0.018636271
hypertext,-0.018647699
cancer,-0.018654143
reduc,-0.01865569
test,-0.018660882
protocol,-0.018662786
optim,-0.01870561
github,-0.018734597
tumor,-0.01873865
spatial,-0.01874145
research,-0.01875658
com,-0.01878262
valid,-0.018817358
robust,-0.018824123
sampl,-0.018832032
loss,-0.018860482
patholog,-0.018871743
acquisit,-0.018883081
over,-0.018912403
0,-0.018920647
further,-0.018938983
onli,-0.018953383
score,-0.018954221
denois,-0.018977923
transform,-0.01900301
superior,-0.01900995
supervis,-0.01901494
well,-0.019048836
potenti,-0.019050676
automat,-0.019077007
attent,-0.019078713
quantit,-0.0190852
label,-0.01908864
anatom,-0.01909526
structur,-0.019095749
better,-0.019105814
includ,-0.01910948
adapt,-0.019116135
than,-0.019145345
combin,-0.01915653
sever,-0.019159047
input,-0.019184409
when,-0.019186256
domain,-0.019191664
level,-0.019193202
each,-0.019220967
predict,-0.019239118
promis,-0.019240674
encod,-0.019241288
manual,-0.01927345
scale,-0.019318195
obtain,-0.019335613
modal,-0.019358262
extens,-0.019376094
through,-0.01942898
import,-0.01945164
increas,-0.0194724
common,-0.019504534
synt,-0.019514658
annot,-0.01952555
nois,-0.019525705
employ,-0.019525707
without,-0.019544234
singl,-0.019563032
current,-0.019573221
artifact,-0.019582633
s,-0.01958393
across,-0.019617373
field,-0.019626819
multipl,-0.019626906
area,-0.01963847
autom,-0.019644178
captur,-0.019645335
measur,-0.019658577
modul,-0.019686632
acquir,-0.01972669
cost,-0.019738216
enabl,-0.019740012
chest,-0.0197409
leverag,-0.019764503
estim,-0.019767024
machin,-0.019767411
general,-0.019780226
camera,-0.019783717
dure,-0.019817512
represent,-0.019821905
consist,-0.019832155
reson,-0.019841256
diagnost,-0.019843455
mani,-0.019844487
func,-0.019849136
radiologist,-0.01985499
often,-0.019861095
decod,-0.019878672
capabl,-0.019880878
three,-0.019890606
similar,-0.019906582
lung,-0.019911967
make,-0.019912828
complex,-0.019923028
layer,-0.01992841
term,-0.019960565
non,-0.019968083
sourc,-0.01997404
region,-0.019994281
tradit,-0.019998297
1,-0.020000007
e,-0.02000084
prior,-0.020007633
advanc,-0.020035254
all,-0.020047478
under,-0.020060055
contrast,-0.020080674
need,-0.020115146
focus,-0.02015041
fulli,-0.020211872
paramet,-0.020218477
were,-0.020228876
direct,-0.020230193
where,-0.020234223
number,-0.020236418
standard,-0.020239292
treatment,-0.020243246
human,-0.020247042
ultrasound,-0.020252084
lead,-0.020254854
relat,-0.020279927
semant,-0.020289324
psnr,-0.020295314
success,-0.020298235
respect,-0.02030582
guid,-0.020311823
pre,-0.02031507
super,-0.02031792
thus,-0.020322844
best,-0.020333387
distribut,-0.020334315
end,-0.020335581
knowledg,-0.020339495
practic,-0.02035143
aim,-0.020352218
help,-0.020352982
caus,-0.02035508
integr,-0.020358438
allow,-0.020360863
consid,-0.02036621
restor,-0.020368023
u,-0.020381209
19,-0.020388635
2,-0.020403663
space,-0.020407759
world,-0.020411376
intellig,-0.02042489
local,-0.020425329
previous,-0.020425899
furthermor,-0.020438908
metric,-0.020445073
mask,-0.020455027
distort,-0.020456664
explor,-0.020457163
signal,-0.02046224
detail,-0.020463549
issu,-0.020469204
step,-0.020470463
incorpor,-0.020475965
particular,-0.020481592
observ,-0.020482775
wide,-0.020482888
magnet,-0.020486323
frame,-0.020489668
case,-0.020490702
identifi,-0.020496821
cardiac,-0.02049737
condit,-0.0205016
benchmark,-0.020503774
find,-0.0205132
2d,-0.020514188
great,-0.02053668
simul,-0.020556394
slice,-0.020566972
produc,-0.02057365
strategi,-0.020574374
tool,-0.020576335
covid,-0.020581516
final,-0.020582184
target,-0.020593252
order,-0.020599369
solut,-0.02059963
dynam,-0.020603694
healthi,-0.02062276
weight,-0.020626651
may,-0.020644328
lack,-0.020646302
artifici,-0.020647015
rate,-0.020650482
precis,-0.020657852
scene,-0.020661954
fine,-0.020672034
oper,-0.020674864
crucial,-0.020680575
unsupervis,-0.020686585
vivo,-0.02068944
theori,-0.020693552
size,-0.020694196
realiti,-0.020705026
implement,-0.020705298
quantum,-0.020708404
unet,-0.02071116
rang,-0.020711644
diagnos,-0.020716345
therefor,-0.02073733
convent,-0.020739824
error,-0.020741425
investig,-0.020742672
fast,-0.020750899
truth,-0.020756803
point,-0.020767033
