Term,Mitigated Information
control,0.004635664
system,0.00078343577
paper,-0.005666156
propos,-0.005754286
we,-0.0065247626
optim,-0.008774567
base,-0.00917406
use,-0.01008046
model,-0.011483563
time,-0.0115029
simul,-0.012489105
problem,-0.012899134
result,-0.01293275
can,-0.013076599
perform,-0.013254046
dynam,-0.013324189
method,-0.013376918
design,-0.013509765
approach,-0.013679961
which,-0.014090351
from,-0.015135083
algo,-0.015367188
net,-0.015439745
vehicl,-0.015610702
provid,-0.015740655
state,-0.015740667
present,-0.015794158
power,-0.01594114
demonstr,-0.016004637
oper,-0.016085768
show,-0.016374912
our,-0.016753571
linear,-0.01676917
stabil,-0.017016878
real,-0.01712802
guarante,-0.017203374
safeti,-0.017205914
data,-0.017260183
under,-0.017278578
studi,-0.017440574
constraint,-0.017502015
cost,-0.017564666
comput,-0.01763854
learn,-0.017651327
effici,-0.017693242
effect,-0.017704831
devel,-0.017965771
framework,-0.018033225
consid,-0.018046722
numer,-0.018232433
grid,-0.018285897
also,-0.01830927
has,-0.018336931
it,-0.018352728
two,-0.018357787
nonlinear,-0.018373193
condit,-0.018385807
proc,-0.018464535
requir,-0.018505868
set,-0.018539216
load,-0.018542226
differ,-0.01855949
disturb,-0.018590335
while,-0.018663853
func,-0.018693924
have,-0.018702481
improv,-0.018768864
robust,-0.018769754
uncertainti,-0.018855864
estim,-0.01885926
applic,-0.018888578
solut,-0.018894717
howev,-0.01890134
input,-0.018903285
work,-0.018926319
challeng,-0.018947575
achiev,-0.018950466
trajectori,-0.018958043
case,-0.019030334
integr,-0.019076895
distribut,-0.019129517
between,-0.019140245
through,-0.01916952
polici,-0.019183239
generat,-0.019287309
high,-0.019295394
novel,-0.019300686
where,-0.01935063
agent,-0.019351093
safe,-0.019351644
compar,-0.019389005
solv,-0.019425888
valid,-0.019431677
formul,-0.019479904
robot,-0.019506635
reinforc,-0.019538427
predict,-0.019553136
ensur,-0.019574208
both,-0.0195923
loop,-0.019594194
paramet,-0.019638896
complex,-0.019649073
energi,-0.019649431
reduc,-0.019656189
more,-0.019679813
bus,-0.019693758
exist,-0.019766053
feedback,-0.019770417
first,-0.019776016
address,-0.01978035
when,-0.0198676
communic,-0.019872058
strategi,-0.019872457
one,-0.019903377
introduc,-0.019930713
exampl,-0.019939162
converg,-0.019973103
adapt,-0.019988926
analysi,-0.019993346
enabl,-0.019995842
multi,-0.020000998
electr,-0.02004879
renew,-0.020051641
implement,-0.020074164
s,-0.020074967
error,-0.020113435
addit,-0.020115433
been,-0.020118183
new,-0.020124856
minim,-0.020142473
over,-0.020161338
each,-0.020169066
final,-0.020171937
test,-0.02018081
decis,-0.020189509
inform,-0.020197269
measur,-0.020202974
limit,-0.020210909
output,-0.02022573
increas,-0.020258684
driven,-0.020259442
util,-0.020264946
non,-0.020307621
autonom,-0.020333126
environ,-0.020360142
illustr,-0.020367106
program,-0.020383785
need,-0.020424157
evalu,-0.020437513
techniqu,-0.02044179
general,-0.02045921
demand,-0.020460462
scenario,-0.020468278
