Term,Mitigated Information
graviti,0.0025199205
gravit,-0.00053226016
we,-0.009266782
black,-0.009549851
hole,-0.011579535
spacetim,-0.013288455
cosmolog,-0.015861783
scalar,-0.021866072
field,-0.022033766
theori,-0.02555321
einstein,-0.026737982
general,-0.028698297
which,-0.02887821
equat,-0.029915933
from,-0.03163386
use,-0.03263024
matter,-0.03341727
can,-0.033529982
relat,-0.03380661
model,-0.034627356
horizon,-0.034774516
univers,-0.035110377
wave,-0.03556051
solut,-0.03572867
show,-0.035790242
energi,-0.03590371
result,-0.03603199
quantum,-0.036388215
schwarzschild,-0.036538556
studi,-0.03693989
mass,-0.037034262
tensor,-0.037088335
also,-0.037269667
observ,-0.037721213
background,-0.037723806
time,-0.037976563
non,-0.038413193
effect,-0.03872633
our,-0.038866006
sitter,-0.038881715
metric,-0.03891022
space,-0.039040662
perturb,-0.03931927
one,-0.0395595
two,-0.039846905
find,-0.04016421
present,-0.04031305
discuss,-0.040566538
vacuum,-0.04067287
physic,-0.040687032
curvatur,-0.04070058
case,-0.040881686
consid,-0.04091532
relativist,-0.04091855
base,-0.041098367
paramet,-0.041253902
spheric,-0.04127263
deriv,-0.041287478
paper,-0.04128777
constant,-0.041297
have,-0.04132494
dark,-0.041513808
propos,-0.041594725
obtain,-0.041636735
coupl,-0.04170728
method,-0.041853014
flat,-0.041930947
system,-0.042065542
order,-0.0421623
between,-0.04216577
data,-0.042174555
has,-0.04235342
inflat,-0.042396687
possibl,-0.04265212
hawk,-0.042698648
it,-0.042809833
new,-0.042846657
gaug,-0.042870574
differ,-0.04288208
radiat,-0.04306576
term,-0.043128066
state,-0.043133695
s,-0.04320208
dynam,-0.043302193
cosmic,-0.043354575
perform,-0.04340504
geometri,-0.043414082
investig,-0.043421306
provid,-0.04347245
describ,-0.04354662
approach,-0.04356163
some,-0.04360683
evolut,-0.04373479
first,-0.04374123
well,-0.043759316
both,-0.043786947
particl,-0.043792658
inflationari,-0.043800995
form,-0.043850373
learn,-0.04392496
symmetr,-0.04398107
construct,-0.044013735
symmetri,-0.044069078
lead,-0.044087723
particular,-0.04413544
kerr,-0.044177074
work,-0.04422938
condit,-0.044358075
momentum,-0.044508778
singular,-0.044614606
dimension,-0.044619426
func,-0.044626724
rotat,-0.04471954
problem,-0.04482948
scale,-0.044869155
depend,-0.0448709
conform,-0.04487315
all,-0.044902183
proc,-0.044965807
exist,-0.04498726
larg,-0.045000218
massless,-0.04501154
recent,-0.045045577
expans,-0.04518498
may,-0.045187637
net,-0.045190256
other,-0.045212977
limit,-0.04521626
charg,-0.04523702
when,-0.04527346
newtonian,-0.04532501
correspond,-0.045325562
properti,-0.045330815
potenti,-0.045357127
mode,-0.045409363
high,-0.04541109
demonstr,-0.04541576
point,-0.04549849
comput,-0.04554171
includ,-0.04554692
onli,-0.04559482
more,-0.04561555
static,-0.045619413
been,-0.04566717
structur,-0.045683205
densiti,-0.045747854
invari,-0.045755528
massiv,-0.04575733
asymptot,-0.04576391
where,-0.045811903
valu,-0.045880117
graviton,-0.04593119
modifi,-0.04594551
howev,-0.045953535
correct,-0.045980252
formal,-0.045987945
classic,-0.045988567
allow,-0.04598927
null,-0.046007935
compar,-0.046015084
spin,-0.04602337
algo,-0.046039
geodes,-0.04604792
1,-0.046048388
like,-0.046074443
set,-0.046130024
action,-0.04617359
than,-0.046188127
analysi,-0.04621359
applic,-0.046236824
calcul,-0.046266995
train,-0.046267293
out,-0.04627517
friedmann,-0.046279654
acceler,-0.046308786
binari,-0.04631069
appli,-0.04635801
under,-0.04635875
devel,-0.04636345
presenc,-0.04637234
engin,-0.04637479
local,-0.046387002
linear,-0.04638961
phase,-0.046400405
generat,-0.046420675
introduc,-0.046456773
fluid,-0.046460323
while,-0.04646048
optim,-0.04646071
how,-0.04647949
here,-0.04648873
thermodynam,-0.0464993
shown,-0.04651655
standard,-0.046539046
due,-0.046546284
natur,-0.046635233
star,-0.04665739
within,-0.04666694
entropi,-0.046745073
compact,-0.046766147
final,-0.04677504
type,-0.046776988
astrophys,-0.046800386
ligo,-0.046820823
interact,-0.046833538
wormhol,-0.046844088
numer,-0.046854105
measur,-0.046854213
dataset,-0.046863142
improv,-0.04687555
framework,-0.046891674
string,-0.046895243
task,-0.046905443
extend,-0.046930403
consist,-0.046941385
experi,-0.046950977
design,-0.046955284
reissner,-0.046979733
number,-0.046980325
known,-0.047002215
test,-0.04700318
angular,-0.04702422
dimens,-0.04702787
effici,-0.04704068
second,-0.04704871
constraint,-0.047057632
give,-0.047059298
found,-0.04706642
inform,-0.047073692
minkowski,-0.047095522
exact,-0.04710106
through,-0.047108997
electromagnet,-0.04711211
approxim,-0.04712184
formul,-0.047130425
sourc,-0.047167644
merger,-0.04718054
analyt,-0.047187302
addit,-0.047192816
motion,-0.047198158
mechan,-0.04725366
higher,-0.04725611
explicit,-0.04727679
coordin,-0.04727966
class,-0.04729287
achiev,-0.047315944
i,-0.047328185
so,-0.047332298
signific,-0.047333337
simul,-0.047349624
ani,-0.047366958
primordi,-0.04737995
2,-0.047385104
holograph,-0.047390968
determin,-0.04739199
defin,-0.04739714
analyz,-0.04739969
direct,-0.047409456
could,-0.047433972
requir,-0.047435757
brane,-0.04745245
over,-0.047457434
near,-0.04748789
maxwel,-0.047495503
vanish,-0.047531407
detect,-0.04755939
previous,-0.0475645
given,-0.047571484
initi,-0.047581997
principl,-0.047595076
way,-0.047595676
featur,-0.047606938
late,-0.047619503
predict,-0.047619995
distribut,-0.04764668
challeng,-0.047655057
three,-0.047658455
exampl,-0.047676675
most,-0.04768408
specif,-0.047691848
import,-0.04770751
light,-0.04772131
timelik,-0.047732577
lagrangian,-0.047735993
expect,-0.047743645
bonnet,-0.047754016
same,-0.047791377
bianchi,-0.047809646
frequenc,-0.04781502
strong,-0.047856342
lorentz,-0.047858104
complex,-0.047873933
up,-0.047879208
evalu,-0.047893953
express,-0.047894903
free,-0.047896814
hubbl,-0.04789759
neutron,-0.047897696
planck,-0.047904216
object,-0.047907706
event,-0.047917463
law,-0.047932062
geometr,-0.047935028
thus,-0.047937073
dilaton,-0.047937255
small,-0.04795033
futur,-0.047953047
boundari,-0.047969393
vector,-0.04797704
novel,-0.047990985
e,-0.047994565
current,-0.04799466
covari,-0.047996305
freedom,-0.048006743
each,-0.048014484
around,-0.048020452
region,-0.0480208
context,-0.048032686
integr,-0.04807823
explor,-0.04808733
imag,-0.048088174
sever,-0.048094846
spectrum,-0.04810738
art,-0.048107997
neural,-0.048113473
without,-0.04812134
estim,-0.04813137
bounc,-0.048142713
veri,-0.048165184
four,-0.04817295
increas,-0.048176505
techniqu,-0.04818333
oper,-0.048187237
real,-0.04819449
interest,-0.048200533
those,-0.048200622
associ,-0.048206445
power,-0.04820793
detail,-0.04821608
mani,-0.048227858
detector,-0.048234083
connect,-0.0482359
appear,-0.048238773
configur,-0.04824364
robertson,-0.048247624
orbit,-0.048248265
regim,-0.048254658
various,-0.048266623
self,-0.04827354
finit,-0.048275076
spatial,-0.048277494
quasinorm,-0.04828548
argu,-0.04830355
curv,-0.048318744
low,-0.04832753
generic,-0.048333764
experiment,-0.048343148
make,-0.04835829
virgo,-0.04837475
collaps,-0.04837579
us,-0.04837621
level,-0.04839065
contribut,-0.0483908
violat,-0.048399612
radius,-0.04840962
equival,-0.048413258
loop,-0.04841879
further,-0.048423212
even,-0.048433576
assum,-0.04843474
singl,-0.04843544
origin,-0.04843909
fundament,-0.048443004
homogen,-0.048462402
quantiz,-0.048471548
frame,-0.048484925
control,-0.04848679
suggest,-0.04848768
doe,-0.048492655
earli,-0.048492983
hamiltonian,-0.04851622
close,-0.048519567
posit,-0.048519947
gw,-0.048523713
consequ,-0.04852488
scenario,-0.048525754
f,-0.04852617
behavior,-0.04853009
mean,-0.048534174
canon,-0.048534967
temperatur,-0.04853555
special,-0.048544183
complet,-0.048554756
transform,-0.048560128
becom,-0.04856894
rang,-0.048576504
respect,-0.04858637
signal,-0.048595898
extrem,-0.04860149
sampl,-0.04860298
propag,-0.048609663
fluctuat,-0.04861813
nordstr,-0.04862672
after,-0.048630588
induc,-0.048631344
reduc,-0.048637185
simpl,-0.048644274
prove,-0.048651926
domin,-0.048654296
combin,-0.048654508
extens,-0.048655774
ghost,-0.048669886
similar,-0.04869521
3,-0.048701093
independ,-0.0487076
anti,-0.048707925
multipl,-0.04871121
amplitud,-0.048716392
aris,-0.048730433
solv,-0.048738517
bound,-0.04875419
research,-0.048760533
minim,-0.048760712
contain,-0.04876185
do,-0.048762925
quantiti,-0.0487638
dirac,-0.048775554
theoret,-0.04877826
conserv,-0.048793312
r,-0.04879463
isotrop,-0.048795078
weyl,-0.048805084
walker,-0.048810203
interpret,-0.04881773
about,-0.048835758
surfac,-0.04884701
produc,-0.04884706
zero,-0.048855297
identifi,-0.048858296
focus,-0.048882745
klein,-0.04888439
ad,-0.048887234
frw,-0.048888333
them,-0.048889678
gauss,-0.048896022
rate,-0.048896626
main,-0.048898738
instabl,-0.048901577
multi,-0.048906017
follow,-0.048907325
degre,-0.04890738
chang,-0.048917565
certain,-0.048920088
lisa,-0.048926122
torsion,-0.04893028
probe,-0.048937604
role,-0.04894639
call,-0.048946667
review,-0.048949715
sinc,-0.048964575
machin,-0.048975248
take,-0.04898102
address,-0.048981935
satisfi,-0.04898217
dewitt,-0.048993178
group,-0.04900054
transit,-0.04900632
deep,-0.04901774
implic,-0.04901885
would,-0.04902865
variabl,-0.049032044
avail,-0.049037907
factor,-0.049041003
regular,-0.049046725
represent,-0.04904686
gr,-0.049052916
weak,-0.049058475
account,-0.049062442
examin,-0.049071055
kill,-0.049071413
stabl,-0.04907302
ricci,-0.04907572
fix,-0.04908411
implement,-0.049086835
emerg,-0.04908763
phenomenolog,-0.04909281
stabil,-0.049097687
user,-0.04910268
stationari,-0.04911379
inflaton,-0.04912117
deform,-0.04912378
via,-0.049123783
emit,-0.04912875
hilbert,-0.049132023
descript,-0.04913468
graph,-0.04914477
understand,-0.04914686
infin,-0.049160365
galaxi,-0.049162865
forc,-0.049168937
arbitrari,-0.04916948
need,-0.049170144
accuraci,-0.049172368
enabl,-0.04917599
outperform,-0.049178652
part,-0.04919055
roll,-0.0492115
usual,-0.049213257
interferomet,-0.04923745
character,-0.049245074
compon,-0.04925114
backreact,-0.049251992
languag,-0.049254213
flrw,-0.049257167
correl,-0.049264826
continu,-0.04926787
impli,-0.049268436
waveform,-0.04926926
dure,-0.049270805
newman,-0.04927159
involv,-0.04927369
input,-0.04927915
evapor,-0.049302865
domain,-0.049310878
long,-0.049315274
classif,-0.04931543
global,-0.049323794
human,-0.0493242
transfer,-0.049327206
format,-0.04932856
circular,-0.049340114
causal,-0.049342882
d,-0.049343936
whose,-0.049352877
random,-0.049353477
pulsar,-0.049356595
nake,-0.049356863
open,-0.04935784
pure,-0.04935901
bulk,-0.04937674
architectur,-0.04938006
spacelik,-0.04938066
4,-0.049382802
repres,-0.049383827
enhanc,-0.049395606
turn,-0.049396954
critic,-0.04940285
bang,-0.04940782
beyond,-0.049411107
benchmark,-0.049412422
veloc,-0.049416073
size,-0.049426064
should,-0.049432576
magnet,-0.049440663
qualiti,-0.04944361
relev,-0.049443766
exhibit,-0.049444333
shell,-0.049444508
trivial,-0.049449306
lorentzian,-0.049457718
negat,-0.049462516
establish,-0.049464136
bekenstein,-0.04946882
exterior,-0.04946998
cost,-0.049471427
start,-0.0494756
anisotrop,-0.04948251
valid,-0.049483255
robust,-0.049485665
furthermor,-0.049491443
full,-0.049493454
supergrav,-0.049499135
error,-0.049500346
modif,-0.04950146
therefor,-0.049501695
util,-0.04950321
practic,-0.04950482
oscil,-0.049507566
redshift,-0.049513217
fact,-0.049515426
wide,-0.049517088
altern,-0.049517736
topolog,-0.049518112
inspir,-0.049518153
quasi,-0.049528964
indic,-0.04953545
theorem,-0.049541753
often,-0.049546286
electron,-0.049546577
issu,-0.04954837
code,-0.04954869
latter,-0.04955008
whether,-0.04955496
penros,-0.049555738
precis,-0.049566146
perfect,-0.04956681
om,-0.04957168
post,-0.049577788
equilibrium,-0.049579967
tidal,-0.049580127
diffeomorph,-0.049582094
employ,-0.049583618
aim,-0.049587242
inhomogen,-0.049591966
quadrat,-0.04959216
along,-0.049592875
adapt,-0.049593758
teleparallel,-0.049593803
cmb,-0.049596112
strategi,-0.0496026
explain,-0.049606606
ratio,-0.0496091
constrain,-0.049614415
better,-0.049614545
interior,-0.049614824
radial,-0.049616706
suffici,-0.049622316
sector,-0.0496225
admit,-0.04962908
pressur,-0.04962918
across,-0.049636625
conduct,-0.04963952
analog,-0.04963997
choic,-0.049647585
map,-0.04964947
bodi,-0.049651768
either,-0.049651824
distanc,-0.049652554
layer,-0.049655326
activ,-0.04965806
be,-0.049660377
statist,-0.04966143
knowledg,-0.04966479
expand,-0.049664833
protocol,-0.04967645
g,-0.04967731
select,-0.049677573
lens,-0.04968568
manifold,-0.04968939
appar,-0.049691923
scheme,-0.049694896
extra,-0.049695898
n,-0.049697023
affect,-0.049702458
bran,-0.049702797
formula,-0.04970607
moreov,-0.049716577
btz,-0.049717434
support,-0.049718846
common,-0.049719073
hypersurfac,-0.04972006
question,-0.049723525
wheeler,-0.04972363
thermal,-0.04972431
algebra,-0.04972458
key,-0.049726214
accur,-0.04972708
literatur,-0.0497271
must,-0.049737927
nonlinear,-0.04974363
cannot,-0.04974557
ringdown,-0.049745698
tachyon,-0.04974862
unruh,-0.049751107
illustr,-0.049751166
tool,-0.049751982
remain,-0.049752705
accret,-0.049756706
suitabl,-0.049757123
variat,-0.04975842
were,-0.049760774
leverag,-0.049767308
motiv,-0.049770374
impos,-0.0497722
famili,-0.049774498
collect,-0.0497771
hair,-0.049777757
abl,-0.049779937
although,-0.049781
gws,-0.049781047
semiclass,-0.04978136
world,-0.0497831
break,-0.04978328
occur,-0.0497842
product,-0.04978735
characterist,-0.049788173
slow,-0.049797226
deviat,-0.049810693
tetrad,-0.049812652
total,-0.04982518
separ,-0.049825788
planckian,-0.04983238
reveal,-0.049833752
might,-0.049833894
cartan,-0.049835112
photon,-0.049837135
environ,-0.04983818
viabl,-0.049847975
area,-0.049849812
devic,-0.049850143
definit,-0.049856454
0,-0.04986336
signatur,-0.049864575
synt,-0.049864925
end,-0.049869116
capabl,-0.04987049
coalesc,-0.049871013
palatini,-0.04987118
microwav,-0.04987216
nordstrom,-0.04987442
stress,-0.049876373
bh,-0.04988171
much,-0.049888857
infinit,-0.04989145
era,-0.049893275
report,-0.049900018
optic,-0.049910348
axisymmetr,-0.049919024
version,-0.049919944
communic,-0.04992205
recov,-0.04992629
differenti,-0.049927775
success,-0.049932286
big,-0.04993836
search,-0.049943145
flow,-0.04994578
anisotropi,-0.049948834
idea,-0.049950946
sach,-0.04995165
what,-0.049954206
fermion,-0.04996464
nois,-0.04996973
bondi,-0.049969956
sensit,-0.04997029
impact,-0.049970515
assumpt,-0.049971044
probabl,-0.049971316
step,-0.04997362
play,-0.049974646
decis,-0.049979422
necessari,-0.049979933
mill,-0.049984343
cross,-0.049985737
advanc,-0.049985893
analys,-0.0499881
target,-0.049988937
decay,-0.049991455
kaluza,-0.04999146
becaus,-0.049992986
name,-0.049993135
among,-0.049994044
stellar,-0.049994558
articl,-0.050004546
discret,-0.05001647
carri,-0.050018873
output,-0.05001982
uniqu,-0.050020974
euclidean,-0.050026916
move,-0.05003484
pair,-0.050034966
yield,-0.050036218
typic,-0.05004882
evid,-0.050052308
normal,-0.050054744
larger,-0.050055265
dual,-0.050056856
compat,-0.050056964
contrast,-0.05005732
emiss,-0.05005771
sequenc,-0.050060514
central,-0.050060738
behaviour,-0.050061442
respons,-0.050061792
possess,-0.05006416
toward,-0.05006489
unstabl,-0.0500658
captur,-0.050069835
period,-0.050072324
argument,-0.05007358
henc,-0.050075956
phantom,-0.05007874
horndeski,-0.05008253
lovelock,-0.05008253
phenomena,-0.050086144
5,-0.050086837
matrix,-0.050086837
technolog,-0.050088685
still,-0.05008893
materi,-0.05009764
rather,-0.050100394
evolv,-0.05010069
project,-0.050102126
five,-0.050103016
yang,-0.05010424
resourc,-0.050106183
extract,-0.050108586
mem,-0.050109424
supernova,-0.050112136
boson,-0.05011242
modul,-0.050112702
concept,-0.050112948
electr,-0.050113175
lower,-0.050114308
deflect,-0.050115597
pattern,-0.05011583
averag,-0.050117336
reheat,-0.050125554
scatter,-0.05012826
match,-0.05012857
confirm,-0.050128978
throat,-0.05013144
restrict,-0.050133236
few,-0.050133966
plane,-0.05013408
axion,-0.050137933
converg,-0.050138254
gordon,-0.050142497
aspect,-0.050143216
entangl,-0.050146196
divers,-0.05014969
individu,-0.050153244
conjectur,-0.05015453
far,-0.05015556
year,-0.05015856
appropri,-0.05015941
third,-0.050159737
infer,-0.0501686
fulli,-0.050170917
loss,-0.050179508
rise,-0.050181832
realiz,-0.050182596
chaplygin,-0.0501828
offer,-0.05018332
short,-0.0501835
diverg,-0.05018726
deceler,-0.050187528
supervis,-0.05018773
infeld,-0.05018827
nut,-0.05018827
made,-0.05019103
intellig,-0.050191402
semant,-0.05019442
caus,-0.050195113
build,-0.050198607
speed,-0.050199207
back,-0.0502022
systemat,-0.050203033
briefli,-0.05020314
mathemat,-0.050203886
view,-0.050204404
quintess,-0.050204907
parametr,-0.050207976
weight,-0.05021015
manifest,-0.0502126
braneworld,-0.050216552
abil,-0.05021914
reli,-0.050220076
cft,-0.05022361
proper,-0.050227024
noncommut,-0.050228104
github,-0.050229453
channel,-0.050230995
axial,-0.050231148
supermass,-0.050231732
spectral,-0.05023243
alway,-0.050232664
smooth,-0.050233804
polar,-0.050233983
help,-0.050234586
visual,-0.050234627
stochast,-0.05023896
cauchi,-0.050245047
baselin,-0.05024546
influenc,-0.050246093
convolut,-0.050246935
tolman,-0.05024705
embed,-0.05024834
coeffici,-0.0502523
promis,-0.050255265
creat,-0.050255325
coincid,-0.050256036
spinor,-0.050258387
path,-0.050259642
best,-0.05026213
attent,-0.05026347
shift,-0.050263643
exploit,-0.050264336
line,-0.050264776
conclud,-0.05026637
vari,-0.050266635
down,-0.05026869
hypertext,-0.05027005
crucial,-0.05027731
program,-0.0502811
insid,-0.05028128
consider,-0.05028379
poincar,-0.05028548
tradit,-0.05028811
agreement,-0.050288778
empir,-0.050291676
incorpor,-0.05029259
superior,-0.05029462
absenc,-0.050296336
comparison,-0.05029739
place,-0.050299764
off,-0.050301705
condens,-0.050302085
driven,-0.050302166
electrodynam,-0.050305724
length,-0.05030576
gap,-0.050307903
label,-0.050310656
shape,-0.050312452
artifici,-0.05031329
treat,-0.050315097
public,-0.050316498
element,-0.050318494
gaussian,-0.050318528
candid,-0.050319914
essenti,-0.050320923
distinguish,-0.050322656
alreadi,-0.05032476
ground,-0.050325632
pre,-0.050331213
reproduc,-0.050332505
born,-0.05033266
equal,-0.0503344
come,-0.050334506
horava,-0.05033499
volum,-0.050336078
hand,-0.050337244
maxim,-0.05033747
avoid,-0.050338436
less,-0.050340444
