Term,Mitigated Information
lhc,0.0030929297
detector,-0.001658476
collid,-0.0033826558
hadron,-0.004281046
we,-0.004344672
physic,-0.006154883
energi,-0.006510363
decay,-0.006600101
tev,-0.006628158
neutrino,-0.006635744
experi,-0.006688775
particl,-0.0076384842
measur,-0.0077774604
mass,-0.0078472495
search,-0.007907022
quark,-0.007921878
cms,-0.007946526
proton,-0.0081551075
product,-0.008222923
lepton,-0.00833954
from,-0.008388068
use,-0.008727982
muon,-0.008732531
gev,-0.008762187
collis,-0.008911457
higg,-0.009261697
present,-0.009443842
event,-0.009474157
model,-0.009536251
boson,-0.009709307
data,-0.009932734
section,-0.00999276
result,-0.010260297
standard,-0.0104220975
which,-0.010632483
high,-0.010704812
atlas,-0.01071454
jet,-0.010845058
can,-0.010973676
new,-0.010982396
luminos,-0.011046487
dark,-0.011062161
cross,-0.011206811
studi,-0.011206813
discuss,-0.011375161
background,-0.011425861
cern,-0.011518998
qcd,-0.011623814
futur,-0.011717127
matter,-0.011761299
tevatron,-0.011792918
parton,-0.011885743
our,-0.011886982
observ,-0.012000352
perform,-0.012050673
proc,-0.012056059
show,-0.0120725855
heavi,-0.012111576
base,-0.0122186
electron,-0.0122187985
sensit,-0.012218878
also,-0.012245746
larg,-0.012311446
charg,-0.012332227
have,-0.012341967
precis,-0.012381664
electroweak,-0.012499981
beam,-0.012505582
two,-0.012512447
fb,-0.01251897
paper,-0.012540688
propos,-0.012559522
method,-0.012622424
has,-0.012660775
provid,-0.012709552
produc,-0.012766929
experiment,-0.01277004
effect,-0.012775332
1,-0.012792175
interact,-0.012820119
current,-0.012838686
recent,-0.012866768
includ,-0.0128747905
run,-0.012883304
time,-0.012892956
system,-0.012912256
been,-0.01292778
differ,-0.012935653
one,-0.012954126
sqrt,-0.012973875
signal,-0.012987525
pair,-0.012990377
meson,-0.0129935015
flavor,-0.0130212335
well,-0.0130677475
first,-0.013115007
state,-0.013148056
test,-0.013148487
scatter,-0.013156098
cp,-0.013202385
chamber,-0.013219154
top,-0.013228231
between,-0.013228395
femtobarn,-0.013247816
program,-0.013253538
it,-0.01327007
describ,-0.013287688
predict,-0.01328801
photon,-0.013292077
report,-0.013311686
approach,-0.013315356
reconstruct,-0.01333139
review,-0.013343381
transvers,-0.0133440755
scintil,-0.013344599
coupl,-0.013364765
possibl,-0.013366791
collabor,-0.0133728115
momentum,-0.01339208
expect,-0.013424004
d0,-0.013433603
devel,-0.013444107
limit,-0.013449964
light,-0.013452433
7,-0.013493247
violat,-0.013499244
s,-0.013501927
calorimet,-0.013509988
simul,-0.013516479
detect,-0.013528152
distribut,-0.013565922
collect,-0.01356665
fermilab,-0.013570692
final,-0.013574879
gluon,-0.013577867
both,-0.013581736
problem,-0.013595353
shower,-0.013603199
direct,-0.013606802
order,-0.01360911
charm,-0.013617172
compar,-0.013628205
paramet,-0.013643882
allow,-0.013652168
