Term,Mitigated Information
lattic,0.010698726
qcd,0.0031519325
gaug,0.0016721955
theori,-0.00089524285
quark,-0.00096921716
we,-0.0017598354
chiral,-0.002931592
su,-0.002938943
fermion,-0.0033754157
wilson,-0.004851818
use,-0.005458223
calcul,-0.005498229
mass,-0.005620368
field,-0.005895259
result,-0.0059720203
which,-0.00631376
loop,-0.006383213
model,-0.006394501
flavor,-0.0064590545
continuum,-0.0065195123
symmetri,-0.006525906
from,-0.0065480503
simul,-0.0065588444
studi,-0.0066301823
hadron,-0.0066722836
perturb,-0.0067739254
2,-0.0069250343
present,-0.007043361
discuss,-0.007101966
meson,-0.0071122525
can,-0.007135549
two,-0.007150296
phase,-0.007153975
mill,-0.00717388
finit,-0.0072008553
physic,-0.0072114943
func,-0.007226724
deconfin,-0.0072810315
temperatur,-0.00728379
non,-0.0073258244
effect,-0.0073418478
yang,-0.0074008442
also,-0.0074054273
our,-0.007415215
order,-0.007432918
show,-0.00746315
polyakov,-0.0074727815
paper,-0.0075467504
gluon,-0.0075480565
limit,-0.007573867
abelian,-0.0076100123
method,-0.0076374393
quantum,-0.0076668225
transit,-0.0076887086
one,-0.0077351937
coupl,-0.0077502877
mont,-0.0077745602
carlo,-0.0077754236
base,-0.0078041516
break,-0.007836978
action,-0.007860963
point,-0.007865332
confin,-0.007869475
propos,-0.007890876
investig,-0.007897985
1,-0.007911205
dimension,-0.007925517
renorm,-0.007938337
determin,-0.007955937
correl,-0.007994913
stagger,-0.008028194
quench,-0.008029838
dynam,-0.00804381
system,-0.00804991
dimens,-0.008052221
energi,-0.008057087
numer,-0.008062607
have,-0.008070808
space,-0.0081248
comput,-0.0081428625
differ,-0.0081698205
oper,-0.0082038
data,-0.008205581
pion,-0.008213988
state,-0.0082194265
approach,-0.008233232
baryon,-0.008238226
3,-0.008257781
has,-0.008274013
zero,-0.008275885
higg,-0.008282402
obtain,-0.008283526
potenti,-0.008309325
first,-0.008318472
time,-0.008319017
monopol,-0.008319428
find,-0.008329145
provid,-0.008330569
perform,-0.008337133
between,-0.0083398055
properti,-0.008341633
problem,-0.008372824
sign,-0.00837709
chromodynam,-0.008378026
volum,-0.008389865
larg,-0.008412437
momentum,-0.008422133
dirac,-0.0084424
n,-0.00844459
recent,-0.00844812
learn,-0.0084504
condens,-0.008458195
observ,-0.00846347
new,-0.008475862
flavour,-0.008479479
well,-0.0084901275
high,-0.008494824
charg,-0.008506258
interact,-0.00852082
depend,-0.008523195
chemic,-0.008535792
valu,-0.008543879
strong,-0.008544872
both,-0.008550728
proc,-0.008550738
general,-0.008562705
nucleon,-0.008573671
demonstr,-0.008607374
scale,-0.008621774
it,-0.008630667
matrix,-0.00863167
work,-0.008633141
densiti,-0.008641467
exact,-0.008643102
relat,-0.008645231
three,-0.008649518
schwinger,-0.008667299
scalar,-0.008673264
spectrum,-0.008685825
compar,-0.008686476
been,-0.008694138
term,-0.008695437
heavi,-0.008697047
vacuum,-0.008700095
net,-0.008706265
constant,-0.00871403
consid,-0.008717383
paramet,-0.0087252725
local,-0.008731143
number,-0.008739652
lead,-0.008740202
structur,-0.008740747
extrapol,-0.008748383
critic,-0.008750866
includ,-0.008754903
fix,-0.00875646
algo,-0.0087600965
pseudoscalar,-0.008761063
howev,-0.008768385
s,-0.008768937
particular,-0.008783185
case,-0.008784479
more,-0.008788519
applic,-0.00879519
allow,-0.008809756
set,-0.008810221
formul,-0.008811243
topolog,-0.008822177
devel,-0.008823
dataset,-0.008824352
all,-0.008825722
where,-0.008826583
expans,-0.008826915
four,-0.008830536
